el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1880274,Kuldeep Rai Sharma,INC,24378,95249,46.0,1,37,1,AN,Kuldeep Rai Sharma,INC,,,,,False,37,2019,GE
1880275,Vishal Jolly,BJP,24377,93772,45.28,2,37,1,AN,Vishal Jolly,BJP,,,,,True,37,2019,GE
1880276,Paritosh Kumar Haldar,IND,24381,5339,2.58,3,37,1,AN,Paritosh Kumar Haldar,IND,,,,,False,37,2019,GE
1880277,Sanjay Meshack,AAAP,24386,2837,1.37,4,37,1,AN,Sanjay Meshack,AAAP,,,,,False,37,2019,GE
1880278,Prakash Minj,BSP,24384,2478,1.2,5,37,1,AN,Prakash Minj,BSP,,,,,False,37,2019,GE
1880279,Ayan Mandal,AITC,24387,1717,0.83,6,37,1,AN,Ayan Mandal,AITC,,,,,False,37,2019,GE
1880280,Nota,NOTA,24382,1411,0.68,7,37,1,AN,Nota,NOTA,,,,,False,37,2019,GE
1880281,Henry,IND,24381,994,0.48,8,37,1,AN,Henry,IND,,,,,False,37,2019,GE
1880282,K Venkat Ram Babu,IND,24381,914,0.44,9,37,1,AN,K Venkat Ram Babu,IND,,,,,False,37,2019,GE
1880283,Minati Biswas,IND,24381,615,0.3,10,37,1,AN,Minati Biswas,IND,,,,,False,37,2019,GE
1880284,S Sudershan Rao,IND,24381,475,0.23,11,37,1,AN,S Sudershan Rao,IND,,,,,False,37,2019,GE
1880285,V V Khalid,IND,24381,305,0.15,12,37,1,AN,V V Khalid,IND,,,,,False,37,2019,GE
1880286,C U Rasheed,IND,24381,272,0.13,13,37,1,AN,C U Rasheed,IND,,,,,False,37,2019,GE
1880287,K Kalimuthu,IND,24381,269,0.13,14,37,1,AN,K Kalimuthu,IND,,,,,False,37,2019,GE
1880288,Gour Chandra Majumder,IND,24381,221,0.11,15,37,1,AN,Gour Chandra Majumder,IND,,,,,False,37,2019,GE
1880289,C G Saji Kumar,AINHCP,24388,212,0.1,16,37,1,AN,C G Saji Kumar,AINHCP,,,,,False,37,2019,GE
