el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1993692,ASHOK BENDALAM,TDP,14591,79992,46.39288262,1,35,1,AP,ASHOK BENDALAM,TDP,,GEN,MALE,37,,35,2019,AE
1993693,PIRIYA SAIRAJ,YSRCP,14597,72847,42.2490039,2,35,1,AP,PIRIYA SAIRAJ,YSRCP,,GEN,MALE,42,,35,2019,AE
1993694,DASARI RAJU,JnP,14605,11123,6.450995517,3,35,1,AP,DASARI RAJU,JnP,,GEN,MALE,42,,35,2019,AE
1993695,None Of The Above,NOTA,14600,3880,2.250279835,4,35,1,AP,None Of The Above,NOTA,,,,,,35,2019,AE
1993696,ESWARA RAO KOLLI,INC,14592,2138,1.239973785,5,35,1,AP,ESWARA RAO KOLLI,INC,,GEN,MALE,50,,35,2019,AE
1993697,JANNALA SURYAVARA PRASADA RAO,BJP,14596,1826,1.059023448,6,35,1,AP,JANNALA SURYAVARA PRASADA RAO,BJP,,GEN,MALE,67,,35,2019,AE
1993698,GANAPA VANAJAKSHI,IND,14601,617,0.357840891,7,35,1,AP,GANAPA VANAJAKSHI,IND,,GEN,FEMALE,31,,35,2019,AE
1993699,APPALARAJU SEEDIRI,YSRCP,14597,76603,50.83448912,1,35,2,AP,APPALARAJU SEEDIRI,YSRCP,,GEN,MALE,39,,35,2019,AE
1993700,GOUTHU SIREESHA,TDP,14591,60356,40.05282333,2,35,2,AP,GOUTHU SIREESHA,TDP,,GEN,FEMALE,44,,35,2019,AE
1993701,KOTHA PURNACHANDRA RAO,JnP,14605,6133,4.069917911,3,35,2,AP,KOTHA PURNACHANDRA RAO,JnP,,GEN,MALE,47,,35,2019,AE
1993702,None Of The Above,NOTA,14600,3044,2.020027739,4,35,2,AP,None Of The Above,NOTA,,,,,,35,2019,AE
1993703,KORRAYI BALAKRISHNA,BJP,14596,1574,1.044521571,5,35,2,AP,KORRAYI BALAKRISHNA,BJP,,GEN,MALE,49,,35,2019,AE
1993704,MAJJI SARADA,INC,14592,1255,0.832830096,6,35,2,AP,MAJJI SARADA,INC,,GEN,FEMALE,64,,35,2019,AE
1993705,DUNNA VASUDEVU,IND,14601,639,0.424046559,7,35,2,AP,DUNNA VASUDEVU,IND,,GEN,MALE,54,,35,2019,AE
