el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1988995,YERRNNAIDU KINJARAPU,TDP,14591,46662,34.349189523430944,1,6,1,AP,YERRNNAIDU KINJARAPU,TDP,,GEN,MALE,50,,6,2009,GE
1988996,KILLI KRUPA RANI,INC,14592,44031,32.41243761317963,2,6,1,AP,KILLI KRUPA RANI,INC,,GEN,FEMALE,47,,6,2009,GE
1988999,KALYANI VARUDU,PRAP,14595,37746,27.7858751821916,3,6,1,AP,KALYANI VARUDU,PRAP,,GEN,FEMALE,29,,6,2009,GE
1989000,NANDA PRASADA RAO,PPOI,14594,3029,2.2297307244968567,4,6,1,AP,NANDA PRASADA RAO,PPOI,,GEN,MALE,37,,6,2009,GE
1988997,TANKALA SUDHAKARA RAO,BSP,14593,2372,1.7460948426895162,5,6,1,AP,TANKALA SUDHAKARA RAO,BSP,,GEN,MALE,57,,6,2009,GE
1988998,DUPPALA RAVINDARA BABU,BJP,14596,2006,1.4766721140114543,6,6,1,AP,DUPPALA RAVINDARA BABU,BJP,,GEN,MALE,38,,6,2009,GE
1989002,KILLI KRUPA RANI,INC,14592,49125,41.68292972661089,1,6,2,AP,KILLI KRUPA RANI,INC,,GEN,FEMALE,47,,6,2009,GE
1989001,YERRNNAIDU KINJARAPU,TDP,14591,41315,35.05608634412069,2,6,2,AP,YERRNNAIDU KINJARAPU,TDP,,GEN,MALE,50,,6,2009,GE
1989005,KALYANI VARUDU,PRAP,14595,22083,18.737590578172995,3,6,2,AP,KALYANI VARUDU,PRAP,,GEN,FEMALE,29,,6,2009,GE
1989006,NANDA PRASADA RAO,PPOI,14594,2264,1.9210209241943423,4,6,2,AP,NANDA PRASADA RAO,PPOI,,GEN,MALE,37,,6,2009,GE
1989003,TANKALA SUDHAKARA RAO,BSP,14593,1764,1.4967671865189132,5,6,2,AP,TANKALA SUDHAKARA RAO,BSP,,GEN,MALE,57,,6,2009,GE
1989004,DUPPALA RAVINDARA BABU,BJP,14596,1303,1.1056052403821677,6,6,2,AP,DUPPALA RAVINDARA BABU,BJP,,GEN,MALE,38,,6,2009,GE
1989008,KILLI KRUPA RANI,INC,14592,57719,42.51296329031878,1,6,3,AP,KILLI KRUPA RANI,INC,,GEN,FEMALE,47,,6,2009,GE
1989007,YERRNNAIDU KINJARAPU,TDP,14591,47405,34.916180543279715,2,6,3,AP,YERRNNAIDU KINJARAPU,TDP,,GEN,MALE,50,,6,2009,GE
1989011,KALYANI VARUDU,PRAP,14595,23962,17.649225148783216,3,6,3,AP,KALYANI VARUDU,PRAP,,GEN,FEMALE,29,,6,2009,GE
