el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1671871,Tsering Lhamu,BJP,19389,5040,58.51,1,51,1,AR,Tsering Lhamu,BJP,,,,,False,51,2024,AE
1671872,Jampa Thirnly Kunkhap,INC,19388,3509,40.74,2,51,1,AR,Jampa Thirnly Kunkhap,INC,,,,,False,51,2024,AE
1671873,Nota,NOTA,19397,65,0.75,3,51,1,AR,Nota,NOTA,,,,,True,51,2024,AE
1671874,Namgey Tsering,NPEP,19398,4667,55.6,1,51,2,AR,Namgey Tsering,NPEP,,,,,False,51,2024,AE
1671875,Tsering Dorjee,BJP,19389,3671,43.73,2,51,2,AR,Tsering Dorjee,BJP,,,,,False,51,2024,AE
1671876,Nota,NOTA,19397,56,0.67,3,51,2,AR,Nota,NOTA,,,,,True,51,2024,AE
1671877,Phurpa Tsering,BJP,19389,7430,54.08,1,51,4,AR,Phurpa Tsering,BJP,,,,,False,51,2024,AE
1671878,Yeshi Tsewang,NPEP,19398,6228,45.33,2,51,4,AR,Yeshi Tsewang,NPEP,,,,,False,51,2024,AE
1671879,Nota,NOTA,19397,81,0.59,3,51,4,AR,Nota,NOTA,,,,,True,51,2024,AE
1671880,Tseten Chombay Kee,BJP,19389,6030,65.03,1,51,5,AR,Tseten Chombay Kee,BJP,,,,,False,51,2024,AE
1671881,Wangdi Dorjee Khrimey,NCP,19396,3161,34.09,2,51,5,AR,Wangdi Dorjee Khrimey,NCP,,,,,False,51,2024,AE
1671882,Nota,NOTA,19397,82,0.88,3,51,5,AR,Nota,NOTA,,,,,True,51,2024,AE
1671883,Tenzin Nyima Glow,IND,19390,5593,51.36,1,51,6,AR,Tenzin Nyima Glow,IND,,,,,False,51,2024,AE
1671884,Kumsi Sidisow,BJP,19389,5193,47.69,2,51,6,AR,Kumsi Sidisow,BJP,,,,,True,51,2024,AE
1671885,Nota,NOTA,19397,104,0.96,3,51,6,AR,Nota,NOTA,,,,,True,51,2024,AE
1671886,Kumar Waii,INC,19388,6554,52.36,1,51,8,AR,Kumar Waii,INC,,,,,False,51,2024,AE
1671887,Doba Lamnio,BJP,19389,5919,47.28,2,51,8,AR,Doba Lamnio,BJP,,,,,False,51,2024,AE
1671888,Nota,NOTA,19397,45,0.36,3,51,8,AR,Nota,NOTA,,,,,True,51,2024,AE
1671889,Hayeng Mangfi,BJP,19389,8809,80.35,1,51,9,AR,Hayeng Mangfi,BJP,,,,,False,51,2024,AE
