el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1671013,Kiren Rijiju,BJP,19389,5211,62.59,1,53,1,AR,Kiren Rijiju,BJP,,,,,True,53,2024,GE
1671014,Nabam Tuki,INC,19388,2123,25.5,2,53,1,AR,Nabam Tuki,INC,,,,,False,53,2024,GE
1671015,Leki Norbu,IND,19390,509,6.11,3,53,1,AR,Leki Norbu,IND,,,,,False,53,2024,GE
1671016,Toko Sheetal,GNASURKP,19401,213,2.56,4,53,1,AR,Toko Sheetal,GNASURKP,,,,,False,53,2024,GE
1671017,Techi Rana,IND,19390,119,1.43,5,53,1,AR,Techi Rana,IND,,,,,False,53,2024,GE
1671018,Ruhi Tagung,IND,19390,62,0.74,6,53,1,AR,Ruhi Tagung,IND,,,,,False,53,2024,GE
1671019,Nota,NOTA,19397,46,0.55,7,53,1,AR,Nota,NOTA,,,,,False,53,2024,GE
1671020,Bimpak Siga,IND,19390,28,0.34,8,53,1,AR,Bimpak Siga,IND,,,,,False,53,2024,GE
1671021,Tania June,IND,19390,15,0.18,9,53,1,AR,Tania June,IND,,,,,False,53,2024,GE
1671022,Kiren Rijiju,BJP,19389,5758,72.65,1,53,2,AR,Kiren Rijiju,BJP,,,,,True,53,2024,GE
1671023,Nabam Tuki,INC,19388,819,10.33,2,53,2,AR,Nabam Tuki,INC,,,,,False,53,2024,GE
1671024,Leki Norbu,IND,19390,473,5.97,3,53,2,AR,Leki Norbu,IND,,,,,False,53,2024,GE
1671025,Toko Sheetal,GNASURKP,19401,312,3.94,4,53,2,AR,Toko Sheetal,GNASURKP,,,,,False,53,2024,GE
1671026,Techi Rana,IND,19390,243,3.07,5,53,2,AR,Techi Rana,IND,,,,,False,53,2024,GE
1671027,Bimpak Siga,IND,19390,117,1.48,6,53,2,AR,Bimpak Siga,IND,,,,,False,53,2024,GE
1671028,Ruhi Tagung,IND,19390,83,1.05,7,53,2,AR,Ruhi Tagung,IND,,,,,False,53,2024,GE
1671029,Nota,NOTA,19397,75,0.95,8,53,2,AR,Nota,NOTA,,,,,False,53,2024,GE
1671030,Tania June,IND,19390,46,0.58,9,53,2,AR,Tania June,IND,,,,,False,53,2024,GE
1671031,Kiren Rijiju,BJP,19389,6030,90.91,1,53,3,AR,Kiren Rijiju,BJP,,,,,True,53,2024,GE
1671032,Nabam Tuki,INC,19388,213,3.21,2,53,3,AR,Nabam Tuki,INC,,,,,False,53,2024,GE
1671033,Toko Sheetal,GNASURKP,19401,109,1.64,3,53,3,AR,Toko Sheetal,GNASURKP,,,,,False,53,2024,GE
