el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1960989,Sabharam Basumatary,BOPF,19857,44394,44.35,1,57,1,AS,Sabharam Basumatary,BOPF,,ST,MALE,67,,57,2026,AE
1960990,Phedricson Hansdak,JMM,19927,21417,21.4,2,57,1,AS,Phedricson Hansdak,JMM,,GENERAL,MALE,33,,57,2026,AE
1960991,Aninda Basumatary,UPPL,19856,17431,17.41,3,57,1,AS,Aninda Basumatary,UPPL,,ST,MALE,55,,57,2026,AE
1960992,Joseph Hasda,INC,19858,15128,15.11,4,57,1,AS,Joseph Hasda,INC,,GENERAL,MALE,57,,57,2026,AE
1960993,Nota,NOTA,19863,1123,1.12,5,57,1,AS,Nota,NOTA,,,,,,57,2026,AE
1960994,Helen Murmu,IND,19861,600,0.6,6,57,1,AS,Helen Murmu,IND,,GENERAL,FEMALE,64,,57,2026,AE
1960995,Rabiram Narzary,BOPF,19857,48775,51.74,1,57,2,AS,Rabiram Narzary,BOPF,,ST,MALE,58,,57,2026,AE
1960996,Raju Kumar Narzary,UPPL,19856,24492,25.98,2,57,2,AS,Raju Kumar Narzary,UPPL,,ST,MALE,45,,57,2026,AE
1960997,Birkhang Boro,INC,19858,15410,16.35,3,57,2,AS,Birkhang Boro,INC,,ST,MALE,50,,57,2026,AE
1960998,Fungkha Brahma,IND,19861,3740,3.97,4,57,2,AS,Fungkha Brahma,IND,,ST,FEMALE,36,,57,2026,AE
1960999,Nota,NOTA,19863,1138,1.21,5,57,2,AS,Nota,NOTA,,,,,,57,2026,AE
1961000,Rananjay Narzary,IND,19861,719,0.76,6,57,2,AS,Rananjay Narzary,IND,,ST,MALE,44,,57,2026,AE
1961001,Sewli Mohilary,BOPF,19857,74816,60.84,1,57,3,AS,Sewli Mohilary,BOPF,,ST,FEMALE,49,,57,2026,AE
1961002,Lawrence Islary,UPPL,19856,35183,28.61,2,57,3,AS,Lawrence Islary,UPPL,,ST,MALE,48,,57,2026,AE
