el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1722798,Krishna Das,BJP,19872,40759,40.09,1,21,1,AS,Krishna Das,BJP,,,,,False,21,2014,GE
1722799,Lalit Mohon Suklabaidya,INC,19858,28501,28.03,2,21,1,AS,Lalit Mohon Suklabaidya,INC,,,,,True,21,2014,GE
1722800,Radheshyam Biswas,AIUDF,19865,26756,26.32,3,21,1,AS,Radheshyam Biswas,AIUDF,,,,,False,21,2014,GE
1722801,Rabindra Nath Choudhury,AGP,19864,734,0.72,4,21,1,AS,Rabindra Nath Choudhury,AGP,,,,,False,21,2014,GE
1722802,Nota,NOTA,19863,664,0.65,5,21,1,AS,Nota,NOTA,,,,,False,21,2014,GE
1722803,Tarun Kumar Das,AAAP,19879,522,0.51,6,21,1,AS,Tarun Kumar Das,AAAP,,,,,False,21,2014,GE
1722804,Sujit Mallick,IND,19861,509,0.5,7,21,1,AS,Sujit Mallick,IND,,,,,False,21,2014,GE
1722805,Probash Ch. Sarkar,SUCI,19871,471,0.46,8,21,1,AS,Probash Ch. Sarkar,SUCI,,,,,False,21,2014,GE
1722806,Goutam Malakar,IND,19861,420,0.41,9,21,1,AS,Goutam Malakar,IND,,,,,False,21,2014,GE
1722807,Pradip Suklabaidya,IND,19861,390,0.38,10,21,1,AS,Pradip Suklabaidya,IND,,,,,False,21,2014,GE
1722808,Sajalendu Malakar,IND,19861,380,0.37,11,21,1,AS,Sajalendu Malakar,IND,,,,,False,21,2014,GE
1722809,Rinku Malakar,SP,19886,370,0.36,12,21,1,AS,Rinku Malakar,SP,,,,,False,21,2014,GE
1722810,Sabuj Das,IND,19861,307,0.3,13,21,1,AS,Sabuj Das,IND,,,,,False,21,2014,GE
1722811,Sanjit Kumar Das,IND,19861,307,0.3,13,21,1,AS,Sanjit Kumar Das,IND,,,,,False,21,2014,GE
1722812,Pintu Malakar,IND,19861,290,0.29,15,21,1,AS,Pintu Malakar,IND,,,,,False,21,2014,GE
1722813,Mahananda Das,IND,19861,285,0.28,16,21,1,AS,Mahananda Das,IND,,,,,False,21,2014,GE
1722814,Lalit Mohon Suklabaidya,INC,19858,37136,32.64,1,21,2,AS,Lalit Mohon Suklabaidya,INC,,,,,True,21,2014,GE
1722815,Krishna Das,BJP,19872,36194,31.81,2,21,2,AS,Krishna Das,BJP,,,,,False,21,2014,GE
1722816,Radheshyam Biswas,AIUDF,19865,35042,30.8,3,21,2,AS,Radheshyam Biswas,AIUDF,,,,,False,21,2014,GE
1722817,Rabindra Nath Choudhury,AGP,19864,738,0.65,4,21,2,AS,Rabindra Nath Choudhury,AGP,,,,,False,21,2014,GE
1722818,Nota,NOTA,19863,643,0.57,5,21,2,AS,Nota,NOTA,,,,,False,21,2014,GE
1722819,Tarun Kumar Das,AAAP,19879,605,0.53,6,21,2,AS,Tarun Kumar Das,AAAP,,,,,False,21,2014,GE
1722820,Sujit Mallick,IND,19861,510,0.45,7,21,2,AS,Sujit Mallick,IND,,,,,False,21,2014,GE
1722821,Probash Ch. Sarkar,SUCI,19871,460,0.4,8,21,2,AS,Probash Ch. Sarkar,SUCI,,,,,False,21,2014,GE
1722822,Sajalendu Malakar,IND,19861,361,0.32,9,21,2,AS,Sajalendu Malakar,IND,,,,,False,21,2014,GE
1722823,Rinku Malakar,SP,19886,329,0.29,10,21,2,AS,Rinku Malakar,SP,,,,,False,21,2014,GE
1722825,Sanjit Kumar Das,IND,19861,327,0.29,11,21,2,AS,Sanjit Kumar Das,IND,,,,,False,21,2014,GE
1722824,Pradip Suklabaidya,IND,19861,327,0.29,11,21,2,AS,Pradip Suklabaidya,IND,,,,,False,21,2014,GE
1722826,Goutam Malakar,IND,19861,316,0.28,13,21,2,AS,Goutam Malakar,IND,,,,,False,21,2014,GE
1722827,Sabuj Das,IND,19861,294,0.26,14,21,2,AS,Sabuj Das,IND,,,,,False,21,2014,GE
1722828,Mahananda Das,IND,19861,276,0.24,15,21,2,AS,Mahananda Das,IND,,,,,False,21,2014,GE
1722829,Pintu Malakar,IND,19861,231,0.2,16,21,2,AS,Pintu Malakar,IND,,,,,False,21,2014,GE
1722830,Krishna Das,BJP,19872,42912,35.97,1,21,3,AS,Krishna Das,BJP,,,,,False,21,2014,GE
1722831,Radheshyam Biswas,AIUDF,19865,38294,32.1,2,21,3,AS,Radheshyam Biswas,AIUDF,,,,,False,21,2014,GE
1722832,Lalit Mohon Suklabaidya,INC,19858,33163,27.8,3,21,3,AS,Lalit Mohon Suklabaidya,INC,,,,,True,21,2014,GE
1722833,Nota,NOTA,19863,702,0.59,4,21,3,AS,Nota,NOTA,,,,,False,21,2014,GE
1722834,Rabindra Nath Choudhury,AGP,19864,668,0.56,5,21,3,AS,Rabindra Nath Choudhury,AGP,,,,,False,21,2014,GE
1722835,Sujit Mallick,IND,19861,574,0.48,6,21,3,AS,Sujit Mallick,IND,,,,,False,21,2014,GE
1722836,Tarun Kumar Das,AAAP,19879,473,0.4,7,21,3,AS,Tarun Kumar Das,AAAP,,,,,False,21,2014,GE
1722837,Probash Ch. Sarkar,SUCI,19871,426,0.36,8,21,3,AS,Probash Ch. Sarkar,SUCI,,,,,False,21,2014,GE
1722838,Rinku Malakar,SP,19886,349,0.29,9,21,3,AS,Rinku Malakar,SP,,,,,False,21,2014,GE
1722839,Sajalendu Malakar,IND,19861,312,0.26,10,21,3,AS,Sajalendu Malakar,IND,,,,,False,21,2014,GE
1722840,Pradip Suklabaidya,IND,19861,293,0.25,11,21,3,AS,Pradip Suklabaidya,IND,,,,,False,21,2014,GE
1722841,Goutam Malakar,IND,19861,275,0.23,12,21,3,AS,Goutam Malakar,IND,,,,,False,21,2014,GE
1722842,Sanjit Kumar Das,IND,19861,259,0.22,13,21,3,AS,Sanjit Kumar Das,IND,,,,,False,21,2014,GE
1722843,Sabuj Das,IND,19861,227,0.19,14,21,3,AS,Sabuj Das,IND,,,,,False,21,2014,GE
1722844,Pintu Malakar,IND,19861,200,0.17,15,21,3,AS,Pintu Malakar,IND,,,,,False,21,2014,GE
