el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1652599,Amar Kumar Paswan,RJD,18975,82562,48.5205014133839,1,46,91,BR,Amar Kumar Paswan,RJD,,,,,,46,2022,AE-BP
1652600,Baby Kumari,BJP,18964,45909,26.9800598263976,2,46,91,BR,Baby Kumari,BJP,,,,,,46,2022,AE-BP
1652601,Geeta Kumari,VSIP,19040,29279,17.2068477130213,3,46,91,BR,Geeta Kumari,VSIP,,,,,,46,2022,AE-BP
1652602,Nota,NOTA,18971,2967,1.74366327963845,4,46,91,BR,Nota,NOTA,,,,,,46,2022,AE-BP
1652603,Naresh Kumar,IND,18970,1595,0.937358588144029,5,46,91,BR,Naresh Kumar,IND,,,,,,46,2022,AE-BP
1652604,Vijay Kumar Chaudhary,IND,18970,1392,0.818058404198426,6,46,91,BR,Vijay Kumar Chaudhary,IND,,,,,,46,2022,AE-BP
1652605,Tarun Chaudhary,INC,18965,1336,0.785148008627225,7,46,91,BR,Tarun Chaudhary,INC,,,,,,46,2022,AE-BP
1652606,Rajesh Kumar,IND,18970,1317,0.773981981558424,8,46,91,BR,Rajesh Kumar,IND,,,,,,46,2022,AE-BP
1652607,Ramvinay Das,IND,18970,1161,0.682303022467221,9,46,91,BR,Ramvinay Das,IND,,,,,,46,2022,AE-BP
1652608,Vijay Kumar Ram,YKP,19056,784,0.460745537996814,10,46,91,BR,Vijay Kumar Ram,YKP,,,,,,46,2022,AE-BP
1652609,Jaya Mangal Ram,RJBP,19015,699,0.410792259004813,11,46,91,BR,Jaya Mangal Ram,RJBP,,,,,,46,2022,AE-BP
1652610,Rinku Devi,AIMIM,19034,541,0.31793792864321,12,46,91,BR,Rinku Devi,AIMIM,,,,,,46,2022,AE-BP
1652611,Rajgir Paswan,BJKVP,19045,357,0.209803771766406,13,46,91,BR,Rajgir Paswan,BJKVP,,,,,,46,2022,AE-BP
1652612,Rahul Kumar,SAP,19071,260,0.152798265152004,14,46,91,BR,Rahul Kumar,SAP,,,,,,46,2022,AE-BP
1652929,Kedar Prasad Gupta,BJP,18964,76722,42.3840986432138,1,46,93,BR,Kedar Prasad Gupta,BJP,,,,,,46,2022,AE-BP
1652930,Manoj Ku. Singh,JD(U),18966,73073,40.3682547399124,2,46,93,BR,Manoj Ku. Singh,JD(U),,,,,,46,2022,AE-BP
1652931,Nilabh Kumar,VSIP,19040,10000,5.52437353604101,3,46,93,BR,Nilabh Kumar,VSIP,,,,,,46,2022,AE-BP
1652932,Nota,NOTA,18971,4448,2.45724134883104,4,46,93,BR,Nota,NOTA,,,,,,46,2022,AE-BP
1652933,Sanjay Kumar,IND,18970,4250,2.34785875281743,5,46,93,BR,Sanjay Kumar,IND,,,,,,46,2022,AE-BP
1652934,Shekhar Sahani,IND,18970,3716,2.05285720599284,6,46,93,BR,Shekhar Sahani,IND,,,,,,46,2022,AE-BP
1652935,Mohammad Gulam Murtuza,AIMIM,19034,3206,1.77111415565474,7,46,93,BR,Mohammad Gulam Murtuza,AIMIM,,,,,,46,2022,AE-BP
1652936,Kali Kant Jha,SUCI,19137,1245,0.687784505237106,8,46,93,BR,Kali Kant Jha,SUCI,,,,,,46,2022,AE-BP
1652937,Upendra Sahani,RJBP,19015,1090,0.60215671542847,9,46,93,BR,Upendra Sahani,RJBP,,,,,,46,2022,AE-BP
1652938,Sukhdeo Prasad,JANJP,19238,886,0.489459495293233,10,46,93,BR,Sukhdeo Prasad,JANJP,,,,,,46,2022,AE-BP
1652939,Vinod Kumar Ray,IND,18970,833,0.460180315552216,11,46,93,BR,Vinod Kumar Ray,IND,,,,,,46,2022,AE-BP
1652940,Dinesh Kumar Ray,IND,18970,764,0.422062138153533,12,46,93,BR,Dinesh Kumar Ray,IND,,,,,,46,2022,AE-BP
1652941,Alok Kumar Sinh,IND,18970,410,0.226499314977681,13,46,93,BR,Alok Kumar Sinh,IND,,,,,,46,2022,AE-BP
1652942,Sanjay Thakur,AMiP,19130,373,0.206059132894329,14,46,93,BR,Sanjay Thakur,AMiP,,,,,,46,2022,AE-BP
1653941,Kusum Devi,BJP,18964,70053,41.60015677332,1,46,101,BR,Kusum Devi,BJP,,,,,,46,2022,AE-BP
1653942,Mohan Prasad Gupta,RJD,18975,68259,40.5348108031069,2,46,101,BR,Mohan Prasad Gupta,RJD,,,,,,46,2022,AE-BP
1653943,Abdul Salam,AIMIM,19034,12214,7.25314140478396,3,46,101,BR,Abdul Salam,AIMIM,,,,,,46,2022,AE-BP
1653944,Indira Yadav,BSP,18969,8854,5.2578446043849,4,46,101,BR,Indira Yadav,BSP,,,,,,46,2022,AE-BP
1653945,Nota,NOTA,18971,2170,1.28862918359105,5,46,101,BR,Nota,NOTA,,,,,,46,2022,AE-BP
1653946,Sanjay Kumar Prasad,PGSP,19250,1964,1.16629848689992,6,46,101,BR,Sanjay Kumar Prasad,PGSP,,,,,,46,2022,AE-BP
1653947,Jagmohan Mahto,JANJP,19238,1805,1.07187819188104,7,46,101,BR,Jagmohan Mahto,JANJP,,,,,,46,2022,AE-BP
1653948,Vinay Kumar Rai,IND,18970,1593,0.945984465189196,8,46,101,BR,Vinay Kumar Rai,IND,,,,,,46,2022,AE-BP
1653949,Motilal Prasad,BBC,18982,902,0.535642176773795,9,46,101,BR,Motilal Prasad,BBC,,,,,,46,2022,AE-BP
1653950,Pramod Kumar,RJBP,19015,582,0.345613910069122,10,46,101,BR,Pramod Kumar,RJBP,,,,,,46,2022,AE-BP
1662579,Neelam Devi,RJD,18975,79744,53.4362603195025,1,46,178,BR,Neelam Devi,RJD,,,,,,46,2022,AE-BP
1662580,Sonam Devi,BJP,18964,63003,42.2181569636539,2,46,178,BR,Sonam Devi,BJP,,,,,,46,2022,AE-BP
1662581,Nota,NOTA,18971,2470,1.65514098852792,3,46,178,BR,Nota,NOTA,,,,,,46,2022,AE-BP
1662582,Upendra Sahani,RJBP,19015,1709,1.14519674064543,4,46,178,BR,Upendra Sahani,RJBP,,,,,,46,2022,AE-BP
1662583,Sunil Kumar,IND,18970,1133,0.759220542510989,5,46,178,BR,Sunil Kumar,IND,,,,,,46,2022,AE-BP
1662584,Lalu Prasad Yadav,IND,18970,644,0.431542832636431,6,46,178,BR,Lalu Prasad Yadav,IND,,,,,,46,2022,AE-BP
