el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1945814,Surendra Prasad,INC,18965,107730,46.11097795,1,55,1,BR,,,,,,,False,55,2025,AE
1945815,Dhirendra Pratap Singh Alias Rinku Singh,JD(U),26437,106055,45.39403849,2,55,1,BR,,,,,,,True,55,2025,AE
1945816,Nota,NOTA,26438,6400,2.739350774,3,55,1,BR,,,,,,,True,55,2025,AE
1945817,Rameshwar Yadav,BSP,18969,5312,2.273661142,4,55,1,BR,,,,,,,False,55,2025,AE
1945818,Mahmad Jalil,IND,18970,2426,1.038385153,5,55,1,BR,,,,,,,True,55,2025,AE
1945819,Rajesh Sharma,LSMP,19303,2303,0.985738255,6,55,1,BR,,,,,,,False,55,2025,AE
1945820,Surendra Ram,IND,18970,1852,0.7926996302,7,55,1,BR,,,,,,,False,55,2025,AE
1945821,Azharuddin Ansari,IND,18970,1554,0.6651486098,8,55,1,BR,,,,,,,False,55,2025,AE
1945822,Nand Kishor Ram,BJP,18964,115214,54.1269103,1,55,2,BR,,,,,,,False,55,2025,AE
1945823,Subodh Kumar,RJD,18975,79534,37.36464044,2,55,2,BR,,,,,,,False,55,2025,AE
1945824,Pappu Kumar Ranjan,JNSRJP,26444,6992,3.284803555,3,55,2,BR,,,,,,,False,55,2025,AE
1945825,Aaditya Kumar,BSP,18969,2663,1.25106291,4,55,2,BR,,,,,,,False,55,2025,AE
1945826,Santosh Ram,IND,18970,2295,1.078178513,5,55,2,BR,,,,,,,False,55,2025,AE
1945827,Nota,NOTA,26438,2184,1.026031317,6,55,2,BR,,,,,,,True,55,2025,AE
1945828,Angad Ram,IND,18970,1842,0.8653615774,7,55,2,BR,,,,,,,False,55,2025,AE
1945829,Vashishtha Paswan,SBSP,18980,1517,0.7126783458,8,55,2,BR,,,,,,,False,55,2025,AE
1945830,Lalan Paswan,NCP,18990,618,0.2903330374,9,55,2,BR,,,,,,,False,55,2025,AE
1945831,Sanjay Kumar Pandey,BJP,18964,100044,50.86353722,1,55,3,BR,,,,,,,False,55,2025,AE
1945832,Deepak Yadav,RJD,18975,73586,37.41198123,2,55,3,BR,,,,,,,False,55,2025,AE
1945833,Shashwat Kedar,INC,18965,5388,2.739322084,3,55,3,BR,,,,,,,False,55,2025,AE
1945834,Md. Wasiullah,JNSRJP,26444,4238,2.154648662,4,55,3,BR,,,,,,,False,55,2025,AE
1945835,Ishteyak Ahamad,IND,18970,3831,1.947725112,5,55,3,BR,,,,,,,False,55,2025,AE
1945836,Maya Devi,IND,18970,2337,1.188158075,6,55,3,BR,,,,,,,False,55,2025,AE
1945837,Nota,NOTA,26438,2203,1.120030911,7,55,3,BR,,,,,,,True,55,2025,AE
1945838,Dilshad Ahmad,FJP,26447,1238,0.6294136488,8,55,3,BR,,,,,,,False,55,2025,AE
1945839,Rajendra Prasad Yadav,IND,18970,1205,0.6126360637,9,55,3,BR,,,,,,,False,55,2025,AE
1945840,Md Motiur Rahman,BSP,18969,951,0.4834994992,10,55,3,BR,,,,,,,False,55,2025,AE
1945841,Sameer Sunu,IND,18970,703,0.3574134048,11,55,3,BR,,,,,,,False,55,2025,AE
1945842,Dhrup Ram,IND,18970,676,0.3436862897,12,55,3,BR,,,,,,,False,55,2025,AE
1945843,Mohammad Rashid Azim,NCP,18990,291,0.1479477963,13,55,3,BR,,,,,,,True,55,2025,AE
1945844,Ram Singh,BJP,18964,106875,47.38795382,1,55,4,BR,,,,,,,True,55,2025,AE
1945845,Jayesh Mangalam Singh,INC,18965,100562,44.58879449,2,55,4,BR,,,,,,,False,55,2025,AE
1945846,Nandesh Pandey Urf Chunnu Pandey,JNSRJP,26444,5799,2.571253747,3,55,4,BR,,,,,,,False,55,2025,AE
1945847,Dinesh Agrawal,IND,18970,4239,1.879555895,4,55,4,BR,,,,,,,False,55,2025,AE
1945848,Nota,NOTA,26438,3259,1.445027757,5,55,4,BR,,,,,,,True,55,2025,AE
1945849,Mahfooz Alam,ASPKR,26448,2659,1.178990121,6,55,4,BR,,,,,,,False,55,2025,AE
1945850,Rahul Tiwari,RTORP,19184,1111,0.4926130217,7,55,4,BR,,,,,,,False,55,2025,AE
1945851,Shailesh Kumar Chaudhary,BJNJGD,26450,1028,0.4558111488,8,55,4,BR,,,,,,,False,55,2025,AE
1945852,Vinay Bihari,BJP,18964,96510,50.35821067,1,55,5,BR,,,,,,,True,55,2025,AE
1945853,Ran Kaushal Pratap Singh,VSIP,19040,69544,36.28754951,2,55,5,BR,,,,,,,False,55,2025,AE
1945854,Sunil Kumar,JNSRJP,26444,15722,8.203624372,3,55,5,BR,,,,,,,False,55,2025,AE
