el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1642993,Sunil Kumar,JD(U),18966,78251,40.1476594085414,1,41,1,BR,Sunil Kumar,JD(U),,,,,,41,2020,GE-BP
1642994,Pravesh Kumar Mishra,INC,18965,59852,30.7078211258645,2,41,1,BR,Pravesh Kumar Mishra,INC,,,,,,41,2020,GE-BP
1642995,Shailendra Kumar,BYPP,18998,22302,11.4423215055308,3,41,1,BR,Shailendra Kumar,BYPP,,,,,,41,2020,GE-BP
1642996,Prem Kumar Chowdhary,RLSP,18999,13343,6.84579391302563,4,41,1,BR,Prem Kumar Chowdhary,RLSP,,,,,,41,2020,GE-BP
1642997,Nota,NOTA,18971,9021,4.62833747203808,5,41,1,BR,Nota,NOTA,,,,,,41,2020,GE-BP
1642998,Ankur Sharma,IND,18970,4691,2.40677653046565,6,41,1,BR,Ankur Sharma,IND,,,,,,41,2020,GE-BP
1642999,Dhiraj Kumar,JAC,19000,4539,2.32879101935272,7,41,1,BR,Dhiraj Kumar,JAC,,,,,,41,2020,GE-BP
1643000,Lokesh Patel,IND,18970,2909,1.49249902518111,8,41,1,BR,Lokesh Patel,IND,,,,,,41,2020,GE-BP
1643096,Pravesh Kumar Mishra,INC,18965,66718,35.0787349825179,1,41,2,BR,Pravesh Kumar Mishra,INC,,,,,,41,2020,GE-BP
1643097,Sunil Kumar,JD(U),18966,51133,26.884513262704,2,41,2,BR,Sunil Kumar,JD(U),,,,,,41,2020,GE-BP
1643098,Shailendra Kumar,BYPP,18998,44675,23.4890507111122,3,41,2,BR,Shailendra Kumar,BYPP,,,,,,41,2020,GE-BP
1643099,Prem Kumar Chowdhary,RLSP,18999,6526,3.43121533163332,4,41,2,BR,Prem Kumar Chowdhary,RLSP,,,,,,41,2020,GE-BP
1643100,Nota,NOTA,18971,6427,3.37916349010226,5,41,2,BR,Nota,NOTA,,,,,,41,2020,GE-BP
1643101,Ankur Sharma,IND,18970,5920,3.11259496832198,6,41,2,BR,Ankur Sharma,IND,,,,,,41,2020,GE-BP
1643102,Dhiraj Kumar,JAC,19000,4758,2.50164305055337,7,41,2,BR,Dhiraj Kumar,JAC,,,,,,41,2020,GE-BP
1643103,Lokesh Patel,IND,18970,4038,2.12308420305475,8,41,2,BR,Lokesh Patel,IND,,,,,,41,2020,GE-BP
1643213,Pravesh Kumar Mishra,INC,18965,67179,41.0075631329316,1,41,3,BR,Pravesh Kumar Mishra,INC,,,,,,41,2020,GE-BP
1643214,Sunil Kumar,JD(U),18966,58405,35.6517174232851,2,41,3,BR,Sunil Kumar,JD(U),,,,,,41,2020,GE-BP
1643215,Shailendra Kumar,BYPP,18998,14293,8.72476666605624,3,41,3,BR,Shailendra Kumar,BYPP,,,,,,41,2020,GE-BP
1643216,Prem Kumar Chowdhary,RLSP,18999,7058,4.30836095494472,4,41,3,BR,Prem Kumar Chowdhary,RLSP,,,,,,41,2020,GE-BP
1643217,Dhiraj Kumar,JAC,19000,6692,4.08494637439644,5,41,3,BR,Dhiraj Kumar,JAC,,,,,,41,2020,GE-BP
1643218,Nota,NOTA,18971,4539,2.77070705220942,6,41,3,BR,Nota,NOTA,,,,,,41,2020,GE-BP
1643219,Ankur Sharma,IND,18970,3745,2.28603170533692,7,41,3,BR,Ankur Sharma,IND,,,,,,41,2020,GE-BP
1643220,Lokesh Patel,IND,18970,1910,1.16590669083939,8,41,3,BR,Lokesh Patel,IND,,,,,,41,2020,GE-BP
1643334,Sunil Kumar,JD(U),18966,77519,42.8383538630724,1,41,4,BR,Sunil Kumar,JD(U),,,,,,41,2020,GE-BP
1643335,Pravesh Kumar Mishra,INC,18965,71048,39.2623661974944,2,41,4,BR,Pravesh Kumar Mishra,INC,,,,,,41,2020,GE-BP
1643336,Prem Kumar Chowdhary,RLSP,18999,10070,5.56485794967865,3,41,4,BR,Prem Kumar Chowdhary,RLSP,,,,,,41,2020,GE-BP
1643337,Nota,NOTA,18971,6523,3.60472377415629,4,41,4,BR,Nota,NOTA,,,,,,41,2020,GE-BP
1643338,Dhiraj Kumar,JAC,19000,4907,2.71169393833894,5,41,4,BR,Dhiraj Kumar,JAC,,,,,,41,2020,GE-BP
1643339,Shailendra Kumar,BYPP,18998,4890,2.70229944130373,6,41,4,BR,Shailendra Kumar,BYPP,,,,,,41,2020,GE-BP
