el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1642911,Sunil Kumar,JD(U),18966,97782,48.1967261596699,1,53,1,BR,Sunil Kumar,JD(U),,,,,True,53,2024,GE
1642912,Deepak Yadav,RJD,18975,70953,34.9727179972496,2,53,1,BR,Deepak Yadav,RJD,,,,,False,53,2024,GE
1642913,Durgesh Singh Chauhan,BSP,18969,6264,3.08752421370162,3,53,1,BR,Durgesh Singh Chauhan,BSP,,,,,False,53,2024,GE
1642914,Nota,NOTA,18971,5935,2.92536018651327,4,53,1,BR,Nota,NOTA,,,,,False,53,2024,GE
1642915,Pravesh Kumar Mishra Anup,IND,18970,4483,2.2096697078583,5,53,1,BR,Pravesh Kumar Mishra Anup,IND,,,,,False,53,2024,GE
1642916,Dinesh Agrawal,IND,18970,4430,2.18354601958783,6,53,1,BR,Dinesh Agrawal,IND,,,,,False,53,2024,GE
1642917,Chandreshwar Mishra,IND,18970,2985,1.47130583938367,7,53,1,BR,Chandreshwar Mishra,IND,,,,,False,53,2024,GE
1642918,Naba Kumar Sarania (Hira Bhai),GNASURKP,18976,2891,1.424973260187,8,53,1,BR,Naba Kumar Sarania (Hira Bhai),GNASURKP,,,,,False,53,2024,GE
1642919,Parshuram Sah,IND,18970,2587,1.27513172746585,9,53,1,BR,Parshuram Sah,IND,,,,,False,53,2024,GE
1642920,Shafi Mohammad Miya,ASPKR,18977,2308,1.1376126892119,10,53,1,BR,Shafi Mohammad Miya,ASPKR,,,,,False,53,2024,GE
1642921,Shambhu Prasad,IND,18970,2263,1.11543219917094,11,53,1,BR,Shambhu Prasad,IND,,,,,False,53,2024,GE
1643016,Sunil Kumar,JD(U),18966,97695,49.2364680979739,1,53,2,BR,Sunil Kumar,JD(U),,,,,True,53,2024,GE
1643017,Deepak Yadav,RJD,18975,73390,36.9871988710815,2,53,2,BR,Deepak Yadav,RJD,,,,,False,53,2024,GE
1643018,Nota,NOTA,18971,5400,2.72149984880556,3,53,2,BR,Nota,NOTA,,,,,False,53,2024,GE
1643019,Pravesh Kumar Mishra Anup,IND,18970,4259,2.14645701038201,4,53,2,BR,Pravesh Kumar Mishra Anup,IND,,,,,False,53,2024,GE
1643020,Dinesh Agrawal,IND,18970,3852,1.94133655881463,5,53,2,BR,Dinesh Agrawal,IND,,,,,False,53,2024,GE
1643021,Durgesh Singh Chauhan,BSP,18969,2748,1.38494103416994,6,53,2,BR,Durgesh Singh Chauhan,BSP,,,,,False,53,2024,GE
1643022,Shafi Mohammad Miya,ASPKR,18977,2493,1.2564257635319,7,53,2,BR,Shafi Mohammad Miya,ASPKR,,,,,False,53,2024,GE
1643023,Chandreshwar Mishra,IND,18970,2436,1.22769882068339,8,53,2,BR,Chandreshwar Mishra,IND,,,,,False,53,2024,GE
1643024,Parshuram Sah,IND,18970,2160,1.08859993952222,9,53,2,BR,Parshuram Sah,IND,,,,,False,53,2024,GE
1643025,Naba Kumar Sarania (Hira Bhai),GNASURKP,18976,2054,1.03517790545307,10,53,2,BR,Naba Kumar Sarania (Hira Bhai),GNASURKP,,,,,False,53,2024,GE
1643026,Shambhu Prasad,IND,18970,1933,0.974196149581695,11,53,2,BR,Shambhu Prasad,IND,,,,,False,53,2024,GE
1643119,Sunil Kumar,JD(U),18966,76198,45.7582436059883,1,53,3,BR,Sunil Kumar,JD(U),,,,,True,53,2024,GE
1643120,Deepak Yadav,RJD,18975,69163,41.5336019648937,2,53,3,BR,Deepak Yadav,RJD,,,,,False,53,2024,GE
1643121,Nota,NOTA,18971,4259,2.55760465521279,3,53,3,BR,Nota,NOTA,,,,,False,53,2024,GE
1643122,Pravesh Kumar Mishra Anup,IND,18970,3336,2.00332686776,4,53,3,BR,Pravesh Kumar Mishra Anup,IND,,,,,False,53,2024,GE
1643123,Dinesh Agrawal,IND,18970,2435,1.46226046852386,5,53,3,BR,Dinesh Agrawal,IND,,,,,False,53,2024,GE
1643124,Shafi Mohammad Miya,ASPKR,18977,2244,1.34756159809756,6,53,3,BR,Shafi Mohammad Miya,ASPKR,,,,,False,53,2024,GE
1643125,Chandreshwar Mishra,IND,18970,2088,1.25388084528863,7,53,3,BR,Chandreshwar Mishra,IND,,,,,False,53,2024,GE
1643126,Durgesh Singh Chauhan,BSP,18969,2009,1.20643995123796,8,53,3,BR,Durgesh Singh Chauhan,BSP,,,,,False,53,2024,GE
1643127,Parshuram Sah,IND,18970,1709,1.02628465737465,9,53,3,BR,Parshuram Sah,IND,,,,,False,53,2024,GE
1643128,Shambhu Prasad,IND,18970,1656,0.994457222125472,10,53,3,BR,Shambhu Prasad,IND,,,,,False,53,2024,GE
1643129,Naba Kumar Sarania (Hira Bhai),GNASURKP,18976,1426,0.856338163496934,11,53,3,BR,Naba Kumar Sarania (Hira Bhai),GNASURKP,,,,,False,53,2024,GE
1643246,Sunil Kumar,JD(U),18966,88762,46.0013992899898,1,53,4,BR,Sunil Kumar,JD(U),,,,,True,53,2024,GE
1643247,Deepak Yadav,RJD,18975,75317,39.0334533958695,2,53,4,BR,Deepak Yadav,RJD,,,,,False,53,2024,GE
1643248,Nota,NOTA,18971,5726,2.96753128967894,3,53,4,BR,Nota,NOTA,,,,,False,53,2024,GE
1643249,Dinesh Agrawal,IND,18970,4028,2.08753336270114,4,53,4,BR,Dinesh Agrawal,IND,,,,,False,53,2024,GE
1643250,Pravesh Kumar Mishra Anup,IND,18970,3902,2.02223316317276,5,53,4,BR,Pravesh Kumar Mishra Anup,IND,,,,,False,53,2024,GE
1643251,Durgesh Singh Chauhan,BSP,18969,3762,1.94967738591899,6,53,4,BR,Durgesh Singh Chauhan,BSP,,,,,False,53,2024,GE
1643252,Shafi Mohammad Miya,ASPKR,18977,3308,1.71438936539607,7,53,4,BR,Shafi Mohammad Miya,ASPKR,,,,,False,53,2024,GE
1643253,Chandreshwar Mishra,IND,18970,2215,1.1479360472649,8,53,4,BR,Chandreshwar Mishra,IND,,,,,False,53,2024,GE
1643254,Parshuram Sah,IND,18970,2144,1.11113990308621,9,53,4,BR,Parshuram Sah,IND,,,,,False,53,2024,GE
1643255,Shambhu Prasad,IND,18970,1915,0.992459381721126,10,53,4,BR,Shambhu Prasad,IND,,,,,False,53,2024,GE
1643256,Naba Kumar Sarania (Hira Bhai),GNASURKP,18976,1876,0.972247415200435,11,53,4,BR,Naba Kumar Sarania (Hira Bhai),GNASURKP,,,,,False,53,2024,GE
1643357,Sunil Kumar,JD(U),18966,79967,49.3276336405245,1,53,5,BR,Sunil Kumar,JD(U),,,,,True,53,2024,GE
1643358,Deepak Yadav,RJD,18975,60594,37.3774010881231,2,53,5,BR,Deepak Yadav,RJD,,,,,False,53,2024,GE
1643359,Nota,NOTA,18971,4535,2.79741416534043,3,53,5,BR,Nota,NOTA,,,,,False,53,2024,GE
1643360,Pravesh Kumar Mishra Anup,IND,18970,3976,2.45259508740762,4,53,5,BR,Pravesh Kumar Mishra Anup,IND,,,,,False,53,2024,GE
1643361,Dinesh Agrawal,IND,18970,2721,1.67844849920426,5,53,5,BR,Dinesh Agrawal,IND,,,,,False,53,2024,GE
1643362,Durgesh Singh Chauhan,BSP,18969,2260,1.39408070863713,6,53,5,BR,Durgesh Singh Chauhan,BSP,,,,,False,53,2024,GE
1643363,Chandreshwar Mishra,IND,18970,1904,1.17448215453322,7,53,5,BR,Chandreshwar Mishra,IND,,,,,False,53,2024,GE
1643364,Parshuram Sah,IND,18970,1712,1.05604697928618,8,53,5,BR,Parshuram Sah,IND,,,,,False,53,2024,GE
1643365,Shafi Mohammad Miya,ASPKR,18977,1558,0.961052099140111,9,53,5,BR,Shafi Mohammad Miya,ASPKR,,,,,False,53,2024,GE
1643366,Naba Kumar Sarania (Hira Bhai),GNASURKP,18976,1523,0.939462353652368,10,53,5,BR,Naba Kumar Sarania (Hira Bhai),GNASURKP,,,,,False,53,2024,GE
1643367,Shambhu Prasad,IND,18970,1364,0.841383224150906,11,53,5,BR,Shambhu Prasad,IND,,,,,False,53,2024,GE
1643454,Dr.Sanjay Jaiswal,BJP,18964,95811,53.4656614639427,1,53,6,BR,Dr.Sanjay Jaiswal,BJP,,,,,True,53,2024,GE
1643455,Madan Mohan Tiwari,INC,18965,71216,39.7408496604371,2,53,6,BR,Madan Mohan Tiwari,INC,,,,,False,53,2024,GE
1643456,Sanjay Kumar,VKVIP,19022,2501,1.39563953326153,3,53,6,BR,Sanjay Kumar,VKVIP,,,,,False,53,2024,GE
1643457,Upendra Ram,BSP,18969,2228,1.24329663338932,4,53,6,BR,Upendra Ram,BSP,,,,,False,53,2024,GE
1643458,Nota,NOTA,18971,2182,1.21762713377715,5,53,6,BR,Nota,NOTA,,,,,False,53,2024,GE
1643459,Mohammad Soaib,IND,18970,1846,1.03012818008828,6,53,6,BR,Mohammad Soaib,IND,,,,,False,53,2024,GE
1643460,Raushan Kumar Shrivastava,IND,18970,1682,0.938610833644901,7,53,6,BR,Raushan Kumar Shrivastava,IND,,,,,False,53,2024,GE
1643461,Md. Kalam Sai,IND,18970,931,0.519528350846256,8,53,6,BR,Md. Kalam Sai,IND,,,,,False,53,2024,GE
1643462,Nafish Ahmad,IND,18970,804,0.448658210612663,9,53,6,BR,Nafish Ahmad,IND,,,,,False,53,2024,GE
1643545,Dr.Sanjay Jaiswal,BJP,18964,97948,53.596130274908,1,53,7,BR,Dr.Sanjay Jaiswal,BJP,,,,,True,53,2024,GE
1643546,Madan Mohan Tiwari,INC,18965,73857,40.4137848012607,2,53,7,BR,Madan Mohan Tiwari,INC,,,,,False,53,2024,GE
1643547,Sanjay Kumar,VKVIP,19022,2358,1.29027315706531,3,53,7,BR,Sanjay Kumar,VKVIP,,,,,False,53,2024,GE
1643548,Nota,NOTA,18971,2013,1.10149273332165,4,53,7,BR,Nota,NOTA,,,,,False,53,2024,GE
1643549,Upendra Ram,BSP,18969,2001,1.09492645771318,5,53,7,BR,Upendra Ram,BSP,,,,,False,53,2024,GE
1643550,Raushan Kumar Shrivastava,IND,18970,1485,0.812576606548765,6,53,7,BR,Raushan Kumar Shrivastava,IND,,,,,False,53,2024,GE
1643551,Mohammad Soaib,IND,18970,1471,0.804915951672211,7,53,7,BR,Mohammad Soaib,IND,,,,,False,53,2024,GE
1643552,Md. Kalam Sai,IND,18970,852,0.466205568201715,8,53,7,BR,Md. Kalam Sai,IND,,,,,False,53,2024,GE
1643553,Nafish Ahmad,IND,18970,767,0.419694449308352,9,53,7,BR,Nafish Ahmad,IND,,,,,False,53,2024,GE
1643631,Dr.Sanjay Jaiswal,BJP,18964,92356,53.7788310924516,1,53,8,BR,Dr.Sanjay Jaiswal,BJP,,,,,True,53,2024,GE
1643632,Madan Mohan Tiwari,INC,18965,71687,41.7432875452009,2,53,8,BR,Madan Mohan Tiwari,INC,,,,,False,53,2024,GE
1643633,Sanjay Kumar,VKVIP,19022,1621,0.943907111620946,3,53,8,BR,Sanjay Kumar,VKVIP,,,,,False,53,2024,GE
1643634,Nota,NOTA,18971,1506,0.876942695929145,4,53,8,BR,Nota,NOTA,,,,,False,53,2024,GE
1643635,Upendra Ram,BSP,18969,1497,0.871702002527178,5,53,8,BR,Upendra Ram,BSP,,,,,False,53,2024,GE
1643636,Mohammad Soaib,IND,18970,1047,0.609667332428828,6,53,8,BR,Mohammad Soaib,IND,,,,,False,53,2024,GE
1643637,Raushan Kumar Shrivastava,IND,18970,1022,0.595109850756697,7,53,8,BR,Raushan Kumar Shrivastava,IND,,,,,False,53,2024,GE
1643638,Md. Kalam Sai,IND,18970,550,0.320264596786872,8,53,8,BR,Md. Kalam Sai,IND,,,,,False,53,2024,GE
1643639,Nafish Ahmad,IND,18970,447,0.260287772297694,9,53,8,BR,Nafish Ahmad,IND,,,,,False,53,2024,GE
1643722,Sunil Kumar,JD(U),18966,82091,46.6415536010545,1,53,9,BR,Sunil Kumar,JD(U),,,,,True,53,2024,GE
1643723,Deepak Yadav,RJD,18975,73542,41.7842776300538,2,53,9,BR,Deepak Yadav,RJD,,,,,False,53,2024,GE
1643724,Nota,NOTA,18971,4818,2.73743778550487,3,53,9,BR,Nota,NOTA,,,,,False,53,2024,GE
1643725,Pravesh Kumar Mishra Anup,IND,18970,3239,1.84029908411172,4,53,9,BR,Pravesh Kumar Mishra Anup,IND,,,,,False,53,2024,GE
1643726,Dinesh Agrawal,IND,18970,2321,1.31872002909024,5,53,9,BR,Dinesh Agrawal,IND,,,,,False,53,2024,GE
1643727,Chandreshwar Mishra,IND,18970,1962,1.11474739210472,6,53,9,BR,Chandreshwar Mishra,IND,,,,,False,53,2024,GE
1643728,Parshuram Sah,IND,18970,1830,1.03974909661144,7,53,9,BR,Parshuram Sah,IND,,,,,False,53,2024,GE
1643729,Durgesh Singh Chauhan,BSP,18969,1696,0.963614463307652,8,53,9,BR,Durgesh Singh Chauhan,BSP,,,,,False,53,2024,GE
1643730,Naba Kumar Sarania (Hira Bhai),GNASURKP,18976,1650,0.937478693666053,9,53,9,BR,Naba Kumar Sarania (Hira Bhai),GNASURKP,,,,,False,53,2024,GE
1643731,Shafi Mohammad Miya,ASPKR,18977,1508,0.856798709120247,10,53,9,BR,Shafi Mohammad Miya,ASPKR,,,,,False,53,2024,GE
1643732,Shambhu Prasad,IND,18970,1347,0.76532351537465,11,53,9,BR,Shambhu Prasad,IND,,,,,False,53,2024,GE
1643832,Dr.Sanjay Jaiswal,BJP,18964,102662,55.3914718434867,1,53,10,BR,Dr.Sanjay Jaiswal,BJP,,,,,True,53,2024,GE
1643833,Madan Mohan Tiwari,INC,18965,72914,39.3408834621962,2,53,10,BR,Madan Mohan Tiwari,INC,,,,,False,53,2024,GE
1643834,Sanjay Kumar,VKVIP,19022,2269,1.22424314364488,3,53,10,BR,Sanjay Kumar,VKVIP,,,,,False,53,2024,GE
1643835,Nota,NOTA,18971,1843,0.994394056296839,4,53,10,BR,Nota,NOTA,,,,,False,53,2024,GE
1643836,Upendra Ram,BSP,18969,1502,0.810406876048753,5,53,10,BR,Upendra Ram,BSP,,,,,False,53,2024,GE
1643837,Mohammad Soaib,IND,18970,1316,0.71005023227707,6,53,10,BR,Mohammad Soaib,IND,,,,,False,53,2024,GE
1643838,Raushan Kumar Shrivastava,IND,18970,1302,0.702496506401782,7,53,10,BR,Raushan Kumar Shrivastava,IND,,,,,False,53,2024,GE
1643839,Md. Kalam Sai,IND,18970,855,0.461316830240801,8,53,10,BR,Md. Kalam Sai,IND,,,,,False,53,2024,GE
1643840,Nafish Ahmad,IND,18970,676,0.364737049406762,9,53,10,BR,Nafish Ahmad,IND,,,,,False,53,2024,GE
1643907,Dr.Sanjay Jaiswal,BJP,18964,99592,56.5301546757485,1,53,11,BR,Dr.Sanjay Jaiswal,BJP,,,,,True,53,2024,GE
1643908,Madan Mohan Tiwari,INC,18965,67202,38.1450262523059,2,53,11,BR,Madan Mohan Tiwari,INC,,,,,False,53,2024,GE
1643909,Sanjay Kumar,VKVIP,19022,2099,1.19142897686958,3,53,11,BR,Sanjay Kumar,VKVIP,,,,,False,53,2024,GE
1643910,Nota,NOTA,18971,1611,0.914431673052362,4,53,11,BR,Nota,NOTA,,,,,False,53,2024,GE
1643911,Mohammad Soaib,IND,18970,1570,0.891159358592308,5,53,11,BR,Mohammad Soaib,IND,,,,,False,53,2024,GE
1643912,Upendra Ram,BSP,18969,1488,0.8446147296722,6,53,11,BR,Upendra Ram,BSP,,,,,False,53,2024,GE
1643913,Raushan Kumar Shrivastava,IND,18970,1227,0.696466581524052,7,53,11,BR,Raushan Kumar Shrivastava,IND,,,,,False,53,2024,GE
1643914,Md. Kalam Sai,IND,18970,717,0.406981694338016,8,53,11,BR,Md. Kalam Sai,IND,,,,,False,53,2024,GE
1643915,Nafish Ahmad,IND,18970,669,0.379736057896977,9,53,11,BR,Nafish Ahmad,IND,,,,,False,53,2024,GE
