el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1880392,PAWAN KUMAR BANSAL,INC,24395,36547,51.99,1,6,1,CG,PAWAN KUMAR BANSAL,INC,,,,,False,6,2009,GE
1880393,SATYA PAL JAIN,BJP,24396,22351,31.79,2,6,1,CG,SATYA PAL JAIN,BJP,,,,,False,6,2009,GE
1880394,HARMOHAN DHAWAN,BSP,24397,9629,13.7,3,6,1,CG,HARMOHAN DHAWAN,BSP,,,,,False,6,2009,GE
1880395,HAFFIZ ANWAR UL HAQ,RJD,24428,734,1.04,4,6,1,CG,HAFFIZ ANWAR UL HAQ,RJD,,,,,False,6,2009,GE
1880396,S K SURI,IND,24399,447,0.64,5,6,1,CG,S K SURI,IND,,,,,False,6,2009,GE
1880397,MAYA DEVI,IND,24399,119,0.17,6,6,1,CG,MAYA DEVI,IND,,,,,False,6,2009,GE
1880398,RAM PAL HANS,IND,24399,105,0.15,7,6,1,CG,RAM PAL HANS,IND,,,,,False,6,2009,GE
1880401,AJAY GOYAL,IND,24399,102,0.15,8,6,1,CG,AJAY GOYAL,IND,,,,,False,6,2009,GE
1880399,GOSWAMI VISHWA BHUSHAN BHARTI,JD(U),24427,68,0.1,9,6,1,CG,GOSWAMI VISHWA BHUSHAN BHARTI,JD(U),,,,,False,6,2009,GE
1880402,KHEM LAL BANSAL,IND,24399,57,0.08,10,6,1,CG,KHEM LAL BANSAL,IND,,,,,False,6,2009,GE
1880400,DES RAJ,IND,24399,44,0.06,11,6,1,CG,DES RAJ,IND,,,,,False,6,2009,GE
1880404,KAFIL AHMAD,IND,24399,37,0.05,12,6,1,CG,KAFIL AHMAD,IND,,,,,False,6,2009,GE
1880405,DARSHAN SINGH,IND,24399,32,0.05,13,6,1,CG,DARSHAN SINGH,IND,,,,,False,6,2009,GE
1880403,PARAS NATH,AD,24429,29,0.04,14,6,1,CG,PARAS NATH,AD,,,,,False,6,2009,GE
2000944,PAWAN KUMAR BANSAL,INC,24395,39661,41.68,1,6,2,CG,PAWAN KUMAR BANSAL,INC,,,,,,6,2009,GE
2000945,SATYA PAL JAIN,BJP,24396,26967,28.34,2,6,2,CG,SATYA PAL JAIN,BJP,,,,,,6,2009,GE
2000946,HARMOHAN DHAWAN,BSP,24397,20893,21.96,3,6,2,CG,HARMOHAN DHAWAN,BSP,,,,,,6,2009,GE
2000947,HAFFIZ ANWAR UL HAQ,RJD,24428,5014,5.27,4,6,2,CG,HAFFIZ ANWAR UL HAQ,RJD,,,,,,6,2009,GE
2000948,S K SURI,IND,24399,1000,1.05,5,6,2,CG,S K SURI,IND,,,,,,6,2009,GE
