el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1839683,Yashoda Nilamber Verma,INC,23847,87879,52.9707476145412,1,46,73,CT,Yashoda Nilamber Verma,INC,,,,,,46,2022,AE-BP
1839684,Komal Janghel,BJP,23846,67703,40.8092778223157,2,46,73,CT,Komal Janghel,BJP,,,,,,46,2022,AE-BP
1839685,None Of The Above,NOTA,23852,2616,1.57684402143446,3,46,73,CT,None Of The Above,NOTA,,,,,,46,2022,AE-BP
1839686,Churan (Viplav Sahu),FDLP,23971,2412,1.4538791206804,4,46,73,CT,Churan (Viplav Sahu),FDLP,,,,,,46,2022,AE-BP
1839687,Nitin Kumar Bhandekar,IND,23849,1413,0.851712768458297,5,46,73,CT,Nitin Kumar Bhandekar,IND,,,,,,46,2022,AE-BP
1839688,Narendra Soni,JCCJ,23873,1222,0.736583866281698,6,46,73,CT,Narendra Soni,JCCJ,,,,,,46,2022,AE-BP
1839689,Sadhuram Dhurve,IND,23849,642,0.386977775902496,7,46,73,CT,Sadhuram Dhurve,IND,,,,,,46,2022,AE-BP
1839690,Santoshi Pradhan,GGP,23848,590,0.355633781592636,8,46,73,CT,Santoshi Pradhan,GGP,,,,,,46,2022,AE-BP
1839691,Aruna Banafar,IND,23849,564,0.339961784437706,9,46,73,CT,Aruna Banafar,IND,,,,,,46,2022,AE-BP
1839692,Mohan Bharati,RJsbhP,23864,474,0.285712563516796,10,46,73,CT,Mohan Bharati,RJsbhP,,,,,,46,2022,AE-BP
1839693,Dhalchand Sahu,APoI,23853,386,0.232668880838572,11,46,73,CT,Dhalchand Sahu,APoI,,,,,,46,2022,AE-BP
1840409,Savitri Manoj Mandavi,INC,23847,65479,44.8753709402178,1,46,80,CT,Savitri Manoj Mandavi,INC,,,,,,46,2022,AE-BP
1840410,Bramhanand Netam,BJP,23846,44308,30.3660400375566,2,46,80,CT,Bramhanand Netam,BJP,,,,,,46,2022,AE-BP
1840411,Akbar Ram Korram,IND,23849,23417,16.0486043053052,3,46,80,CT,Akbar Ram Korram,IND,,,,,,46,2022,AE-BP
1840412,None Of The Above,NOTA,23852,4251,2.91337989075682,4,46,80,CT,None Of The Above,NOTA,,,,,,46,2022,AE-BP
1840413,Dinesh Kumar Kallo,IND,23849,3851,2.63924393302858,5,46,80,CT,Dinesh Kumar Kallo,IND,,,,,,46,2022,AE-BP
1840414,Ghanshyam Jurri,GGP,23848,2485,1.70306963738666,6,46,80,CT,Ghanshyam Jurri,GGP,,,,,,46,2022,AE-BP
1840415,Shivlal Pudo,APoI,23853,1309,0.89710992166565,7,46,80,CT,Shivlal Pudo,APoI,,,,,,46,2022,AE-BP
1840416,Diamond Netam,RJsbhP,23864,813,0.557181334082638,8,46,80,CT,Diamond Netam,RJsbhP,,,,,,46,2022,AE-BP
