el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1829761,Renuka Singh Saruta,BJP,23846,55809,37.5368245470076,1,48,1,CT,Renuka Singh Saruta,BJP,,,,,False,48,2023,AE
1829762,Gulab Kamro,INC,23847,50890,34.2283323692812,2,48,1,CT,Gulab Kamro,INC,,,,,True,48,2023,AE
1829763,Shyam Singh Markam,GGP,23848,33863,22.7760663985256,3,48,1,CT,Shyam Singh Markam,GGP,,,,,True,48,2023,AE
1829764,Nota,NOTA,23852,2573,1.730585560742,4,48,1,CT,Nota,NOTA,,,,,False,48,2023,AE
1829765,Lalla Baiga,GNASURKP,23872,1264,0.850159404888416,5,48,1,CT,Lalla Baiga,GNASURKP,,,,,False,48,2023,AE
1829766,Sukhmanti Singh,JCCJ,23873,1133,0.762049529856468,6,48,1,CT,Sukhmanti Singh,JCCJ,,,,,False,48,2023,AE
1829767,Shubh Sharan Singh,IND,23849,1042,0.700843433460229,7,48,1,CT,Shubh Sharan Singh,IND,,,,,False,48,2023,AE
1829768,Shimla Cherwa,IND,23849,981,0.659815171040772,8,48,1,CT,Shimla Cherwa,IND,,,,,False,48,2023,AE
1829769,Santoshi,chp,23854,654,0.439876780693848,9,48,1,CT,Santoshi,chp,,,,,False,48,2023,AE
1829770,Phoolmati Gond Karia Lathi Bahan Ji,SP,23858,469,0.315446804503692,10,48,1,CT,Phoolmati Gond Karia Lathi Bahan Ji,SP,,,,,False,48,2023,AE
1829892,Shyam Bihari Jaiswal,BJP,23846,48503,48.1878514515071,1,48,2,CT,Shyam Bihari Jaiswal,BJP,,,,,True,48,2023,AE
1829893,Ramesh Singh Vakil,INC,23847,36623,36.3850418264549,2,48,2,CT,Ramesh Singh Vakil,INC,,,,,False,48,2023,AE
1829894,Shekh Ismail,GGP,23848,10411,10.3433544618196,3,48,2,CT,Shekh Ismail,GGP,,,,,False,48,2023,AE
1829895,Aditya Raj (david Bhaiya),JCCJ,23873,1519,1.50913028791702,4,48,2,CT,Aditya Raj (david Bhaiya),JCCJ,,,,,False,48,2023,AE
1829896,Nota,NOTA,23852,1308,1.29950126174816,5,48,2,CT,Nota,NOTA,,,,,False,48,2023,AE
1829897,Sunita Verma,IND,23849,595,0.591133983746299,6,48,2,CT,Sunita Verma,IND,,,,,False,48,2023,AE
1829898,Ayodhya Prasad Virgath,chp,23854,564,0.56033540644187,7,48,2,CT,Ayodhya Prasad Virgath,chp,,,,,False,48,2023,AE
1829899,Mahesh Prasad,BSCP,23859,536,0.532517336618514,8,48,2,CT,Mahesh Prasad,BSCP,,,,,False,48,2023,AE
1829900,Aruna Panika,GNASURKP,23872,342,0.33977785284241,9,48,2,CT,Aruna Panika,GNASURKP,,,,,False,48,2023,AE
1829901,Omprakash Ahirvar,PPID,23882,253,0.251356130903888,10,48,2,CT,Omprakash Ahirvar,PPID,,,,,False,48,2023,AE
1830018,Bhaiya Lal Rajwade,BJP,23846,66866,48.2069989762519,1,48,3,CT,Bhaiya Lal Rajwade,BJP,,,,,True,48,2023,AE
1830019,Ambica Singhdeo,INC,23847,41453,29.8855132438394,2,48,3,CT,Ambica Singhdeo,INC,,,,,False,48,2023,AE
1830020,Engineer Sanjay Singh Kamro,GGP,23848,23288,16.7894683719521,3,48,3,CT,Engineer Sanjay Singh Kamro,GGP,,,,,False,48,2023,AE
1830021,Nota,NOTA,23852,1934,1.39431603535535,4,48,3,CT,Nota,NOTA,,,,,False,48,2023,AE
1830022,Dr. Akash Kumar,AAAP,23851,1872,1.34961717589722,5,48,3,CT,Dr. Akash Kumar,AAAP,,,,,False,48,2023,AE
1830023,Mejor Prasad Yadav,BSCP,23859,1426,1.02807376753709,6,48,3,CT,Mejor Prasad Yadav,BSCP,,,,,False,48,2023,AE
1830024,Somar Sai Lohar,SP,23858,746,0.537828212189811,7,48,3,CT,Somar Sai Lohar,SP,,,,,False,48,2023,AE
1830025,Brij Mohan Sahu,IND,23849,649,0.467896125618214,8,48,3,CT,Brij Mohan Sahu,IND,,,,,False,48,2023,AE
1830026,Durgesh Sahu,JCCJ,23873,472,0.340288091358701,9,48,3,CT,Durgesh Sahu,JCCJ,,,,,False,48,2023,AE
1830138,Bhulan Singh Marabi,BJP,23846,99957,51.8669766186863,1,48,4,CT,Bhulan Singh Marabi,BJP,,,,,False,48,2023,AE
1830139,Khel Sai Singh,INC,23847,66667,34.5930323062713,2,48,4,CT,Khel Sai Singh,INC,,,,,True,48,2023,AE
1830140,Jaynath Keram,GGP,23848,14562,7.55611826606751,3,48,4,CT,Jaynath Keram,GGP,,,,,False,48,2023,AE
1830141,Nota,NOTA,23852,3539,1.83636193816872,4,48,4,CT,Nota,NOTA,,,,,False,48,2023,AE
1830142,Kotama,BSCP,23859,1804,0.936082773793833,5,48,4,CT,Kotama,BSCP,,,,,False,48,2023,AE
1830143,Santosh Vishwakarma,IND,23849,1718,0.891457985242686,6,48,4,CT,Santosh Vishwakarma,IND,,,,,False,48,2023,AE
1830144,Tileshwari Sandilya,APoI,23853,941,0.488278209611971,7,48,4,CT,Tileshwari Sandilya,APoI,,,,,False,48,2023,AE
1830145,Suraj Ravi,IND,23849,936,0.485683745161323,8,48,4,CT,Suraj Ravi,IND,,,,,False,48,2023,AE
1830146,Rajesh Kumar Jagate,IND,23849,758,0.393320810718251,9,48,4,CT,Rajesh Kumar Jagate,IND,,,,,False,48,2023,AE
1830147,Bhulan Singh,IND,23849,599,0.310816841187642,10,48,4,CT,Bhulan Singh,IND,,,,,False,48,2023,AE
1830148,Angad Shriwash,IND,23849,459,0.238171836569495,11,48,4,CT,Angad Shriwash,IND,,,,,False,48,2023,AE
1830149,Khelsai,IND,23849,400,0.207557156051847,12,48,4,CT,Khelsai,IND,,,,,False,48,2023,AE
1830150,Ganesh Singh Urre,IND,23849,378,0.196141512468996,13,48,4,CT,Ganesh Singh Urre,IND,,,,,False,48,2023,AE
1830268,Laxmi Rajwade,BJP,23846,105162,54.0592501966267,1,48,5,CT,Laxmi Rajwade,BJP,,,,,False,48,2023,AE
1830269,Parasnath Rajwade,INC,23847,61200,31.4602813947391,2,48,5,CT,Parasnath Rajwade,INC,,,,,False,48,2023,AE
1830270,Narendra Sahu,BSP,23850,11441,5.8813248274054,3,48,5,CT,Narendra Sahu,BSP,,,,,False,48,2023,AE
1830271,Paras Rajwade,IND,23849,2565,1.31855591139715,4,48,5,CT,Paras Rajwade,IND,,,,,False,48,2023,AE
1830272,Kapil Dev Paikra,CPI(M),23891,2018,1.03736679500953,5,48,5,CT,Kapil Dev Paikra,CPI(M),,,,,False,48,2023,AE
1830273,Samaylal Patil,JCCJ,23873,1851,0.951519295125198,6,48,5,CT,Samaylal Patil,JCCJ,,,,,False,48,2023,AE
1830274,Kalawati Sarthi,IND,23849,1488,0.76491664567601,7,48,5,CT,Kalawati Sarthi,IND,,,,,False,48,2023,AE
1830275,Motilal Paikra,HMR,23892,1174,0.603502783618035,8,48,5,CT,Motilal Paikra,HMR,,,,,False,48,2023,AE
1830276,Aalam Singh,IND,23849,1163,0.59784815787715,9,48,5,CT,Aalam Singh,IND,,,,,False,48,2023,AE
1830277,Surendra Gupta,AAAP,23851,1080,0.555181436377749,10,48,5,CT,Surendra Gupta,AAAP,,,,,False,48,2023,AE
1830278,Arvind Sharan Singh,IND,23849,1003,0.515599056191558,11,48,5,CT,Arvind Sharan Singh,IND,,,,,False,48,2023,AE
1830279,Dilip Kumar Yadav,IND,23849,990,0.508916316679603,12,48,5,CT,Dilip Kumar Yadav,IND,,,,,False,48,2023,AE
1830280,Ashok Kumar Rajwade,IND,23849,814,0.418442304825451,13,48,5,CT,Ashok Kumar Rajwade,IND,,,,,False,48,2023,AE
1830281,Sonulal Bhagat,RGOP,23855,650,0.334136975597719,14,48,5,CT,Sonulal Bhagat,RGOP,,,,,False,48,2023,AE
1830282,Nota,NOTA,23852,637,0.327454236085765,15,48,5,CT,Nota,NOTA,,,,,False,48,2023,AE
1830283,Rambai Devangan,IND,23849,564,0.289928083441713,16,48,5,CT,Rambai Devangan,IND,,,,,False,48,2023,AE
1830284,Dharmendra Kumar,SP,23858,432,0.222072574551099,17,48,5,CT,Dharmendra Kumar,SP,,,,,False,48,2023,AE
1830285,Ajay Kumar Kushwaha,NYP,23893,299,0.153703008774951,18,48,5,CT,Ajay Kumar Kushwaha,NYP,,,,,False,48,2023,AE
1830379,Shakuntala Singh Portey,BJP,23846,83796,43.5888099374746,1,48,6,CT,Shakuntala Singh Portey,BJP,,,,,False,48,2023,AE
1830380,Rajkumari Shivbhajan Marabi,INC,23847,72088,37.498569511345,2,48,6,CT,Rajkumari Shivbhajan Marabi,INC,,,,,False,48,2023,AE
1830381,Jagmohan Singh,GGP,23848,17041,8.86434806129773,3,48,6,CT,Jagmohan Singh,GGP,,,,,False,48,2023,AE
1830382,Raja Ram Shyam,AAAP,23851,4870,2.53326536344815,4,48,6,CT,Raja Ram Shyam,AAAP,,,,,False,48,2023,AE
1830383,Nota,NOTA,23852,4351,2.26329314093694,5,48,6,CT,Nota,NOTA,,,,,False,48,2023,AE
1830384,Nainendra Singh Maravi,IND,23849,1544,0.803154357528531,6,48,6,CT,Nainendra Singh Maravi,IND,,,,,False,48,2023,AE
1830385,Sakuntla,IND,23849,1501,0.780786716742439,7,48,6,CT,Sakuntla,IND,,,,,False,48,2023,AE
1830386,Sundar Lal Shyam,JCCJ,23873,1466,0.762580497497945,8,48,6,CT,Sundar Lal Shyam,JCCJ,,,,,False,48,2023,AE
1830387,Rajkumari Singh,IND,23849,1427,0.742293567482652,9,48,6,CT,Rajkumari Singh,IND,,,,,False,48,2023,AE
1830388,Geeta Sonha,HMR,23892,1311,0.681952955129472,10,48,6,CT,Geeta Sonha,HMR,,,,,False,48,2023,AE
1830389,Ramnarayan Singh,APoI,23853,897,0.466599390351744,11,48,6,CT,Ramnarayan Singh,APoI,,,,,False,48,2023,AE
1830390,Asha Devi Poya,IND,23849,733,0.381290248748972,12,48,6,CT,Asha Devi Poya,IND,,,,,False,48,2023,AE
1830391,Devkumari Ayam,IND,23849,668,0.347478698723483,13,48,6,CT,Devkumari Ayam,IND,,,,,False,48,2023,AE
1830392,Seetaram Pando,SP,23858,549,0.285577553292204,14,48,6,CT,Seetaram Pando,SP,,,,,False,48,2023,AE
1830483,Ram Vichar Netam,BJP,23846,99574,54.5802363568593,1,48,7,CT,Ram Vichar Netam,BJP,,,,,False,48,2023,AE
1830484,Dr. Ajay Kumar Tirkey,INC,23847,69911,38.3208357999517,2,48,7,CT,Dr. Ajay Kumar Tirkey,INC,,,,,False,48,2023,AE
1830485,Nota,NOTA,23852,3501,1.91902913898572,3,48,7,CT,Nota,NOTA,,,,,False,48,2023,AE
1830486,Neelam Didi,AAAP,23851,1879,1.02995022912144,4,48,7,CT,Neelam Didi,AAAP,,,,,False,48,2023,AE
1830487,Dayashankar Markam,GGP,23848,1717,0.94115196562082,5,48,7,CT,Dayashankar Markam,GGP,,,,,False,48,2023,AE
1830488,Gyani Singh,JCCJ,23873,1674,0.917582056173123,6,48,7,CT,Gyani Singh,JCCJ,,,,,False,48,2023,AE
1830489,Pratibha Singh,IND,23849,1278,0.700519634282707,7,48,7,CT,Pratibha Singh,IND,,,,,False,48,2023,AE
1830490,Karamchand Singh,IND,23849,815,0.446732004648205,8,48,7,CT,Karamchand Singh,IND,,,,,False,48,2023,AE
1830491,Surajdev Singh,IND,23849,772,0.423162095200508,9,48,7,CT,Surajdev Singh,IND,,,,,False,48,2023,AE
1830492,Upendra Murum,HMR,23892,604,0.331075007125786,10,48,7,CT,Upendra Murum,HMR,,,,,False,48,2023,AE
1830493,Ajay Tirky,IND,23849,380,0.208292223026157,11,48,7,CT,Ajay Tirky,IND,,,,,False,48,2023,AE
1830494,Ramvilas Pando,SP,23858,331,0.181433489004363,12,48,7,CT,Ramvilas Pando,SP,,,,,False,48,2023,AE
1830584,Udhheshwari Paikra,BJP,23846,83483,45.5303042698124,1,48,8,CT,Udhheshwari Paikra,BJP,,,,,False,48,2023,AE
1830585,Vijay Paikra,INC,23847,69540,37.9260131873885,2,48,8,CT,Vijay Paikra,INC,,,,,False,48,2023,AE
1830586,Anand Tigga,BSP,23850,5034,2.74546376740457,3,48,8,CT,Anand Tigga,BSP,,,,,False,48,2023,AE
1830587,Nota,NOTA,23852,4981,2.71655840791461,4,48,8,CT,Nota,NOTA,,,,,False,48,2023,AE
1830588,Parshuram Bhagat,HMR,23892,4040,2.20335193093255,5,48,8,CT,Parshuram Bhagat,HMR,,,,,False,48,2023,AE
