el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1829673,Dr. Banshilal Mahto,BJP,23846,48354,39.7968757715922,1,21,1,CT,Dr. Banshilal Mahto,BJP,,,,,False,21,2014,GE
1829674,Charan Das Mahant,INC,23847,44757,36.8364306760382,2,21,1,CT,Charan Das Mahant,INC,,,,,True,21,2014,GE
1829675,Hira Singh Markaam,GGP,23848,11989,9.86732728679363,3,21,1,CT,Hira Singh Markaam,GGP,,,,,False,21,2014,GE
1829676,Jeevan Lal Raoutel,IND,23849,2498,2.0559332356669,4,21,1,CT,Jeevan Lal Raoutel,IND,,,,,False,21,2014,GE
1829677,Dhan Singh Dhurve,BSP,23850,1502,1.23619364290299,5,21,1,CT,Dhan Singh Dhurve,BSP,,,,,False,21,2014,GE
1829678,Amar Nath Pandey,AAAP,23851,1320,1.08640186992806,6,21,1,CT,Amar Nath Pandey,AAAP,,,,,False,21,2014,GE
1829679,Pratap Bhanu,IND,23849,1012,0.832908100278184,7,21,1,CT,Pratap Bhanu,IND,,,,,False,21,2014,GE
1829680,None Of The Above,NOTA,23852,995,0.818916561044262,8,21,1,CT,None Of The Above,NOTA,,,,,False,21,2014,GE
1829681,Jata Shankar Panday,IND,23849,947,0.779411038501423,9,21,1,CT,Jata Shankar Panday,IND,,,,,False,21,2014,GE
1829682,Charan Bhaya,IND,23849,937,0.771180721304999,10,21,1,CT,Charan Bhaya,IND,,,,,False,21,2014,GE
1829683,S.R. Anchal,IND,23849,841,0.692169676219321,11,21,1,CT,S.R. Anchal,IND,,,,,False,21,2014,GE
1829684,Chandra Bhushan Pratap Singh Kanwar,APoI,23853,790,0.650195058517555,12,21,1,CT,Chandra Bhushan Pratap Singh Kanwar,APoI,,,,,False,21,2014,GE
1829685,Laxman Lal Kaiwart,chp,23854,775,0.637849582722918,13,21,1,CT,Laxman Lal Kaiwart,chp,,,,,False,21,2014,GE
1829686,Phuleshwar Prasad Surajiha,IND,23849,622,0.511925729617619,14,21,1,CT,Phuleshwar Prasad Surajiha,IND,,,,,False,21,2014,GE
1829687,Mohan Lal Bargahi,IND,23849,511,0.420569208737304,15,21,1,CT,Mohan Lal Bargahi,IND,,,,,False,21,2014,GE
1829688,Dr.Urmila Singh Marko,RGOP,23855,436,0.358841829764119,16,21,1,CT,Dr.Urmila Singh Marko,RGOP,,,,,False,21,2014,GE
1829689,Rajendra Singh Kanwar,CSM,23856,411,0.338266036773057,17,21,1,CT,Rajendra Singh Kanwar,CSM,,,,,False,21,2014,GE
1829690,Rajesh Kumar Pandey,IND,23849,410,0.337443005053414,18,21,1,CT,Rajesh Kumar Pandey,IND,,,,,False,21,2014,GE
1829691,Harbhajan Singh Shyam,IND,23849,385,0.316867212062352,19,21,1,CT,Harbhajan Singh Shyam,IND,,,,,False,21,2014,GE
1829692,Rajesh Kumar Mahant,JD(U),23857,378,0.311105990024855,20,21,1,CT,Rajesh Kumar Mahant,JD(U),,,,,False,21,2014,GE
1829693,Sekh Rauf,IND,23849,376,0.30945992658557,21,21,1,CT,Sekh Rauf,IND,,,,,False,21,2014,GE
1829694,Kewal Goswami,SP,23858,356,0.292999292192721,22,21,1,CT,Kewal Goswami,SP,,,,,False,21,2014,GE
1829695,Fatte Singh Shyam,IND,23849,330,0.271600467482016,23,21,1,CT,Fatte Singh Shyam,IND,,,,,False,21,2014,GE
1829696,Kamal Deo,BSCP,23859,303,0.249378611051669,24,21,1,CT,Kamal Deo,BSCP,,,,,False,21,2014,GE
1829697,Shambhu Prasad Sharma Advocate,IND,23849,267,0.21974946914454,25,21,1,CT,Shambhu Prasad Sharma Advocate,IND,,,,,False,21,2014,GE
1829799,Dr. Banshilal Mahto,BJP,23846,39639,43.6149377228114,1,21,2,CT,Dr. Banshilal Mahto,BJP,,,,,False,21,2014,GE
1829800,Charan Das Mahant,INC,23847,36619,40.2920205976849,2,21,2,CT,Charan Das Mahant,INC,,,,,True,21,2014,GE
1829801,Hira Singh Markaam,GGP,23848,5405,5.94714141102944,3,21,2,CT,Hira Singh Markaam,GGP,,,,,False,21,2014,GE
1829802,Jeevan Lal Raoutel,IND,23849,1257,1.38308173055763,4,21,2,CT,Jeevan Lal Raoutel,IND,,,,,False,21,2014,GE
1829803,Amar Nath Pandey,AAAP,23851,1229,1.35227322741076,5,21,2,CT,Amar Nath Pandey,AAAP,,,,,False,21,2014,GE
1829804,Dhan Singh Dhurve,BSP,23850,898,0.988072708067426,6,21,2,CT,Dhan Singh Dhurve,BSP,,,,,False,21,2014,GE
1829805,None Of The Above,NOTA,23852,618,0.679987676598741,7,21,2,CT,None Of The Above,NOTA,,,,,False,21,2014,GE
1829806,Pratap Bhanu,IND,23849,543,0.597464900312486,8,21,2,CT,Pratap Bhanu,IND,,,,,False,21,2014,GE
1829807,Charan Bhaya,IND,23849,515,0.566656397165617,9,21,2,CT,Charan Bhaya,IND,,,,,False,21,2014,GE
1829808,Chandra Bhushan Pratap Singh Kanwar,APoI,23853,424,0.466528761938294,10,21,2,CT,Chandra Bhushan Pratap Singh Kanwar,APoI,,,,,False,21,2014,GE
1829809,Jata Shankar Panday,IND,23849,408,0.448923902997227,11,21,2,CT,Jata Shankar Panday,IND,,,,,False,21,2014,GE
1829810,S.R. Anchal,IND,23849,403,0.443422384578143,12,21,2,CT,S.R. Anchal,IND,,,,,False,21,2014,GE
1829811,Harbhajan Singh Shyam,IND,23849,389,0.428018133004709,13,21,2,CT,Harbhajan Singh Shyam,IND,,,,,False,21,2014,GE
1829812,Laxman Lal Kaiwart,chp,23854,374,0.411513577747458,14,21,2,CT,Laxman Lal Kaiwart,chp,,,,,False,21,2014,GE
1829813,Phuleshwar Prasad Surajiha,IND,23849,288,0.316887460939219,15,21,2,CT,Phuleshwar Prasad Surajiha,IND,,,,,False,21,2014,GE
1829814,Kamal Deo,BSCP,23859,263,0.2893798688438,16,21,2,CT,Kamal Deo,BSCP,,,,,False,21,2014,GE
1829815,Mohan Lal Bargahi,IND,23849,229,0.251969543594031,17,21,2,CT,Mohan Lal Bargahi,IND,,,,,False,21,2014,GE
1829816,Rajesh Kumar Pandey,IND,23849,226,0.248668632542581,18,21,2,CT,Rajesh Kumar Pandey,IND,,,,,False,21,2014,GE
1829817,Dr.Urmila Singh Marko,RGOP,23855,197,0.216759825711896,19,21,2,CT,Dr.Urmila Singh Marko,RGOP,,,,,False,21,2014,GE
1829818,Sekh Rauf,IND,23849,195,0.214559218344263,20,21,2,CT,Sekh Rauf,IND,,,,,False,21,2014,GE
1829819,Rajesh Kumar Mahant,JD(U),23857,190,0.209057699925179,21,21,2,CT,Rajesh Kumar Mahant,JD(U),,,,,False,21,2014,GE
1829820,Rajendra Singh Kanwar,CSM,23856,179,0.196954359403195,22,21,2,CT,Rajendra Singh Kanwar,CSM,,,,,False,21,2014,GE
1829821,Kewal Goswami,SP,23858,175,0.192553144667928,23,21,2,CT,Kewal Goswami,SP,,,,,False,21,2014,GE
1829822,Fatte Singh Shyam,IND,23849,112,0.123234012587474,24,21,2,CT,Fatte Singh Shyam,IND,,,,,False,21,2014,GE
1829823,Shambhu Prasad Sharma Advocate,IND,23849,109,0.119933101536023,25,21,2,CT,Shambhu Prasad Sharma Advocate,IND,,,,,False,21,2014,GE
1829930,Dr. Banshilal Mahto,BJP,23846,48219,42.0733463051995,1,21,3,CT,Dr. Banshilal Mahto,BJP,,,,,False,21,2014,GE
1829931,Charan Das Mahant,INC,23847,44217,38.5814130026961,2,21,3,CT,Charan Das Mahant,INC,,,,,True,21,2014,GE
1829932,Hira Singh Markaam,GGP,23848,10371,9.04918547732686,3,21,3,CT,Hira Singh Markaam,GGP,,,,,False,21,2014,GE
1829933,Jeevan Lal Raoutel,IND,23849,1777,1.55051611158131,4,21,3,CT,Jeevan Lal Raoutel,IND,,,,,False,21,2014,GE
