el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1497929,Neel Daman Khatri,BJP,16207,54622,37.95,1,16,1,DL,Neel Daman Khatri,BJP,,,,,False,16,2013,AE
1497930,Virender,BSP,16206,31077,21.59,2,16,1,DL,Virender,BSP,,,,,False,16,2013,AE
1497931,Jaswant Singh,INC,16205,26311,18.28,3,16,1,DL,Jaswant Singh,INC,,,,,True,16,2013,AE
1497932,Baljit Singh Mann,AAAP,16293,24031,16.7,4,16,1,DL,Baljit Singh Mann,AAAP,,,,,False,16,2013,AE
1497933,Ram Gopal Sharma,IND,16208,3426,2.38,5,16,1,DL,Ram Gopal Sharma,IND,,,,,False,16,2013,AE
1497934,None Of The Above,NOTA,16294,931,0.65,6,16,1,DL,None Of The Above,NOTA,,,,,False,16,2013,AE
1497935,Sanjeev Kumar Rana,CPI,16223,643,0.45,7,16,1,DL,Sanjeev Kumar Rana,CPI,,,,,False,16,2013,AE
1497936,Ajay Mudgil,IND,16208,633,0.44,8,16,1,DL,Ajay Mudgil,IND,,,,,False,16,2013,AE
1497937,Md Yakub Sidaki,JD(U),16215,520,0.36,9,16,1,DL,Md Yakub Sidaki,JD(U),,,,,False,16,2013,AE
1497938,Ajit Singh,INLD,16295,481,0.33,10,16,1,DL,Ajit Singh,INLD,,,,,False,16,2013,AE
1497939,Rohtash,CPI(ML)(L),16211,338,0.23,11,16,1,DL,Rohtash,CPI(ML)(L),,,,,False,16,2013,AE
1497940,Ajay Kumar,SP,16212,285,0.2,12,16,1,DL,Ajay Kumar,SP,,,,,False,16,2013,AE
1497941,Satish,LJP,16209,266,0.18,13,16,1,DL,Satish,LJP,,,,,False,16,2013,AE
1497942,Pravesh,AASP,16296,210,0.15,14,16,1,DL,Pravesh,AASP,,,,,False,16,2013,AE
1497943,Shamim,PECP,16297,163,0.11,15,16,1,DL,Shamim,PECP,,,,,False,16,2013,AE
1497944,Sanjeev Jha,AAAP,16293,60164,37.07,1,16,2,DL,Sanjeev Jha,AAAP,,,,,False,16,2013,AE
1497945,Shri Krishan,BJP,16207,49813,30.69,2,16,2,DL,Shri Krishan,BJP,,,,,True,16,2013,AE
1497946,Deepak Tyagi,INC,16205,31649,19.5,3,16,2,DL,Deepak Tyagi,INC,,,,,True,16,2013,AE
1497947,Vinod Naagar,LJP,16209,6462,3.98,4,16,2,DL,Vinod Naagar,LJP,,,,,False,16,2013,AE
1497948,Kamal Sharma,BSP,16206,3664,2.26,5,16,2,DL,Kamal Sharma,BSP,,,,,False,16,2013,AE
1497949,Surender Routela,IND,16208,2700,1.66,6,16,2,DL,Surender Routela,IND,,,,,False,16,2013,AE
1497950,Jitender Kumar,JD(U),16215,2643,1.63,7,16,2,DL,Jitender Kumar,JD(U),,,,,False,16,2013,AE
1497951,None Of The Above,NOTA,16294,665,0.41,8,16,2,DL,None Of The Above,NOTA,,,,,False,16,2013,AE
1497952,Ajit Kumar Pandey,BJDI,16298,557,0.34,9,16,2,DL,Ajit Kumar Pandey,BJDI,,,,,False,16,2013,AE
1497953,Aadesh,IND,16208,506,0.31,10,16,2,DL,Aadesh,IND,,,,,False,16,2013,AE
1497954,Ganesh Pal,BSKP,16216,496,0.31,11,16,2,DL,Ganesh Pal,BSKP,,,,,True,16,2013,AE
1497955,Nafe Singh Rajput,IND,16208,369,0.23,12,16,2,DL,Nafe Singh Rajput,IND,,,,,False,16,2013,AE
1497956,Vijay Kumar,RMEP,16219,351,0.22,13,16,2,DL,Vijay Kumar,RMEP,,,,,False,16,2013,AE
1497957,Manager Chaurasiya,SUCI,16299,325,0.2,14,16,2,DL,Manager Chaurasiya,SUCI,,,,,False,16,2013,AE
1497958,Pawan Kumar Duggal,IND,16208,285,0.18,15,16,2,DL,Pawan Kumar Duggal,IND,,,,,False,16,2013,AE
1497959,Richa Mundra,RDPI,16300,243,0.15,16,16,2,DL,Richa Mundra,RDPI,,,,,False,16,2013,AE
1497960,Fakir Chand,IJP,16217,230,0.14,17,16,2,DL,Fakir Chand,IJP,,,,,False,16,2013,AE
1497961,Rajbir,IND,16208,214,0.13,18,16,2,DL,Rajbir,IND,,,,,False,16,2013,AE
1497962,Munna,IND,16208,211,0.13,19,16,2,DL,Munna,IND,,,,,False,16,2013,AE
