el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1496329,Krishna Tirath,INC,16205,44740,51.39,1,6,1,DL,Krishna Tirath,INC,,,,,False,6,2009,GE
1496330,Meera Kanwaria,BJP,16207,31121,35.75,2,6,1,DL,Meera Kanwaria,BJP,,,,,False,6,2009,GE
1496331,Rakesh Hans,BSP,16206,7602,8.73,3,6,1,DL,Rakesh Hans,BSP,,,,,False,6,2009,GE
1496332,Dharam Singh Parcha,IND,16208,1379,1.58,4,6,1,DL,Dharam Singh Parcha,IND,,,,,False,6,2009,GE
1496333,Mathura Paswan,CPI(ML)(L),16211,475,0.55,5,6,1,DL,Mathura Paswan,CPI(ML)(L),,,,,False,6,2009,GE
1496334,Harbans Lal,IND,16208,395,0.45,6,6,1,DL,Harbans Lal,IND,,,,,False,6,2009,GE
1496335,Babu Lal,ASP,16234,256,0.29,7,6,1,DL,Babu Lal,ASP,,,,,False,6,2009,GE
1496336,Narender Pal Kashyap,IND,16208,191,0.22,8,6,1,DL,Narender Pal Kashyap,IND,,,,,False,6,2009,GE
1496337,Arvind Kataria,AIBS,16274,180,0.21,9,6,1,DL,Arvind Kataria,AIBS,,,,,False,6,2009,GE
1496338,Sunil Kumar Parchha,SP,16212,180,0.21,9,6,1,DL,Sunil Kumar Parchha,SP,,,,,False,6,2009,GE
1496339,Pappu Sagar,IJP,16217,108,0.12,11,6,1,DL,Pappu Sagar,IJP,,,,,False,6,2009,GE
1496340,Inder Singh Sansi,IND,16208,102,0.12,12,6,1,DL,Inder Singh Sansi,IND,,,,,False,6,2009,GE
1496341,Hoti Lal Gandhi,BSKRP,16275,99,0.11,13,6,1,DL,Hoti Lal Gandhi,BSKRP,,,,,False,6,2009,GE
1496342,Ram Kumar,BPC,16227,78,0.09,14,6,1,DL,Ram Kumar,BPC,,,,,False,6,2009,GE
1496343,Geeta,RPI(A),16238,75,0.09,15,6,1,DL,Geeta,RPI(A),,,,,False,6,2009,GE
1496344,Dr. Milind Bharti,NELU,16276,71,0.08,16,6,1,DL,Dr. Milind Bharti,NELU,,,,,False,6,2009,GE
1496345,Jai Prakash Agarwal,INC,16205,51570,55.92,1,6,2,DL,Jai Prakash Agarwal,INC,,,,,False,6,2009,GE
1496346,B.L.Sharma Prem,BJP,16207,34045,36.91,2,6,2,DL,B.L.Sharma Prem,BJP,,,,,False,6,2009,GE
1496347,Haji Dilshad Ali,BSP,16206,4196,4.55,3,6,2,DL,Haji Dilshad Ali,BSP,,,,,False,6,2009,GE
1496348,Mohd. Hasnain,IND,16208,366,0.4,4,6,2,DL,Mohd. Hasnain,IND,,,,,False,6,2009,GE
1496349,Ganesh Pal,BSKP,16216,353,0.38,5,6,2,DL,Ganesh Pal,BSKP,,,,,False,6,2009,GE
1496350,Anis Ahmad Ansari,SP,16212,347,0.38,6,6,2,DL,Anis Ahmad Ansari,SP,,,,,False,6,2009,GE
1496351,Santosh Devi,IND,16208,230,0.25,7,6,2,DL,Santosh Devi,IND,,,,,False,6,2009,GE
1496352,Manager Chaurasiya,IND,16208,217,0.24,8,6,2,DL,Manager Chaurasiya,IND,,,,,False,6,2009,GE
1496353,Mohd. Shear Nabi Chaman,IND,16208,163,0.18,9,6,2,DL,Mohd. Shear Nabi Chaman,IND,,,,,False,6,2009,GE
1496354,Prof. R.N. Singh,IND,16208,159,0.17,10,6,2,DL,Prof. R.N. Singh,IND,,,,,False,6,2009,GE
1496355,Sushil Kumar Mishra,ABHM,16218,139,0.15,11,6,2,DL,Sushil Kumar Mishra,ABHM,,,,,False,6,2009,GE
1496356,Kaliram Tomar,IJP,16217,100,0.11,12,6,2,DL,Kaliram Tomar,IJP,,,,,False,6,2009,GE
1496357,Molana Abdussami,IND,16208,100,0.11,12,6,2,DL,Molana Abdussami,IND,,,,,False,6,2009,GE
1496358,Israr Khan,RPIE,16277,83,0.09,14,6,2,DL,Israr Khan,RPIE,,,,,False,6,2009,GE
1496359,Manohar Lal,AWD,16278,82,0.09,15,6,2,DL,Manohar Lal,AWD,,,,,False,6,2009,GE
1496360,Pramod Tiwari,MBP,16224,79,0.09,16,6,2,DL,Pramod Tiwari,MBP,,,,,False,6,2009,GE
1496362,Jai Prakash Agarwal,INC,16205,56241,63.67,1,6,3,DL,Jai Prakash Agarwal,INC,,,,,False,6,2009,GE
1496363,B.L.Sharma Prem,BJP,16207,28544,32.31,2,6,3,DL,B.L.Sharma Prem,BJP,,,,,False,6,2009,GE
1496366,Haji Dilshad Ali,BSP,16206,2048,2.32,3,6,3,DL,Haji Dilshad Ali,BSP,,,,,False,6,2009,GE
1496369,Ganesh Pal,BSKP,16216,311,0.35,4,6,3,DL,Ganesh Pal,BSKP,,,,,False,6,2009,GE
1496372,Mohd. Hasnain,IND,16208,242,0.27,5,6,3,DL,Mohd. Hasnain,IND,,,,,False,6,2009,GE
1496373,Anis Ahmad Ansari,SP,16212,222,0.25,6,6,3,DL,Anis Ahmad Ansari,SP,,,,,False,6,2009,GE
1496378,Prof. R.N. Singh,IND,16208,109,0.12,7,6,3,DL,Prof. R.N. Singh,IND,,,,,False,6,2009,GE
1496379,Santosh Devi,IND,16208,103,0.12,8,6,3,DL,Santosh Devi,IND,,,,,False,6,2009,GE
1496381,Mohd. Shear Nabi Chaman,IND,16208,95,0.11,9,6,3,DL,Mohd. Shear Nabi Chaman,IND,,,,,False,6,2009,GE
1496383,Pramod Tiwari,MBP,16224,69,0.08,10,6,3,DL,Pramod Tiwari,MBP,,,,,False,6,2009,GE
1496385,Molana Abdussami,IND,16208,67,0.08,11,6,3,DL,Molana Abdussami,IND,,,,,False,6,2009,GE
1496386,Manager Chaurasiya,IND,16208,64,0.07,12,6,3,DL,Manager Chaurasiya,IND,,,,,False,6,2009,GE
1496389,Sushil Kumar Mishra,ABHM,16218,63,0.07,13,6,3,DL,Sushil Kumar Mishra,ABHM,,,,,False,6,2009,GE
1496390,Kaliram Tomar,IJP,16217,57,0.06,14,6,3,DL,Kaliram Tomar,IJP,,,,,False,6,2009,GE
1496391,Israr Khan,RPIE,16277,50,0.06,15,6,3,DL,Israr Khan,RPIE,,,,,False,6,2009,GE
1496392,Manohar Lal,AWD,16278,46,0.05,16,6,3,DL,Manohar Lal,AWD,,,,,False,6,2009,GE
1496393,Kapil Sibal,INC,16205,42718,58.75,1,6,4,DL,Kapil Sibal,INC,,,,,False,6,2009,GE
1496394,Vijender Gupta,BJP,16207,24272,33.38,2,6,4,DL,Vijender Gupta,BJP,,,,,False,6,2009,GE
1496395,Mohd. Mustaqeem (Ballo Bhai),BSP,16206,3088,4.25,3,6,4,DL,Mohd. Mustaqeem (Ballo Bhai),BSP,,,,,False,6,2009,GE
1496396,Labhu Ram Garg,RKSP,16279,392,0.54,4,6,4,DL,Labhu Ram Garg,RKSP,,,,,False,6,2009,GE
1496397,Beer Singh,IND,16208,338,0.46,5,6,4,DL,Beer Singh,IND,,,,,False,6,2009,GE
1496398,Lila Devi,RVNP,16222,197,0.27,6,6,4,DL,Lila Devi,RVNP,,,,,False,6,2009,GE
1496399,Ajay Mittal,AIFB,16231,147,0.2,7,6,4,DL,Ajay Mittal,AIFB,,,,,False,6,2009,GE
1496400,Ranjeet Kumar,IND,16208,103,0.14,8,6,4,DL,Ranjeet Kumar,IND,,,,,False,6,2009,GE
1496401,Babu Lal Bairwa,IND,16208,98,0.13,9,6,4,DL,Babu Lal Bairwa,IND,,,,,False,6,2009,GE
1496402,Dr. Sita Ram Sharma,RWS,16213,97,0.13,10,6,4,DL,Dr. Sita Ram Sharma,RWS,,,,,False,6,2009,GE
1496403,Sunil Kumar,IND,16208,90,0.12,11,6,4,DL,Sunil Kumar,IND,,,,,False,6,2009,GE
1496404,Vinod Dukhiya,ABHM,16218,83,0.11,12,6,4,DL,Vinod Dukhiya,ABHM,,,,,False,6,2009,GE
1496405,Suhail Ahmed,SP,16212,80,0.11,13,6,4,DL,Suhail Ahmed,SP,,,,,False,6,2009,GE
1496406,Rajender Singh Chandeliya,IND,16208,70,0.1,14,6,4,DL,Rajender Singh Chandeliya,IND,,,,,False,6,2009,GE
1496407,Shahida Parveen,UWF,16261,69,0.09,15,6,4,DL,Shahida Parveen,UWF,,,,,False,6,2009,GE
1496408,Sanjay Kumar,IND,16208,67,0.09,16,6,4,DL,Sanjay Kumar,IND,,,,,False,6,2009,GE
1496409,Raj Paul Chauhan,BPD,16260,53,0.07,17,6,4,DL,Raj Paul Chauhan,BPD,,,,,False,6,2009,GE
1496410,Rajesh Nagar,RDMP,16280,50,0.07,18,6,4,DL,Rajesh Nagar,RDMP,,,,,False,6,2009,GE
1496411,Kiran,SJP(R),16281,42,0.06,19,6,4,DL,Kiran,SJP(R),,,,,False,6,2009,GE
1496413,Rohit Kumar,IND,16208,42,0.06,19,6,4,DL,Rohit Kumar,IND,,,,,False,6,2009,GE
1496412,Bashiruddin,IND,16208,42,0.06,19,6,4,DL,Bashiruddin,IND,,,,,False,6,2009,GE
1496414,Ghanshyam Morwal,DBP,16244,40,0.06,22,6,4,DL,Ghanshyam Morwal,DBP,,,,,False,6,2009,GE
1496415,Anil Gupta,BPC,16227,39,0.05,23,6,4,DL,Anil Gupta,BPC,,,,,False,6,2009,GE
1496416,Om Prakash Thakur,IND,16208,37,0.05,24,6,4,DL,Om Prakash Thakur,IND,,,,,False,6,2009,GE
1496417,Javed Ahmed,MBP,16224,35,0.05,25,6,4,DL,Javed Ahmed,MBP,,,,,False,6,2009,GE
1496418,Vijender Khari,IND,16208,34,0.05,26,6,4,DL,Vijender Khari,IND,,,,,False,6,2009,GE
1496419,Nasrin Begum,IND,16208,33,0.05,27,6,4,DL,Nasrin Begum,IND,,,,,False,6,2009,GE
1496420,Prem Narain,IND,16208,33,0.05,27,6,4,DL,Prem Narain,IND,,,,,False,6,2009,GE
1496421,Mohd Shafiq,IND,16208,32,0.04,29,6,4,DL,Mohd Shafiq,IND,,,,,False,6,2009,GE
1496423,Balram Bari,IND,16208,31,0.04,30,6,4,DL,Balram Bari,IND,,,,,False,6,2009,GE
1496422,Narender Singh,BSKRP,16275,31,0.04,30,6,4,DL,Narender Singh,BSKRP,,,,,False,6,2009,GE
1496425,Ashish Saxena,IND,16208,30,0.04,32,6,4,DL,Ashish Saxena,IND,,,,,False,6,2009,GE
1496424,Ran Pal Singh,BGTD,16282,30,0.04,32,6,4,DL,Ran Pal Singh,BGTD,,,,,False,6,2009,GE
1496426,Zaheer Ahmed,IND,16208,26,0.04,34,6,4,DL,Zaheer Ahmed,IND,,,,,False,6,2009,GE
1496427,Bhim Singh Puri,RSP,16283,25,0.03,35,6,4,DL,Bhim Singh Puri,RSP,,,,,False,6,2009,GE
1496429,Puran Chand,IND,16208,22,0.03,36,6,4,DL,Puran Chand,IND,,,,,False,6,2009,GE
1496428,Ashok Kumar Gotewala,IND,16208,22,0.03,36,6,4,DL,Ashok Kumar Gotewala,IND,,,,,False,6,2009,GE
1496430,Imam Raja Naqvi,IND,16208,21,0.03,38,6,4,DL,Imam Raja Naqvi,IND,,,,,False,6,2009,GE
1496432,Dr. P L Premi,BVVP,16284,18,0.02,39,6,4,DL,Dr. P L Premi,BVVP,,,,,False,6,2009,GE
1496433,Laiq Ahmed,IND,16208,18,0.02,39,6,4,DL,Laiq Ahmed,IND,,,,,False,6,2009,GE
1496431,Abdul Samad,RPIE,16277,18,0.02,39,6,4,DL,Abdul Samad,RPIE,,,,,False,6,2009,GE
1496434,Krishna Tirath,INC,16205,53478,64.95,1,6,5,DL,Krishna Tirath,INC,,,,,False,6,2009,GE
1496435,Meera Kanwaria,BJP,16207,22274,27.05,2,6,5,DL,Meera Kanwaria,BJP,,,,,False,6,2009,GE
1496436,Rakesh Hans,BSP,16206,4345,5.28,3,6,5,DL,Rakesh Hans,BSP,,,,,False,6,2009,GE
1496437,Harbans Lal,IND,16208,400,0.49,4,6,5,DL,Harbans Lal,IND,,,,,False,6,2009,GE
1496438,Babu Lal,ASP,16234,367,0.45,5,6,5,DL,Babu Lal,ASP,,,,,False,6,2009,GE
1496439,Sunil Kumar Parchha,SP,16212,299,0.36,6,6,5,DL,Sunil Kumar Parchha,SP,,,,,False,6,2009,GE
1496440,Dharam Singh Parcha,IND,16208,248,0.3,7,6,5,DL,Dharam Singh Parcha,IND,,,,,False,6,2009,GE
1496441,Narender Pal Kashyap,IND,16208,159,0.19,8,6,5,DL,Narender Pal Kashyap,IND,,,,,False,6,2009,GE
1496442,Mathura Paswan,CPI(ML)(L),16211,153,0.19,9,6,5,DL,Mathura Paswan,CPI(ML)(L),,,,,False,6,2009,GE
1496443,Arvind Kataria,AIBS,16274,138,0.17,10,6,5,DL,Arvind Kataria,AIBS,,,,,False,6,2009,GE
1496444,Inder Singh Sansi,IND,16208,95,0.12,11,6,5,DL,Inder Singh Sansi,IND,,,,,False,6,2009,GE
1496445,Pappu Sagar,IJP,16217,89,0.11,12,6,5,DL,Pappu Sagar,IJP,,,,,False,6,2009,GE
1496446,Hoti Lal Gandhi,BSKRP,16275,86,0.1,13,6,5,DL,Hoti Lal Gandhi,BSKRP,,,,,False,6,2009,GE
1496447,Ram Kumar,BPC,16227,71,0.09,14,6,5,DL,Ram Kumar,BPC,,,,,False,6,2009,GE
1496448,Dr. Milind Bharti,NELU,16276,68,0.08,15,6,5,DL,Dr. Milind Bharti,NELU,,,,,False,6,2009,GE
1496449,Geeta,RPI(A),16238,63,0.08,16,6,5,DL,Geeta,RPI(A),,,,,False,6,2009,GE
1496450,Krishna Tirath,INC,16205,48918,49.53,1,6,6,DL,Krishna Tirath,INC,,,,,False,6,2009,GE
1496451,Meera Kanwaria,BJP,16207,46023,46.6,2,6,6,DL,Meera Kanwaria,BJP,,,,,False,6,2009,GE
1496452,Rakesh Hans,BSP,16206,2356,2.39,3,6,6,DL,Rakesh Hans,BSP,,,,,False,6,2009,GE
1496453,Sunil Kumar Parchha,SP,16212,274,0.28,4,6,6,DL,Sunil Kumar Parchha,SP,,,,,False,6,2009,GE
1496454,Harbans Lal,IND,16208,217,0.22,5,6,6,DL,Harbans Lal,IND,,,,,False,6,2009,GE
1496455,Babu Lal,ASP,16234,182,0.18,6,6,6,DL,Babu Lal,ASP,,,,,False,6,2009,GE
1496456,Narender Pal Kashyap,IND,16208,168,0.17,7,6,6,DL,Narender Pal Kashyap,IND,,,,,False,6,2009,GE
1496457,Inder Singh Sansi,IND,16208,110,0.11,8,6,6,DL,Inder Singh Sansi,IND,,,,,False,6,2009,GE
1496458,Pappu Sagar,IJP,16217,83,0.08,9,6,6,DL,Pappu Sagar,IJP,,,,,False,6,2009,GE
1496459,Mathura Paswan,CPI(ML)(L),16211,81,0.08,10,6,6,DL,Mathura Paswan,CPI(ML)(L),,,,,False,6,2009,GE
1496460,Dharam Singh Parcha,IND,16208,74,0.07,11,6,6,DL,Dharam Singh Parcha,IND,,,,,False,6,2009,GE
1496461,Ram Kumar,BPC,16227,65,0.07,12,6,6,DL,Ram Kumar,BPC,,,,,False,6,2009,GE
1496462,Arvind Kataria,AIBS,16274,63,0.06,13,6,6,DL,Arvind Kataria,AIBS,,,,,False,6,2009,GE
1496463,Hoti Lal Gandhi,BSKRP,16275,61,0.06,14,6,6,DL,Hoti Lal Gandhi,BSKRP,,,,,False,6,2009,GE
1496464,Geeta,RPI(A),16238,48,0.05,15,6,6,DL,Geeta,RPI(A),,,,,False,6,2009,GE
1496465,Dr. Milind Bharti,NELU,16276,37,0.04,16,6,6,DL,Dr. Milind Bharti,NELU,,,,,False,6,2009,GE
1496466,Krishna Tirath,INC,16205,58779,55.29,1,6,7,DL,Krishna Tirath,INC,,,,,False,6,2009,GE
1496467,Meera Kanwaria,BJP,16207,37305,35.09,2,6,7,DL,Meera Kanwaria,BJP,,,,,False,6,2009,GE
1496468,Rakesh Hans,BSP,16206,7457,7.01,3,6,7,DL,Rakesh Hans,BSP,,,,,False,6,2009,GE
1496469,Harbans Lal,IND,16208,551,0.52,4,6,7,DL,Harbans Lal,IND,,,,,False,6,2009,GE
1496470,Sunil Kumar Parchha,SP,16212,376,0.35,5,6,7,DL,Sunil Kumar Parchha,SP,,,,,False,6,2009,GE
1496471,Babu Lal,ASP,16234,347,0.33,6,6,7,DL,Babu Lal,ASP,,,,,False,6,2009,GE
1496472,Dharam Singh Parcha,IND,16208,282,0.27,7,6,7,DL,Dharam Singh Parcha,IND,,,,,False,6,2009,GE
1496473,Narender Pal Kashyap,IND,16208,244,0.23,8,6,7,DL,Narender Pal Kashyap,IND,,,,,False,6,2009,GE
1496474,Mathura Paswan,CPI(ML)(L),16211,183,0.17,9,6,7,DL,Mathura Paswan,CPI(ML)(L),,,,,False,6,2009,GE
1496475,Arvind Kataria,AIBS,16274,171,0.16,10,6,7,DL,Arvind Kataria,AIBS,,,,,False,6,2009,GE
1496476,Inder Singh Sansi,IND,16208,145,0.14,11,6,7,DL,Inder Singh Sansi,IND,,,,,False,6,2009,GE
1496477,Pappu Sagar,IJP,16217,128,0.12,12,6,7,DL,Pappu Sagar,IJP,,,,,False,6,2009,GE
1496478,Hoti Lal Gandhi,BSKRP,16275,94,0.09,13,6,7,DL,Hoti Lal Gandhi,BSKRP,,,,,False,6,2009,GE
1496479,Geeta,RPI(A),16238,84,0.08,14,6,7,DL,Geeta,RPI(A),,,,,False,6,2009,GE
1496480,Dr. Milind Bharti,NELU,16276,81,0.08,15,6,7,DL,Dr. Milind Bharti,NELU,,,,,False,6,2009,GE
1496481,Ram Kumar,BPC,16227,78,0.07,16,6,7,DL,Ram Kumar,BPC,,,,,False,6,2009,GE
1496482,Krishna Tirath,INC,16205,46732,57.45,1,6,8,DL,Krishna Tirath,INC,,,,,False,6,2009,GE
1496483,Meera Kanwaria,BJP,16207,29706,36.52,2,6,8,DL,Meera Kanwaria,BJP,,,,,False,6,2009,GE
1496484,Rakesh Hans,BSP,16206,2820,3.47,3,6,8,DL,Rakesh Hans,BSP,,,,,False,6,2009,GE
1496485,Sunil Kumar Parchha,SP,16212,375,0.46,4,6,8,DL,Sunil Kumar Parchha,SP,,,,,False,6,2009,GE
1496486,Harbans Lal,IND,16208,334,0.41,5,6,8,DL,Harbans Lal,IND,,,,,False,6,2009,GE
1496487,Babu Lal,ASP,16234,286,0.35,6,6,8,DL,Babu Lal,ASP,,,,,False,6,2009,GE
1496488,Dharam Singh Parcha,IND,16208,222,0.27,7,6,8,DL,Dharam Singh Parcha,IND,,,,,False,6,2009,GE
1496489,Arvind Kataria,AIBS,16274,209,0.26,8,6,8,DL,Arvind Kataria,AIBS,,,,,False,6,2009,GE
1496490,Narender Pal Kashyap,IND,16208,140,0.17,9,6,8,DL,Narender Pal Kashyap,IND,,,,,False,6,2009,GE
1496491,Dr. Milind Bharti,NELU,16276,104,0.13,10,6,8,DL,Dr. Milind Bharti,NELU,,,,,False,6,2009,GE
1496492,Mathura Paswan,CPI(ML)(L),16211,82,0.1,11,6,8,DL,Mathura Paswan,CPI(ML)(L),,,,,False,6,2009,GE
1496493,Pappu Sagar,IJP,16217,78,0.1,12,6,8,DL,Pappu Sagar,IJP,,,,,False,6,2009,GE
1496494,Ram Kumar,BPC,16227,65,0.08,13,6,8,DL,Ram Kumar,BPC,,,,,False,6,2009,GE
1496495,Hoti Lal Gandhi,BSKRP,16275,64,0.08,14,6,8,DL,Hoti Lal Gandhi,BSKRP,,,,,False,6,2009,GE
1496496,Inder Singh Sansi,IND,16208,64,0.08,14,6,8,DL,Inder Singh Sansi,IND,,,,,False,6,2009,GE
