el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1492849,Laxmikant Parsekar,BJP,16167,11955,46.1084541808083,1,13,1,GA,Laxmikant Parsekar,BJP,,,,,False,13,2012,AE
1492850,Dayanand Raghunath Sopte,INC,16168,8520,32.8602283245911,2,13,1,GA,Dayanand Raghunath Sopte,INC,,,,,False,13,2012,AE
1492851,Sameer Salgaocar,AITC,16178,4591,17.7067263190373,3,13,1,GA,Sameer Salgaocar,AITC,,,,,False,13,2012,AE
1492852,Menino Francis Monteiro,GVP,16179,295,1.13776612156741,4,13,1,GA,Menino Francis Monteiro,GVP,,,,,False,13,2012,AE
1492853,Sanjay Prabhu Dessai,IND,16173,292,1.12619561863622,5,13,1,GA,Sanjay Prabhu Dessai,IND,,,,,False,13,2012,AE
1492854,Sanjay Damu Kole,SJP(R),16172,275,1.06062943535945,6,13,1,GA,Sanjay Damu Kole,SJP(R),,,,,False,13,2012,AE
1492904,Rajendra Arlekar,BJP,16167,16406,63.3680957898802,1,13,2,GA,Rajendra Arlekar,BJP,,,,,False,13,2012,AE
1492905,Manohar Trimbak Ajgaoankar,INC,16168,8053,31.1046736191579,2,13,2,GA,Manohar Trimbak Ajgaoankar,INC,,,,,False,13,2012,AE
1492906,Subhash Barkelo Kerkar,IND,16173,824,3.18269602162997,3,13,2,GA,Subhash Barkelo Kerkar,IND,,,,,False,13,2012,AE
1492907,Sakharam Vishram Korgaonkar,IND,16173,192,0.741599073001158,4,13,2,GA,Sakharam Vishram Korgaonkar,IND,,,,,False,13,2012,AE
1492908,Kanta Sabaji Jadhav,AITC,16178,151,0.583236770954036,5,13,2,GA,Kanta Sabaji Jadhav,AITC,,,,,False,13,2012,AE
1492909,Manohar Rajaram Pednekar,SJP(R),16172,96,0.370799536500579,6,13,2,GA,Manohar Rajaram Pednekar,SJP(R),,,,,False,13,2012,AE
1492910,Rajan Kambli,IND,16173,61,0.235612205484743,7,13,2,GA,Rajan Kambli,IND,,,,,False,13,2012,AE
1492911,Shyam Bablo Amonkar,RPI(A),16186,57,0.220162224797219,8,13,2,GA,Shyam Bablo Amonkar,RPI(A),,,,,False,13,2012,AE
1492912,Santosh Shankar Mandrekar,UGDP,16187,50,0.193124758594051,9,13,2,GA,Santosh Shankar Mandrekar,UGDP,,,,,False,13,2012,AE
