el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1492842,Shripad Yesso Naik,BJP,16167,17296,62.1621621621621,1,37,1,GA,Shripad Yesso Naik,BJP,,,,,True,37,2019,GE
1492843,Girish Raya Chodankar,INC,16168,8371,30.0855376653248,2,37,1,GA,Girish Raya Chodankar,INC,,,,,False,37,2019,GE
1492844,Dattatraya Padgaonkar,AAAP,16169,611,2.19594594594594,3,37,1,GA,Dattatraya Padgaonkar,AAAP,,,,,False,37,2019,GE
1492845,Bhagawant Sadanand Kamat,IND,16173,474,1.70356526739505,4,37,1,GA,Bhagawant Sadanand Kamat,IND,,,,,False,37,2019,GE
1492846,None Of The Above,NOTA,16204,469,1.68559516963772,5,37,1,GA,None Of The Above,NOTA,,,,,False,37,2019,GE
1492847,Amit Atmaram Korgaonkar,RPI(KM),16177,437,1.57058654399079,6,37,1,GA,Amit Atmaram Korgaonkar,RPI(KM),,,,,False,37,2019,GE
1492848,Aishwarya Arjun Salgaonkar,IND,16173,166,0.596607245543415,7,37,1,GA,Aishwarya Arjun Salgaonkar,IND,,,,,False,37,2019,GE
1492897,Shripad Yesso Naik,BJP,16167,17219,69.3531496697277,1,37,2,GA,Shripad Yesso Naik,BJP,,,,,True,37,2019,GE
1492898,Girish Raya Chodankar,INC,16168,6460,26.0190107942645,2,37,2,GA,Girish Raya Chodankar,INC,,,,,False,37,2019,GE
1492899,None Of The Above,NOTA,16204,465,1.87288545190913,3,37,2,GA,None Of The Above,NOTA,,,,,False,37,2019,GE
1492900,Amit Atmaram Korgaonkar,RPI(KM),16177,246,0.990816819719671,4,37,2,GA,Amit Atmaram Korgaonkar,RPI(KM),,,,,False,37,2019,GE
1492901,Aishwarya Arjun Salgaonkar,IND,16173,152,0.612212018688577,5,37,2,GA,Aishwarya Arjun Salgaonkar,IND,,,,,False,37,2019,GE
1492902,Dattatraya Padgaonkar,AAAP,16169,146,0.588045754792975,6,37,2,GA,Dattatraya Padgaonkar,AAAP,,,,,False,37,2019,GE
1492903,Bhagawant Sadanand Kamat,IND,16173,140,0.563879490897373,7,37,2,GA,Bhagawant Sadanand Kamat,IND,,,,,False,37,2019,GE
1492956,Shripad Yesso Naik,BJP,16167,14522,66.0601373788836,1,37,3,GA,Shripad Yesso Naik,BJP,,,,,True,37,2019,GE
1492957,Girish Raya Chodankar,INC,16168,6436,29.2771687212846,2,37,3,GA,Girish Raya Chodankar,INC,,,,,False,37,2019,GE
1492958,None Of The Above,NOTA,16204,390,1.77409816676522,3,37,3,GA,None Of The Above,NOTA,,,,,False,37,2019,GE
1492959,Amit Atmaram Korgaonkar,RPI(KM),16177,222,1.00987126415866,4,37,3,GA,Amit Atmaram Korgaonkar,RPI(KM),,,,,False,37,2019,GE
1492960,Dattatraya Padgaonkar,AAAP,16169,166,0.755128963289814,5,37,3,GA,Dattatraya Padgaonkar,AAAP,,,,,False,37,2019,GE
1492961,Bhagawant Sadanand Kamat,IND,16173,132,0.600463994905153,6,37,3,GA,Bhagawant Sadanand Kamat,IND,,,,,False,37,2019,GE
1492962,Aishwarya Arjun Salgaonkar,IND,16173,115,0.523131510712823,7,37,3,GA,Aishwarya Arjun Salgaonkar,IND,,,,,False,37,2019,GE
1493003,Shripad Yesso Naik,BJP,16167,11403,53.999147606194,1,37,4,GA,Shripad Yesso Naik,BJP,,,,,True,37,2019,GE
1493004,Girish Raya Chodankar,INC,16168,8978,42.5155088317469,2,37,4,GA,Girish Raya Chodankar,INC,,,,,False,37,2019,GE
1493005,None Of The Above,NOTA,16204,308,1.45854051238338,3,37,4,GA,None Of The Above,NOTA,,,,,False,37,2019,GE
1493006,Dattatraya Padgaonkar,AAAP,16169,191,0.904484538523464,4,37,4,GA,Dattatraya Padgaonkar,AAAP,,,,,False,37,2019,GE
1493007,Amit Atmaram Korgaonkar,RPI(KM),16177,96,0.454610029833783,5,37,4,GA,Amit Atmaram Korgaonkar,RPI(KM),,,,,False,37,2019,GE
1493008,Aishwarya Arjun Salgaonkar,IND,16173,78,0.369370649239948,6,37,4,GA,Aishwarya Arjun Salgaonkar,IND,,,,,False,37,2019,GE
1493009,Bhagawant Sadanand Kamat,IND,16173,63,0.29833783207842,7,37,4,GA,Bhagawant Sadanand Kamat,IND,,,,,False,37,2019,GE
1493052,Shripad Yesso Naik,BJP,16167,12704,55.8761435608726,1,37,5,GA,Shripad Yesso Naik,BJP,,,,,True,37,2019,GE
1493053,Girish Raya Chodankar,INC,16168,9263,40.7415552427867,2,37,5,GA,Girish Raya Chodankar,INC,,,,,False,37,2019,GE
1493054,None Of The Above,NOTA,16204,295,1.29750175932441,3,37,5,GA,None Of The Above,NOTA,,,,,False,37,2019,GE
1493055,Dattatraya Padgaonkar,AAAP,16169,233,1.02480647431386,4,37,5,GA,Dattatraya Padgaonkar,AAAP,,,,,False,37,2019,GE
1493056,Amit Atmaram Korgaonkar,RPI(KM),16177,100,0.439831104855735,5,37,5,GA,Amit Atmaram Korgaonkar,RPI(KM),,,,,False,37,2019,GE
1493057,Bhagawant Sadanand Kamat,IND,16173,71,0.312280084447572,6,37,5,GA,Bhagawant Sadanand Kamat,IND,,,,,False,37,2019,GE
1493058,Aishwarya Arjun Salgaonkar,IND,16173,70,0.307881773399014,7,37,5,GA,Aishwarya Arjun Salgaonkar,IND,,,,,False,37,2019,GE
1493104,Shripad Yesso Naik,BJP,16167,10580,49.1772799107557,1,37,6,GA,Shripad Yesso Naik,BJP,,,,,True,37,2019,GE
1493105,Girish Raya Chodankar,INC,16168,9982,46.3976945244956,2,37,6,GA,Girish Raya Chodankar,INC,,,,,False,37,2019,GE
1493106,Dattatraya Padgaonkar,AAAP,16169,324,1.50599609556567,3,37,6,GA,Dattatraya Padgaonkar,AAAP,,,,,False,37,2019,GE
1493107,None Of The Above,NOTA,16204,286,1.32936692386353,4,37,6,GA,None Of The Above,NOTA,,,,,False,37,2019,GE
1493108,Aishwarya Arjun Salgaonkar,IND,16173,155,0.720461095100864,5,37,6,GA,Aishwarya Arjun Salgaonkar,IND,,,,,False,37,2019,GE
1493109,Amit Atmaram Korgaonkar,RPI(KM),16177,102,0.474109881937343,6,37,6,GA,Amit Atmaram Korgaonkar,RPI(KM),,,,,False,37,2019,GE
1493110,Bhagawant Sadanand Kamat,IND,16173,85,0.395091568281119,7,37,6,GA,Bhagawant Sadanand Kamat,IND,,,,,False,37,2019,GE
1493164,Shripad Yesso Naik,BJP,16167,10777,54.2020821807574,1,37,7,GA,Shripad Yesso Naik,BJP,,,,,True,37,2019,GE
