el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1291606,Chhabilbhai Naranbhai Patel,INC,15160,60704,42.3168886937002,1,13,1,GJ,Chhabilbhai Naranbhai Patel,INC,,,,,False,13,2012,AE
1291607,Bhanushali Jayantilal Parsottam,BJP,15159,53091,37.0098500533283,2,13,1,GJ,Bhanushali Jayantilal Parsottam,BJP,,,,,False,13,2012,AE
1291608,Sodha Maheshoji Ranaji,GPP,15179,19631,13.6848122355368,3,13,1,GJ,Sodha Maheshoji Ranaji,GPP,,,,,False,13,2012,AE
1291609,Ker Osman Lana,IND,15162,5051,3.52106294135279,4,13,1,GJ,Ker Osman Lana,IND,,,,,False,13,2012,AE
1291610,Goradiya Dayalal Harji,BSP,15163,2092,1.45833769022174,5,13,1,GJ,Goradiya Dayalal Harji,BSP,,,,,False,13,2012,AE
1291611,Manjothi Abdulsatar Ishak,LJP,15180,1122,0.782148608235564,6,13,1,GJ,Manjothi Abdulsatar Ishak,LJP,,,,,False,13,2012,AE
1291612,Mandhra Husain Hajimamad,RPI(A),15181,1045,0.728471742964496,7,13,1,GJ,Mandhra Husain Hajimamad,RPI(A),,,,,False,13,2012,AE
1291613,Amrutlal Ladhabhai Patel,JD(U),15182,715,0.498428034659918,8,13,1,GJ,Amrutlal Ladhabhai Patel,JD(U),,,,,False,13,2012,AE
1291681,Chheda Tarachand Jagashi,BJP,15159,61984,44.4355231841252,1,13,2,GJ,Chheda Tarachand Jagashi,BJP,,,,,False,13,2012,AE
1291682,Parmar Kishorsinh Rajendrasinh,INC,15160,53478,38.3376824477389,2,13,2,GJ,Parmar Kishorsinh Rajendrasinh,INC,,,,,False,13,2012,AE
1291683,Gadhavi Vijaykumar Karasanbhai,GPP,15179,12720,9.11880251197201,3,13,2,GJ,Gadhavi Vijaykumar Karasanbhai,GPP,,,,,False,13,2012,AE
1291684,Maheshwari Naranbhai Veljibhai,BSP,15163,3628,2.60086599948384,4,13,2,GJ,Maheshwari Naranbhai Veljibhai,BSP,,,,,False,13,2012,AE
1291685,Velani Shantilal Karamashi,IND,15162,3422,2.45318727955725,5,13,2,GJ,Velani Shantilal Karamashi,IND,,,,,False,13,2012,AE
1291686,Dhruiya Gulamhusain Salemamad,IND,15162,1752,1.25598600636595,6,13,2,GJ,Dhruiya Gulamhusain Salemamad,IND,,,,,False,13,2012,AE
1291687,Gadhavi Ram Dhanraj,IND,15162,560,0.401456714363547,7,13,2,GJ,Gadhavi Ram Dhanraj,IND,,,,,False,13,2012,AE
1291688,Ayar Raghubhai Kanabhai,IND,15162,555,0.397872279413873,8,13,2,GJ,Ayar Raghubhai Kanabhai,IND,,,,,False,13,2012,AE
1291689,Batiya Devdas Valabhai,RPI(A),15181,491,0.351991512058039,9,13,2,GJ,Batiya Devdas Valabhai,RPI(A),,,,,False,13,2012,AE
1291690,Sumra Abdulrajak Kasam,LJP,15180,466,0.334069337309666,10,13,2,GJ,Sumra Abdulrajak Kasam,LJP,,,,,False,13,2012,AE
1291691,Sanghar Lakhamashi Mithubhai,JD(U),15182,436,0.312562727611619,11,13,2,GJ,Sanghar Lakhamashi Mithubhai,JD(U),,,,,False,13,2012,AE
