el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1291572,Chavda Vinod Lakhamashi,BJP,15159,70027,48.6339139372725,1,21,1,GJ,Chavda Vinod Lakhamashi,BJP,,,,,True,21,2014,GE
1291573,Dr.Dinesh Parmar,INC,15160,58184,40.4089229658027,2,21,1,GJ,Dr.Dinesh Parmar,INC,,,,,False,21,2014,GE
1291574,Hirji Punjabhai Siju,BMUP,15169,6600,4.58371530960913,3,21,1,GJ,Hirji Punjabhai Siju,BMUP,,,,,False,21,2014,GE
1291575,Kamalbhai Matang,BSP,15163,4633,3.21762924688168,4,21,1,GJ,Kamalbhai Matang,BSP,,,,,False,21,2014,GE
1291576,Nota,NOTA,15161,2712,1.88349029085757,5,21,1,GJ,Nota,NOTA,,,,,False,21,2014,GE
1291577,Danicha Govindbhai Punamchand,AAAP,15172,1832,1.27232824957635,6,21,1,GJ,Danicha Govindbhai Punamchand,AAAP,,,,,False,21,2014,GE
1291649,Chavda Vinod Lakhamashi,BJP,15159,83553,62.9828132066938,1,21,2,GJ,Chavda Vinod Lakhamashi,BJP,,,,,True,21,2014,GE
1291650,Dr.Dinesh Parmar,INC,15160,40291,30.3716267149102,2,21,2,GJ,Dr.Dinesh Parmar,INC,,,,,False,21,2014,GE
1291651,Hirji Punjabhai Siju,BMUP,15169,3077,2.31946328961254,3,21,2,GJ,Hirji Punjabhai Siju,BMUP,,,,,False,21,2014,GE
1291652,Kamalbhai Matang,BSP,15163,2309,1.74053972561435,4,21,2,GJ,Kamalbhai Matang,BSP,,,,,False,21,2014,GE
1291653,Nota,NOTA,15161,1806,1.36137494346449,5,21,2,GJ,Nota,NOTA,,,,,False,21,2014,GE
1291654,Danicha Govindbhai Punamchand,AAAP,15172,1624,1.2241821197045,6,21,2,GJ,Danicha Govindbhai Punamchand,AAAP,,,,,False,21,2014,GE
1291733,Chavda Vinod Lakhamashi,BJP,15159,87621,60.6508015615914,1,21,3,GJ,Chavda Vinod Lakhamashi,BJP,,,,,True,21,2014,GE
1291734,Dr.Dinesh Parmar,INC,15160,46800,32.3947171692,2,21,3,GJ,Dr.Dinesh Parmar,INC,,,,,False,21,2014,GE
1291735,Kamalbhai Matang,BSP,15163,2665,1.844699172135,3,21,3,GJ,Kamalbhai Matang,BSP,,,,,False,21,2014,GE
1291736,Danicha Govindbhai Punamchand,AAAP,15172,2589,1.79209236647562,4,21,3,GJ,Danicha Govindbhai Punamchand,AAAP,,,,,False,21,2014,GE
1291737,Nota,NOTA,15161,2542,1.75955921034415,5,21,3,GJ,Nota,NOTA,,,,,False,21,2014,GE
1291738,Hirji Punjabhai Siju,BMUP,15169,2251,1.55813052025362,6,21,3,GJ,Hirji Punjabhai Siju,BMUP,,,,,False,21,2014,GE
1291814,Chavda Vinod Lakhamashi,BJP,15159,81039,64.6166726468125,1,21,4,GJ,Chavda Vinod Lakhamashi,BJP,,,,,True,21,2014,GE
1291815,Dr.Dinesh Parmar,INC,15160,35348,28.1848263764302,2,21,4,GJ,Dr.Dinesh Parmar,INC,,,,,False,21,2014,GE
1291816,Kamalbhai Matang,BSP,15163,2517,2.00693696926204,3,21,4,GJ,Kamalbhai Matang,BSP,,,,,False,21,2014,GE
1291817,Hirji Punjabhai Siju,BMUP,15169,2246,1.79085436351313,4,21,4,GJ,Hirji Punjabhai Siju,BMUP,,,,,False,21,2014,GE
1291818,Nota,NOTA,15161,2230,1.77809671889327,5,21,4,GJ,Nota,NOTA,,,,,False,21,2014,GE
1291819,Danicha Govindbhai Punamchand,AAAP,15172,2035,1.6226129250887,6,21,4,GJ,Danicha Govindbhai Punamchand,AAAP,,,,,False,21,2014,GE
1291890,Chavda Vinod Lakhamashi,BJP,15159,90064,63.9668177104788,1,21,5,GJ,Chavda Vinod Lakhamashi,BJP,,,,,True,21,2014,GE
1291891,Dr.Dinesh Parmar,INC,15160,38821,27.5721246040426,2,21,5,GJ,Dr.Dinesh Parmar,INC,,,,,False,21,2014,GE
1291892,Hirji Punjabhai Siju,BMUP,15169,4330,3.07532777454225,3,21,5,GJ,Hirji Punjabhai Siju,BMUP,,,,,False,21,2014,GE
1291893,Danicha Govindbhai Punamchand,AAAP,15172,2840,2.01707410616628,4,21,5,GJ,Danicha Govindbhai Punamchand,AAAP,,,,,False,21,2014,GE
1291894,Kamalbhai Matang,BSP,15163,2566,1.82246906916291,5,21,5,GJ,Kamalbhai Matang,BSP,,,,,False,21,2014,GE
1291895,Nota,NOTA,15161,2177,1.54618673560703,6,21,5,GJ,Nota,NOTA,,,,,False,21,2014,GE
1291969,Chavda Vinod Lakhamashi,BJP,15159,64082,54.2002165234454,1,21,6,GJ,Chavda Vinod Lakhamashi,BJP,,,,,True,21,2014,GE
1291970,Dr.Dinesh Parmar,INC,15160,42836,36.2304621422288,2,21,6,GJ,Dr.Dinesh Parmar,INC,,,,,False,21,2014,GE
1291971,Kamalbhai Matang,BSP,15163,3970,3.35780499357196,3,21,6,GJ,Kamalbhai Matang,BSP,,,,,False,21,2014,GE
1291972,Nota,NOTA,15161,2988,2.5272345896204,4,21,6,GJ,Nota,NOTA,,,,,False,21,2014,GE
1291973,Danicha Govindbhai Punamchand,AAAP,15172,2568,2.17200081196292,5,21,6,GJ,Danicha Govindbhai Punamchand,AAAP,,,,,False,21,2014,GE
1291974,Hirji Punjabhai Siju,BMUP,15169,1788,1.51228093917044,6,21,6,GJ,Hirji Punjabhai Siju,BMUP,,,,,False,21,2014,GE
1292056,Chaudhary Haribhai Parthibhai,BJP,15159,74959,57.3155532446877,1,21,7,GJ,Chaudhary Haribhai Parthibhai,BJP,,,,,False,21,2014,GE
1292057,Patel Joitabhai Kasnabhai,INC,15160,43304,33.1113371003876,2,21,7,GJ,Patel Joitabhai Kasnabhai,INC,,,,,True,21,2014,GE
1292058,Nota,NOTA,15161,2888,2.20823807375576,3,21,7,GJ,Nota,NOTA,,,,,False,21,2014,GE
1292059,Babaji Thakor,IND,15162,2537,1.93985456825428,4,21,7,GJ,Babaji Thakor,IND,,,,,False,21,2014,GE
1292060,Mahant Parsotamgiri Turantgiri,BSP,15163,1518,1.16070131439101,5,21,7,GJ,Mahant Parsotamgiri Turantgiri,BSP,,,,,False,21,2014,GE
1292061,Solanki Saybabhai Nanabhai,IND,15162,1238,0.946606210287269,6,21,7,GJ,Solanki Saybabhai Nanabhai,IND,,,,,False,21,2014,GE
