el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1506071,HANS RAJ,BJP,16533,28293,53.3689214169841,1,29,1,HP,HANS RAJ,BJP,,,,,True,29,2017,AE
1506072,SURINDER BHARDWAJ,INC,16534,23349,44.0430829592183,2,29,1,HP,SURINDER BHARDWAJ,INC,,,,,True,29,2017,AE
1506073,None of the Above,NOTA,16540,505,0.952578564152865,3,29,1,HP,None of the Above,NOTA,,,,,False,29,2017,AE
1506074,NAND KUMAR,SP,16542,442,0.833742030407062,4,29,1,HP,NAND KUMAR,SP,,,,,False,29,2017,AE
1506075,DES RAJ,IND,16536,425,0.801675029237559,5,29,1,HP,DES RAJ,IND,,,,,False,29,2017,AE
1506126,JIA LAL,BJP,16533,25744,49.6164668696758,1,29,2,HP,JIA LAL,BJP,,,,,True,29,2017,AE
1506127,THAKUR SINGH BHARMOURI,INC,16534,18395,35.4527232779555,2,29,2,HP,THAKUR SINGH BHARMOURI,INC,,,,,True,29,2017,AE
1506128,LALIT THAKUR,IND,16536,6255,12.0552750260185,3,29,2,HP,LALIT THAKUR,IND,,,,,False,29,2017,AE
1506129,JANAM SINGH,IND,16536,769,1.48209536291099,4,29,2,HP,JANAM SINGH,IND,,,,,False,29,2017,AE
1506130,None of the Above,NOTA,16540,723,1.39343946343907,5,29,2,HP,None of the Above,NOTA,,,,,False,29,2017,AE
1506191,PAWAN NAYYAR,BJP,16533,26763,49.3263542031442,1,29,3,HP,PAWAN NAYYAR,BJP,,,,,False,29,2017,AE
1506192,NEERAJ NAYAR,INC,16534,24884,45.8632065908546,2,29,3,HP,NEERAJ NAYAR,INC,,,,,False,29,2017,AE
1506193,DR. D. K. SONI,IND,16536,725,1.33623311277807,3,29,3,HP,DR. D. K. SONI,IND,,,,,False,29,2017,AE
1506194,None of the Above,NOTA,16540,674,1.24223602484472,4,29,3,HP,None of the Above,NOTA,,,,,False,29,2017,AE
1506195,B. K. CHAUHAN,IND,16536,649,1.19615902095582,5,29,3,HP,B. K. CHAUHAN,IND,,,,,False,29,2017,AE
1506196,PARAS RAM BHARDWAJ,BSP,16537,562,1.03581104742245,6,29,3,HP,PARAS RAM BHARDWAJ,BSP,,,,,False,29,2017,AE
1506248,ASHA KUMARI,INC,16534,24224,48.7718450511395,1,29,4,HP,ASHA KUMARI,INC,,,,,True,29,2017,AE
1506249,D. S. THAKUR,BJP,16533,23668,47.6524120157848,2,29,4,HP,D. S. THAKUR,BJP,,,,,False,29,2017,AE
1506250,DHIAN SINGH,CPI,16560,720,1.44962551340903,3,29,4,HP,DHIAN SINGH,CPI,,,,,False,29,2017,AE
1506251,None of the Above,NOTA,16540,569,1.14560682934686,4,29,4,HP,None of the Above,NOTA,,,,,False,29,2017,AE
1506252,VIRENDER SHARMA,RADM,16555,487,0.980510590319722,5,29,4,HP,VIRENDER SHARMA,RADM,,,,,False,29,2017,AE
1506305,BIKRAM SINGH JARYAL,BJP,16533,29119,54.8204906150573,1,29,5,HP,BIKRAM SINGH JARYAL,BJP,,,,,True,29,2017,AE
1506306,KULDEEP SINGH PATHANIA,INC,16534,22234,41.8585386975921,2,29,5,HP,KULDEEP SINGH PATHANIA,INC,,,,,True,29,2017,AE
1506307,None of the Above,NOTA,16540,655,1.23312687086996,3,29,5,HP,None of the Above,NOTA,,,,,False,29,2017,AE
1506308,RAHUL RANPATIA,IND,16536,624,1.1747651411036,4,29,5,HP,RAHUL RANPATIA,IND,,,,,False,29,2017,AE
1506309,NAGESH KUMAR,IND,16536,485,0.913078675376997,5,29,5,HP,NAGESH KUMAR,IND,,,,,False,29,2017,AE
1506361,RAKESH PATHANIA,BJP,16533,34871,54.4536056716324,1,29,6,HP,RAKESH PATHANIA,BJP,,,,,False,29,2017,AE
1506362,AJAY MAHAJAN,INC,16534,28229,44.0816390268278,2,29,6,HP,AJAY MAHAJAN,INC,,,,,True,29,2017,AE
1506363,HARNAM SINGH,BSP,16537,484,0.755801243011961,3,29,6,HP,HARNAM SINGH,BSP,,,,,False,29,2017,AE
1506364,None of the Above,NOTA,16540,454,0.708954058527749,4,29,6,HP,None of the Above,NOTA,,,,,False,29,2017,AE
1506418,REETA DEVI,BJP,16533,29213,48.8038357445955,1,29,7,HP,REETA DEVI,BJP,,,,,True,29,2017,AE
1506419,KAMAL KISHOR,INC,16534,28118,46.9745063316515,2,29,7,HP,KAMAL KISHOR,INC,,,,,True,29,2017,AE
1506420,SUSHIL KUMAR,BSP,16537,952,1.59043068595676,3,29,7,HP,SUSHIL KUMAR,BSP,,,,,False,29,2017,AE
1506421,None of the Above,NOTA,16540,668,1.11597447291924,4,29,7,HP,None of the Above,NOTA,,,,,False,29,2017,AE
1506422,LAXMAN DASS,IND,16536,502,0.838651475157873,5,29,7,HP,LAXMAN DASS,IND,,,,,False,29,2017,AE
1506423,BALWANT SINGH,IND,16536,217,0.362524641651909,6,29,7,HP,BALWANT SINGH,IND,,,,,False,29,2017,AE
1506424,TILAK RAJ,IND,16536,188,0.314076648067092,7,29,7,HP,TILAK RAJ,IND,,,,,False,29,2017,AE
1506479,SUJAN SINGH PATHANIA,INC,16534,18962,32.4463989322564,1,29,8,HP,SUJAN SINGH PATHANIA,INC,,,,,True,29,2017,AE
1506480,KRIPAL SINGH PARMAR,BJP,16533,17678,30.2493112711965,2,29,8,HP,KRIPAL SINGH PARMAR,BJP,,,,,False,29,2017,AE
1506481,BALDEV THAKUR,IND,16536,13090,22.3986584760698,3,29,8,HP,BALDEV THAKUR,IND,,,,,False,29,2017,AE
1506482,DR. RAJAN SUSHANT,IND,16536,6205,10.6175459009941,4,29,8,HP,DR. RAJAN SUSHANT,IND,,,,,False,29,2017,AE
1506483,OM PARKASH,BSP,16537,830,1.42023579336424,5,29,8,HP,OM PARKASH,BSP,,,,,True,29,2017,AE
1506484,BIDHI CHAND SHARMA,IND,16536,580,0.992453927893088,6,29,8,HP,BIDHI CHAND SHARMA,IND,,,,,False,29,2017,AE
1506485,RASAL SINGH,LOGAP,16562,392,0.670761965058777,7,29,8,HP,RASAL SINGH,LOGAP,,,,,False,29,2017,AE
1506486,DR. ASHOK KUMAR SOMAL,IND,16536,375,0.641672798206738,8,29,8,HP,DR. ASHOK KUMAR SOMAL,IND,,,,,True,29,2017,AE
1506487,None of the Above,NOTA,16540,329,0.562960934960045,9,29,8,HP,None of the Above,NOTA,,,,,False,29,2017,AE
