el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1506131,Pratibha Singh,INC,16534,21150,56.4737924220982,1,44,2,HP,Pratibha Singh,INC,,,,,,44,2021,GE-BP
1506132,Brigadier Khushal Thakur,BJP,16533,15893,42.4367840645109,2,44,2,HP,Brigadier Khushal Thakur,BJP,,,,,,44,2021,GE-BP
1506133,Ambika Shyam,RLP,16559,185,0.493978798963979,3,44,2,HP,Ambika Shyam,RLP,,,,,,44,2021,GE-BP
1506134,Subhash Mohan Snehi,IND,16536,112,0.299057435048463,4,44,2,HP,Subhash Mohan Snehi,IND,,,,,,44,2021,GE-BP
1506135,Anil Kumar,IND,16536,57,0.152198873194307,5,44,2,HP,Anil Kumar,IND,,,,,,44,2021,GE-BP
1506136,Munshi Ram Thakur,HIMJKP,16546,54,0.14418840618408,6,44,2,HP,Munshi Ram Thakur,HIMJKP,,,,,,44,2021,GE-BP
1507297,Pratibha Singh,INC,16534,7734,57.5746296434154,1,44,21,HP,Pratibha Singh,INC,,,,,,44,2021,GE-BP
1507298,Brigadier Khushal Thakur,BJP,16533,5587,41.5916027692994,2,44,21,HP,Brigadier Khushal Thakur,BJP,,,,,,44,2021,GE-BP
1507299,Ambika Shyam,RLP,16559,59,0.439216854016228,3,44,21,HP,Ambika Shyam,RLP,,,,,,44,2021,GE-BP
1507301,Subhash Mohan Snehi,IND,16536,19,0.141442715700141,4,44,21,HP,Subhash Mohan Snehi,IND,,,,,,44,2021,GE-BP
1507300,Munshi Ram Thakur,HIMJKP,16546,19,0.141442715700141,4,44,21,HP,Munshi Ram Thakur,HIMJKP,,,,,,44,2021,GE-BP
1507302,Anil Kumar,IND,16536,15,0.111665301868532,6,44,21,HP,Anil Kumar,IND,,,,,,44,2021,GE-BP
1507363,Pratibha Singh,INC,16534,23092,51.6033877852019,1,44,22,HP,Pratibha Singh,INC,,,,,,44,2021,GE-BP
1507364,Brigadier Khushal Thakur,BJP,16533,21251,47.4893293704887,2,44,22,HP,Brigadier Khushal Thakur,BJP,,,,,,44,2021,GE-BP
1507365,Ambika Shyam,RLP,16559,192,0.429059867259603,3,44,22,HP,Ambika Shyam,RLP,,,,,,44,2021,GE-BP
1507366,Subhash Mohan Snehi,IND,16536,84,0.187713691926076,4,44,22,HP,Subhash Mohan Snehi,IND,,,,,,44,2021,GE-BP
