el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1506076,Dr Rajeev Bhardwaj,BJP,16533,34139,58.8167393139568,1,53,1,HP,Dr Rajeev Bhardwaj,BJP,,,,,True,53,2024,GE
1506077,Anand Sharma,INC,16534,22796,39.2743310993573,2,53,1,HP,Anand Sharma,INC,,,,,False,53,2024,GE
1506078,Nota,NOTA,16540,416,0.716710025326051,3,53,1,HP,Nota,NOTA,,,,,False,53,2024,GE
1506079,Advocate Sanjay Sharma,IND,16536,198,0.341126406284995,4,53,1,HP,Advocate Sanjay Sharma,IND,,,,,False,53,2024,GE
1506080,Rekha Chaudhary,BSP,16537,165,0.284272005237496,5,53,1,HP,Rekha Chaudhary,BSP,,,,,False,53,2024,GE
1506081,Dr Kehar Singh,IND,16536,159,0.273934841410678,6,53,1,HP,Dr Kehar Singh,IND,,,,,False,53,2024,GE
1506082,Jeevan Kumar,AKBRPRVP,16548,65,0.111985941457195,7,53,1,HP,Jeevan Kumar,AKBRPRVP,,,,,False,53,2024,GE
1506083,Achal Singh,IND,16536,27,0.0465172372206812,8,53,1,HP,Achal Singh,IND,,,,,False,53,2024,GE
1506084,Bhuvnesh Kumar,RTRYDVBHMP,16549,26,0.0447943765828782,9,53,1,HP,Bhuvnesh Kumar,RTRYDVBHMP,,,,,False,53,2024,GE
1506086,Narain Singh Dogra,HCHLJP,16551,26,0.04,9,53,1,HP,Narain Singh Dogra,HCHLJP,,,,,False,53,2024,GE
1506085,Dev Raj Bhardwaj,RTSMJD,16550,26,0.04,9,53,1,HP,Dev Raj Bhardwaj,RTSMJD,,,,,False,53,2024,GE
1506137,Kangna Ranaut,BJP,16533,27786,54.3789263557547,1,53,2,HP,Kangna Ranaut,BJP,,,,,True,53,2024,GE
1506138,Vikramaditya Singh,INC,16534,22253,43.5505019864179,2,53,2,HP,Vikramaditya Singh,INC,,,,,False,53,2024,GE
1506139,Nota,NOTA,16540,378,0.739769458089516,3,53,2,HP,Nota,NOTA,,,,,False,53,2024,GE
1506140,Dr. Prakash Chand Bhardwaj,BSP,16537,236,0.461866645791338,4,53,2,HP,Dr. Prakash Chand Bhardwaj,BSP,,,,,False,53,2024,GE
