el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1509866,Pardeep Chaudhary,INC,16578,57948,45.2609133725425,1,35,1,HR,Pardeep Chaudhary,INC,,,,,False,35,2019,AE
1509867,Latika Sharma,BJP,16577,52017,40.6284415493122,2,35,1,HR,Latika Sharma,BJP,,,,,True,35,2019,AE
1509868,Kiran Chaudhary,JNJP,16599,7739,6.04462981621638,3,35,1,HR,Kiran Chaudhary,JNJP,,,,,False,35,2019,AE
1509869,Satinder Singh,INLD,16579,4963,3.87640493318024,4,35,1,HR,Satinder Singh,INLD,,,,,False,35,2019,AE
1509870,Ashwani Nagra,BSP,16581,2573,2.00966953315993,5,35,1,HR,Ashwani Nagra,BSP,,,,,False,35,2019,AE
1509871,None Of The Above,NOTA,16583,737,0.575641836742663,6,35,1,HR,None Of The Above,NOTA,,,,,True,35,2019,AE
1509872,Umesh Kumar,IND,16584,684,0.534245612390749,7,35,1,HR,Umesh Kumar,IND,,,,,False,35,2019,AE
1509873,Parveen Kumar,AAAP,16580,446,0.348353133225546,8,35,1,HR,Parveen Kumar,AAAP,,,,,False,35,2019,AE
1509874,Charan Singh,SHPP,16600,394,0.30773796971046,9,35,1,HR,Charan Singh,SHPP,,,,,False,35,2019,AE
1509875,Vidya Rani,IND,16584,356,0.278057657910974,10,35,1,HR,Vidya Rani,IND,,,,,False,35,2019,AE
1509876,Meenakshi Sharma,JanSP,16601,174,0.135904585608173,11,35,1,HR,Meenakshi Sharma,JanSP,,,,,False,35,2019,AE
1509973,Gian Chand,BJP,16577,61537,48.8392765021944,1,35,2,HR,Gian Chand,BJP,,,,,True,35,2019,AE
1509974,Chander Mohan,INC,16578,55904,44.3686061000484,2,35,2,HR,Chander Mohan,INC,,,,,False,35,2019,AE
1509975,Karundeep Chaudhary,INLD,16579,2342,1.85874491067389,3,35,2,HR,Karundeep Chaudhary,INLD,,,,,False,35,2019,AE
1509976,None Of The Above,NOTA,16583,1195,0.948420225557345,4,35,2,HR,None Of The Above,NOTA,,,,,True,35,2019,AE
1509977,Roshan Lal Kocher,BSP,16581,1055,0.83730823260502,5,35,2,HR,Roshan Lal Kocher,BSP,,,,,False,35,2019,AE
