el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1509884,Banto Kataria,BJP,16577,69257,51.2897038457835,1,53,1,HR,Banto Kataria,BJP,,,,,True,53,2024,GE
1509885,Varun Chaudhry,INC,16578,58412,43.2582147803097,2,53,1,HR,Varun Chaudhry,INC,,,,,False,53,2024,GE
1509886,Kiran Punia,JNJP,16599,1914,1.41745228873369,3,53,1,HR,Kiran Punia,JNJP,,,,,False,53,2024,GE
1509887,Pawan Randhawa,BSP,16581,1340,0.992364716250342,4,53,1,HR,Pawan Randhawa,BSP,,,,,False,53,2024,GE
1509888,Kamal Kumar Barara,ASPKR,16603,868,0.642815353511415,5,53,1,HR,Kamal Kumar Barara,ASPKR,,,,,False,53,2024,GE
1509889,Gurpreet Singh,INLD,16579,825,0.610970814109352,6,53,1,HR,Gurpreet Singh,INLD,,,,,False,53,2024,GE
1509890,Nota,NOTA,16583,768,0.568758285134524,7,53,1,HR,Nota,NOTA,,,,,False,53,2024,GE
1509891,Baljeet Singh,BJKP,16604,379,0.28,8,53,1,HR,Baljeet Singh,BJKP,,,,,False,53,2024,GE
1509892,Rakesh Kumar,HAJP,16605,281,0.21,9,53,1,HR,Rakesh Kumar,HAJP,,,,,False,53,2024,GE
1509893,Gulab Singh Narwal,PPID,16590,240,0.177736964104538,10,53,1,HR,Gulab Singh Narwal,PPID,,,,,False,53,2024,GE
1509894,Mehar Singh Chalia,ESBD,16606,204,0.151076419488858,11,53,1,HR,Mehar Singh Chalia,ESBD,,,,,False,53,2024,GE
1509895,Beta Mam Chand Rattuwala,BHYUJEP,16607,158,0.117010168035488,12,53,1,HR,Beta Mam Chand Rattuwala,BHYUJEP,,,,,False,53,2024,GE
1509896,Mohar Singh Station Master (Retd.),IND,16584,149,0.110345031881567,13,53,1,HR,Mohar Singh Station Master (Retd.),IND,,,,,False,53,2024,GE
1509897,Suraj Kumar,BMUP,16588,141,0.104420466411416,14,53,1,HR,Suraj Kumar,BMUP,,,,,False,53,2024,GE
1509898,Dr. Nitesh Chopra (Honey),BSCP,16585,95,0.0703542149580466,15,53,1,HR,Dr. Nitesh Chopra (Honey),BSCP,,,,,False,53,2024,GE
1509995,Banto Kataria,BJP,16577,79172,56.052163939765,1,53,2,HR,Banto Kataria,BJP,,,,,True,53,2024,GE
1509996,Varun Chaudhry,INC,16578,56251,39.8245626455783,2,53,2,HR,Varun Chaudhry,INC,,,,,False,53,2024,GE
1509997,Pawan Randhawa,BSP,16581,1512,1.07046521342046,3,53,2,HR,Pawan Randhawa,BSP,,,,,False,53,2024,GE
1509998,Nota,NOTA,16583,1168,0.826920217774536,4,53,2,HR,Nota,NOTA,,,,,False,53,2024,GE
1509999,Kiran Punia,JNJP,16599,958,0.678244493688361,5,53,2,HR,Kiran Punia,JNJP,,,,,False,53,2024,GE
