el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1880501,Anant Kumar Ojha,BJP,19412,88904,42.2559578695209,1,35,1,JH,Anant Kumar Ojha,BJP,,,,,True,35,2019,AE
1880502,Md. Tajuddin,AJSUP,19441,76532,36.3755620407426,2,35,1,JH,Md. Tajuddin,AJSUP,,,,,False,35,2019,AE
1880503,Ketabuddin Sekh,JMM,19418,24619,11.7013793169006,3,35,1,JH,Ketabuddin Sekh,JMM,,,,,False,35,2019,AE
1880504,Pradip Kumar Singh,BSP,19413,3826,1.81849292280198,4,35,1,JH,Pradip Kumar Singh,BSP,,,,,False,35,2019,AE
1880505,Gopal Chandra Mandal,IND,19409,2617,1.24385676397615,5,35,1,JH,Gopal Chandra Mandal,IND,,,,,False,35,2019,AE
1880506,Nitya Nand Gupta,IND,19409,2614,1.24243086780041,6,35,1,JH,Nitya Nand Gupta,IND,,,,,False,35,2019,AE
1880507,Rajkishor Yadav,IND,19409,1421,0.675399488578571,7,35,1,JH,Rajkishor Yadav,IND,,,,,False,35,2019,AE
1880508,Pranjit Kumar,IND,19409,1348,0.640702681635407,8,35,1,JH,Pranjit Kumar,IND,,,,,False,35,2019,AE
1880509,Ravindra Prasad Sah,IND,19409,901,0.428244151449185,9,35,1,JH,Ravindra Prasad Sah,IND,,,,,False,35,2019,AE
1880510,Nasima Khanam,AIMIM,19444,862,0.409707501164481,10,35,1,JH,Nasima Khanam,AIMIM,,,,,False,35,2019,AE
1880511,None Of The Above,NOTA,19434,821,0.39022025342928,11,35,1,JH,None Of The Above,NOTA,,,,,True,35,2019,AE
1880512,Nand Lal Sah,IND,19409,809,0.384516668726294,12,35,1,JH,Nand Lal Sah,IND,,,,,False,35,2019,AE
1880513,Col. Bhagwan Yadav,RPPRINAT,24469,599,0.284703936424042,13,35,1,JH,Col. Bhagwan Yadav,RPPRINAT,,,,,False,35,2019,AE
1880514,Rajkumar Yadav,JVM,19415,594,0.282327442797798,14,35,1,JH,Rajkumar Yadav,JVM,,,,,False,35,2019,AE
1880515,Ajay Kuamr Das,IND,19409,577,0.274247364468568,15,35,1,JH,Ajay Kuamr Das,IND,,,,,False,35,2019,AE
1880516,Sheo Prasad Thakur,IND,19409,554,0.263315493787845,16,35,1,JH,Sheo Prasad Thakur,IND,,,,,False,35,2019,AE
1880517,Ramsagar Singh,RJBP,24470,552,0.262364896337348,17,35,1,JH,Ramsagar Singh,RJBP,,,,,False,35,2019,AE
1880518,Sanjay Kumar Mandal(Bachu),LJP,19422,520,0.247155337129385,18,35,1,JH,Sanjay Kumar Mandal(Bachu),LJP,,,,,False,35,2019,AE
1880519,Rameshwar Mandal,PPID,19437,407,0.193446581176269,19,35,1,JH,Rameshwar Mandal,PPID,,,,,False,35,2019,AE
1880520,Sanjay Kr. Pandey,SHS,19445,334,0.158749774233105,20,35,1,JH,Sanjay Kr. Pandey,SHS,,,,,False,35,2019,AE
1880521,Binod Kumar Yadav,IND,19409,306,0.145441409926138,21,35,1,JH,Binod Kumar Yadav,IND,,,,,True,35,2019,AE
1880522,Saddam Hussain Advocate,IND,19409,262,0.12452826601519,22,35,1,JH,Saddam Hussain Advocate,IND,,,,,False,35,2019,AE
1880523,Rajesh Mandal,IND,19409,220,0.10456571955474,23,35,1,JH,Rajesh Mandal,IND,,,,,False,35,2019,AE
1880524,Md Nawab Sheakh,RKSP,24454,195,0.0926832514235196,24,35,1,JH,Md Nawab Sheakh,RKSP,,,,,False,35,2019,AE
1880606,Lobin Hembrom,JMM,19418,77365,47.3957312291707,1,35,2,JH,Lobin Hembrom,JMM,,,,,True,35,2019,AE
1880607,Surya Narayan Hansda,BJP,19412,59441,36.4150411683983,2,35,2,JH,Surya Narayan Hansda,BJP,,,,,False,35,2019,AE
1880608,Tala Marandi,AJSUP,19441,8955,5.48605665555773,3,35,2,JH,Tala Marandi,AJSUP,,,,,False,35,2019,AE
1880609,Sona Ram Madaiya,CPI,19452,2705,1.65715055871397,4,35,2,JH,Sona Ram Madaiya,CPI,,,,,True,35,2019,AE
1880610,None Of The Above,NOTA,19434,2687,1.64612330915506,5,35,2,JH,None Of The Above,NOTA,,,,,True,35,2019,AE
1880611,Lukas Hansda,JD(U),19407,2181,1.33613507155459,6,35,2,JH,Lukas Hansda,JD(U),,,,,False,35,2019,AE
