el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1880437,Devidhan Besra,BJP,19412,42644,35.8938100769321,1,6,1,JH,Devidhan Besra,BJP,,,,,False,6,2009,GE
1880438,Thomas Hasda,RJD,19408,26827,22.580509401882,2,6,1,JH,Thomas Hasda,RJD,,,,,False,6,2009,GE
1880439,Hemlal Murmu,JMM,19418,18667,15.7121694190529,3,6,1,JH,Hemlal Murmu,JMM,,,,,False,6,2009,GE
1880440,Stiphen Marandi,JHJM,24447,12667,10.6619194316785,4,6,1,JH,Stiphen Marandi,JHJM,,,,,False,6,2009,GE
1880441,Jyotin Soren,CPM,19428,4955,4.17066478124,5,6,1,JH,Jyotin Soren,CPM,,,,,False,6,2009,GE
1880442,Som Marandi,JVM,19415,4134,3.47962224130094,6,6,1,JH,Som Marandi,JVM,,,,,False,6,2009,GE
1880443,Chandra Shekhar Azad,BSP,19413,2747,2.31217278588623,7,6,1,JH,Chandra Shekhar Azad,BSP,,,,,False,6,2009,GE
1880444,Charan Murmu,SHS,19445,1833,1.54285137114287,8,6,1,JH,Charan Murmu,SHS,,,,,False,6,2009,GE
1880445,Aameliya Hansda,RSP,24452,1585,1.33410770499806,9,6,1,JH,Aameliya Hansda,RSP,,,,,False,6,2009,GE
1880446,Sundar Tudu,BHJAP,24453,1094,0.920828914364594,10,6,1,JH,Sundar Tudu,BHJAP,,,,,False,6,2009,GE
1880447,Sukhwa Uraon,RKSP,24454,971,0.817298789623419,11,6,1,JH,Sukhwa Uraon,RKSP,,,,,False,6,2009,GE
1880448,Daud Marandi,SP,19414,682,0.57404508189822,12,6,1,JH,Daud Marandi,SP,,,,,False,6,2009,GE
1880540,Hemlal Murmu,JMM,19418,34937,33.9023017505725,1,6,2,JH,Hemlal Murmu,JMM,,,,,False,6,2009,GE
1880541,Devidhan Besra,BJP,19412,27778,26.9553235259868,2,6,2,JH,Devidhan Besra,BJP,,,,,False,6,2009,GE
1880542,Thomas Hasda,RJD,19408,17324,16.8109304040678,3,6,2,JH,Thomas Hasda,RJD,,,,,False,6,2009,GE
1880543,Stiphen Marandi,JHJM,24447,8641,8.38508714047277,4,6,2,JH,Stiphen Marandi,JHJM,,,,,False,6,2009,GE
1880544,Som Marandi,JVM,19415,3295,3.19741489733338,5,6,2,JH,Som Marandi,JVM,,,,,False,6,2009,GE
1880545,Aameliya Hansda,RSP,24452,2567,2.49097542988006,6,6,2,JH,Aameliya Hansda,RSP,,,,,False,6,2009,GE
1880546,Jyotin Soren,CPM,19428,2251,2.18433412257889,7,6,2,JH,Jyotin Soren,CPM,,,,,False,6,2009,GE
1880547,Chandra Shekhar Azad,BSP,19413,1931,1.87381127974226,8,6,2,JH,Chandra Shekhar Azad,BSP,,,,,False,6,2009,GE
1880548,Charan Murmu,SHS,19445,1519,1.4740131195901,9,6,2,JH,Charan Murmu,SHS,,,,,False,6,2009,GE
1880549,Sundar Tudu,BHJAP,24453,1101,1.06839265613476,10,6,2,JH,Sundar Tudu,BHJAP,,,,,False,6,2009,GE
1880550,Sukhwa Uraon,RKSP,24454,890,0.863641656639366,11,6,2,JH,Sukhwa Uraon,RKSP,,,,,False,6,2009,GE
1880551,Daud Marandi,SP,19414,818,0.793774017001125,12,6,2,JH,Daud Marandi,SP,,,,,False,6,2009,GE
1880634,Hemlal Murmu,JMM,19418,31519,34.9803007602241,1,6,3,JH,Hemlal Murmu,JMM,,,,,False,6,2009,GE
1880635,Thomas Hasda,RJD,19408,22781,25.2827257088951,2,6,3,JH,Thomas Hasda,RJD,,,,,False,6,2009,GE
1880636,Devidhan Besra,BJP,19412,12422,13.7861383940957,3,6,3,JH,Devidhan Besra,BJP,,,,,False,6,2009,GE
1880637,Stiphen Marandi,JHJM,24447,8848,9.8196548471228,4,6,3,JH,Stiphen Marandi,JHJM,,,,,False,6,2009,GE
1880638,Som Marandi,JVM,19415,3573,3.96537373064757,5,6,3,JH,Som Marandi,JVM,,,,,False,6,2009,GE
1880639,Aameliya Hansda,RSP,24452,2307,2.56034626269352,6,6,3,JH,Aameliya Hansda,RSP,,,,,False,6,2009,GE
1880640,Charan Murmu,SHS,19445,2090,2.31951612008212,7,6,3,JH,Charan Murmu,SHS,,,,,False,6,2009,GE
1880641,Jyotin Soren,CPM,19428,2068,2.29510016092336,8,6,3,JH,Jyotin Soren,CPM,,,,,False,6,2009,GE
1880642,Chandra Shekhar Azad,BSP,19413,1694,1.88002885522446,9,6,3,JH,Chandra Shekhar Azad,BSP,,,,,False,6,2009,GE
1880643,Sundar Tudu,BHJAP,24453,1135,1.25964152932689,10,6,3,JH,Sundar Tudu,BHJAP,,,,,False,6,2009,GE
1880644,Daud Marandi,SP,19414,839,0.931135897009045,11,6,3,JH,Daud Marandi,SP,,,,,False,6,2009,GE
1880645,Sukhwa Uraon,RKSP,24454,829,0.920037733755063,12,6,3,JH,Sukhwa Uraon,RKSP,,,,,False,6,2009,GE
1880726,Devidhan Besra,BJP,19412,19957,23.9957195589702,1,6,4,JH,Devidhan Besra,BJP,,,,,False,6,2009,GE
1880727,Hemlal Murmu,JMM,19418,18366,22.0827471774338,2,6,4,JH,Hemlal Murmu,JMM,,,,,False,6,2009,GE
1880728,Thomas Hasda,RJD,19408,14916,17.934566966057,3,6,4,JH,Thomas Hasda,RJD,,,,,False,6,2009,GE
1880729,Stiphen Marandi,JHJM,24447,11464,13.7839820125287,4,6,4,JH,Stiphen Marandi,JHJM,,,,,False,6,2009,GE
1880730,Som Marandi,JVM,19415,8936,10.7443879330038,5,6,4,JH,Som Marandi,JVM,,,,,False,6,2009,GE
1880731,Charan Murmu,SHS,19445,1923,2.31215957868917,6,6,4,JH,Charan Murmu,SHS,,,,,False,6,2009,GE
1880732,Aameliya Hansda,RSP,24452,1781,2.14142288593105,7,6,4,JH,Aameliya Hansda,RSP,,,,,False,6,2009,GE
1880733,Jyotin Soren,CPM,19428,1595,1.91778186583943,8,6,4,JH,Jyotin Soren,CPM,,,,,False,6,2009,GE
1880734,Chandra Shekhar Azad,BSP,19413,1328,1.59674878861114,9,6,4,JH,Chandra Shekhar Azad,BSP,,,,,False,6,2009,GE
1880735,Sundar Tudu,BHJAP,24453,1193,1.43442869338335,10,6,4,JH,Sundar Tudu,BHJAP,,,,,False,6,2009,GE
1880736,Sukhwa Uraon,RKSP,24454,881,1.05928891774579,11,6,4,JH,Sukhwa Uraon,RKSP,,,,,False,6,2009,GE
1880737,Daud Marandi,SP,19414,829,0.996765621806201,12,6,4,JH,Daud Marandi,SP,,,,,False,6,2009,GE
1880815,Thomas Hasda,RJD,19408,39015,27.1418136283001,1,6,5,JH,Thomas Hasda,RJD,,,,,False,6,2009,GE
1880816,Devidhan Besra,BJP,19412,34956,24.3180632369821,2,6,5,JH,Devidhan Besra,BJP,,,,,False,6,2009,GE
1880817,Hemlal Murmu,JMM,19418,34683,24.128143587603,3,6,5,JH,Hemlal Murmu,JMM,,,,,False,6,2009,GE
1880818,Jyotin Soren,CPM,19428,11929,8.29872343385856,4,6,5,JH,Jyotin Soren,CPM,,,,,False,6,2009,GE
1880819,Stiphen Marandi,JHJM,24447,6151,4.27910536018644,5,6,5,JH,Stiphen Marandi,JHJM,,,,,False,6,2009,GE
1880820,Som Marandi,JVM,19415,5416,3.76778322724268,6,6,5,JH,Som Marandi,JVM,,,,,False,6,2009,GE
1880821,Aameliya Hansda,RSP,24452,3224,2.24286062123899,7,6,5,JH,Aameliya Hansda,RSP,,,,,False,6,2009,GE
1880822,Charan Murmu,SHS,19445,2675,1.86093429336672,8,6,5,JH,Charan Murmu,SHS,,,,,False,6,2009,GE
1880823,Chandra Shekhar Azad,BSP,19413,2025,1.40874465198789,9,6,5,JH,Chandra Shekhar Azad,BSP,,,,,False,6,2009,GE
1880824,Sundar Tudu,BHJAP,24453,1457,1.01360047305993,10,6,5,JH,Sundar Tudu,BHJAP,,,,,False,6,2009,GE
1880825,Daud Marandi,SP,19414,1119,0.77846185954294,11,6,5,JH,Daud Marandi,SP,,,,,False,6,2009,GE
1880826,Sukhwa Uraon,RKSP,24454,1095,0.761765626630491,12,6,5,JH,Sukhwa Uraon,RKSP,,,,,False,6,2009,GE
1880910,Devidhan Besra,BJP,19412,30598,28.9701663526448,1,6,6,JH,Devidhan Besra,BJP,,,,,False,6,2009,GE
1880911,Hemlal Murmu,JMM,19418,21201,20.0730929094197,2,6,6,JH,Hemlal Murmu,JMM,,,,,False,6,2009,GE
1880912,Som Marandi,JVM,19415,14839,14.0495554777076,3,6,6,JH,Som Marandi,JVM,,,,,False,6,2009,GE
1880913,Thomas Hasda,RJD,19408,14147,13.3943703310957,4,6,6,JH,Thomas Hasda,RJD,,,,,False,6,2009,GE
1880914,Stiphen Marandi,JHJM,24447,10254,9.7084804817315,5,6,6,JH,Stiphen Marandi,JHJM,,,,,False,6,2009,GE
1880915,Jyotin Soren,CPM,19428,4613,4.36758537763091,6,6,6,JH,Jyotin Soren,CPM,,,,,False,6,2009,GE
1880916,Daud Marandi,SP,19414,2602,2.46357189520824,7,6,6,JH,Daud Marandi,SP,,,,,False,6,2009,GE
1880917,Aameliya Hansda,RSP,24452,2238,2.11893693369564,8,6,6,JH,Aameliya Hansda,RSP,,,,,False,6,2009,GE
1880918,Charan Murmu,SHS,19445,1864,1.76483397873488,9,6,6,JH,Charan Murmu,SHS,,,,,False,6,2009,GE
1880919,Chandra Shekhar Azad,BSP,19413,1348,1.27628551681042,10,6,6,JH,Chandra Shekhar Azad,BSP,,,,,False,6,2009,GE
1880920,Sundar Tudu,BHJAP,24453,1044,0.988458515986706,11,6,6,JH,Sundar Tudu,BHJAP,,,,,False,6,2009,GE
1880921,Sukhwa Uraon,RKSP,24454,871,0.824662229333737,12,6,6,JH,Sukhwa Uraon,RKSP,,,,,False,6,2009,GE
1881004,Sunil Soren,BJP,19412,29923,31.2916989103381,1,6,7,JH,Sunil Soren,BJP,,,,,False,6,2009,GE
1881005,Shibu Soren,JMM,19418,27533,28.7923786417919,2,6,7,JH,Shibu Soren,JMM,,,,,False,6,2009,GE
1881006,Ramesh Hembrom,JVM,19415,11011,11.5146508271808,3,6,7,JH,Ramesh Hembrom,JVM,,,,,False,6,2009,GE
1881007,Ramesh Tudu,RJD,19408,3523,3.68414447953485,4,6,7,JH,Ramesh Tudu,RJD,,,,,False,6,2009,GE
1881008,Nandlal Soren,IND,19409,3288,3.43839541547277,5,6,7,JH,Nandlal Soren,IND,,,,,False,6,2009,GE
1881009,Pashupati Kol,CPI,19452,3143,3.28676301424298,6,6,7,JH,Pashupati Kol,CPI,,,,,False,6,2009,GE
1881010,Bitiya Manjhi,CPI(ML)(L),19471,3122,3.26480245958212,7,6,7,JH,Bitiya Manjhi,CPI(ML)(L),,,,,False,6,2009,GE
1881011,Bivisan Pujhar,IND,19409,2572,2.68964507560705,8,6,7,JH,Bivisan Pujhar,IND,,,,,False,6,2009,GE
1881012,Pulice Hemram,IND,19409,1549,1.61985234141342,9,6,7,JH,Pulice Hemram,IND,,,,,False,6,2009,GE
1881013,Churka Tudu,BSP,19413,1420,1.48495179135381,10,6,7,JH,Churka Tudu,BSP,,,,,False,6,2009,GE
1881014,Kaleshwar Soren,IND,19409,1375,1.43789345993767,11,6,7,JH,Kaleshwar Soren,IND,,,,,False,6,2009,GE
1881015,Hopna Baski,IND,19409,1331,1.39188086921966,12,6,7,JH,Hopna Baski,IND,,,,,False,6,2009,GE
1881016,Arjun Pujhar,SP,19414,1307,1.36678309246439,13,6,7,JH,Arjun Pujhar,SP,,,,,False,6,2009,GE
1881017,Charles Murmu,IND,19409,1253,1.31031309476502,14,6,7,JH,Charles Murmu,IND,,,,,False,6,2009,GE
1881018,Nirmala Murmu,RSP,24452,987,1.03214606906071,15,6,7,JH,Nirmala Murmu,RSP,,,,,False,6,2009,GE
1881019,Phatik Chandra Hembram,AJSUP,19441,851,0.889925334114153,16,6,7,JH,Phatik Chandra Hembram,AJSUP,,,,,False,6,2009,GE
1881020,Ramjivan Dehri,SAP,19461,811,0.848095706188693,17,6,7,JH,Ramjivan Dehri,SAP,,,,,False,6,2009,GE
1881021,Cyril Hansda,IND,19409,349,0.364963503649635,18,6,7,JH,Cyril Hansda,IND,,,,,False,6,2009,GE
1881022,Sona Murmu,IND,19409,278,0.290715914081944,19,6,7,JH,Sona Murmu,IND,,,,,False,6,2009,GE
1881112,Sunil Soren,BJP,19412,33690,32.2367665633252,1,6,8,JH,Sunil Soren,BJP,,,,,False,6,2009,GE
1881113,Shibu Soren,JMM,19418,32764,31.3507099934933,2,6,8,JH,Shibu Soren,JMM,,,,,False,6,2009,GE
1881114,Pashupati Kol,CPI,19452,9023,8.63378880085735,3,6,8,JH,Pashupati Kol,CPI,,,,,False,6,2009,GE
1881115,Ramesh Hembrom,JVM,19415,7025,6.72197343744019,4,6,8,JH,Ramesh Hembrom,JVM,,,,,False,6,2009,GE
1881116,Phatik Chandra Hembram,AJSUP,19441,4206,4.02457228154782,5,6,8,JH,Phatik Chandra Hembram,AJSUP,,,,,False,6,2009,GE
1881117,Bivisan Pujhar,IND,19409,2625,2.51176943391893,6,6,8,JH,Bivisan Pujhar,IND,,,,,False,6,2009,GE
1881118,Nandlal Soren,IND,19409,2171,2.07735292991924,7,6,8,JH,Nandlal Soren,IND,,,,,False,6,2009,GE
1881119,Pulice Hemram,IND,19409,1840,1.76063076510889,8,6,8,JH,Pulice Hemram,IND,,,,,False,6,2009,GE
1881120,Ramesh Tudu,RJD,19408,1822,1.7434072032763,9,6,8,JH,Ramesh Tudu,RJD,,,,,False,6,2009,GE
1881121,Churka Tudu,BSP,19413,1428,1.3664025720519,10,6,8,JH,Churka Tudu,BSP,,,,,False,6,2009,GE
1881122,Charles Murmu,IND,19409,1413,1.35204960385807,11,6,8,JH,Charles Murmu,IND,,,,,False,6,2009,GE
1881123,Kaleshwar Soren,IND,19409,1348,1.28985340835151,12,6,8,JH,Kaleshwar Soren,IND,,,,,False,6,2009,GE
1881124,Bitiya Manjhi,CPI(ML)(L),19471,1248,1.19416695372603,13,6,8,JH,Bitiya Manjhi,CPI(ML)(L),,,,,False,6,2009,GE
1881125,Arjun Pujhar,SP,19414,979,0.93677039078348,14,6,8,JH,Arjun Pujhar,SP,,,,,False,6,2009,GE
1881126,Nirmala Murmu,RSP,24452,916,0.876487924369426,15,6,8,JH,Nirmala Murmu,RSP,,,,,False,6,2009,GE
1881127,Hopna Baski,IND,19409,642,0.614307038695602,16,6,8,JH,Hopna Baski,IND,,,,,False,6,2009,GE
1881128,Ramjivan Dehri,SAP,19461,581,0.555938301374057,17,6,8,JH,Ramjivan Dehri,SAP,,,,,False,6,2009,GE
1881129,Sona Murmu,IND,19409,426,0.407624296704558,18,6,8,JH,Sona Murmu,IND,,,,,False,6,2009,GE
1881130,Cyril Hansda,IND,19409,361,0.345428101197994,19,6,8,JH,Cyril Hansda,IND,,,,,False,6,2009,GE
1881242,Shibu Soren,JMM,19418,42662,35.6321359069231,1,6,9,JH,Shibu Soren,JMM,,,,,False,6,2009,GE
1881243,Sunil Soren,BJP,19412,31191,26.051332592772,2,6,9,JH,Sunil Soren,BJP,,,,,False,6,2009,GE
1881244,Ramesh Hembrom,JVM,19415,17059,14.248010089452,3,6,9,JH,Ramesh Hembrom,JVM,,,,,False,6,2009,GE
1881245,Ramesh Tudu,RJD,19408,5804,4.84761419539125,4,6,9,JH,Ramesh Tudu,RJD,,,,,False,6,2009,GE
1881246,Churka Tudu,BSP,19413,4589,3.83282245738292,5,6,9,JH,Churka Tudu,BSP,,,,,False,6,2009,GE
1881247,Bivisan Pujhar,IND,19409,3534,2.95166584536745,6,6,9,JH,Bivisan Pujhar,IND,,,,,False,6,2009,GE
1881248,Pashupati Kol,CPI,19452,2149,1.79488678599169,7,6,9,JH,Pashupati Kol,CPI,,,,,False,6,2009,GE
1881249,Nandlal Soren,IND,19409,2008,1.67712083121048,8,6,9,JH,Nandlal Soren,IND,,,,,False,6,2009,GE
1881250,Pulice Hemram,IND,19409,1640,1.36976004142688,9,6,9,JH,Pulice Hemram,IND,,,,,False,6,2009,GE
1881251,Charles Murmu,IND,19409,1216,1.01562695754579,10,6,9,JH,Charles Murmu,IND,,,,,False,6,2009,GE
1881252,Arjun Pujhar,SP,19414,1153,0.963008126686099,11,6,9,JH,Arjun Pujhar,SP,,,,,False,6,2009,GE
1881253,Kaleshwar Soren,IND,19409,1069,0.892849685539844,12,6,9,JH,Kaleshwar Soren,IND,,,,,False,6,2009,GE
1881254,Hopna Baski,IND,19409,1010,0.843571732829974,13,6,9,JH,Hopna Baski,IND,,,,,False,6,2009,GE
1881255,Ramjivan Dehri,SAP,19461,999,0.834384317917964,14,6,9,JH,Ramjivan Dehri,SAP,,,,,False,6,2009,GE
1881256,Bitiya Manjhi,CPI(ML)(L),19471,967,0.807657292719391,15,6,9,JH,Bitiya Manjhi,CPI(ML)(L),,,,,False,6,2009,GE
1881257,Nirmala Murmu,RSP,24452,728,0.608039823267545,16,6,9,JH,Nirmala Murmu,RSP,,,,,False,6,2009,GE
1881258,Phatik Chandra Hembram,AJSUP,19441,722,0.603028506042813,17,6,9,JH,Phatik Chandra Hembram,AJSUP,,,,,False,6,2009,GE
1881259,Cyril Hansda,IND,19409,647,0.540387040733656,18,6,9,JH,Cyril Hansda,IND,,,,,False,6,2009,GE
1881260,Sona Murmu,IND,19409,582,0.486097770799054,19,6,9,JH,Sona Murmu,IND,,,,,False,6,2009,GE
1881354,Sunil Soren,BJP,19412,35202,36.4753546301381,1,6,10,JH,Sunil Soren,BJP,,,,,False,6,2009,GE
1881355,Shibu Soren,JMM,19418,28658,29.694639878146,2,6,10,JH,Shibu Soren,JMM,,,,,False,6,2009,GE
1881356,Ramesh Hembrom,JVM,19415,9724,10.0757442311079,3,6,10,JH,Ramesh Hembrom,JVM,,,,,False,6,2009,GE
1881357,Nandlal Soren,IND,19409,6797,7.04286646841227,4,6,10,JH,Nandlal Soren,IND,,,,,False,6,2009,GE
1881358,Bivisan Pujhar,IND,19409,2356,2.44122309836388,5,6,10,JH,Bivisan Pujhar,IND,,,,,False,6,2009,GE
1881359,Pashupati Kol,CPI,19452,2340,2.42464433368908,6,6,10,JH,Pashupati Kol,CPI,,,,,False,6,2009,GE
1881360,Kaleshwar Soren,IND,19409,1390,1.440280181123,7,6,10,JH,Kaleshwar Soren,IND,,,,,False,6,2009,GE
1881361,Pulice Hemram,IND,19409,1268,1.31386710047767,8,6,10,JH,Pulice Hemram,IND,,,,,False,6,2009,GE
1881362,Churka Tudu,BSP,19413,1245,1.29003512625765,9,6,10,JH,Churka Tudu,BSP,,,,,False,6,2009,GE
1881363,Ramesh Tudu,RJD,19408,1212,1.25584142411588,10,6,10,JH,Ramesh Tudu,RJD,,,,,False,6,2009,GE
1881364,Arjun Pujhar,SP,19414,1195,1.23822648664891,11,6,10,JH,Arjun Pujhar,SP,,,,,False,6,2009,GE
1881365,Charles Murmu,IND,19409,974,1.00923229957827,12,6,10,JH,Charles Murmu,IND,,,,,False,6,2009,GE
1881366,Bitiya Manjhi,CPI(ML)(L),19471,828,0.857951071920753,13,6,10,JH,Bitiya Manjhi,CPI(ML)(L),,,,,False,6,2009,GE
1881367,Phatik Chandra Hembram,AJSUP,19441,786,0.81443181464941,14,6,10,JH,Phatik Chandra Hembram,AJSUP,,,,,False,6,2009,GE
1881368,Hopna Baski,IND,19409,678,0.70252515309453,15,6,10,JH,Hopna Baski,IND,,,,,False,6,2009,GE
1881369,Nirmala Murmu,RSP,24452,630,0.652788859070138,16,6,10,JH,Nirmala Murmu,RSP,,,,,False,6,2009,GE
1881370,Ramjivan Dehri,SAP,19461,505,0.523267260048285,17,6,10,JH,Ramjivan Dehri,SAP,,,,,False,6,2009,GE
1881371,Cyril Hansda,IND,19409,391,0.405143561740355,18,6,10,JH,Cyril Hansda,IND,,,,,False,6,2009,GE
1881372,Sona Murmu,IND,19409,330,0.341937021417691,19,6,10,JH,Sona Murmu,IND,,,,,False,6,2009,GE
1881472,Shibu Soren,JMM,19418,40132,43.8572334054597,1,6,11,JH,Shibu Soren,JMM,,,,,False,6,2009,GE
1881473,Sunil Soren,BJP,19412,23746,25.9502109151312,2,6,11,JH,Sunil Soren,BJP,,,,,False,6,2009,GE
1881474,Ramesh Hembrom,JVM,19415,5765,6.30013332459073,3,6,11,JH,Ramesh Hembrom,JVM,,,,,False,6,2009,GE
1881475,Arjun Pujhar,SP,19414,3448,3.7680589250978,4,6,11,JH,Arjun Pujhar,SP,,,,,False,6,2009,GE
1881476,Bivisan Pujhar,IND,19409,2824,3.08613642821235,5,6,11,JH,Bivisan Pujhar,IND,,,,,False,6,2009,GE
1881477,Pashupati Kol,CPI,19452,1992,2.17690643236509,6,6,11,JH,Pashupati Kol,CPI,,,,,False,6,2009,GE
1881478,Nandlal Soren,IND,19409,1936,2.11570825956767,7,6,11,JH,Nandlal Soren,IND,,,,,False,6,2009,GE
1881479,Ramesh Tudu,RJD,19408,1728,1.88840076060586,8,6,11,JH,Ramesh Tudu,RJD,,,,,False,6,2009,GE
1881480,Churka Tudu,BSP,19413,1585,1.73212685506961,9,6,11,JH,Churka Tudu,BSP,,,,,False,6,2009,GE
1881481,Pulice Hemram,IND,19409,1410,1.54088256507769,10,6,11,JH,Pulice Hemram,IND,,,,,False,6,2009,GE
1881482,Charles Murmu,IND,19409,1143,1.24909841977575,11,6,11,JH,Charles Murmu,IND,,,,,False,6,2009,GE
1881483,Kaleshwar Soren,IND,19409,994,1.08626756715406,12,6,11,JH,Kaleshwar Soren,IND,,,,,False,6,2009,GE
1881484,Nirmala Murmu,RSP,24452,908,0.992284658929469,13,6,11,JH,Nirmala Murmu,RSP,,,,,False,6,2009,GE
1881485,Hopna Baski,IND,19409,903,0.986820536358271,14,6,11,JH,Hopna Baski,IND,,,,,False,6,2009,GE
1881486,Bitiya Manjhi,CPI(ML)(L),19471,901,0.984634887329792,15,6,11,JH,Bitiya Manjhi,CPI(ML)(L),,,,,False,6,2009,GE
1881487,Ramjivan Dehri,SAP,19461,603,0.65897318208642,16,6,11,JH,Ramjivan Dehri,SAP,,,,,False,6,2009,GE
1881488,Phatik Chandra Hembram,AJSUP,19441,586,0.640395165344349,17,6,11,JH,Phatik Chandra Hembram,AJSUP,,,,,False,6,2009,GE
1881489,Cyril Hansda,IND,19409,562,0.6141673770026,18,6,11,JH,Cyril Hansda,IND,,,,,False,6,2009,GE
1881490,Sona Murmu,IND,19409,340,0.371560334841431,19,6,11,JH,Sona Murmu,IND,,,,,False,6,2009,GE
1881596,Furkan Ansari,INC,19421,23904,23.8241889669606,1,6,12,JH,Furkan Ansari,INC,,,,,False,6,2009,GE
1881597,Nishikant Dubey,BJP,19412,23214,23.1364927492898,2,6,12,JH,Nishikant Dubey,BJP,,,,,False,6,2009,GE
1881598,Pradeep Yadav,JVM,19415,15647,15.5947575621667,3,6,12,JH,Pradeep Yadav,JVM,,,,,False,6,2009,GE
1881599,Durga Soren,JMM,19418,12284,12.2429859969103,4,6,12,JH,Durga Soren,JMM,,,,,False,6,2009,GE
1881600,Raj Narayan Khawade,AJSUP,19441,5414,5.39592365575322,5,6,12,JH,Raj Narayan Khawade,AJSUP,,,,,False,6,2009,GE
1881601,Suraj Mandal,JVD,24493,4196,4.1819903323865,6,6,12,JH,Suraj Mandal,JVD,,,,,False,6,2009,GE
1881602,Iqbal Durrani,BSP,19413,2672,2.66307868640055,7,6,12,JH,Iqbal Durrani,BSP,,,,,False,6,2009,GE
1881603,Ashok Sharma,JKP,19455,1623,1.61758110330393,8,6,12,JH,Ashok Sharma,JKP,,,,,False,6,2009,GE
1881604,Niranjan Prasad Yadav,RWS,24500,1354,1.34947924453082,9,6,12,JH,Niranjan Prasad Yadav,RWS,,,,,False,6,2009,GE
1881605,Santosh Kumar Ray,AITC,19423,1340,1.33552598794039,10,6,12,JH,Santosh Kumar Ray,AITC,,,,,False,6,2009,GE
1881606,Sanjeev Kumar,IND,19409,1157,1.15313699107988,11,6,12,JH,Sanjeev Kumar,IND,,,,,False,6,2009,GE
1881607,Binod Meharia,BSA,24480,927,0.923904918522948,12,6,12,JH,Binod Meharia,BSA,,,,,False,6,2009,GE
1881608,Geeta Mandal,CPI(ML)(L),19471,835,0.832212089500174,13,6,12,JH,Geeta Mandal,CPI(ML)(L),,,,,False,6,2009,GE
1881609,Pradeep Yadav,SAP,19461,818,0.815268849354661,14,6,12,JH,Pradeep Yadav,SAP,,,,,False,6,2009,GE
1881610,Nandlal Yadav,SP,19414,805,0.802312253949269,15,6,12,JH,Nandlal Yadav,SP,,,,,False,6,2009,GE
1881611,Jayswal Manjhi,IND,19409,689,0.686699556485772,16,6,12,JH,Jayswal Manjhi,IND,,,,,False,6,2009,GE
