el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1931928,Javaid Ahmad Mirchal,JKN,24830,14294,34.59,1,51,1,JK,Javaid Ahmad Mirchal,JKN,,,,,False,51,2024,AE
1931929,Naseer Ahmad Awan,JPC,24831,8032,19.44,2,51,1,JK,Naseer Ahmad Awan,JPC,,,,,False,51,2024,AE
1931930,Firdous Ahmad Mir,JKPDP,24832,6354,15.38,3,51,1,JK,Firdous Ahmad Mir,JKPDP,,,,,False,51,2024,AE
1931931,Raja Manzoor Ahmad Khan,JAKAP,24833,5151,12.47,4,51,1,JK,Raja Manzoor Ahmad Khan,JAKAP,,,,,False,51,2024,AE
1931932,Mohd Idrees,BJP,24826,2973,7.2,5,51,1,JK,Mohd Idrees,BJP,,,,,False,51,2024,AE
1931933,Fayaz Ahmad,IND,24808,2925,7.08,6,51,1,JK,Fayaz Ahmad,IND,,,,,False,51,2024,AE
1931934,Sajawal Shah,SP,24834,735,1.78,7,51,1,JK,Sajawal Shah,SP,,,,,False,51,2024,AE
1931935,Nota,NOTA,24835,464,1.12,8,51,1,JK,Nota,NOTA,,,,,False,51,2024,AE
1931936,Sajid Ahmad Mir,BHMS,24836,392,0.95,9,51,1,JK,Sajid Ahmad Mir,BHMS,,,,,False,51,2024,AE
1931937,Saifullah Mir,JKN,24830,18002,33.74,1,51,2,JK,Saifullah Mir,JKN,,,,,False,51,2024,AE
1931938,Bashir Ahmad Dar,JPC,24831,14376,26.95,2,51,2,JK,Bashir Ahmad Dar,JPC,,,,,False,51,2024,AE
1931939,Nazir Ahmad Mir,IND,24808,8216,15.4,3,51,2,JK,Nazir Ahmad Mir,IND,,,,,False,51,2024,AE
1931940,Dr Noor Ud Din Ahmad Shah,JAKAP,24833,3828,7.18,4,51,2,JK,Dr Noor Ud Din Ahmad Shah,JAKAP,,,,,False,51,2024,AE
1931941,Mohammad Afzal Wani,JKPDP,24832,3495,6.55,5,51,2,JK,Mohammad Afzal Wani,JKPDP,,,,,False,51,2024,AE
1931942,Javid Ahmad Mir,IND,24808,2386,4.47,6,51,2,JK,Javid Ahmad Mir,IND,,,,,False,51,2024,AE
1931943,Kaysar Ahmad Mir,IND,24808,1129,2.12,7,51,2,JK,Kaysar Ahmad Mir,IND,,,,,False,51,2024,AE
1931944,Nota,NOTA,24835,920,1.72,8,51,2,JK,Nota,NOTA,,,,,False,51,2024,AE
1931945,Sajad Khan,SP,24834,462,0.87,9,51,2,JK,Sajad Khan,SP,,,,,False,51,2024,AE
1931946,Shafeeqa Begum,IND,24808,329,0.62,10,51,2,JK,Shafeeqa Begum,IND,,,,,False,51,2024,AE
1931947,Shair Zaman Deedad,IND,24808,205,0.38,11,51,2,JK,Shair Zaman Deedad,IND,,,,,False,51,2024,AE
1931948,Mir Mohammad Fayaz,JKPDP,24832,27773,44.76,1,51,3,JK,Mir Mohammad Fayaz,JKPDP,,,,,False,51,2024,AE
1931949,Nasir Aslam Wani,JKN,24830,17976,28.97,2,51,3,JK,Nasir Aslam Wani,JKN,,,,,False,51,2024,AE
1931950,Sajad Gani Lone,JPC,24831,7457,12.02,3,51,3,JK,Sajad Gani Lone,JPC,,,,,False,51,2024,AE
1931951,Pirzada Firdous Ahmad,IND,24808,5672,9.14,4,51,3,JK,Pirzada Firdous Ahmad,IND,,,,,False,51,2024,AE
1931952,Nota,NOTA,24835,1383,2.23,5,51,3,JK,Nota,NOTA,,,,,False,51,2024,AE
1931953,Sabiha Begum,SP,24834,591,0.95,6,51,3,JK,Sabiha Begum,SP,,,,,False,51,2024,AE
1931954,Gh Nabi Khan Pathan,IND,24808,575,0.93,7,51,3,JK,Gh Nabi Khan Pathan,IND,,,,,False,51,2024,AE
1931955,Bashir Ahmad Malik,BHMS,24836,410,0.66,8,51,3,JK,Bashir Ahmad Malik,BHMS,,,,,False,51,2024,AE
1931956,Saleema,NCP,24837,218,0.35,9,51,3,JK,Saleema,NCP,,,,,False,51,2024,AE
1931957,Qaysar Jamshaid Lone,JKN,24830,19603,33.03,1,51,4,JK,Qaysar Jamshaid Lone,JKN,,,,,False,51,2024,AE
1931958,Dawood Bashir Bhat,IND,24808,11732,19.77,2,51,4,JK,Dawood Bashir Bhat,IND,,,,,False,51,2024,AE
1931959,Waqar Ul Haq Khan,JKPDP,24832,10508,17.71,3,51,4,JK,Waqar Ul Haq Khan,JKPDP,,,,,False,51,2024,AE
1931960,Haji Farooq Ahmad Mir,IND,24808,6292,10.6,4,51,4,JK,Haji Farooq Ahmad Mir,IND,,,,,False,51,2024,AE
1931961,Mudasir Akbar Shah,JPC,24831,4095,6.9,5,51,4,JK,Mudasir Akbar Shah,JPC,,,,,False,51,2024,AE
1931962,Muneer Ahmad Mir,DPAP,24819,2998,5.05,6,51,4,JK,Muneer Ahmad Mir,DPAP,,,,,False,51,2024,AE
1931963,Nota,NOTA,24835,1220,2.06,7,51,4,JK,Nota,NOTA,,,,,False,51,2024,AE
1931964,Nazir Ahmad,IND,24808,974,1.64,8,51,4,JK,Nazir Ahmad,IND,,,,,False,51,2024,AE
1931965,Abdul Rehman Wani,JAKAP,24833,967,1.63,9,51,4,JK,Abdul Rehman Wani,JAKAP,,,,,False,51,2024,AE
1931966,Shadab Shaheen,SP,24834,426,0.72,10,51,4,JK,Shadab Shaheen,SP,,,,,False,51,2024,AE
1931967,Farooq Ahmad Bhat,BHMS,24836,287,0.48,11,51,4,JK,Farooq Ahmad Bhat,BHMS,,,,,False,51,2024,AE
1931968,Zahid Ahmad Shah,AKSJP,24838,242,0.41,12,51,4,JK,Zahid Ahmad Shah,AKSJP,,,,,False,51,2024,AE
1931969,Sajad Gani Lone,JPC,24831,29812,40.78,1,51,5,JK,Sajad Gani Lone,JPC,,,,,False,51,2024,AE
1931970,Chowdry Mohammad Ramzan,JKN,24830,29150,39.88,2,51,5,JK,Chowdry Mohammad Ramzan,JKN,,,,,False,51,2024,AE
1931971,Abdul Majid Banday,IND,24808,7639,10.45,3,51,5,JK,Abdul Majid Banday,IND,,,,,False,51,2024,AE
1931972,Gauhar Azad Mir,JKPDP,24832,2010,2.75,4,51,5,JK,Gauhar Azad Mir,JKPDP,,,,,False,51,2024,AE
1931973,Ghulam Mohammad Mir,BJP,24826,1750,2.39,5,51,5,JK,Ghulam Mohammad Mir,BJP,,,,,False,51,2024,AE
1931974,Nota,NOTA,24835,1253,1.71,6,51,5,JK,Nota,NOTA,,,,,False,51,2024,AE
