el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1952307,FAROOQ ABDULLAH,JKNC,27054,10037,65.790509,1,31,16,JK,,,,,,,,31,2017,GE-BP
1952308,NAZIR AHMAD KHAN,JKPDP,27055,4262,27.93655,2,31,16,JK,,,,,,,,31,2017,GE-BP
1952309,NOTA,NOTA,24835,268,1.756686,3,31,16,JK,,,,,,,,31,2017,GE-BP
1952310,FAROOQ AHMAD DAR,IND,24808,155,1.015994,4,31,16,JK,,,,,,,,31,2017,GE-BP
1952311,MIRZA SAJAD HUSSAIN BEIGH,IND,24808,147,0.963555,5,31,16,JK,,,,,,,,31,2017,GE-BP
1952312,MEHRAJ KHOURSHID MALIK,IND,24808,137,0.898007,6,31,16,JK,,,,,,,,31,2017,GE-BP
1952313,BIKRAM SINGH,JKLDP,27058,111,0.727583,7,31,16,JK,,,,,,,,31,2017,GE-BP
1952314,CHETAN SHARMA,ABHM,24872,59,0.386733,8,31,16,JK,,,,,,,,31,2017,GE-BP
1952315,SAJAD RESHI,RSP(S),27060,49,0.321185,9,31,16,JK,,,,,,,,31,2017,GE-BP
1952316,GH HASSAN DAR,IND,24808,31,0.203199,10,31,16,JK,,,,,,,,31,2017,GE-BP
1952317,FAROOQ ABDULLAH,JKNC,27054,4468,49.055775,1,31,17,JK,,,,,,,,31,2017,GE-BP
1952318,NAZIR AHMAD KHAN,JKPDP,27055,4251,46.673254,2,31,17,JK,,,,,,,,31,2017,GE-BP
1952319,NOTA,NOTA,24835,150,1.646904,3,31,17,JK,,,,,,,,31,2017,GE-BP
1952320,FAROOQ AHMAD DAR,IND,24808,78,0.85639,4,31,17,JK,,,,,,,,31,2017,GE-BP
1952321,MEHRAJ KHOURSHID MALIK,IND,24808,55,0.603865,5,31,17,JK,,,,,,,,31,2017,GE-BP
1952322,BIKRAM SINGH,JKLDP,27058,46,0.505051,6,31,17,JK,,,,,,,,31,2017,GE-BP
1952323,MIRZA SAJAD HUSSAIN BEIGH,IND,24808,20,0.219587,7,31,17,JK,,,,,,,,31,2017,GE-BP
1952324,GH HASSAN DAR,IND,24808,18,0.197628,8,31,17,JK,,,,,,,,31,2017,GE-BP
1952325,CHETAN SHARMA,ABHM,24872,14,0.153711,9,31,17,JK,,,,,,,,31,2017,GE-BP
1952326,SAJAD RESHI,RSP(S),27060,8,0.087835,10,31,17,JK,,,,,,,,31,2017,GE-BP
1952327,FAROOQ ABDULLAH,JKNC,27054,2250,50.13369,1,31,18,JK,,,,,,,,31,2017,GE-BP
1952328,NAZIR AHMAD KHAN,JKPDP,27055,2079,46.323529,2,31,18,JK,,,,,,,,31,2017,GE-BP
1952329,NOTA,NOTA,24835,46,1.024955,3,31,18,JK,,,,,,,,31,2017,GE-BP
1952330,BIKRAM SINGH,JKLDP,27058,35,0.779857,4,31,18,JK,,,,,,,,31,2017,GE-BP
1952331,MEHRAJ KHOURSHID MALIK,IND,24808,35,0.779857,4,31,18,JK,,,,,,,,31,2017,GE-BP
1952332,FAROOQ AHMAD DAR,IND,24808,24,0.534759,6,31,18,JK,,,,,,,,31,2017,GE-BP
1952333,GH HASSAN DAR,IND,24808,6,0.13369,7,31,18,JK,,,,,,,,31,2017,GE-BP
1952334,SAJAD RESHI,RSP(S),27060,6,0.13369,7,31,18,JK,,,,,,,,31,2017,GE-BP
1952335,CHETAN SHARMA,ABHM,24872,4,0.089127,9,31,18,JK,,,,,,,,31,2017,GE-BP
1952336,MIRZA SAJAD HUSSAIN BEIGH,IND,24808,3,0.066845,10,31,18,JK,,,,,,,,31,2017,GE-BP
1952337,FAROOQ ABDULLAH,JKNC,27054,1763,50.983227,1,31,19,JK,,,,,,,,31,2017,GE-BP
1952338,NAZIR AHMAD KHAN,JKPDP,27055,1553,44.910353,2,31,19,JK,,,,,,,,31,2017,GE-BP
1952339,MIRZA SAJAD HUSSAIN BEIGH,IND,24808,42,1.214575,3,31,19,JK,,,,,,,,31,2017,GE-BP
1952340,NOTA,NOTA,24835,27,0.780798,4,31,19,JK,,,,,,,,31,2017,GE-BP
1952341,FAROOQ AHMAD DAR,IND,24808,24,0.694043,5,31,19,JK,,,,,,,,31,2017,GE-BP
1952342,MEHRAJ KHOURSHID MALIK,IND,24808,17,0.491614,6,31,19,JK,,,,,,,,31,2017,GE-BP
1952343,BIKRAM SINGH,JKLDP,27058,14,0.404858,7,31,19,JK,,,,,,,,31,2017,GE-BP
1952344,CHETAN SHARMA,ABHM,24872,7,0.202429,8,31,19,JK,,,,,,,,31,2017,GE-BP
1952345,SAJAD RESHI,RSP(S),27060,6,0.173511,9,31,19,JK,,,,,,,,31,2017,GE-BP
1952346,GH HASSAN DAR,IND,24808,5,0.144592,10,31,19,JK,,,,,,,,31,2017,GE-BP
1952347,FAROOQ ABDULLAH,JKNC,27054,308,65.671642,1,31,20,JK,,,,,,,,31,2017,GE-BP
1952348,NAZIR AHMAD KHAN,JKPDP,27055,144,30.703625,2,31,20,JK,,,,,,,,31,2017,GE-BP
1952349,NOTA,NOTA,24835,5,1.066098,3,31,20,JK,,,,,,,,31,2017,GE-BP
1952350,BIKRAM SINGH,JKLDP,27058,3,0.639659,4,31,20,JK,,,,,,,,31,2017,GE-BP
1952353,MEHRAJ KHOURSHID MALIK,IND,24808,2,0.426439,5,31,20,JK,,,,,,,,31,2017,GE-BP
1952352,FAROOQ AHMAD DAR,IND,24808,2,0.426439,5,31,20,JK,,,,,,,,31,2017,GE-BP
1952354,SAJAD RESHI,RSP(S),27060,2,0.426439,5,31,20,JK,,,,,,,,31,2017,GE-BP
1952351,CHETAN SHARMA,ABHM,24872,2,0.426439,5,31,20,JK,,,,,,,,31,2017,GE-BP
1952355,MIRZA SAJAD HUSSAIN BEIGH,IND,24808,1,0.21322,9,31,20,JK,,,,,,,,31,2017,GE-BP
1952356,GH HASSAN DAR,IND,24808,0,0.0,10,31,20,JK,,,,,,,,31,2017,GE-BP
1952357,FAROOQ ABDULLAH,JKNC,27054,1840,67.771639,1,31,21,JK,,,,,,,,31,2017,GE-BP
1952358,NAZIR AHMAD KHAN,JKPDP,27055,819,30.165746,2,31,21,JK,,,,,,,,31,2017,GE-BP
1952359,NOTA,NOTA,24835,21,0.773481,3,31,21,JK,,,,,,,,31,2017,GE-BP
1952361,MEHRAJ KHOURSHID MALIK,IND,24808,10,0.368324,4,31,21,JK,,,,,,,,31,2017,GE-BP
1952360,BIKRAM SINGH,JKLDP,27058,10,0.368324,4,31,21,JK,,,,,,,,31,2017,GE-BP
1952362,FAROOQ AHMAD DAR,IND,24808,9,0.331492,6,31,21,JK,,,,,,,,31,2017,GE-BP
1952363,SAJAD RESHI,RSP(S),27060,3,0.110497,7,31,21,JK,,,,,,,,31,2017,GE-BP
1952364,CHETAN SHARMA,ABHM,24872,2,0.073665,8,31,21,JK,,,,,,,,31,2017,GE-BP
1952365,GH HASSAN DAR,IND,24808,1,0.036832,9,31,21,JK,,,,,,,,31,2017,GE-BP
1952366,MIRZA SAJAD HUSSAIN BEIGH,IND,24808,0,0.0,10,31,21,JK,,,,,,,,31,2017,GE-BP
1952367,FAROOQ ABDULLAH,JKNC,27054,1571,73.999058,1,31,22,JK,,,,,,,,31,2017,GE-BP
1952368,NAZIR AHMAD KHAN,JKPDP,27055,498,23.457372,2,31,22,JK,,,,,,,,31,2017,GE-BP
1952369,NOTA,NOTA,24835,16,0.75365,3,31,22,JK,,,,,,,,31,2017,GE-BP
1952370,MEHRAJ KHOURSHID MALIK,IND,24808,8,0.376825,4,31,22,JK,,,,,,,,31,2017,GE-BP
1952372,FAROOQ AHMAD DAR,IND,24808,7,0.329722,5,31,22,JK,,,,,,,,31,2017,GE-BP
1952371,CHETAN SHARMA,ABHM,24872,7,0.329722,5,31,22,JK,,,,,,,,31,2017,GE-BP
