el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1928699,Muzaffar Hussain Baig,JKPDP,24832,10915,46.76,1,21,1,JK,Muzaffar Hussain Baig,JKPDP,,,,,False,21,2014,GE
1928700,Sharief Ud-Din Shariq,JKN,24830,7481,32.05,2,21,1,JK,Sharief Ud-Din Shariq,JKN,,,,,True,21,2014,GE
1928701,Salamuddin Bajad,JPC,24831,2502,10.72,3,21,1,JK,Salamuddin Bajad,JPC,,,,,False,21,2014,GE
1928702,Ayaz Ahmad Sofi,GaAP,24915,329,1.41,4,21,1,JK,Ayaz Ahmad Sofi,GaAP,,,,,False,21,2014,GE
1928703,Ghulam Mohammad Mir,BJP,24826,327,1.4,5,21,1,JK,Ghulam Mohammad Mir,BJP,,,,,False,21,2014,GE
1928704,Er. Abdul Rashid Sheikh,IND,24808,301,1.29,6,21,1,JK,Er. Abdul Rashid Sheikh,IND,,,,,False,21,2014,GE
1928705,Mohd Abdullah Chatwal,IND,24808,223,0.96,7,21,1,JK,Mohd Abdullah Chatwal,IND,,,,,False,21,2014,GE
1928706,Syed Mohd Rafiq Shah,JKNPP,24867,200,0.86,8,21,1,JK,Syed Mohd Rafiq Shah,JKNPP,,,,,False,21,2014,GE
1928707,Mohd Shafi Bhat,BSP,24827,176,0.75,9,21,1,JK,Mohd Shafi Bhat,BSP,,,,,False,21,2014,GE
1928708,Abdul Hussain,IND,24808,150,0.64,10,21,1,JK,Abdul Hussain,IND,,,,,False,21,2014,GE
1928709,Tanveer Hussain,IND,24808,150,0.64,10,21,1,JK,Tanveer Hussain,IND,,,,,False,21,2014,GE
1928710,Bashir Ahmad Jagal,PRISM,24916,136,0.58,12,21,1,JK,Bashir Ahmad Jagal,PRISM,,,,,False,21,2014,GE
1928711,Nota,NOTA,24835,134,0.57,13,21,1,JK,Nota,NOTA,,,,,False,21,2014,GE
