el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1674140,P. Rajeev,BJP,19498,67781,49.6,1,33,5,KA,P. Rajeev,BJP,,,,,,33,2018,AE-BP
1674141,Amit.Sharma. Ghatage,INC,19497,52773,38.62,2,33,5,KA,Amit.Sharma. Ghatage,INC,,,,,,33,2018,AE-BP
1674142,Suresh Gurappa Talawar,IND,19503,6731,4.93,3,33,5,KA,Suresh Gurappa Talawar,IND,,,,,,33,2018,AE-BP
1674143,Aihole Gajendra,JD(S),19500,1532,1.12394996515168,4,33,5,KA,Aihole Gajendra,JD(S),,,,,,33,2018,AE-BP
1674144,Sangeeta Gajendra Kamble,IND,19503,1105,0.81,5,33,5,KA,Sangeeta Gajendra Kamble,IND,,,,,,33,2018,AE-BP
1674145,Sanjeev Basappa Kamble,IND,19503,1045,0.76,6,33,5,KA,Sanjeev Basappa Kamble,IND,,,,,,33,2018,AE-BP
1674146,Ramappa Bharamappa Bhajanani,IND,19503,1004,0.73,7,33,5,KA,Ramappa Bharamappa Bhajanani,IND,,,,,,33,2018,AE-BP
1674147,Rudkar Yogesha,IND,19503,787,0.58,8,33,5,KA,Rudkar Yogesha,IND,,,,,,33,2018,AE-BP
1674148,Ahok Tammanna Gupte,IND,19503,680,0.5,9,33,5,KA,Ahok Tammanna Gupte,IND,,,,,,33,2018,AE-BP
1674149,Sadashiv. C. Maga,ASP,19537,634,0.46,10,33,5,KA,Sadashiv. C. Maga,ASP,,,,,,33,2018,AE-BP
1674150,Ajjappagol Kiran Mahadev,JaHP,19532,368,0.27,11,33,5,KA,Ajjappagol Kiran Mahadev,JaHP,,,,,,33,2018,AE-BP
1674151,Parsuram.V.Shindee,RPI(A),19525,298,0.218627343090862,12,33,5,KA,Parsuram.V.Shindee,RPI(A),,,,,,33,2018,AE-BP
1674152,Annappa.S.Aigall,INCP,19533,297,0.217893694288544,13,33,5,KA,Annappa.S.Aigall,INCP,,,,,,33,2018,AE-BP
1674153,K.Narasapp,IND,19503,246,0.18,14,33,5,KA,K.Narasapp,IND,,,,,,33,2018,AE-BP
1674154,Thavarsingh.R. Rathod,SHS,19538,227,0.16653827812626,15,33,5,KA,Thavarsingh.R. Rathod,SHS,,,,,,33,2018,AE-BP
1674155,Asode Janglij. Sanyappa,IND,19503,218,0.16,16,33,5,KA,Asode Janglij. Sanyappa,IND,,,,,,33,2018,AE-BP
1674156,Dr. Jasmin.Saleen Alase,IND,19503,201,0.15,17,33,5,KA,Dr. Jasmin.Saleen Alase,IND,,,,,,33,2018,AE-BP
1674157,Raju.Appasaneb.Nippanikar,BRPP,19511,194,0.142327867649756,18,33,5,KA,Raju.Appasaneb.Nippanikar,BRPP,,,,,,33,2018,AE-BP
1674158,Surundra.Hgare,BMUP,19512,184,0.134991379626572,19,33,5,KA,Surundra.Hgare,BMUP,,,,,,33,2018,AE-BP
1676186,Anand Nyamagouda,INC,19497,97017,62.07419445653,1,33,21,KA,Anand Nyamagouda,INC,,,,,,33,2018,AE-BP
1676187,Kulkarni Shrikanth Subbrao.,BJP,19498,57537,36.8137844547385,2,33,21,KA,Kulkarni Shrikanth Subbrao.,BJP,,,,,,33,2018,AE-BP
1676188,Parashuram Maharajanavar,PPRP,19527,731,3.36,3,33,21,KA,Parashuram Maharajanavar,PPRP,,,,,,33,2018,AE-BP
1676189,Sangamesh. Chikkanaragund,IND,19503,373,0.23,4,33,21,KA,Sangamesh. Chikkanaragund,IND,,,,,,33,2018,AE-BP
1676190,Ambrose D' Mello,IND,19503,237,0.18,5,33,21,KA,Ambrose D' Mello,IND,,,,,,33,2018,AE-BP
1676191,Ravi Shivappa Padasalagi,IND,19503,219,0.13,6,33,21,KA,Ravi Shivappa Padasalagi,IND,,,,,,33,2018,AE-BP
1676192,Yamanappa. Gunadal,RPIK,19561,178,0.3,7,33,21,KA,Yamanappa. Gunadal,RPIK,,,,,,33,2018,AE-BP
1695774,Anitha Kumaraswamy E,JD(S),19500,125043,53.96,1,33,183,KA,Anitha Kumaraswamy E,JD(S),,,,,,33,2018,AE-BP
1695775,L. Chandrashekar,BJP,19498,15906,0.27,2,33,183,KA,L. Chandrashekar,BJP,,,,,,33,2018,AE-BP
1695776,H.D. Revanna,PMPT,19656,2231,0.6,3,33,183,KA,H.D. Revanna,PMPT,,,,,,33,2018,AE-BP
1695777,Surendra Ramanagara,IND,19503,545,0.27,4,33,183,KA,Surendra Ramanagara,IND,,,,,,33,2018,AE-BP
1695778,D. M. Madegowda,IND,19503,536,0.09,5,33,183,KA,D. M. Madegowda,IND,,,,,,33,2018,AE-BP
1695779,Kumara Naik,IND,19503,520,0.19,6,33,183,KA,Kumara Naik,IND,,,,,,33,2018,AE-BP
1695780,Muniyappa,IND,19503,478,0.27,7,33,183,KA,Muniyappa,IND,,,,,,33,2018,AE-BP
