el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1673681,Kakaso Pandurang Patil,INC,19497,46070,35.7264718655003,1,1,1,KA,Kakaso Pandurang Patil,INC,,,,,False,1,2008,AE
1673682,Jolle Shashikala Annasaheb,BJP,19498,38583,29.9204355108877,2,1,1,KA,Jolle Shashikala Annasaheb,BJP,,,,,False,1,2008,AE
1673683,Subhash Shridhar Joshi,JD(S),19500,35657,27.6513741547242,3,1,1,KA,Subhash Shridhar Joshi,JD(S),,,,,False,1,2008,AE
1673684,Khot Ravindra Annasaheb,BSP,19499,4182,3.2430671877908,4,1,1,KA,Khot Ravindra Annasaheb,BSP,,,,,False,1,2008,AE
1673685,Harish Ramachandra Tarale,IND,19503,2075,1.60912587629505,5,1,1,KA,Harish Ramachandra Tarale,IND,,,,,False,1,2008,AE
1673686,Naiku Ishwar Khot,SP,19506,1149,0.891029220174948,6,1,1,KA,Naiku Ishwar Khot,SP,,,,,False,1,2008,AE
1673687,Balasaheb Dinakarrao Jadhav,IND,19503,656,0.508716421614244,7,1,1,KA,Balasaheb Dinakarrao Jadhav,IND,,,,,False,1,2008,AE
1673688,Rajashree Ravasab Gunake,JD(U),19507,580,0.449779763012593,8,1,1,KA,Rajashree Ravasab Gunake,JD(U),,,,,False,1,2008,AE
1673774,Hukkeri Prakash Babanna,INC,19497,68575,54.8297339868392,1,1,2,KA,Hukkeri Prakash Babanna,INC,,,,,False,1,2008,AE
1673775,Ramesh Chandappa Jigajinagi,BJP,19498,44505,35.584357434696,2,1,2,KA,Ramesh Chandappa Jigajinagi,BJP,,,,,False,1,2008,AE
1673776,Veerasing Abasab Ghorpade,BSP,19499,4970,3.97380645883472,3,1,2,KA,Veerasing Abasab Ghorpade,BSP,,,,,False,1,2008,AE
