el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1674493,Satish Laxmanarao Jarkiholi,INC,19497,71700,54.623577272935,1,44,8,KA,Satish Laxmanarao Jarkiholi,INC,,,,,,44,2021,GE-BP
1674494,Angadi Mangal Suresh,BJP,19498,55957,42.63000716125,2,44,8,KA,Angadi Mangal Suresh,BJP,,,,,,44,2021,GE-BP
1674495,Vivekanand Babu Ghanti,KRS,19524,846,0.644512501714128,3,44,8,KA,Vivekanand Babu Ghanti,KRS,,,,,,44,2021,GE-BP
1674496,Sreekant Padasalagi,IND,19503,742,0.565281650439578,4,44,8,KA,Sreekant Padasalagi,IND,,,,,,44,2021,GE-BP
1674497,Shubham Vikrant Shelke,IND,19503,459,0.349682314759793,5,44,8,KA,Shubham Vikrant Shelke,IND,,,,,,44,2021,GE-BP
1674498,Nagappa Kalasannavar,IND,19503,412,0.313876064664564,6,44,8,KA,Nagappa Kalasannavar,IND,,,,,,44,2021,GE-BP
1674499,Maralingannavar Suresh Basappa,KKMP,19544,358,0.27273696881047,7,44,8,KA,Maralingannavar Suresh Basappa,KKMP,,,,,,44,2021,GE-BP
1674500,Shri Venkateshwara Maha Swamiji,HJP,19529,324,0.24683457512456,8,44,8,KA,Shri Venkateshwara Maha Swamiji,HJP,,,,,,44,2021,GE-BP
1674501,Shri Goutam Yamanappa Kamble,IND,19503,249,0.189696941993874,9,44,8,KA,Shri Goutam Yamanappa Kamble,IND,,,,,,44,2021,GE-BP
1674502,Appasheb Shripati Kurane,IND,19503,215,0.163794548307964,10,44,8,KA,Appasheb Shripati Kurane,IND,,,,,,44,2021,GE-BP
1674653,Angadi Mangal Suresh,BJP,19498,87307,58.3135185679935,1,44,9,KA,Angadi Mangal Suresh,BJP,,,,,,44,2021,GE-BP
1674654,Satish Laxmanarao Jarkiholi,INC,19497,59398,39.6727224151749,2,44,9,KA,Satish Laxmanarao Jarkiholi,INC,,,,,,44,2021,GE-BP
1674655,Shubham Vikrant Shelke,KRS,19524,663,0.442826609671386,3,44,9,KA,Shubham Vikrant Shelke,KRS,,,,,,44,2021,GE-BP
1674656,Vivekanand Babu Ghanti,IND,19503,584,0.390061448036334,4,44,9,KA,Vivekanand Babu Ghanti,IND,,,,,,44,2021,GE-BP
1674657,Sreekant Padasalagi,IND,19503,448,0.299225220411434,5,44,9,KA,Sreekant Padasalagi,IND,,,,,,44,2021,GE-BP
1674658,Nagappa Kalasannavar,IND,19503,393,0.262489981298423,6,44,9,KA,Nagappa Kalasannavar,IND,,,,,,44,2021,GE-BP
1674659,Maralingannavar Suresh Basappa,KKMP,19544,317,0.211728559978626,7,44,9,KA,Maralingannavar Suresh Basappa,KKMP,,,,,,44,2021,GE-BP
1674660,Shri Venkateshwara Maha Swamiji,HJP,19529,271,0.181004541811381,8,44,9,KA,Shri Venkateshwara Maha Swamiji,HJP,,,,,,44,2021,GE-BP
1674661,Shri Goutam Yamanappa Kamble,IND,19503,173,0.115549024846379,9,44,9,KA,Shri Goutam Yamanappa Kamble,IND,,,,,,44,2021,GE-BP
1674662,Appasheb Shripati Kurane,IND,19503,166,0.110873630777451,10,44,9,KA,Appasheb Shripati Kurane,IND,,,,,,44,2021,GE-BP
1674892,Satish Laxmanarao Jarkiholi,INC,19497,51427,44.385275967721,1,44,11,KA,Satish Laxmanarao Jarkiholi,INC,,,,,,44,2021,GE-BP
1674893,Angadi Mangal Suresh,BJP,19498,38668,33.3733224010702,2,44,11,KA,Angadi Mangal Suresh,BJP,,,,,,44,2021,GE-BP
1674894,Shubham Vikrant Shelke,IND,19503,24594,21.2264273076425,3,44,11,KA,Shubham Vikrant Shelke,IND,,,,,,44,2021,GE-BP
1674895,Nagappa Kalasannavar,IND,19503,272,0.234755965994907,4,44,11,KA,Nagappa Kalasannavar,IND,,,,,,44,2021,GE-BP
1674896,Vivekanand Babu Ghanti,KRS,19524,254,0.219220644715833,5,44,11,KA,Vivekanand Babu Ghanti,KRS,,,,,,44,2021,GE-BP
