el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1673719,Annasaheb Shankar Jolle,BJP,19498,86653,51.4627627984321,1,37,1,KA,Annasaheb Shankar Jolle,BJP,,,,,False,37,2019,GE
1673720,Hukkeri Prakash Babanna,INC,19497,74909,44.4880627152868,2,37,1,KA,Hukkeri Prakash Babanna,INC,,,,,True,37,2019,GE
1673721,Kadapure Machindra Davalu,BSP,19499,2410,1.43128637605416,3,37,1,KA,Kadapure Machindra Davalu,BSP,,,,,False,37,2019,GE
1673722,None Of The Above,NOTA,19501,1401,0.832046561349328,4,37,1,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1673723,Appasaheb Shripati Kurane,BBM,19513,1089,0.64675139565269,5,37,1,KA,Appasaheb Shripati Kurane,BBM,,,,,False,37,2019,GE
1673724,Shrinik Annasaheb Jangate,IND,19503,640,0.380092647582848,6,37,1,KA,Shrinik Annasaheb Jangate,IND,,,,,False,37,2019,GE
1673725,Kallappa Gudasi,IND,19503,410,0.243496852357762,7,37,1,KA,Kallappa Gudasi,IND,,,,,False,37,2019,GE
1673726,Jitendra Subhash Nerle,IND,19503,300,0.17816842855446,8,37,1,KA,Jitendra Subhash Nerle,IND,,,,,False,37,2019,GE
1673727,Wajantri Vishwnath Kalloli,IND,19503,189,0.112246109989309,9,37,1,KA,Wajantri Vishwnath Kalloli,IND,,,,,False,37,2019,GE
1673728,Praveenkumar Baligatti,UPJP,19514,163,0.0968048461812566,10,37,1,KA,Praveenkumar Baligatti,UPJP,,,,,False,37,2019,GE
1673729,Mohan Gurappa Motannavar,IND,19503,126,0.0748307399928732,11,37,1,KA,Mohan Gurappa Motannavar,IND,,,,,False,37,2019,GE
1673730,Magdum Ismailmagdum,RPI,19515,90,0.053450528566338,12,37,1,KA,Magdum Ismailmagdum,RPI,,,,,False,37,2019,GE
1673813,Hukkeri Prakash Babanna,INC,19497,91685,52.5261957823214,1,37,2,KA,Hukkeri Prakash Babanna,INC,,,,,True,37,2019,GE
1673814,Annasaheb Shankar Jolle,BJP,19498,76824,44.0123516909098,2,37,2,KA,Annasaheb Shankar Jolle,BJP,,,,,False,37,2019,GE
1673815,Kadapure Machindra Davalu,BSP,19499,2734,1.5663044038705,3,37,2,KA,Kadapure Machindra Davalu,BSP,,,,,False,37,2019,GE
1673816,None Of The Above,NOTA,19501,1178,0.674874392011503,4,37,2,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1673817,Shrinik Annasaheb Jangate,IND,19503,596,0.341447485262186,5,37,2,KA,Shrinik Annasaheb Jangate,IND,,,,,False,37,2019,GE
1673818,Kallappa Gudasi,IND,19503,421,0.241190253851309,6,37,2,KA,Kallappa Gudasi,IND,,,,,False,37,2019,GE
1673819,Appasaheb Shripati Kurane,BBM,19513,254,0.145516210162072,7,37,2,KA,Appasaheb Shripati Kurane,BBM,,,,,False,37,2019,GE
1673820,Wajantri Vishwnath Kalloli,IND,19503,206,0.118017083832232,8,37,2,KA,Wajantri Vishwnath Kalloli,IND,,,,,False,37,2019,GE
1673821,Mohan Gurappa Motannavar,IND,19503,204,0.116871286901822,9,37,2,KA,Mohan Gurappa Motannavar,IND,,,,,False,37,2019,GE
1673822,Jitendra Subhash Nerle,IND,19503,185,0.105986216062927,10,37,2,KA,Jitendra Subhash Nerle,IND,,,,,False,37,2019,GE
1673823,Praveenkumar Baligatti,UPJP,19514,168,0.0962469421544419,11,37,2,KA,Praveenkumar Baligatti,UPJP,,,,,False,37,2019,GE
1673824,Magdum Ismailmagdum,RPI,19515,96,0.0549982526596811,12,37,2,KA,Magdum Ismailmagdum,RPI,,,,,False,37,2019,GE
1673905,Annasaheb Shankar Jolle,BJP,19498,95593,58.2919690225013,1,37,3,KA,Annasaheb Shankar Jolle,BJP,,,,,False,37,2019,GE
1673906,Hukkeri Prakash Babanna,INC,19497,62070,37.8498688944447,2,37,3,KA,Hukkeri Prakash Babanna,INC,,,,,True,37,2019,GE
1673907,Kadapure Machindra Davalu,BSP,19499,2252,1.37325446673577,3,37,3,KA,Kadapure Machindra Davalu,BSP,,,,,False,37,2019,GE
1673908,None Of The Above,NOTA,19501,1338,0.815903408744435,4,37,3,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1673909,Kallappa Gudasi,IND,19503,873,0.53234953350814,5,37,3,KA,Kallappa Gudasi,IND,,,,,False,37,2019,GE
1673910,Shrinik Annasaheb Jangate,IND,19503,686,0.418318190133544,6,37,3,KA,Shrinik Annasaheb Jangate,IND,,,,,False,37,2019,GE
1673911,Wajantri Vishwnath Kalloli,IND,19503,262,0.15976583938045,7,37,3,KA,Wajantri Vishwnath Kalloli,IND,,,,,False,37,2019,GE
1673912,Praveenkumar Baligatti,UPJP,19514,227,0.138423074577718,8,37,3,KA,Praveenkumar Baligatti,UPJP,,,,,False,37,2019,GE
1673913,Jitendra Subhash Nerle,IND,19503,199,0.121348862735532,9,37,3,KA,Jitendra Subhash Nerle,IND,,,,,False,37,2019,GE
1673914,Mohan Gurappa Motannavar,IND,19503,174,0.106104030733581,10,37,3,KA,Mohan Gurappa Motannavar,IND,,,,,False,37,2019,GE
1673915,Appasaheb Shripati Kurane,BBM,19513,165,0.100615891212878,11,37,3,KA,Appasaheb Shripati Kurane,BBM,,,,,False,37,2019,GE
1673916,Magdum Ismailmagdum,RPI,19515,151,0.092078785291786,12,37,3,KA,Magdum Ismailmagdum,RPI,,,,,False,37,2019,GE
1674017,Annasaheb Shankar Jolle,BJP,19498,76152,54.3744778687763,1,37,4,KA,Annasaheb Shankar Jolle,BJP,,,,,False,37,2019,GE
1674018,Hukkeri Prakash Babanna,INC,19497,58360,41.6705343053601,2,37,4,KA,Hukkeri Prakash Babanna,INC,,,,,True,37,2019,GE
1674019,Kadapure Machindra Davalu,BSP,19499,2050,1.46375249016429,3,37,4,KA,Kadapure Machindra Davalu,BSP,,,,,False,37,2019,GE
1674020,None Of The Above,NOTA,19501,1055,0.753297013230894,4,37,4,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1674021,Kallappa Gudasi,IND,19503,729,0.520524666014523,5,37,4,KA,Kallappa Gudasi,IND,,,,,False,37,2019,GE
1674022,Shrinik Annasaheb Jangate,IND,19503,523,0.373435391393135,6,37,4,KA,Shrinik Annasaheb Jangate,IND,,,,,False,37,2019,GE
1674023,Appasaheb Shripati Kurane,BBM,19513,263,0.187788734104004,7,37,4,KA,Appasaheb Shripati Kurane,BBM,,,,,False,37,2019,GE
1674024,Wajantri Vishwnath Kalloli,IND,19503,236,0.168510042770133,8,37,4,KA,Wajantri Vishwnath Kalloli,IND,,,,,False,37,2019,GE
1674025,Jitendra Subhash Nerle,IND,19503,230,0.164225889140384,9,37,4,KA,Jitendra Subhash Nerle,IND,,,,,False,37,2019,GE
1674026,Praveenkumar Baligatti,UPJP,19514,184,0.131380711312307,10,37,4,KA,Praveenkumar Baligatti,UPJP,,,,,False,37,2019,GE
1674027,Mohan Gurappa Motannavar,IND,19503,146,0.104247738323896,11,37,4,KA,Mohan Gurappa Motannavar,IND,,,,,False,37,2019,GE
1674028,Magdum Ismailmagdum,RPI,19515,123,0.0878251494098578,12,37,4,KA,Magdum Ismailmagdum,RPI,,,,,False,37,2019,GE
1674128,Annasaheb Shankar Jolle,BJP,19498,67339,53.2804266295317,1,37,5,KA,Annasaheb Shankar Jolle,BJP,,,,,False,37,2019,GE
1674129,Hukkeri Prakash Babanna,INC,19497,54262,42.9335527669203,2,37,5,KA,Hukkeri Prakash Babanna,INC,,,,,True,37,2019,GE
1674130,Kadapure Machindra Davalu,BSP,19499,1282,1.01435285553779,3,37,5,KA,Kadapure Machindra Davalu,BSP,,,,,False,37,2019,GE
1674131,None Of The Above,NOTA,19501,1059,0.837909262101815,4,37,5,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1674132,Kallappa Gudasi,IND,19503,781,0.617948190464133,5,37,5,KA,Kallappa Gudasi,IND,,,,,False,37,2019,GE
1674133,Shrinik Annasaheb Jangate,IND,19503,498,0.394030984444479,6,37,5,KA,Shrinik Annasaheb Jangate,IND,,,,,False,37,2019,GE
1674134,Wajantri Vishwnath Kalloli,IND,19503,221,0.174861139683192,7,37,5,KA,Wajantri Vishwnath Kalloli,IND,,,,,False,37,2019,GE
1674135,Jitendra Subhash Nerle,IND,19503,220,0.174069912806798,8,37,5,KA,Jitendra Subhash Nerle,IND,,,,,False,37,2019,GE
1674136,Mohan Gurappa Motannavar,IND,19503,202,0.159827829031696,9,37,5,KA,Mohan Gurappa Motannavar,IND,,,,,False,37,2019,GE
1674137,Appasaheb Shripati Kurane,BBM,19513,184,0.145585745256594,10,37,5,KA,Appasaheb Shripati Kurane,BBM,,,,,False,37,2019,GE
1674138,Magdum Ismailmagdum,RPI,19515,170,0.134508568987071,11,37,5,KA,Magdum Ismailmagdum,RPI,,,,,False,37,2019,GE
1674139,Praveenkumar Baligatti,UPJP,19514,168,0.132926115234282,12,37,5,KA,Praveenkumar Baligatti,UPJP,,,,,False,37,2019,GE
1674254,Annasaheb Shankar Jolle,BJP,19498,79236,55.4400302262772,1,37,6,KA,Annasaheb Shankar Jolle,BJP,,,,,False,37,2019,GE
1674255,Hukkeri Prakash Babanna,INC,19497,58015,40.5920711996753,2,37,6,KA,Hukkeri Prakash Babanna,INC,,,,,True,37,2019,GE
1674256,Kadapure Machindra Davalu,BSP,19499,1752,1.22584346706595,3,37,6,KA,Kadapure Machindra Davalu,BSP,,,,,False,37,2019,GE
1674257,None Of The Above,NOTA,19501,1200,0.839618813058871,4,37,6,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1674258,Kallappa Gudasi,IND,19503,720,0.503771287835322,5,37,6,KA,Kallappa Gudasi,IND,,,,,False,37,2019,GE
1674259,Shrinik Annasaheb Jangate,IND,19503,574,0.401617665579826,6,37,6,KA,Shrinik Annasaheb Jangate,IND,,,,,False,37,2019,GE
1674260,Wajantri Vishwnath Kalloli,IND,19503,299,0.209205020920502,7,37,6,KA,Wajantri Vishwnath Kalloli,IND,,,,,False,37,2019,GE
1674261,Mohan Gurappa Motannavar,IND,19503,282,0.197310421068834,8,37,6,KA,Mohan Gurappa Motannavar,IND,,,,,False,37,2019,GE
1674262,Jitendra Subhash Nerle,IND,19503,229,0.160227256825401,9,37,6,KA,Jitendra Subhash Nerle,IND,,,,,False,37,2019,GE
1674263,Praveenkumar Baligatti,UPJP,19514,229,0.160227256825401,9,37,6,KA,Praveenkumar Baligatti,UPJP,,,,,False,37,2019,GE
1674264,Appasaheb Shripati Kurane,BBM,19513,225,0.157428527448538,11,37,6,KA,Appasaheb Shripati Kurane,BBM,,,,,False,37,2019,GE
1674265,Magdum Ismailmagdum,RPI,19515,161,0.112648857418731,12,37,6,KA,Magdum Ismailmagdum,RPI,,,,,False,37,2019,GE
1674344,Annasaheb Shankar Jolle,BJP,19498,84696,58.6232912268558,1,37,7,KA,Annasaheb Shankar Jolle,BJP,,,,,False,37,2019,GE
1674345,Hukkeri Prakash Babanna,INC,19497,53640,37.1275307146565,2,37,7,KA,Hukkeri Prakash Babanna,INC,,,,,True,37,2019,GE
1674346,Kadapure Machindra Davalu,BSP,19499,2005,1.38778335352137,3,37,7,KA,Kadapure Machindra Davalu,BSP,,,,,False,37,2019,GE
1674347,None Of The Above,NOTA,19501,1676,1.16006229451462,4,37,7,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1674348,Shrinik Annasaheb Jangate,IND,19503,649,0.449212666551306,5,37,7,KA,Shrinik Annasaheb Jangate,IND,,,,,False,37,2019,GE
1674349,Kallappa Gudasi,IND,19503,478,0.330853088769683,6,37,7,KA,Kallappa Gudasi,IND,,,,,False,37,2019,GE
1674350,Appasaheb Shripati Kurane,BBM,19513,342,0.236719155563246,7,37,7,KA,Appasaheb Shripati Kurane,BBM,,,,,False,37,2019,GE
1674351,Wajantri Vishwnath Kalloli,IND,19503,295,0.204187575705139,8,37,7,KA,Wajantri Vishwnath Kalloli,IND,,,,,False,37,2019,GE
1674352,Praveenkumar Baligatti,UPJP,19514,215,0.148814673818999,9,37,7,KA,Praveenkumar Baligatti,UPJP,,,,,False,37,2019,GE
1674353,Jitendra Subhash Nerle,IND,19503,184,0.12735767433812,10,37,7,KA,Jitendra Subhash Nerle,IND,,,,,False,37,2019,GE
1674354,Mohan Gurappa Motannavar,IND,19503,171,0.118359577781623,11,37,7,KA,Mohan Gurappa Motannavar,IND,,,,,False,37,2019,GE
1674355,Magdum Ismailmagdum,RPI,19515,124,0.0858279979235161,12,37,7,KA,Magdum Ismailmagdum,RPI,,,,,False,37,2019,GE
1674435,Angadi Suresh Channabasappa,BJP,19498,102715,64.2615381727863,1,37,8,KA,Angadi Suresh Channabasappa,BJP,,,,,True,37,2019,GE
1674436,Dr.Sadhunavar,INC,19497,47422,29.668604032808,2,37,8,KA,Dr.Sadhunavar,INC,,,,,False,37,2019,GE
1674437,Ganesh M Daddikar,IND,19503,1216,0.760765520304806,3,37,8,KA,Ganesh M Daddikar,IND,,,,,False,37,2019,GE
1674438,Badroddin Kamdod,BSP,19499,841,0.526154442908176,4,37,8,KA,Badroddin Kamdod,BSP,,,,,False,37,2019,GE
1674439,Vinayak Balkrishna More,IND,19503,800,0.500503631779478,5,37,8,KA,Vinayak Balkrishna More,IND,,,,,False,37,2019,GE
1674440,Dilshad Sikandar Tahashildar,RPI(A),19525,637,0.398526016804409,6,37,8,KA,Dilshad Sikandar Tahashildar,RPI(A),,,,,False,37,2019,GE
1674441,Gajanan Amrut Tokanekar,IND,19503,367,0.229606041078835,7,37,8,KA,Gajanan Amrut Tokanekar,IND,,,,,False,37,2019,GE
1674442,Krishnakant Kamanna Birje,IND,19503,362,0.226477893380213,8,37,8,KA,Krishnakant Kamanna Birje,IND,,,,,False,37,2019,GE
1674443,Ashutosh S Kambale,IND,19503,345,0.215842191204899,9,37,8,KA,Ashutosh S Kambale,IND,,,,,False,37,2019,GE
1674444,Rathod Shankar Pandappa,IND,19503,338,0.211462784426829,10,37,8,KA,Rathod Shankar Pandappa,IND,,,,,False,37,2019,GE
1674445,Gopal Balawantrao Desai,IND,19503,311,0.194570786854272,11,37,8,KA,Gopal Balawantrao Desai,IND,,,,,False,37,2019,GE
1674446,Manjunath H Rajappanavar,UPJP,19514,311,0.194570786854272,11,37,8,KA,Manjunath H Rajappanavar,UPJP,,,,,False,37,2019,GE
1674447,None Of The Above,NOTA,19501,222,0.138889757818805,13,37,8,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1674448,Kavita Deepak Kole,IND,19503,215,0.134510351040734,14,37,8,KA,Kavita Deepak Kole,IND,,,,,False,37,2019,GE
1674449,Sachin Shantaram Kelavekar,IND,19503,209,0.130756573802388,15,37,8,KA,Sachin Shantaram Kelavekar,IND,,,,,False,37,2019,GE
1674450,Ranjit Kallappa Patil,IND,19503,202,0.126377167024318,16,37,8,KA,Ranjit Kallappa Patil,IND,,,,,False,37,2019,GE
1674451,Raju Changappa Divatagi,IND,19503,183,0.114490205769555,17,37,8,KA,Raju Changappa Divatagi,IND,,,,,False,37,2019,GE
1674452,Onkarsingh Bhatia,IND,19503,167,0.104480133133966,18,37,8,KA,Onkarsingh Bhatia,IND,,,,,False,37,2019,GE
1674453,Kallappa Krushna Kowadkar,IND,19503,157,0.0982238377367225,19,37,8,KA,Kallappa Krushna Kowadkar,IND,,,,,False,37,2019,GE
1674454,Shankar Punnappa Chaugale,IND,19503,149,0.0932188014189277,20,37,8,KA,Shankar Punnappa Chaugale,IND,,,,,False,37,2019,GE
1674455,Anand Ramesh Patil,IND,19503,126,0.0788293220052678,21,37,8,KA,Anand Ramesh Patil,IND,,,,,False,37,2019,GE
1674456,Sunil Vittal Dasar,IND,19503,123,0.0769524333860947,22,37,8,KA,Sunil Vittal Dasar,IND,,,,,False,37,2019,GE
1674457,Uday Tukaram Naik,IND,19503,116,0.0725730266080243,23,37,8,KA,Uday Tukaram Naik,IND,,,,,False,37,2019,GE
1674458,Sachin Manohar Nikam,IND,19503,110,0.0688192493696782,24,37,8,KA,Sachin Manohar Nikam,IND,,,,,False,37,2019,GE
1674459,Dhananjay Rajaram Patil,IND,19503,105,0.0656911016710565,25,37,8,KA,Dhananjay Rajaram Patil,IND,,,,,False,37,2019,GE
1674460,Uday Kundargi,IND,19503,103,0.0644398425916078,26,37,8,KA,Uday Kundargi,IND,,,,,False,37,2019,GE
1674461,Ramchandra Krishna Gaonkar,IND,19503,96,0.0600604358135373,27,37,8,KA,Ramchandra Krishna Gaonkar,IND,,,,,False,37,2019,GE
1674462,Prabhakar Bhujang Patil,IND,19503,93,0.0581835471943643,28,37,8,KA,Prabhakar Bhujang Patil,IND,,,,,False,37,2019,GE
1674463,Megharaj Shivagoudappa Khanagoudar,IND,19503,91,0.0569322881149156,29,37,8,KA,Megharaj Shivagoudappa Khanagoudar,IND,,,,,False,37,2019,GE
1674464,Anil Baban Hegade,IND,19503,90,0.0563066585751912,30,37,8,KA,Anil Baban Hegade,IND,,,,,False,37,2019,GE
1674465,Vishwanath Raghunath Buwaji,IND,19503,90,0.0563066585751912,30,37,8,KA,Vishwanath Raghunath Buwaji,IND,,,,,False,37,2019,GE
1674466,Pandurang Mallappa Pattan,IND,19503,86,0.0538041404162938,32,37,8,KA,Pandurang Mallappa Pattan,IND,,,,,False,37,2019,GE
1674468,Vinayak Gopal Gunjatkar,IND,19503,82,0.0513016222573965,33,37,8,KA,Vinayak Gopal Gunjatkar,IND,,,,,False,37,2019,GE
1674467,Nanda Maruti Kodachwadkar,IND,19503,82,0.0513016222573965,33,37,8,KA,Nanda Maruti Kodachwadkar,IND,,,,,False,37,2019,GE
1674469,Prakash Balappa Nesarkar,IND,19503,81,0.0506759927176721,35,37,8,KA,Prakash Balappa Nesarkar,IND,,,,,False,37,2019,GE
1674470,Shrikant Balkrishna Kadam,IND,19503,75,0.046922215479326,36,37,8,KA,Shrikant Balkrishna Kadam,IND,,,,,False,37,2019,GE
1674471,Nagesh Subhash Bobate,IND,19503,71,0.0444196973204286,37,37,8,KA,Nagesh Subhash Bobate,IND,,,,,False,37,2019,GE
1674472,Vijay Laxman Patil,IND,19503,68,0.0425428087012556,38,37,8,KA,Vijay Laxman Patil,IND,,,,,False,37,2019,GE
1674473,Pranam Prakash Patil,IND,19503,64,0.0400402905423582,39,37,8,KA,Pranam Prakash Patil,IND,,,,,False,37,2019,GE
1674474,Buland Deepak Dalvi,IND,19503,62,0.0387890314629095,40,37,8,KA,Buland Deepak Dalvi,IND,,,,,False,37,2019,GE
1674475,Maruti Siddappa Chougule,IND,19503,61,0.0381634019231852,41,37,8,KA,Maruti Siddappa Chougule,IND,,,,,False,37,2019,GE
1674476,Nilkanth Mahadev Patil,IND,19503,60,0.0375377723834608,42,37,8,KA,Nilkanth Mahadev Patil,IND,,,,,False,37,2019,GE
1674477,Sunil Guddakayu,IND,19503,60,0.0375377723834608,42,37,8,KA,Sunil Guddakayu,IND,,,,,False,37,2019,GE
1674478,Chetakkumar Yallappa Kamble,IND,19503,57,0.0356608837642878,44,37,8,KA,Chetakkumar Yallappa Kamble,IND,,,,,False,37,2019,GE
1674479,Mahadev Maruti Manganakar,IND,19503,56,0.0350352542245634,45,37,8,KA,Mahadev Maruti Manganakar,IND,,,,,False,37,2019,GE
1674480,Sanjay Shivappa Kamble,IND,19503,55,0.0344096246848391,46,37,8,KA,Sanjay Shivappa Kamble,IND,,,,,False,37,2019,GE
1674481,Shivaraj Narayan Patil,IND,19503,55,0.0344096246848391,46,37,8,KA,Shivaraj Narayan Patil,IND,,,,,False,37,2019,GE
1674482,Rajendra Yallappa Patil,IND,19503,53,0.0331583656053904,48,37,8,KA,Rajendra Yallappa Patil,IND,,,,,False,37,2019,GE
1674483,Ramchandra Dattoba Patil,IND,19503,53,0.0331583656053904,48,37,8,KA,Ramchandra Dattoba Patil,IND,,,,,False,37,2019,GE
1674484,Sandip Vasanth Lad,IND,19503,50,0.0312814769862173,50,37,8,KA,Sandip Vasanth Lad,IND,,,,,False,37,2019,GE
1674486,Shubham Vikrant Shelke,IND,19503,49,0.030655847446493,51,37,8,KA,Shubham Vikrant Shelke,IND,,,,,False,37,2019,GE
1674485,Laxman Bhimarao Dalavi,IND,19503,49,0.030655847446493,51,37,8,KA,Laxman Bhimarao Dalavi,IND,,,,,False,37,2019,GE
1674487,Niteen Dhondiba Anandache,IND,19503,44,0.0275276997478712,53,37,8,KA,Niteen Dhondiba Anandache,IND,,,,,False,37,2019,GE
1674488,Laxmi Sunil Mutagekar,IND,19503,42,0.0262764406684226,54,37,8,KA,Laxmi Sunil Mutagekar,IND,,,,,False,37,2019,GE
1674489,Suresh Basappa Maralingannavar,IND,19503,33,0.0206457748109034,55,37,8,KA,Suresh Basappa Maralingannavar,IND,,,,,False,37,2019,GE
1674490,Laxmanrao Somanna Melge,IND,19503,29,0.018143256652006,56,37,8,KA,Laxmanrao Somanna Melge,IND,,,,,False,37,2019,GE
1674492,Vijay Krishna Madar,IND,19503,25,0.0156407384931086,57,37,8,KA,Vijay Krishna Madar,IND,,,,,False,37,2019,GE
1674491,Suresh Khemana Rajukar,IND,19503,25,0.0156407384931086,57,37,8,KA,Suresh Khemana Rajukar,IND,,,,,False,37,2019,GE
1674584,Angadi Suresh Channabasappa,BJP,19498,104505,65.3945071242185,1,37,9,KA,Angadi Suresh Channabasappa,BJP,,,,,True,37,2019,GE
1674585,Dr.Sadhunavar,INC,19497,44920,28.1089063683067,2,37,9,KA,Dr.Sadhunavar,INC,,,,,False,37,2019,GE
1674586,Ganesh M Daddikar,IND,19503,1235,0.772807198683411,3,37,9,KA,Ganesh M Daddikar,IND,,,,,False,37,2019,GE
1674587,Badroddin Kamdod,BSP,19499,893,0.558799051355697,4,37,9,KA,Badroddin Kamdod,BSP,,,,,False,37,2019,GE
1674588,Vinayak Balkrishna More,IND,19503,724,0.453046487325336,5,37,9,KA,Vinayak Balkrishna More,IND,,,,,False,37,2019,GE
1674589,Rathod Shankar Pandappa,IND,19503,618,0.386716476750079,6,37,9,KA,Rathod Shankar Pandappa,IND,,,,,False,37,2019,GE
1674590,Dilshad Sikandar Tahashildar,RPI(A),19525,468,0.292853254237924,7,37,9,KA,Dilshad Sikandar Tahashildar,RPI(A),,,,,False,37,2019,GE
1674591,Gopal Balawantrao Desai,IND,19503,426,0.266571551934521,8,37,9,KA,Gopal Balawantrao Desai,IND,,,,,False,37,2019,GE
1674592,Gajanan Amrut Tokanekar,IND,19503,367,0.229652017746406,9,37,9,KA,Gajanan Amrut Tokanekar,IND,,,,,False,37,2019,GE
1674593,Raju Changappa Divatagi,IND,19503,325,0.203370315443003,10,37,9,KA,Raju Changappa Divatagi,IND,,,,,False,37,2019,GE
1674594,Krishnakant Kamanna Birje,IND,19503,314,0.196487012458778,11,37,9,KA,Krishnakant Kamanna Birje,IND,,,,,False,37,2019,GE
1674595,None Of The Above,NOTA,19501,312,0.195235502825282,12,37,9,KA,None Of The Above,NOTA,,,,,False,37,2019,GE
1674596,Manjunath H Rajappanavar,UPJP,19514,283,0.177088613139599,13,37,9,KA,Manjunath H Rajappanavar,UPJP,,,,,False,37,2019,GE
1674597,Ashutosh S Kambale,IND,19503,276,0.172708329422365,14,37,9,KA,Ashutosh S Kambale,IND,,,,,False,37,2019,GE
1674598,Shankar Punnappa Chaugale,IND,19503,273,0.170831064972122,15,37,9,KA,Shankar Punnappa Chaugale,IND,,,,,False,37,2019,GE
1674599,Ranjit Kallappa Patil,IND,19503,253,0.158315968637168,16,37,9,KA,Ranjit Kallappa Patil,IND,,,,,False,37,2019,GE
1674600,Sachin Shantaram Kelavekar,IND,19503,223,0.139543324134737,17,37,9,KA,Sachin Shantaram Kelavekar,IND,,,,,False,37,2019,GE
1674601,Kavita Deepak Kole,IND,19503,183,0.114513131464829,18,37,9,KA,Kavita Deepak Kole,IND,,,,,False,37,2019,GE
1674602,Sunil Vittal Dasar,IND,19503,178,0.11138435738109,19,37,9,KA,Sunil Vittal Dasar,IND,,,,,False,37,2019,GE
1674603,Kallappa Krushna Kowadkar,IND,19503,150,0.0938632225121552,20,37,9,KA,Kallappa Krushna Kowadkar,IND,,,,,False,37,2019,GE
1674604,Onkarsingh Bhatia,IND,19503,144,0.090108693611669,21,37,9,KA,Onkarsingh Bhatia,IND,,,,,False,37,2019,GE
