el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1704113,Rahul Mamkootathil,INC,19698,58389,42.274109470026,1,52,56,KL,Rahul Mamkootathil,INC,,,,,,52,2024,AE-BP
1704114,C Krishnakumar,BJP,19699,39549,28.633796698523,2,52,56,KL,C Krishnakumar,BJP,,,,,,52,2024,AE-BP
1704115,Dr. P. Sarin,IND,19702,37293,27.0004344048653,3,52,56,KL,Dr. P. Sarin,IND,,,,,,52,2024,AE-BP
1704116,Nota,NOTA,19703,1262,0.913698233420214,4,52,56,KL,Nota,NOTA,,,,,,52,2024,AE-BP
1704117,M. Rajesh Alathur,IND,19702,561,0.406168549087749,5,52,56,KL,M. Rajesh Alathur,IND,,,,,,52,2024,AE-BP
1704118,B. Shameer,IND,19702,246,0.178105994787141,6,52,56,KL,B. Shameer,IND,,,,,,52,2024,AE-BP
1704119,Eruppassery Siddik,IND,19702,241,0.174485954242687,7,52,56,KL,Eruppassery Siddik,IND,,,,,,52,2024,AE-BP
1704120,Rahul R,IND,19702,183,0.132493483927019,8,52,56,KL,Rahul R,IND,,,,,,52,2024,AE-BP
1704121,Rahul Manalazhi,IND,19702,157,0.113669273095858,9,52,56,KL,Rahul Manalazhi,IND,,,,,,52,2024,AE-BP
1704122,Selvan S,IND,19702,141,0.102085143353605,10,52,56,KL,Selvan S,IND,,,,,,52,2024,AE-BP
1704123,N.S.K.Puram Sasikumar,IND,19702,98,0.0709527946713003,11,52,56,KL,N.S.K.Puram Sasikumar,IND,,,,,,52,2024,AE-BP
1704404,U R Pradeep,CPI(M),19700,64827,41.4425990564228,1,52,61,KL,U R Pradeep,CPM,,,,,,52,2024,AE-BP
1704405,Ramya Haridas,INC,19698,52626,33.6427448122434,2,52,61,KL,Ramya Haridas,INC,,,,,,52,2024,AE-BP
1704406,K Balakrishnan,BJP,19699,33609,21.4855586667178,3,52,61,KL,K Balakrishnan,BJP,,,,,,52,2024,AE-BP
1704407,Sudheer N K,IND,19702,3920,2.50597726720621,4,52,61,KL,Sudheer N K,IND,,,,,,52,2024,AE-BP
1704408,Nota,NOTA,19703,1034,0.66101543221715,5,52,61,KL,Nota,NOTA,,,,,,52,2024,AE-BP
1704409,Lindesh K B,IND,19702,240,0.15342717962487,6,52,61,KL,Lindesh K B,IND,,,,,,52,2024,AE-BP
1704410,Haridasan,IND,19702,170,0.108677585567616,7,52,61,KL,Haridasan,IND,,,,,,52,2024,AE-BP
