el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1700136,P B Abdul Razak,MUL,19707,49817,37.4639964504072,1,10,1,KL,P B Abdul Razak,MUL,,,,,False,10,2011,AE
1700137,K. Surendran,BJP,19699,43989,33.081151812774,2,10,1,KL,K. Surendran,BJP,,,,,False,10,2011,AE
1700138,Adv. C H Kunhambu,CPI(M),19700,35067,26.371519030179,3,10,1,KL,Adv. C H Kunhambu,CPM,,,,,True,10,2011,AE
1700139,Hafsa Muneer,IND,19702,1076,0.809186827401051,4,10,1,KL,Hafsa Muneer,IND,,,,,False,10,2011,AE
1700140,Abdul Majeed,BSP,19704,869,0.65351612733412,5,10,1,KL,Abdul Majeed,BSP,,,,,False,10,2011,AE
1700141,Abdulla Timber,IND,19702,547,0.411361705007783,6,10,1,KL,Abdulla Timber,IND,,,,,False,10,2011,AE
1700142,Kunhambu,IND,19702,490,0.368495860061817,7,10,1,KL,Kunhambu,IND,,,,,False,10,2011,AE
1700143,Abdul Razak K,IND,19702,465,0.349695050874989,8,10,1,KL,Abdul Razak K,IND,,,,,False,10,2011,AE
1700144,Abbas M,IND,19702,391,0.29404465568198,9,10,1,KL,Abbas M,IND,,,,,False,10,2011,AE
1700145,Abdulla P M,IND,19702,262,0.197032480277951,10,10,1,KL,Abdulla P M,IND,,,,,False,10,2011,AE
1700204,N.A.Nellikkunnu,MUL,19707,53068,45.3452504037391,1,10,2,KL,N.A.Nellikkunnu,MUL,,,,,False,10,2011,AE
1700205,Jayalakshmi N Bhat,BJP,19699,43330,37.024378156215,2,10,2,KL,Jayalakshmi N Bhat,BJP,,,,,False,10,2011,AE
1700206,Azeez Kadappuram,INL,19711,16467,14.0706308584904,3,10,2,KL,Azeez Kadappuram,INL,,,,,False,10,2011,AE
1700207,A H Muneer,SDPI,19701,1260,1.07663781391255,4,10,2,KL,A H Muneer,SDPI,,,,,False,10,2011,AE
1700208,Govinda Raja Kuntikkanamata,IND,19702,938,0.801497039246011,5,10,2,KL,Govinda Raja Kuntikkanamata,IND,,,,,False,10,2011,AE
1700209,Saifudeen K Makkodu,BSP,19704,807,0.689560885577325,6,10,2,KL,Saifudeen K Makkodu,BSP,,,,,False,10,2011,AE
1700210,Ajith Kumar Azad,IND,19702,739,0.631456622604267,7,10,2,KL,Ajith Kumar Azad,IND,,,,,False,10,2011,AE
1700211,Abdulla,IND,19702,422,0.360588220215156,8,10,2,KL,Abdulla,IND,,,,,False,10,2011,AE
1700270,K.Kunhiraman,CPI(M),19700,61646,47.9265467323869,1,10,3,KL,K.Kunhiraman,CPM,,,,,True,10,2011,AE
1700271,Adv. C K Sreedharan,INC,19698,50266,39.0791908323356,2,10,3,KL,Adv. C K Sreedharan,INC,,,,,False,10,2011,AE
1700272,Sunitha Prasanth,BJP,19699,13073,10.1635750159376,3,10,3,KL,Sunitha Prasanth,BJP,,,,,False,10,2011,AE
1700273,Faisal Koliyadukkam,SDPI,19701,1265,0.983471459891468,4,10,3,KL,Faisal Koliyadukkam,SDPI,,,,,False,10,2011,AE
1700274,P Damodaran,BSP,19704,1096,0.852082782641145,5,10,3,KL,P Damodaran,BSP,,,,,False,10,2011,AE
1700275,Krishnankutty,IND,19702,866,0.673269789933605,6,10,3,KL,Krishnankutty,IND,,,,,False,10,2011,AE
1700276,Kunhiraman,IND,19702,414,0.321863386873571,7,10,3,KL,Kunhiraman,IND,,,,,False,10,2011,AE
1700337,E.Chandrashekharan,CPI,19713,66640,47.6541214665226,1,10,4,KL,E.Chandrashekharan,CPI,,,,,False,10,2011,AE
1700338,Adv.M C Jose,INC,19698,54462,38.9456597135317,2,10,4,KL,Adv.M C Jose,INC,,,,,False,10,2011,AE
1700339,Madikai Kammaran,BJP,19699,15543,11.1147660557347,3,10,4,KL,Madikai Kammaran,BJP,,,,,False,10,2011,AE
1700340,P M Joseph,IND,19702,1919,1.37227279553206,4,10,4,KL,P M Joseph,IND,,,,,False,10,2011,AE
1700341,Gopalan K,BSP,19704,1277,0.913179968678713,5,10,4,KL,Gopalan K,BSP,,,,,False,10,2011,AE
1700409,K.Kunhiraman,CPI(M),19700,67871,49.9095508427214,1,10,5,KL,K.Kunhiraman,CPM,,,,,True,10,2011,AE
1700410,K.V.Gangadharan,INC,19698,59106,43.4641291878695,2,10,5,KL,K.V.Gangadharan,INC,,,,,False,10,2011,AE
1700411,T.Radhakrishnan,BJP,19699,5450,4.00770656234373,3,10,5,KL,T.Radhakrishnan,BJP,,,,,False,10,2011,AE
1700412,Razak Haji Parambath,SDPI,19701,1741,1.2802600229432,4,10,5,KL,Razak Haji Parambath,SDPI,,,,,False,10,2011,AE
1700413,Arun Kumar,BSP,19704,1031,0.758155131335117,5,10,5,KL,Arun Kumar,BSP,,,,,False,10,2011,AE
1700414,K.K.Dileep Kumar,IND,19702,789,0.58019825278701,6,10,5,KL,K.K.Dileep Kumar,IND,,,,,False,10,2011,AE
