el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1952195,PRIYANKA GANDHI VADRA,INC,19698,74829,58.12,1,54,17,KL,,,,,,,True,54,2024,GE-BP
1952202,SATHYAN MOKERI,Communist Party of India,27045,32056,24.9,2,54,17,KL,,,,,,,False,54,2024,GE-BP
1952209,NAVYA HARIDAS,BJP,19699,20207,15.7,3,54,17,KL,,,,,,,False,54,2024,GE-BP
1952237,SONHU SINGH YADAV,IND,19702,257,0.2,4,54,17,KL,,,,,,,False,54,2024,GE-BP
1952223,SHAIK JALEEL,NCP,27048,256,0.2,5,54,17,KL,,,,,,,False,54,2024,GE-BP
1952216,SANTHOSH PULICKAL,IND,19702,252,0.2,6,54,17,KL,,,,,,,False,54,2024,GE-BP
1952230,GOPAL SWAROOP GANDHI,Kisan Majdoor Berojgar Sangh,27049,219,0.17,7,54,17,KL,,,,,,,False,54,2024,GE-BP
1952244,RUKMINI,IND,19702,187,0.15,8,54,17,KL,,,,,,,False,54,2024,GE-BP
1952251,R RAJAN,IND,19702,106,0.08,9,54,17,KL,,,,,,,False,54,2024,GE-BP
1952258,DUGGIRALA NAGESWARA RAO,Jatiya Jana Sena Party,27050,81,0.06,10,54,17,KL,,,,,,,False,54,2024,GE-BP
1952265,JAYENDRA K RATHOD,Right to Recall Party,27051,64,0.05,11,54,17,KL,,,,,,,False,54,2024,GE-BP
1952279,A SEETHA,Bahujan Dravida Party,27053,55,0.04,12,54,17,KL,,,,,,,False,54,2024,GE-BP
1952272,DR K PADMARAJAN,Independent,27052,54,0.04,13,54,17,KL,,,,,,,False,54,2024,GE-BP
1952286,A NOOR MUHAMAD,IND,19702,46,0.04,14,54,17,KL,,,,,,,False,54,2024,GE-BP
1952293,ISMAIL ZABI ULLAH,IND,19702,40,0.03,15,54,17,KL,,,,,,,False,54,2024,GE-BP
1952300,AJITHKUMAR,IND,19702,32,0.02,16,54,17,KL,,,,,,,False,54,2024,GE-BP
