el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1700126,Rajmohan Unnithan,INC,19698,68217,42.3881839760398,1,37,1,KL,Rajmohan Unnithan,INC,,,,,False,37,2019,GE
1700127,Ravisha Thanthri Kuntar,BJP,19699,57104,35.4828687536505,2,37,1,KL,Ravisha Thanthri Kuntar,BJP,,,,,False,37,2019,GE
1700128,K. P. Sathishchandran,CPI(M),19700,32796,20.38,3,37,1,KL,K. P. Sathishchandran,CPM,,,,,False,37,2019,GE
1700129,None Of The Above,NOTA,19703,656,0.407620515242273,4,37,1,KL,None Of The Above,NOTA,,,,,,37,2019,GE
1700130,Govindan B Alinthazhe,IND,19702,548,0.340512259684094,5,37,1,KL,Govindan B Alinthazhe,IND,,,,,False,37,2019,GE
1700131,Rameshan Bandadka,IND,19702,422,0.262219294866218,6,37,1,KL,Rameshan Bandadka,IND,,,,,False,37,2019,GE
1700132,Adv. Basheer Alady,BSP,19704,390,0.242335367293424,7,37,1,KL,Adv. Basheer Alady,BSP,,,,,False,37,2019,GE
1700133,Saji,IND,19702,350,0.217480457827432,8,37,1,KL,Saji,IND,,,,,False,37,2019,GE
1700134,Narendra Kumar. K,IND,19702,229,0.142294356692805,9,37,1,KL,Narendra Kumar. K,IND,,,,,False,37,2019,GE
1700135,Ranadivan. R. K,IND,19702,222,0.137944747536257,10,37,1,KL,Ranadivan. R. K,IND,,,,,False,37,2019,GE
1700194,Rajmohan Unnithan,INC,19698,69790,47.3894709680924,1,37,2,KL,Rajmohan Unnithan,INC,,,,,False,37,2019,GE
1700195,Ravisha Thanthri Kuntar,BJP,19699,46630,31.6631470302643,2,37,2,KL,Ravisha Thanthri Kuntar,BJP,,,,,False,37,2019,GE
1700196,K. P. Sathishchandran,CPI(M),19700,28567,19.4,3,37,2,KL,K. P. Sathishchandran,CPM,,,,,False,37,2019,GE
1700197,None Of The Above,NOTA,19703,604,0.410133836720558,4,37,2,KL,None Of The Above,NOTA,,,,,,37,2019,GE
1700198,Govindan B Alinthazhe,IND,19702,380,0.258031221777835,5,37,2,KL,Govindan B Alinthazhe,IND,,,,,False,37,2019,GE
1700199,Adv. Basheer Alady,BSP,19704,329,0.223400715697125,6,37,2,KL,Adv. Basheer Alady,BSP,,,,,False,37,2019,GE
1700200,Rameshan Bandadka,IND,19702,322,0.218647508980165,7,37,2,KL,Rameshan Bandadka,IND,,,,,False,37,2019,GE
1700201,Saji,IND,19702,263,0.178584766651501,8,37,2,KL,Saji,IND,,,,,False,37,2019,GE
1700202,Ranadivan. R. K,IND,19702,196,0.133089788074883,9,37,2,KL,Ranadivan. R. K,IND,,,,,False,37,2019,GE
1700203,Narendra Kumar. K,IND,19702,188,0.127657551826928,10,37,2,KL,Narendra Kumar. K,IND,,,,,False,37,2019,GE
1700260,Rajmohan Unnithan,INC,19698,72324,44.7604901596732,1,37,3,KL,Rajmohan Unnithan,INC,,,,,False,37,2019,GE
1700261,K. P. Sathishchandran,CPI(M),19700,63387,39.23,2,37,3,KL,K. P. Sathishchandran,CPM,,,,,False,37,2019,GE
1700262,Ravisha Thanthri Kuntar,BJP,19699,23786,14.7208812971902,3,37,3,KL,Ravisha Thanthri Kuntar,BJP,,,,,False,37,2019,GE
1700263,None Of The Above,NOTA,19703,557,0.34472088129719,4,37,3,KL,None Of The Above,NOTA,,,,,,37,2019,GE
1700264,Govindan B Alinthazhe,IND,19702,417,0.25807649461567,5,37,3,KL,Govindan B Alinthazhe,IND,,,,,False,37,2019,GE
1700265,Rameshan Bandadka,IND,19702,324,0.200519866320089,6,37,3,KL,Rameshan Bandadka,IND,,,,,False,37,2019,GE
1700266,Adv. Basheer Alady,BSP,19704,273,0.168956554028963,7,37,3,KL,Adv. Basheer Alady,BSP,,,,,False,37,2019,GE
1700267,Ranadivan. R. K,IND,19702,211,0.130585468498576,8,37,3,KL,Ranadivan. R. K,IND,,,,,False,37,2019,GE
1700268,Saji,IND,19702,163,0.100878821636341,9,37,3,KL,Saji,IND,,,,,False,37,2019,GE
1700269,Narendra Kumar. K,IND,19702,138,0.0854066097289268,10,37,3,KL,Narendra Kumar. K,IND,,,,,False,37,2019,GE
1700327,K. P. Sathishchandran,CPI(M),19700,74791,44.01,1,37,4,KL,K. P. Sathishchandran,CPM,,,,,False,37,2019,GE
1700328,Rajmohan Unnithan,INC,19698,72570,42.703558335638,2,37,4,KL,Rajmohan Unnithan,INC,,,,,False,37,2019,GE
1700329,Ravisha Thanthri Kuntar,BJP,19699,20046,11.7959973872977,3,37,4,KL,Ravisha Thanthri Kuntar,BJP,,,,,False,37,2019,GE
1700330,None Of The Above,NOTA,19703,678,0.398966688046887,4,37,4,KL,None Of The Above,NOTA,,,,,,37,2019,GE
1700331,Govindan B Alinthazhe,IND,19702,474,0.278923613767292,5,37,4,KL,Govindan B Alinthazhe,IND,,,,,False,37,2019,GE
1700332,Ranadivan. R. K,IND,19702,409,0.240674595001735,6,37,4,KL,Ranadivan. R. K,IND,,,,,False,37,2019,GE
1700333,Rameshan Bandadka,IND,19702,305,0.179476164976844,7,37,4,KL,Rameshan Bandadka,IND,,,,,False,37,2019,GE
1700334,Adv. Basheer Alady,BSP,19704,277,0.162999664585527,8,37,4,KL,Adv. Basheer Alady,BSP,,,,,False,37,2019,GE
1700335,Saji,IND,19702,218,0.128281324475252,9,37,4,KL,Saji,IND,,,,,False,37,2019,GE
1700336,Narendra Kumar. K,IND,19702,171,0.100624341675542,10,37,4,KL,Narendra Kumar. K,IND,,,,,False,37,2019,GE
1700399,K. P. Sathishchandran,CPI(M),19700,76403,47.4,1,37,5,KL,K. P. Sathishchandran,CPM,,,,,False,37,2019,GE
