el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1868858,Ashwini Laxman Jagtap,BJP,23980,135603,47.6808827097332,1,49,205,MH,Ashwini Laxman Jagtap,BJP,,,,,,49,2023,AE-BP
1868859,Vitthal alias Nana Kate,NCP,23990,99435,34.9634489815293,2,49,205,MH,Vitthal alias Nana Kate,NCP,,,,,,49,2023,AE-BP
1868860,Kalate Rahul Tanaji,IND,23981,44112,15.5107121383136,3,49,205,MH,Kalate Rahul Tanaji,IND,,,,,,49,2023,AE-BP
1868861,Bodhe Subhash Gopalrao,IND,23981,660,0.232069958543866,4,49,205,MH,Bodhe Subhash Gopalrao,IND,,,,,,49,2023,AE-BP
1868862,Gopal Yashwantrao Tantarpale,IND,23981,439,0.154361684546602,5,49,205,MH,Gopal Yashwantrao Tantarpale,IND,,,,,,49,2023,AE-BP
1868863,Siddik Ismail Shaikh,IND,23981,398,0.139945217424937,6,49,205,MH,Siddik Ismail Shaikh,IND,,,,,,49,2023,AE-BP
1868864,Prafulla Motling,MLP,24304,379,0.133264415588068,7,49,205,MH,Prafulla Motling,MLP,,,,,,49,2023,AE-BP
1868865,Balaji Laxman Jagtap,IND,23981,340,0.119551190765022,8,49,205,MH,Balaji Laxman Jagtap,IND,,,,,,49,2023,AE-BP
1868866,Kishor Atmaram Kashikar,IND,23981,316,0.111112283181608,9,49,205,MH,Kishor Atmaram Kashikar,IND,,,,,,49,2023,AE-BP
1868867,Shridhar Salve,IND,23981,316,0.111112283181608,9,49,205,MH,Shridhar Salve,IND,,,,,,49,2023,AE-BP
1868868,Dadarao Kisan Kamble,IND,23981,305,0.107244450539211,11,49,205,MH,Dadarao Kisan Kamble,IND,,,,,,49,2023,AE-BP
1868869,Dr. Bhosale Milindraje,IND,23981,276,0.0970474372092532,12,49,205,MH,Dr. Bhosale Milindraje,IND,,,,,,49,2023,AE-BP
1868870,Amol (Devika) Ashok Suryawanshi,IND,23981,259,0.0910698776710021,13,49,205,MH,Amol (Devika) Ashok Suryawanshi,IND,,,,,,49,2023,AE-BP
1868871,Rafique Rashid Qureshi,IND,23981,184,0.0646982914728355,14,49,205,MH,Rafique Rashid Qureshi,IND,,,,,,49,2023,AE-BP
1868872,Manoj Madhukar Khandagale,ASPKR,24037,174,0.0611820799797466,15,49,205,MH,Manoj Madhukar Khandagale,ASPKR,,,,,,49,2023,AE-BP
1868873,Londhe Tushar Digambar,BUJNBHRTP,24093,122,0.0428977802156844,16,49,205,MH,Londhe Tushar Digambar,BUJNBHRTP,,,,,,49,2023,AE-BP
1868874,Raju alias Raviraj Baban Kale,IND,23981,121,0.0425461590663755,17,49,205,MH,Raju alias Raviraj Baban Kale,IND,,,,,,49,2023,AE-BP
1868875,Harish Bhikoba More,IND,23981,117,0.0411396744691399,18,49,205,MH,Harish Bhikoba More,IND,,,,,,49,2023,AE-BP
1868876,Adv. Satish Shrawan Kambiye,BMUP,23985,115,0.0404364321705221,19,49,205,MH,Adv. Satish Shrawan Kambiye,BMUP,,,,,,49,2023,AE-BP
1868877,Javed Rashid Shaikh,IND,23981,113,0.0397331898719044,20,49,205,MH,Javed Rashid Shaikh,IND,,,,,,49,2023,AE-BP
1868878,Sudhir Laxman Jagtap,IND,23981,112,0.0393815687225955,21,49,205,MH,Sudhir Laxman Jagtap,IND,,,,,,49,2023,AE-BP
1868879,Ajay Hanumant Londhe,IND,23981,106,0.0372718418267421,22,49,205,MH,Ajay Hanumant Londhe,IND,,,,,,49,2023,AE-BP
1868880,Milind Kamble,IND,23981,97,0.0341072514829621,23,49,205,MH,Milind Kamble,IND,,,,,,49,2023,AE-BP
1868881,Mohan Bhagwat Mhaske,IND,23981,82,0.0288329342433288,24,49,205,MH,Mohan Bhagwat Mhaske,IND,,,,,,49,2023,AE-BP
1868882,Shaikh Soyalshaha Yunusshaha,IND,23981,74,0.0260199650488577,25,49,205,MH,Shaikh Soyalshaha Yunusshaha,IND,,,,,,49,2023,AE-BP
1868883,Satish Nana Sonawane,IND,23981,49,0.0172294363161355,26,49,205,MH,Satish Nana Sonawane,IND,,,,,,49,2023,AE-BP
1868884,Chandrakant Rambhaji Mote,IND,23981,48,0.0168778151668266,27,49,205,MH,Chandrakant Rambhaji Mote,IND,,,,,,49,2023,AE-BP
1868885,Anil Babu Sonawane,IND,23981,45,0.0158229517188999,28,49,205,MH,Anil Babu Sonawane,IND,,,,,,49,2023,AE-BP
1870682,Dhangekar Ravindra Hemraj,INC,23978,73309,53.5180318294641,1,49,215,MH,Dhangekar Ravindra Hemraj,INC,,,,,,49,2023,AE-BP
1870683,Hemant Narayan Rasane,BJP,23980,62394,45.5497152869031,2,49,215,MH,Hemant Narayan Rasane,BJP,,,,,,49,2023,AE-BP
1870684,Anand Kanhaiyalal Dave,IND,23981,297,0.216819973718791,3,49,215,MH,Anand Kanhaiyalal Dave,IND,,,,,,49,2023,AE-BP
1870685,Husen Nasaruddin Shaikh,IND,23981,238,0.17374799240765,4,49,215,MH,Husen Nasaruddin Shaikh,IND,,,,,,49,2023,AE-BP
1870686,Tukaram Namdeo Daphal,SaSP,24047,153,0.111695137976346,5,49,215,MH,Tukaram Namdeo Daphal,SaSP,,,,,,49,2023,AE-BP
1870687,Anil Hatagale,IND,23981,108,0.0788436268068331,6,49,215,MH,Anil Hatagale,IND,,,,,,49,2023,AE-BP
1870688,Santosh Choudary,IND,23981,72,0.052562417871222,7,49,215,MH,Santosh Choudary,IND,,,,,,49,2023,AE-BP
1870689,Oswal Suresh Babulal,IND,23981,63,0.0459921156373193,8,49,215,MH,Oswal Suresh Babulal,IND,,,,,,49,2023,AE-BP
1870690,Riyaz Sayyadali Sayyad,IND,23981,62,0.0452620820557745,9,49,215,MH,Riyaz Sayyadali Sayyad,IND,,,,,,49,2023,AE-BP
1870691,Baljeet Singh Kochhar,PRCP,24029,51,0.0372317126587823,10,49,215,MH,Baljeet Singh Kochhar,PRCP,,,,,,49,2023,AE-BP
1870692,Khisal Jalal Jafri (Laddu),IND,23981,49,0.0357716454956928,11,49,215,MH,Khisal Jalal Jafri (Laddu),IND,,,,,,49,2023,AE-BP
1870693,Abhijit Wamanrao Awade-Bichukale,IND,23981,47,0.0343115783326033,12,49,215,MH,Abhijit Wamanrao Awade-Bichukale,IND,,,,,,49,2023,AE-BP
1870694,Ravindra Vitthalrao Vedpathak,RASMARP,24016,41,0.0299313768433347,13,49,215,MH,Ravindra Vitthalrao Vedpathak,RASMARP,,,,,,49,2023,AE-BP
1870695,Mote Chandrakant Rambhaji,IND,23981,39,0.0284713096802452,14,49,215,MH,Mote Chandrakant Rambhaji,IND,,,,,,49,2023,AE-BP
1870696,Amol S. Tujare,IND,23981,31,0.0226310410278872,15,49,215,MH,Amol S. Tujare,IND,,,,,,49,2023,AE-BP
