el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1841223,Adv. K. C. Padavi,INC,23978,82770,41.2554578623123,1,35,1,MH,Adv. K. C. Padavi,INC,,,,,True,35,2019,AE
1841224,Aamshya Fulji Padavi,SHS,23989,80674,40.2107382817951,2,35,1,MH,Aamshya Fulji Padavi,SHS,,,,,True,35,2019,AE
1841225,Padavi Nagesh Dilwarsing,IND,23981,21664,10.7980939848874,3,35,1,MH,Padavi Nagesh Dilwarsing,IND,,,,,False,35,2019,AE
1841226,None Of The Above,NOTA,23984,4857,2.42089837908965,4,35,1,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1841227,Adv. Kailas Pratapsing Vasave,AAAP,23986,4055,2.02115357776581,5,35,1,MH,Adv. Kailas Pratapsing Vasave,AAAP,,,,,False,35,2019,AE
1841228,Bharat Jalya Pawara,IND,23981,3784,1.88607771597184,6,35,1,MH,Bharat Jalya Pawara,IND,,,,,False,35,2019,AE
1841229,Dr.Sanjay Ravlya Valvi,BTP,23988,2824,1.40758019817772,7,35,1,MH,Dr.Sanjay Ravlya Valvi,BTP,,,,,False,35,2019,AE
1841305,Rajesh Udesing Padvi,BJP,23980,94931,45.1207977451721,1,35,2,MH,Rajesh Udesing Padvi,BJP,,,,,False,35,2019,AE
1841306,Valvi Padmakar Vijaysing,INC,23978,86940,41.3226675792445,2,35,2,MH,Valvi Padmakar Vijaysing,INC,,,,,True,35,2019,AE
1841307,Eng.Jelsing Bijala Pawara,IND,23981,21013,9.98749958411163,3,35,2,MH,Eng.Jelsing Bijala Pawara,IND,,,,,False,35,2019,AE
1841308,Mali Jaysing Devchand,CPM,23995,4060,1.92972199645425,4,35,2,MH,Mali Jaysing Devchand,CPM,,,,,True,35,2019,AE
1841309,None Of The Above,NOTA,23984,3449,1.63931309501741,5,35,2,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1841370,Gavit Vijaykumar Krushnarao,BJP,23980,121605,64.5157011815013,1,35,3,MH,Gavit Vijaykumar Krushnarao,BJP,,,,,True,35,2019,AE
1841371,Padvi Udesing Kocharu,INC,23978,51209,27.1681636594177,2,35,3,MH,Padvi Udesing Kocharu,INC,,,,,False,35,2019,AE
1841372,Dipa Shamshon Valvi,VBA,23987,6734,3.57262227503992,3,35,3,MH,Dipa Shamshon Valvi,VBA,,,,,False,35,2019,AE
1841373,None Of The Above,NOTA,23984,3521,1.86801351803022,4,35,3,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1841374,Ananda Sukalal Koli,IND,23981,2047,1.08600501886051,5,35,3,MH,Ananda Sukalal Koli,IND,,,,,False,35,2019,AE
1841375,Vipul Ramsing Vasave,BSP,23982,1925,1.02127975637835,6,35,3,MH,Vipul Ramsing Vasave,BSP,,,,,False,35,2019,AE
1841376,Adv.Prakash Mohan Gangurde,SWP,23998,1448,0.768214590771875,7,35,3,MH,Adv.Prakash Mohan Gangurde,SWP,,,,,False,35,2019,AE
1841449,Naik Shirishkumar Surupsing,INC,23978,74652,34.2970555399861,1,35,4,MH,Naik Shirishkumar Surupsing,INC,,,,,False,35,2019,AE
1841450,Gavit Sharad Krushnrao,IND,23981,63317,29.0894639879079,2,35,4,MH,Gavit Sharad Krushnrao,IND,,,,,False,35,2019,AE
1841451,Gavit Bharat Manikrao,BJP,23980,58579,26.9127045019135,3,35,4,MH,Gavit Bharat Manikrao,BJP,,,,,False,35,2019,AE
1841452,Dr. Ulhas Jayant Vasave,BTP,23988,6009,2.7606896900254,4,35,4,MH,Dr. Ulhas Jayant Vasave,BTP,,,,,False,35,2019,AE
1841453,Gavit Jagan Huraji,VBA,23987,5462,2.50938377216155,5,35,4,MH,Gavit Jagan Huraji,VBA,,,,,False,35,2019,AE
1841454,None Of The Above,NOTA,23984,4950,2.2741577576345,6,35,4,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1841455,Dr. Rakesh Rajya Gavit,IND,23981,1286,0.590821591175349,7,35,4,MH,Dr. Rakesh Rajya Gavit,IND,,,,,False,35,2019,AE
1841456,Adv. Prakash Mohan Gangurde,IND,23981,1154,0.530177384305095,8,35,4,MH,Adv. Prakash Mohan Gangurde,IND,,,,,False,35,2019,AE
1841457,Arjunsing Diwansing Vasave,IND,23981,1039,0.477343416198435,9,35,4,MH,Arjunsing Diwansing Vasave,IND,,,,,False,35,2019,AE
1841458,Ramu Maharya Valvi,PPID,23992,738,0.339056247501872,10,35,4,MH,Ramu Maharya Valvi,PPID,,,,,False,35,2019,AE
1841459,Dr. Sunil Kuthya Gavit,AAAP,23986,477,0.219146111190234,11,35,4,MH,Dr. Sunil Kuthya Gavit,AAAP,,,,,False,35,2019,AE
1841540,Gavit Manjula Tulshiram,IND,23981,76166,36.6010245172947,1,35,5,MH,Gavit Manjula Tulshiram,IND,,,,,False,35,2019,AE
1841541,Mohan Gokul Suryawanshi,BJP,23980,68901,33.1098809214889,2,35,5,MH,Mohan Gokul Suryawanshi,BJP,,,,,False,35,2019,AE
1841542,Ahire Dhanaji Sitaram Or D.S.Ahire,INC,23978,25302,12.1586944612634,3,35,5,MH,Ahire Dhanaji Sitaram Or D.S.Ahire,INC,,,,,True,35,2019,AE
1841543,Yashwant Devman Malache,VBA,23987,14032,6.74297686666858,4,35,5,MH,Yashwant Devman Malache,VBA,,,,,False,35,2019,AE
1841544,Rajkumar Pandit Sonawane,IND,23981,9058,4.35275687416505,5,35,5,MH,Rajkumar Pandit Sonawane,IND,,,,,False,35,2019,AE
1841545,None Of The Above,NOTA,23984,4147,1.99281107939528,6,35,5,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1841546,Nandu Rajaram Malache,BTP,23988,3743,1.79867177964228,7,35,5,MH,Nandu Rajaram Malache,BTP,,,,,False,35,2019,AE
1841547,Hiraman Deva Sabale,IND,23981,2872,1.38011898240252,8,35,5,MH,Hiraman Deva Sabale,IND,,,,,False,35,2019,AE
1841548,Rangnath Rama Bhavare,BSP,23982,2276,1.09371546098472,9,35,5,MH,Rangnath Rama Bhavare,BSP,,,,,False,35,2019,AE
1841549,Chaure Sandip Shantaraam,IND,23981,1601,0.769349056694442,10,35,5,MH,Chaure Sandip Shantaraam,IND,,,,,False,35,2019,AE
1841664,Kunal (Baba) Rohidas Patil,INC,23978,125575,51.1826107513032,1,35,6,MH,Kunal (Baba) Rohidas Patil,INC,,,,,True,35,2019,AE
1841665,Maisaheb Dnyanjyoti Manohar Patil,BJP,23980,111011,45.2465283863263,2,35,6,MH,Maisaheb Dnyanjyoti Manohar Patil,BJP,,,,,False,35,2019,AE
1841666,Rajdip Bhatu Agale,VBA,23987,4216,1.71838253575548,3,35,6,MH,Rajdip Bhatu Agale,VBA,,,,,False,35,2019,AE
1841667,None Of The Above,NOTA,23984,2248,0.916253306541347,4,35,6,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1841668,Baisane Nandu Sukdeo,BSP,23982,1471,0.599558991958328,5,35,6,MH,Baisane Nandu Sukdeo,BSP,,,,,False,35,2019,AE
1841669,Dr. Bhupesh Prakash Patil,IND,23981,826,0.336666028115281,6,35,6,MH,Dr. Bhupesh Prakash Patil,IND,,,,,False,35,2019,AE
1841791,Shah Faruk Anwar,AIMIM,24021,46679,28.9317102800262,1,35,7,MH,Shah Faruk Anwar,AIMIM,,,,,False,35,2019,AE
1841792,Kadambande Rajvardhan Raghujirao,IND,23981,43372,26.8820269985496,2,35,7,MH,Kadambande Rajvardhan Raghujirao,IND,,,,,False,35,2019,AE
1841793,Anil Anna Gote,LKSGM,24004,42432,26.2994136678608,3,35,7,MH,Anil Anna Gote,LKSGM,,,,,False,35,2019,AE
1841794,Hilal Lala Mali,SHS,23989,22427,13.900286348254,4,35,7,MH,Hilal Lala Mali,SHS,,,,,False,35,2019,AE
1841795,None Of The Above,NOTA,23984,1371,0.84974774082384,5,35,7,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1841796,Ravindra Suresh Damodar,BSP,23982,1264,0.783428989351811,6,35,7,MH,Ravindra Suresh Damodar,BSP,,,,,False,35,2019,AE
1841797,Mayur Devidas Ahirrao,IND,23981,1034,0.640874663757732,7,35,7,MH,Mayur Devidas Ahirrao,IND,,,,,False,35,2019,AE
1841798,Gorakh Babanlal Sharma,IND,23981,897,0.55596186981691,8,35,7,MH,Gorakh Babanlal Sharma,IND,,,,,False,35,2019,AE
1841799,Mansuri Asif Inayat,SP,23979,800,0.495841132501146,9,35,7,MH,Mansuri Asif Inayat,SP,,,,,False,35,2019,AE
1841800,Kulkarni Prachi Girish,MNS,23991,700,0.433860990938503,10,35,7,MH,Kulkarni Prachi Girish,MNS,,,,,False,35,2019,AE
1841801,Hemlata Sunil Sonawane,IND,23981,366,0.226847318119274,11,35,7,MH,Hemlata Sunil Sonawane,IND,,,,,False,35,2019,AE
1841917,Rawal Jaikumarbhau Jitendrasinh,BJP,23980,113809,56.7433488891548,1,35,8,MH,Rawal Jaikumarbhau Jitendrasinh,BJP,,,,,True,35,2019,AE
1841918,Bedse Sandeep Trayambakrao,NCP,23990,70894,35.3466156116628,2,35,8,MH,Bedse Sandeep Trayambakrao,NCP,,,,,True,35,2019,AE
1841919,Shanabhau Rambhau Sonawane,IND,23981,9358,4.66574927206732,3,35,8,MH,Shanabhau Rambhau Sonawane,IND,,,,,False,35,2019,AE
1841920,Namdeo Rohidas Yelave,VBA,23987,2025,1.00963264329304,4,35,8,MH,Namdeo Rohidas Yelave,VBA,,,,,False,35,2019,AE
1841921,None Of The Above,NOTA,23984,1816,0.905428582824777,5,35,8,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1841922,Narendra Dharma Patil (Salunkhe),MNS,23991,1185,0.59082206533445,6,35,8,MH,Narendra Dharma Patil (Salunkhe),MNS,,,,,False,35,2019,AE
1841923,Bhausaheb Namdeo Pawar,BSP,23982,1005,0.501076941486179,7,35,8,MH,Bhausaheb Namdeo Pawar,BSP,,,,,False,35,2019,AE
1841924,Salim Kasam Pinjari,IND,23981,476,0.237325994176538,8,35,8,MH,Salim Kasam Pinjari,IND,,,,,False,35,2019,AE
1842003,Kashiram Vechan Pawara,BJP,23980,120403,56.76923221998,1,35,9,MH,Kashiram Vechan Pawara,BJP,,,,,False,35,2019,AE
1842004,Dr.Jitendra Yuvraj Thakur,IND,23981,71229,33.5840107123323,2,35,9,MH,Dr.Jitendra Yuvraj Thakur,IND,,,,,False,35,2019,AE
1842005,Pawara Ranjitsinh Bhartsinh,INC,23978,7754,3.65596062086264,3,35,9,MH,Pawara Ranjitsinh Bhartsinh,INC,,,,,False,35,2019,AE
1842006,None Of The Above,NOTA,23984,3828,1.80487712879316,4,35,9,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1842007,Prof.Motilal Damu Sonawane,VBA,23987,3534,1.66625803896422,5,35,9,MH,Prof.Motilal Damu Sonawane,VBA,,,,,False,35,2019,AE
1842008,Er. Vikas Kalidas Saindane,CPI,24022,2127,1.00286668049714,6,35,9,MH,Er. Vikas Kalidas Saindane,CPI,,,,,False,35,2019,AE
1842009,Kishor Daulat Bhil,MEP,24026,1860,0.876977915244327,7,35,9,MH,Kishor Daulat Bhil,MEP,,,,,False,35,2019,AE
1842010,Sukram Onkar Pawara,BSP,23982,1357,0.639816683326103,8,35,9,MH,Sukram Onkar Pawara,BSP,,,,,False,35,2019,AE
1842104,Latabai Chandrakant Sonawane,SHS,23989,78137,39.1825211365072,1,35,10,MH,Latabai Chandrakant Sonawane,SHS,,,,,False,35,2019,AE
1842105,Jagdishchandra Ramesh Walvi (Jagdishbhau),NCP,23990,57608,28.888064267017,2,35,10,MH,Jagdishchandra Ramesh Walvi (Jagdishbhau),NCP,,,,,False,35,2019,AE
1842106,Prabhakarappa Gotu Sonawane,IND,23981,32459,16.2768656791262,3,35,10,MH,Prabhakarappa Gotu Sonawane,IND,,,,,False,35,2019,AE
1842107,Dr. Barela Chandrakant Jamsing,IND,23981,17085,8.56743122486435,4,35,10,MH,Dr. Barela Chandrakant Jamsing,IND,,,,,True,35,2019,AE
1842108,Adv. Yakub Sahebu Tadavi,BSP,23982,5369,2.69233469395942,5,35,10,MH,Adv. Yakub Sahebu Tadavi,BSP,,,,,False,35,2019,AE
1842109,Patil Madhuri Kishor,IND,23981,4288,2.1502572485934,6,35,10,MH,Patil Madhuri Kishor,IND,,,,,False,35,2019,AE
1842110,None Of The Above,NOTA,23984,2175,1.09067386093532,7,35,10,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1842111,Ishwarlal Suresh Koli (Alias Nilesh Suresh Koli),IND,23981,1529,0.766731187756371,8,35,10,MH,Ishwarlal Suresh Koli (Alias Nilesh Suresh Koli),IND,,,,,False,35,2019,AE
1842112,Dagdu Fattu Tadavi,IND,23981,768,0.38512070124061,9,35,10,MH,Dagdu Fattu Tadavi,IND,,,,,False,35,2019,AE
1842236,Shirish Madhukarrao Chaudhari,INC,23978,77941,38.3198292985112,1,35,11,MH,Shirish Madhukarrao Chaudhari,INC,,,,,True,35,2019,AE
1842237,Haribhau Madhav Jawale,BJP,23980,62332,30.6456370823418,2,35,11,MH,Haribhau Madhav Jawale,BJP,,,,,True,35,2019,AE
1842238,Anil Chabildas Chawadari,IND,23981,44841,22.0461562665932,3,35,11,MH,Anil Chabildas Chawadari,IND,,,,,False,35,2019,AE
1842239,Haji Sayad Mushtak Sayad Kamaruddin,VBA,23987,6707,3.29750830891462,4,35,11,MH,Haji Sayad Mushtak Sayad Kamaruddin,VBA,,,,,False,35,2019,AE
1842240,Vivek Devidas Thakare (Bapu Dhobi),AIMIM,24021,3545,1.74290546520088,5,35,11,MH,Vivek Devidas Thakare (Bapu Dhobi),AIMIM,,,,,False,35,2019,AE
1842241,Gayasoddin Sadaroddin Kazi,IND,23981,2693,1.32401817144879,6,35,11,MH,Gayasoddin Sadaroddin Kazi,IND,,,,,False,35,2019,AE
1842242,None Of The Above,NOTA,23984,1946,0.956754311785875,7,35,11,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1842243,D. D. Wani [Photographer],IND,23981,1333,0.655371787055792,8,35,11,MH,D. D. Wani [Photographer],IND,,,,,False,35,2019,AE
1842244,Santosh Madhukar Dhivare,BSP,23982,1104,0.542783535566087,9,35,11,MH,Santosh Madhukar Dhivare,BSP,,,,,False,35,2019,AE
1842245,Rajaram Madhav Sonar,IND,23981,493,0.242384314342464,10,35,11,MH,Rajaram Madhav Sonar,IND,,,,,False,35,2019,AE
1842246,Sanjay Hamid Tadvi,IND,23981,461,0.2266514582391,11,35,11,MH,Sanjay Hamid Tadvi,IND,,,,,False,35,2019,AE
1842366,Savkare Sanjay Waman,BJP,23980,81689,54.2229213960465,1,35,12,MH,Savkare Sanjay Waman,BJP,,,,,True,35,2019,AE
1842367,Dr. Madhu Rajesh Manawatkar,IND,23981,28675,19.0336798226399,2,35,12,MH,Dr. Madhu Rajesh Manawatkar,IND,,,,,False,35,2019,AE
1842368,Jagan Deoram Sonawane,NCP,23990,20245,13.4380766524619,3,35,12,MH,Jagan Deoram Sonawane,NCP,,,,,False,35,2019,AE
1842369,Sunil Dada Surwade,VBA,23987,6868,4.55879034078086,4,35,12,MH,Sunil Dada Surwade,VBA,,,,,False,35,2019,AE
1842370,None Of The Above,NOTA,23984,3277,2.17518286935627,5,35,12,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1842371,Gita Prashant Khachane,IND,23981,2157,1.43175753713807,6,35,12,MH,Gita Prashant Khachane,IND,,,,,False,35,2019,AE
1842372,Nilesh Amrut Suralkar,MNS,23991,2095,1.39060363481885,7,35,12,MH,Nilesh Amrut Suralkar,MNS,,,,,False,35,2019,AE
1842373,Satish Bhika Ghule,IND,23981,1572,1.04345055557768,8,35,12,MH,Satish Bhika Ghule,IND,,,,,False,35,2019,AE
1842374,Rakesh Sahebrao Wakade,BSP,23982,970,0.643859439510401,9,35,12,MH,Rakesh Sahebrao Wakade,BSP,,,,,False,35,2019,AE
1842375,Yamuna Dagadu Rote,IND,23981,917,0.608679490753647,10,35,12,MH,Yamuna Dagadu Rote,IND,,,,,False,35,2019,AE
1842376,Kailash Gopal Ghule,IUML,24033,882,0.585447449121828,11,35,12,MH,Kailash Gopal Ghule,IUML,,,,,False,35,2019,AE
1842377,Ajay Jivram Ingle,BMUP,23985,806,0.535000730149879,12,35,12,MH,Ajay Jivram Ingle,BMUP,,,,,False,35,2019,AE
1842378,Nilesh Raju Devghatole,IND,23981,501,0.332550081644032,13,35,12,MH,Nilesh Raju Devghatole,IND,,,,,False,35,2019,AE
1842491,Suresh Damu Bhole (Rajumama),BJP,23980,113310,62.2148281144476,1,35,13,MH,Suresh Damu Bhole (Rajumama),BJP,,,,,True,35,2019,AE
1842492,Abhishek Shantaram Patil,NCP,23990,48464,26.6100029100572,2,35,13,MH,Abhishek Shantaram Patil,NCP,,,,,False,35,2019,AE
1842493,Shafi A. Nabi Shaikh,VBA,23987,6330,3.47559669900673,3,35,13,MH,Shafi A. Nabi Shaikh,VBA,,,,,False,35,2019,AE
1842494,None Of The Above,NOTA,23984,4998,2.744238910211,4,35,13,MH,None Of The Above,NOTA,,,,,True,35,2019,AE
1842495,Adv. Jamil Abdul Rauf Deshpande,MNS,23991,3481,1.9113036507492,5,35,13,MH,Adv. Jamil Abdul Rauf Deshpande,MNS,,,,,False,35,2019,AE
