el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1876887,Shriniwas Dadasaheb Patil,NCP,23990,122707,54.6109580627789,1,38,256,MH,Shriniwas Dadasaheb Patil,NCP,,,,,,38,2019,GE-BP
1876888,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,23980,95644,42.5665241017744,2,38,256,MH,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,,,,,,38,2019,GE-BP
1876889,Chandrkant Tatu Khandait,VBA,23987,4036,1.7962286319556,3,38,256,MH,Chandrkant Tatu Khandait,VBA,,,,,,38,2019,GE-BP
1876890,Shivaji Narayan Bhosale,IND,23981,1049,0.466859225699064,4,38,256,MH,Shivaji Narayan Bhosale,IND,,,,,,38,2019,GE-BP
1876891,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,23981,591,0.263025550417681,5,38,256,MH,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,,,,,,38,2019,GE-BP
1876892,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,24017,379,0.168674591553808,6,38,256,MH,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,,,,,,38,2019,GE-BP
1876893,Alankruta Abhijit Bichukale,IND,23981,287,0.12772983582043,7,38,256,MH,Alankruta Abhijit Bichukale,IND,,,,,,38,2019,GE-BP
1876989,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,23980,101638,50.1487617985622,1,38,257,MH,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,,,,,,38,2019,GE-BP
1876990,Shriniwas Dadasaheb Patil,NCP,23990,95953,47.3437507709463,2,38,257,MH,Shriniwas Dadasaheb Patil,NCP,,,,,,38,2019,GE-BP
1876991,Chandrkant Tatu Khandait,VBA,23987,3273,1.61491663911818,3,38,257,MH,Chandrkant Tatu Khandait,VBA,,,,,,38,2019,GE-BP
1876992,Shivaji Narayan Bhosale,IND,23981,812,0.400645374568886,4,38,257,MH,Shivaji Narayan Bhosale,IND,,,,,,38,2019,GE-BP
1876993,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,23981,472,0.232887459109008,5,38,257,MH,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,,,,,,38,2019,GE-BP
1876994,Alankruta Abhijit Bichukale,IND,23981,264,0.130259087298258,6,38,257,MH,Alankruta Abhijit Bichukale,IND,,,,,,38,2019,GE-BP
1876995,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,24017,261,0.128778870397142,7,38,257,MH,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,,,,,,38,2019,GE-BP
1877253,Shriniwas Dadasaheb Patil,NCP,23990,114641,58.0425493134594,1,38,259,MH,Shriniwas Dadasaheb Patil,NCP,,,,,,38,2019,GE-BP
1877254,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,23980,63762,32.282595487869,2,38,259,MH,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,,,,,,38,2019,GE-BP
1877255,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,23981,14312,7.24614200656162,3,38,259,MH,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,,,,,,38,2019,GE-BP
1877256,Chandrkant Tatu Khandait,VBA,23987,3683,1.86469682854712,4,38,259,MH,Chandrkant Tatu Khandait,VBA,,,,,,38,2019,GE-BP
1877257,Shivaji Narayan Bhosale,IND,23981,642,0.325043541658228,5,38,259,MH,Shivaji Narayan Bhosale,IND,,,,,,38,2019,GE-BP
1877258,Alankruta Abhijit Bichukale,IND,23981,253,0.128093482927619,6,38,259,MH,Alankruta Abhijit Bichukale,IND,,,,,,38,2019,GE-BP
1877259,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,24017,219,0.110879338976872,7,38,259,MH,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,,,,,,38,2019,GE-BP
1877363,Shriniwas Dadasaheb Patil,NCP,23990,113550,54.7231552923146,1,38,260,MH,Shriniwas Dadasaheb Patil,NCP,,,,,,38,2019,GE-BP
1877364,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,23980,81701,39.3741656586296,2,38,260,MH,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,,,,,,38,2019,GE-BP
1877365,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,23981,9900,4.77110733063773,3,38,260,MH,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,,,,,,38,2019,GE-BP
1877366,Chandrkant Tatu Khandait,VBA,23987,1292,0.622653603149894,4,38,260,MH,Chandrkant Tatu Khandait,VBA,,,,,,38,2019,GE-BP
1877367,Shivaji Narayan Bhosale,IND,23981,525,0.253013267533819,5,38,260,MH,Shivaji Narayan Bhosale,IND,,,,,,38,2019,GE-BP
1877368,Alankruta Abhijit Bichukale,IND,23981,269,0.129639178983995,6,38,260,MH,Alankruta Abhijit Bichukale,IND,,,,,,38,2019,GE-BP
1877369,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,24017,262,0.12626566875021,7,38,260,MH,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,,,,,,38,2019,GE-BP
1877463,Shriniwas Dadasaheb Patil,NCP,23990,112348,56.0649536651213,1,38,261,MH,Shriniwas Dadasaheb Patil,NCP,,,,,,38,2019,GE-BP
1877464,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,23980,84489,42.1624939492686,2,38,261,MH,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,,,,,,38,2019,GE-BP
1877465,Chandrkant Tatu Khandait,VBA,23987,1924,0.96013254220541,3,38,261,MH,Chandrkant Tatu Khandait,VBA,,,,,,38,2019,GE-BP
1877466,Shivaji Narayan Bhosale,IND,23981,613,0.305905014746318,4,38,261,MH,Shivaji Narayan Bhosale,IND,,,,,,38,2019,GE-BP
1877467,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,23981,595,0.296922485765186,5,38,261,MH,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,,,,,,38,2019,GE-BP
1877468,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,24017,214,0.106792288997899,6,38,261,MH,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,,,,,,38,2019,GE-BP
1877469,Alankruta Abhijit Bichukale,IND,23981,206,0.102800053895173,7,38,261,MH,Alankruta Abhijit Bichukale,IND,,,,,,38,2019,GE-BP
1877558,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,23980,118898,60.4119667499949,1,38,262,MH,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,,,,,,38,2019,GE-BP
1877559,Shriniwas Dadasaheb Patil,NCP,23990,72864,37.0221327967806,2,38,262,MH,Shriniwas Dadasaheb Patil,NCP,,,,,,38,2019,GE-BP
1877560,Chandrkant Tatu Khandait,VBA,23987,2897,1.4719630916814,3,38,262,MH,Chandrkant Tatu Khandait,VBA,,,,,,38,2019,GE-BP
1877561,Shivaji Narayan Bhosale,IND,23981,1030,0.523342072637847,4,38,262,MH,Shivaji Narayan Bhosale,IND,,,,,,38,2019,GE-BP
1877562,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,23981,531,0.269800621913297,5,38,262,MH,Adv. Shivajirao Jadhav Alias Kavivary Sushilkumar Bhosarekar,IND,,,,,,38,2019,GE-BP
1877563,Alankruta Abhijit Bichukale,IND,23981,353,0.179358982175883,6,38,262,MH,Alankruta Abhijit Bichukale,IND,,,,,,38,2019,GE-BP
1877564,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,24017,239,0.121435684815966,7,38,262,MH,Venkateshwar Maha Swamiji (Katakadhond D.G.),HJP,,,,,,38,2019,GE-BP
