el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1714315,Marcuise N Marak,NPEP,19814,9656,0.0,1,33,43,ML,Marcuise N Marak,NPEP,,,,,,33,2018,AE-BP
1714316,Sengbath R Marak,IND,19816,4736,0.0,2,33,43,ML,Sengbath R Marak,IND,,,,,,33,2018,AE-BP
1714317,Jonathone Nengminza Sangma,NCP,19823,4281,16.48,3,33,43,ML,Jonathone Nengminza Sangma,NCP,,,,,,33,2018,AE-BP
1714318,Deborah C. Marak,INC,19815,2971,11.44,4,33,43,ML,Deborah C. Marak,INC,,,,,,33,2018,AE-BP
1714319,Mahamsing M. Sangma,UDP,19817,2217,0.0,5,33,43,ML,Mahamsing M. Sangma,UDP,,,,,,33,2018,AE-BP
1714320,Jan N. Arengh,IND,19816,1220,0.0,6,33,43,ML,Jan N. Arengh,IND,,,,,,33,2018,AE-BP
1714321,Lahatson N Marak,IND,19816,335,0.0,7,33,43,ML,Lahatson N Marak,IND,,,,,,33,2018,AE-BP
1714322,Santosh R. Marak,BJP,19820,237,0.0,8,33,43,ML,Santosh R. Marak,BJP,,,,,,33,2018,AE-BP
1714323,Siljong R. Marak,IND,19816,197,0.0,9,33,43,ML,Siljong R. Marak,IND,,,,,,33,2018,AE-BP
1714324,Nota,NOTA,19818,124,0.0,10,33,43,ML,Nota,NOTA,,,,,,33,2018,AE-BP
