el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1714024,Sniawbhalang Dhar,NPEP,19814,16604,49.16,1,32,1,ML,Sniawbhalang Dhar,NPEP,,,,,False,32,2018,AE
1714025,Jopthiaw Lyngdoh,INC,19815,14506,42.95,2,32,1,ML,Jopthiaw Lyngdoh,INC,,,,,False,32,2018,AE
1714026,Draison Kharshiing,BJP,19820,2168,6.42,3,32,1,ML,Draison Kharshiing,BJP,,,,,False,32,2018,AE
1714027,Innocent Shadap,KHNAM,19821,254,0.75,4,32,1,ML,Innocent Shadap,KHNAM,,,,,False,32,2018,AE
1714028,Couple Stone Shylla,IND,19816,131,0.39,5,32,1,ML,Couple Stone Shylla,IND,,,,,False,32,2018,AE
1714029,Nota,NOTA,19818,115,0.34,6,32,1,ML,Nota,NOTA,,,,,False,32,2018,AE
1714030,Wailadmiki Shylla,NPEP,19814,10657,34.59,1,32,2,ML,Wailadmiki Shylla,NPEP,,,,,False,32,2018,AE
1714031,Moonlight Pariat,UDP,19817,9354,30.36,2,32,2,ML,Moonlight Pariat,UDP,,,,,False,32,2018,AE
1714032,Awhai Andrew Shullai,INC,19815,8863,28.77,3,32,2,ML,Awhai Andrew Shullai,INC,,,,,False,32,2018,AE
1714033,Marki Mulieh,BJP,19820,1702,5.52,4,32,2,ML,Marki Mulieh,BJP,,,,,False,32,2018,AE
1714034,Nota,NOTA,19818,141,0.46,5,32,2,ML,Nota,NOTA,,,,,False,32,2018,AE
1714035,Banrilang Jungai,AAAP,19822,89,0.29,6,32,2,ML,Banrilang Jungai,AAAP,,,,,False,32,2018,AE
1714036,Comingone Ymbon,NPEP,19814,12129,40.45,1,32,3,ML,Comingone Ymbon,NPEP,,,,,False,32,2018,AE
1714037,Lakhon Biam,BJP,19820,8879,29.61,2,32,3,ML,Lakhon Biam,BJP,,,,,False,32,2018,AE
1714038,Richard Singh Lyngdoh,IND,19816,5202,17.35,3,32,3,ML,Richard Singh Lyngdoh,IND,,,,,False,32,2018,AE
1714039,Konstan Sungoh,UDP,19817,3065,10.22,4,32,3,ML,Konstan Sungoh,UDP,,,,,False,32,2018,AE
1714040,Nota,NOTA,19818,363,1.21,5,32,3,ML,Nota,NOTA,,,,,False,32,2018,AE
1714041,Wanjop Susngi,INC,19815,345,1.15,6,32,3,ML,Wanjop Susngi,INC,,,,,False,32,2018,AE
1714042,Nujorki Sungoh,UDP,19817,6691,22.89,1,32,4,ML,Nujorki Sungoh,UDP,,,,,False,32,2018,AE
1714043,Gilbert Sten,NPEP,19814,6431,22.0,2,32,4,ML,Gilbert Sten,NPEP,,,,,False,32,2018,AE
1714044,Nehemayah Tyngkan,INC,19815,6342,21.69,3,32,4,ML,Nehemayah Tyngkan,INC,,,,,False,32,2018,AE
1714045,Robinus Syngkon,BJP,19820,5751,19.67,4,32,4,ML,Robinus Syngkon,BJP,,,,,False,32,2018,AE
1714046,E.C Boniface Bamon,NCP,19823,2120,7.25,5,32,4,ML,E.C Boniface Bamon,NCP,,,,,False,32,2018,AE
1714047,Heipormi Laloo,PDF,19824,1714,5.86,6,32,4,ML,Heipormi Laloo,PDF,,,,,False,32,2018,AE
1714048,Nota,NOTA,19818,188,0.64,7,32,4,ML,Nota,NOTA,,,,,False,32,2018,AE
1714049,Shitlang Pale,INC,19815,12257,36.18,1,32,5,ML,Shitlang Pale,INC,,,,,False,32,2018,AE
1714050,Hopeful Bamon,NPEP,19814,10673,31.5,2,32,5,ML,Hopeful Bamon,NPEP,,,,,False,32,2018,AE
1714051,Hambertus Nongtdu,BJP,19820,7423,21.91,3,32,5,ML,Hambertus Nongtdu,BJP,,,,,False,32,2018,AE
1714052,Defender Pakem,HSPDP,19825,2800,8.26,4,32,5,ML,Defender Pakem,HSPDP,,,,,False,32,2018,AE
1714053,Skindro Dkhar,IND,19816,534,1.58,5,32,5,ML,Skindro Dkhar,IND,,,,,False,32,2018,AE
1714054,Nota,NOTA,19818,192,0.57,6,32,5,ML,Nota,NOTA,,,,,False,32,2018,AE
1714055,Kyrmen Shylla,UDP,19817,20285,58.82,1,32,6,ML,Kyrmen Shylla,UDP,,,,,False,32,2018,AE
1714056,Justine Dkhar,BJP,19820,12104,35.1,2,32,6,ML,Justine Dkhar,BJP,,,,,False,32,2018,AE
1714057,Violet Lyngdoh,NPEP,19814,1707,4.95,3,32,6,ML,Violet Lyngdoh,NPEP,,,,,False,32,2018,AE
1714058,T S Diolinda Dkhar,INC,19815,150,0.43,4,32,6,ML,T S Diolinda Dkhar,INC,,,,,False,32,2018,AE
1714059,First Bornson Nongtdu,IND,19816,123,0.36,5,32,6,ML,First Bornson Nongtdu,IND,,,,,False,32,2018,AE
1714060,Nota,NOTA,19818,120,0.35,6,32,6,ML,Nota,NOTA,,,,,False,32,2018,AE
1714061,Lahkmen Rymbui,UDP,19817,14766,50.1,1,32,7,ML,Lahkmen Rymbui,UDP,,,,,False,32,2018,AE
1714062,Stephanson Mukhim,NPEP,19814,12135,41.17,2,32,7,ML,Stephanson Mukhim,NPEP,,,,,False,32,2018,AE
1714063,Holando Lamin,INC,19815,1238,4.2,3,32,7,ML,Holando Lamin,INC,,,,,False,32,2018,AE
1714064,Riang Lenon Tariang,BJP,19820,867,2.94,4,32,7,ML,Riang Lenon Tariang,BJP,,,,,False,32,2018,AE
1714065,Nota,NOTA,19818,469,1.59,5,32,7,ML,Nota,NOTA,,,,,False,32,2018,AE
1714066,Dasakhiatbha Lamare,NPEP,19814,6365,22.46,1,32,8,ML,Dasakhiatbha Lamare,NPEP,,,,,False,32,2018,AE
1714067,Julias Kitbok Dorphang,IND,19816,6161,21.74,2,32,8,ML,Julias Kitbok Dorphang,IND,,,,,False,32,2018,AE
1714068,James Sylliang,PDF,19824,4314,15.23,3,32,8,ML,James Sylliang,PDF,,,,,False,32,2018,AE
1714069,Charles Marngar,INC,19815,3675,12.97,4,32,8,ML,Charles Marngar,INC,,,,,False,32,2018,AE
1714070,Donbok Khymdeit,UDP,19817,3367,11.88,5,32,8,ML,Donbok Khymdeit,UDP,,,,,False,32,2018,AE
1714071,Evalyni Kharbani,IND,19816,2231,7.87,6,32,8,ML,Evalyni Kharbani,IND,,,,,False,32,2018,AE
1714072,Banbuhaiing Makdoh,BJP,19820,980,3.46,7,32,8,ML,Banbuhaiing Makdoh,BJP,,,,,False,32,2018,AE
1714073,Zachary Shadap,KHNAM,19821,805,2.84,8,32,8,ML,Zachary Shadap,KHNAM,,,,,False,32,2018,AE
1714074,Nota,NOTA,19818,316,1.12,9,32,8,ML,Nota,NOTA,,,,,False,32,2018,AE
1714075,Tyngshainlang Lapang,NCP,19823,119,0.42,10,32,8,ML,Tyngshainlang Lapang,NCP,,,,,False,32,2018,AE
1714076,Mayralborn Syiem,INC,19815,11119,40.7,1,32,9,ML,Mayralborn Syiem,INC,,,,,False,32,2018,AE
1714077,Rona Khymdeit,UDP,19817,7795,28.54,2,32,9,ML,Rona Khymdeit,UDP,,,,,False,32,2018,AE
