el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1713676,Vincent H. Pala,INC,19815,14773,61.54,1,37,1,ML,Vincent H. Pala,INC,,,,,True,37,2019,GE
1713677,Jemino Mawthoh,UDP,19817,8584,35.76,2,37,1,ML,Jemino Mawthoh,UDP,,,,,False,37,2019,GE
1713678,Sanbor Shullai,BJP,19820,311,1.3,3,37,1,ML,Sanbor Shullai,BJP,,,,,False,37,2019,GE
1713679,Romeo Phira Rani,IND,19816,149,0.62,4,37,1,ML,Romeo Phira Rani,IND,,,,,False,37,2019,GE
1713680,Samuel Hashah,IND,19816,93,0.39,5,37,1,ML,Samuel Hashah,IND,,,,,False,37,2019,GE
1713681,Nota,NOTA,19818,49,0.2,6,37,1,ML,Nota,NOTA,,,,,False,37,2019,GE
1713682,T.H.S. Bonney,IND,19816,45,0.19,7,37,1,ML,T.H.S. Bonney,IND,,,,,False,37,2019,GE
1713683,Vincent H. Pala,INC,19815,12154,55.88,1,37,2,ML,Vincent H. Pala,INC,,,,,True,37,2019,GE
1713684,Jemino Mawthoh,UDP,19817,8236,37.87,2,37,2,ML,Jemino Mawthoh,UDP,,,,,False,37,2019,GE
1713685,Sanbor Shullai,BJP,19820,1056,4.86,3,37,2,ML,Sanbor Shullai,BJP,,,,,False,37,2019,GE
1713686,Romeo Phira Rani,IND,19816,93,0.43,4,37,2,ML,Romeo Phira Rani,IND,,,,,False,37,2019,GE
1713687,Nota,NOTA,19818,92,0.42,5,37,2,ML,Nota,NOTA,,,,,False,37,2019,GE
1713688,T.H.S. Bonney,IND,19816,63,0.29,6,37,2,ML,T.H.S. Bonney,IND,,,,,False,37,2019,GE
1713689,Samuel Hashah,IND,19816,56,0.26,7,37,2,ML,Samuel Hashah,IND,,,,,False,37,2019,GE
1713690,Vincent H. Pala,INC,19815,11173,55.75,1,37,3,ML,Vincent H. Pala,INC,,,,,True,37,2019,GE
1713691,Jemino Mawthoh,UDP,19817,7612,37.98,2,37,3,ML,Jemino Mawthoh,UDP,,,,,False,37,2019,GE
