el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1712979,Thokchom Lokeshwar Singh,INC,19777,12211,49.02,1,45,1,MN,Thokchom Lokeshwar Singh,INC,,,,,True,45,2022,AE
1712980,Thangjam Mohendro Singh,BJP,19780,11996,48.16,2,45,1,MN,Thangjam Mohendro Singh,BJP,,,,,True,45,2022,AE
1712981,Elangbam Sovid Singh,RPPRINAT,19798,497,2.0,3,45,1,MN,Elangbam Sovid Singh,RPPRINAT,,,,,False,45,2022,AE
1712982,Nota,NOTA,19789,167,0.67,4,45,1,MN,Nota,NOTA,,,,,True,45,2022,AE
1712983,Thangjam Shyam Singh,SHS,19802,40,0.16,5,45,1,MN,Thangjam Shyam Singh,SHS,,,,,False,45,2022,AE
1712984,Nongthombam Biren Singh,BJP,19780,24814,78.54,1,45,2,MN,Nongthombam Biren Singh,BJP,,,,,True,45,2022,AE
1712985,Pangeijam Saratchandra Singh,INC,19777,6543,20.71,2,45,2,MN,Pangeijam Saratchandra Singh,INC,,,,,False,45,2022,AE
1712986,Nota,NOTA,19789,239,0.76,3,45,2,MN,Nota,NOTA,,,,,True,45,2022,AE
1712987,Leishangthem Susindro Meitei,BJP,19780,11131,33.62,1,45,3,MN,Leishangthem Susindro Meitei,BJP,,,,,True,45,2022,AE
1712988,Laitonjam Jayananda Singh,NPEP,19797,8894,26.86,2,45,3,MN,Laitonjam Jayananda Singh,NPEP,,,,,False,45,2022,AE
1712989,Khagokpam Khamba Singh,RPPRINAT,19798,6792,20.51,3,45,3,MN,Khagokpam Khamba Singh,RPPRINAT,,,,,False,45,2022,AE
1712990,Toijam Lokendro Singh,JD(U),19793,2922,8.83,4,45,3,MN,Toijam Lokendro Singh,JD(U),,,,,False,45,2022,AE
1712991,Khuraijam Ratankumar Singh,NCP,19783,2461,7.43,5,45,3,MN,Khuraijam Ratankumar Singh,NCP,,,,,False,45,2022,AE
1712992,Heisnam Subhas Singh,LJPRV,19810,385,1.16,6,45,3,MN,Heisnam Subhas Singh,LJPRV,,,,,False,45,2022,AE
1712993,R.K. Amusana Singh,CPI,19778,356,1.08,7,45,3,MN,R.K. Amusana Singh,CPI,,,,,False,45,2022,AE
1712994,Nota,NOTA,19789,169,0.51,8,45,3,MN,Nota,NOTA,,,,,True,45,2022,AE
1712995,Sheikh Noorul Hassan,NPEP,19797,13118,38.47,1,45,4,MN,Sheikh Noorul Hassan,NPEP,,,,,False,45,2022,AE
1712996,Nahakpam Indrajit Singh,BJP,19780,12376,36.29,2,45,4,MN,Nahakpam Indrajit Singh,BJP,,,,,True,45,2022,AE
1712997,Wahengbam Rojit Singh Bullet,JD(U),19793,5437,15.94,3,45,4,MN,Wahengbam Rojit Singh Bullet,JD(U),,,,,False,45,2022,AE
1712998,Mohammed Amin Shah,INC,19777,2832,8.3,4,45,4,MN,Mohammed Amin Shah,INC,,,,,False,45,2022,AE
1712999,Nota,NOTA,19789,238,0.7,5,45,4,MN,Nota,NOTA,,,,,True,45,2022,AE
1713000,Punnam Rani Wangkhem,NCP,19783,99,0.29,6,45,4,MN,Punnam Rani Wangkhem,NCP,,,,,False,45,2022,AE
1713001,Thongam Biswajit Singh,BJP,19780,15338,51.98,1,45,5,MN,Thongam Biswajit Singh,BJP,,,,,True,45,2022,AE
1713002,Seram Neken Singh,INC,19777,8649,29.31,2,45,5,MN,Seram Neken Singh,INC,,,,,False,45,2022,AE
1713003,Sanglakpam Preshyojit Sharma,JD(U),19793,4849,16.43,3,45,5,MN,Sanglakpam Preshyojit Sharma,JD(U),,,,,False,45,2022,AE
1713004,Nota,NOTA,19789,674,2.28,4,45,5,MN,Nota,NOTA,,,,,True,45,2022,AE
