el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1712010,Angomcha Bimol Akoijam,INC,19777,8480,41.07,1,53,1,MN,Angomcha Bimol Akoijam,INC,,,,,False,53,2024,GE
1712011,Thounaojam Basanta Kumar Singh,BJP,19780,6318,30.6,2,53,1,MN,Thounaojam Basanta Kumar Singh,BJP,,,,,True,53,2024,GE
1712012,Maheshwar Thounaojam,RPPRINAT,19798,4968,24.06,3,53,1,MN,Maheshwar Thounaojam,RPPRINAT,,,,,False,53,2024,GE
1712013,Rajkumar Somendro Singh,IND,19781,517,2.5,4,53,1,MN,Rajkumar Somendro Singh,IND,,,,,False,53,2024,GE
1712014,Moirangthem Totomshana Nongshaba,IND,19781,181,0.88,5,53,1,MN,Moirangthem Totomshana Nongshaba,IND,,,,,False,53,2024,GE
1712015,Nota,NOTA,19789,126,0.61,6,53,1,MN,Nota,NOTA,,,,,False,53,2024,GE
1712016,Haorungbam Sarat Singh,IND,19781,56,0.27,7,53,1,MN,Haorungbam Sarat Singh,IND,,,,,False,53,2024,GE
1712017,Thounaojam Basanta Kumar Singh,BJP,19780,21263,71.35,1,53,2,MN,Thounaojam Basanta Kumar Singh,BJP,,,,,True,53,2024,GE
1712018,Angomcha Bimol Akoijam,INC,19777,5429,18.22,2,53,2,MN,Angomcha Bimol Akoijam,INC,,,,,False,53,2024,GE
1712019,Maheshwar Thounaojam,RPPRINAT,19798,2567,8.61,3,53,2,MN,Maheshwar Thounaojam,RPPRINAT,,,,,False,53,2024,GE
1712020,Rajkumar Somendro Singh,IND,19781,288,0.97,4,53,2,MN,Rajkumar Somendro Singh,IND,,,,,False,53,2024,GE
1712021,Nota,NOTA,19789,127,0.43,5,53,2,MN,Nota,NOTA,,,,,False,53,2024,GE
1712022,Moirangthem Totomshana Nongshaba,IND,19781,100,0.34,6,53,2,MN,Moirangthem Totomshana Nongshaba,IND,,,,,False,53,2024,GE
1712023,Haorungbam Sarat Singh,IND,19781,27,0.09,7,53,2,MN,Haorungbam Sarat Singh,IND,,,,,False,53,2024,GE
1712024,Angomcha Bimol Akoijam,INC,19777,12466,45.08,1,53,3,MN,Angomcha Bimol Akoijam,INC,,,,,False,53,2024,GE
1712025,Thounaojam Basanta Kumar Singh,BJP,19780,7844,28.37,2,53,3,MN,Thounaojam Basanta Kumar Singh,BJP,,,,,True,53,2024,GE
1712026,Maheshwar Thounaojam,RPPRINAT,19798,6427,23.24,3,53,3,MN,Maheshwar Thounaojam,RPPRINAT,,,,,False,53,2024,GE
1712027,Rajkumar Somendro Singh,IND,19781,522,1.89,4,53,3,MN,Rajkumar Somendro Singh,IND,,,,,False,53,2024,GE
1712028,Moirangthem Totomshana Nongshaba,IND,19781,211,0.76,5,53,3,MN,Moirangthem Totomshana Nongshaba,IND,,,,,False,53,2024,GE
1712029,Nota,NOTA,19789,150,0.54,6,53,3,MN,Nota,NOTA,,,,,False,53,2024,GE
1712030,Haorungbam Sarat Singh,IND,19781,33,0.12,7,53,3,MN,Haorungbam Sarat Singh,IND,,,,,False,53,2024,GE
1712031,Angomcha Bimol Akoijam,INC,19777,17188,59.17,1,53,4,MN,Angomcha Bimol Akoijam,INC,,,,,False,53,2024,GE
