el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1326974,Subedar Singh Rajoudha,BJP,14761,67599,39.1148117716494,1,40,4,MP,Subedar Singh Rajoudha,BJP,,,,,,40,2020,AE-BP
1326975,Pankaj Upadhyay,INC,14760,54121,31.3160361528046,2,40,4,MP,Pankaj Upadhyay,INC,,,,,,40,2020,AE-BP
1326976,Soneram Kushwah,BSP,14762,48285,27.9391512654638,3,40,4,MP,Soneram Kushwah,BSP,,,,,,40,2020,AE-BP
1326977,Sanjay,IND,14765,533,0.308409808936362,4,40,4,MP,Sanjay,IND,,,,,,40,2020,AE-BP
1326978,Vinay Bhaiya,IND,14765,505,0.292208167941581,5,40,4,MP,Vinay Bhaiya,IND,,,,,,40,2020,AE-BP
1326979,Rameshwar Shaky(Ramesh),IND,14765,421,0.243603244957239,6,40,4,MP,Rameshwar Shaky(Ramesh),IND,,,,,,40,2020,AE-BP
1326980,Arjun Singh Sikarwar,BMJP,14810,375,0.216986263322956,7,40,4,MP,Arjun Singh Sikarwar,BMJP,,,,,,40,2020,AE-BP
1326981,Rajveer Dhakar,IND,14765,233,0.134820798277997,8,40,4,MP,Rajveer Dhakar,IND,,,,,,40,2020,AE-BP
1326982,Rajni Shakya,IND,14765,150,0.0867945053291826,9,40,4,MP,Rajni Shakya,IND,,,,,,40,2020,AE-BP
1326983,M.P.Singh,ASP (Kanshi Ram),14811,134,0.0775364247607364,10,40,4,MP,M.P.Singh,ASP (Kanshi Ram),,,,,,40,2020,AE-BP
1326984,Dheer Singh Atal,ANRP,14812,128,0.0740646445475691,11,40,4,MP,Dheer Singh Atal,ANRP,,,,,,40,2020,AE-BP
1326985,Munbabar Khan,IND,14765,116,0.0671210841212345,12,40,4,MP,Munbabar Khan,IND,,,,,,40,2020,AE-BP
1326986,Munshilal,IND,14765,88,0.0509194431264538,13,40,4,MP,Munshilal,IND,,,,,,40,2020,AE-BP
1326987,Dharmendra Singh Solanki,IND,14765,76,0.0439758827001191,14,40,4,MP,Dharmendra Singh Solanki,IND,,,,,,40,2020,AE-BP
1326988,Avdesh Kumar,IND,14765,58,0.0335605420606172,15,40,4,MP,Avdesh Kumar,IND,,,,,,40,2020,AE-BP
1327130,Ajab Singh Kushwah,INC,14760,86909,51.8785368066665,1,40,5,MP,Ajab Singh Kushwah,INC,,,,,,40,2020,AE-BP
1327131,Adal Singh Kansana,BJP,14761,75962,45.3439507175091,2,40,5,MP,Adal Singh Kansana,BJP,,,,,,40,2020,AE-BP
1327132,Rahul Dandotiya Alius Sonu,BSP,14762,3468,2.07015114252286,3,40,5,MP,Rahul Dandotiya Alius Sonu,BSP,,,,,,40,2020,AE-BP
1327133,Mamta,ASP (Kanshi Ram),14811,411,0.245337981423557,4,40,5,MP,Mamta,ASP (Kanshi Ram),,,,,,40,2020,AE-BP
1327134,Satendrasingh,IND,14765,324,0.193405124041928,5,40,5,MP,Satendrasingh,IND,,,,,,40,2020,AE-BP
1327135,Ranajeeta Singh,IND,14765,125,0.074616174398892,6,40,5,MP,Ranajeeta Singh,IND,,,,,,40,2020,AE-BP
1327136,Sunil Kushwah,SP,14763,123,0.0734223156085098,7,40,5,MP,Sunil Kushwah,SP,,,,,,40,2020,AE-BP
1327137,Shatrughan Singh Foji,SPAKP,14807,109,0.0650653040758339,8,40,5,MP,Shatrughan Singh Foji,SPAKP,,,,,,40,2020,AE-BP
1327138,Charan Singh Kushwah,IND,14765,93,0.0555144337527757,9,40,5,MP,Charan Singh Kushwah,IND,,,,,,40,2020,AE-BP
1327280,Rakesh Mavai,INC,14760,53301,35.8675683859897,1,40,6,MP,Rakesh Mavai,INC,,,,,,40,2020,AE-BP
1327281,Raghuraj Singh Kansana,BJP,14761,47550,31.9975774704754,2,40,6,MP,Raghuraj Singh Kansana,BJP,,,,,,40,2020,AE-BP
1327282,Ramprakash Rajoriya,BSP,14762,43084,28.9922950102621,3,40,6,MP,Ramprakash Rajoriya,BSP,,,,,,40,2020,AE-BP
1327283,Rajeev Sharma,IND,14765,945,0.635914000201877,4,40,6,MP,Rajeev Sharma,IND,,,,,,40,2020,AE-BP
1327284,Hukam Chand Bansal Urf Hukka,SP,14763,690,0.464318158877561,5,40,6,MP,Hukam Chand Bansal Urf Hukka,SP,,,,,,40,2020,AE-BP
1327285,Dharmendra Sikarwar ( Guddu),SPAKP,14807,600,0.403754920763096,6,40,6,MP,Dharmendra Sikarwar ( Guddu),SPAKP,,,,,,40,2020,AE-BP
1327286,Shashank Dandotiya,IND,14765,407,0.273880421250967,7,40,6,MP,Shashank Dandotiya,IND,,,,,,40,2020,AE-BP
1327287,Kuldeep Sharma,IND,14765,406,0.273207496383028,8,40,6,MP,Kuldeep Sharma,IND,,,,,,40,2020,AE-BP
1327288,Shobharam Kushwah,RSD,14815,327,0.220046431815887,9,40,6,MP,Shobharam Kushwah,RSD,,,,,,40,2020,AE-BP
1327289,Manoj Kumar Semil,IND,14765,313,0.210625483664748,10,40,6,MP,Manoj Kumar Semil,IND,,,,,,40,2020,AE-BP
1327290,Ramsundar Shriwas,IND,14765,309,0.207933784192994,11,40,6,MP,Ramsundar Shriwas,IND,,,,,,40,2020,AE-BP
1327291,Rajesh Kushwah,JAP,14816,302,0.203223310117425,12,40,6,MP,Rajesh Kushwah,JAP,,,,,,40,2020,AE-BP
1327292,Manish Sharma,IND,14765,139,0.0935365566434507,13,40,6,MP,Manish Sharma,IND,,,,,,40,2020,AE-BP
1327293,Gaurav Dixit,IND,14765,122,0.0820968338884963,14,40,6,MP,Gaurav Dixit,IND,,,,,,40,2020,AE-BP
1327294,Dharmendra Singh,IND,14765,110,0.0740217354732344,15,40,6,MP,Dharmendra Singh,IND,,,,,,40,2020,AE-BP
1327447,Ravindra Singh Tomar Bhidosa,INC,14760,72445,55.0962825504989,1,40,7,MP,Ravindra Singh Tomar Bhidosa,INC,,,,,,40,2020,AE-BP
1327448,Girraj Dandotiya,BJP,14761,45978,34.9674495010951,2,40,7,MP,Girraj Dandotiya,BJP,,,,,,40,2020,AE-BP
1327449,Rajendra Singh Kansana(Randha),BSP,14762,10337,7.86155390605986,3,40,7,MP,Rajendra Singh Kansana(Randha),BSP,,,,,,40,2020,AE-BP
1327450,Anar Singh Tomar (Baba),SP,14763,770,0.585604770017035,4,40,7,MP,Anar Singh Tomar (Baba),SP,,,,,,40,2020,AE-BP
1327451,Saurav Vyas,IND,14765,497,0.377981260647359,5,40,7,MP,Saurav Vyas,IND,,,,,,40,2020,AE-BP
1327452,Ravindra Singh Tomar,IND,14765,314,0.238805062058895,6,40,7,MP,Ravindra Singh Tomar,IND,,,,,,40,2020,AE-BP
1327453,Sarita Devi,IND,14765,309,0.235002433682161,7,40,7,MP,Sarita Devi,IND,,,,,,40,2020,AE-BP
1327454,Rajshree Sharma,IND,14765,230,0.174920905329763,8,40,7,MP,Rajshree Sharma,IND,,,,,,40,2020,AE-BP
1327455,Jayant Singh Tomar,LSP,14821,173,0.131570941834996,9,40,7,MP,Jayant Singh Tomar,LSP,,,,,,40,2020,AE-BP
1327456,Girraj Prasad,JAP,14816,166,0.126247262107568,10,40,7,MP,Girraj Prasad,JAP,,,,,,40,2020,AE-BP
1327457,Mahendra Singh Tomar Desh Premi,AIFB,14767,101,0.0768130932100267,11,40,7,MP,Mahendra Singh Tomar Desh Premi,AIFB,,,,,,40,2020,AE-BP
1327458,Kishori Lal,IND,14765,86,0.0654052080798247,12,40,7,MP,Kishori Lal,IND,,,,,,40,2020,AE-BP
1327459,Dhirendra Kumar Sharma,IND,14765,82,0.0623631053784375,13,40,7,MP,Dhirendra Kumar Sharma,IND,,,,,,40,2020,AE-BP
1327589,Kamlesh Jatav,BJP,14761,51588,42.4659000172866,1,40,8,MP,Kamlesh Jatav,BJP,,,,,,40,2020,AE-BP
