el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1255060,Babu Jandel,INC,14760,96844,45.7007489063701,1,48,1,MP,Babu Jandel,INC,,,,,True,48,2023,AE
1255061,Durgalal Vijay (vakeel Saab),BJP,14761,85714,40.4484944008984,2,48,1,MP,Durgalal Vijay (vakeel Saab),BJP,,,,,False,48,2023,AE
1255062,Bihari Singh Solanki,BSP,14762,23054,10.8791981463741,3,48,1,MP,Bihari Singh Solanki,BSP,,,,,False,48,2023,AE
1255063,Nota,NOTA,14771,1801,0.84989311449726,4,48,1,MP,Nota,NOTA,,,,,True,48,2023,AE
1255064,Adil Khan,SDPI,14779,733,0.345903194295664,5,48,1,MP,Adil Khan,SDPI,,,,,False,48,2023,AE
1255065,Balwan,IND,14765,724,0.34165608822655,6,48,1,MP,Balwan,IND,,,,,False,48,2023,AE
1255066,Harvilash,IND,14765,634,0.299185027535404,7,48,1,MP,Harvilash,IND,,,,,False,48,2023,AE
1255067,Murlidhar Prajapati,IND,14765,482,0.227456125034802,8,48,1,MP,Murlidhar Prajapati,IND,,,,,False,48,2023,AE
1255068,Rajendra Kumar Shrivastav,IND,14765,406,0.191591673784501,9,48,1,MP,Rajendra Kumar Shrivastav,IND,,,,,False,48,2023,AE
1255069,Harishakar Jatav,ASPKR,14770,386,0.18215366029758,10,48,1,MP,Harishakar Jatav,ASPKR,,,,,False,48,2023,AE
1255070,Smt. Durgesh Nandni,IND,14765,305,0.143929705675549,11,48,1,MP,Smt. Durgesh Nandni,IND,,,,,False,48,2023,AE
1255071,Yogesh Tyagi,RKSP,14775,234,0.110424757796978,12,48,1,MP,Yogesh Tyagi,RKSP,,,,,False,48,2023,AE
1255072,Ayyub Qureshi,IND,14765,216,0.101930545658749,13,48,1,MP,Ayyub Qureshi,IND,,,,,False,48,2023,AE
1255073,Tejpal Aadivashi,IND,14765,209,0.0986272409383273,14,48,1,MP,Tejpal Aadivashi,IND,,,,,False,48,2023,AE
1255074,Shiv Mahesh Modi Ji,PRVPOI,14782,167,0.0788074126157926,15,48,1,MP,Shiv Mahesh Modi Ji,PRVPOI,,,,,False,48,2023,AE
1255201,Ramniwas Rawat,INC,14760,69646,33.6288398953172,1,48,2,MP,Ramniwas Rawat,INC,,,,,True,48,2023,AE
