el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1255075,Narendra Singh Tomar,BJP,14761,78450,46.0068731746795,1,37,1,MP,Narendra Singh Tomar,BJP,,,,,True,37,2019,GE
1255076,Ramniwas Rawat,INC,14760,62516,36.6624051419791,2,37,1,MP,Ramniwas Rawat,INC,,,,,False,37,2019,GE
1255077,Kartar Singh Bhadana,BSP,14762,22709,13.31765561407,3,37,1,MP,Kartar Singh Bhadana,BSP,,,,,False,37,2019,GE
1255078,Tofeek Khan,IND,14765,836,0.490270821848719,4,37,1,MP,Tofeek Khan,IND,,,,,False,37,2019,GE
1255079,Ashok Rajoriya,VSP,14783,805,0.472090922952415,5,37,1,MP,Ashok Rajoriya,VSP,,,,,False,37,2019,GE
1255080,Munna,IND,14765,410,0.24044382411241,6,37,1,MP,Munna,IND,,,,,False,37,2019,GE
1255081,Sanju Sharma,SHS,14784,394,0.231060650488511,7,37,1,MP,Sanju Sharma,SHS,,,,,False,37,2019,GE
1255082,Prabhu Singh,IND,14765,377,0.221091028513118,8,37,1,MP,Prabhu Singh,IND,,,,,False,37,2019,GE
1255083,Dheeraj Singh Mavai,IND,14765,361,0.211707854889219,9,37,1,MP,Dheeraj Singh Mavai,IND,,,,,False,37,2019,GE
1255084,Nota,NOTA,14771,354,0.207602716428764,10,37,1,MP,Nota,NOTA,,,,,False,37,2019,GE
1255085,Tejpal Singh Rawat,IND,14765,339,0.198805991156358,11,37,1,MP,Tejpal Singh Rawat,IND,,,,,False,37,2019,GE
1255086,Bajuddeen Baj,IND,14765,335,0.196460197750384,12,37,1,MP,Bajuddeen Baj,IND,,,,,False,37,2019,GE
1255087,Ramlakhan Meena,RKSP,14775,316,0.185317679072004,13,37,1,MP,Ramlakhan Meena,RKSP,,,,,False,37,2019,GE
1255088,Patiram Shakya,RPI(A),14785,254,0.148957881279395,14,37,1,MP,Patiram Shakya,RPI(A),,,,,False,37,2019,GE
1255089,Pawan Kumar Goyal,SWAJANPA,14786,253,0.148371432927902,15,37,1,MP,Pawan Kumar Goyal,SWAJANPA,,,,,False,37,2019,GE
1255090,Vivek,HND,14787,223,0.130777982383091,16,37,1,MP,Vivek,HND,,,,,False,37,2019,GE
1255091,Rajveer,IND,14765,201,0.11787611865023,17,37,1,MP,Rajveer,IND,,,,,False,37,2019,GE
1255092,Sumit Misra,IND,14765,182,0.10673359997185,18,37,1,MP,Sumit Misra,IND,,,,,False,37,2019,GE
1255093,Dr. Randhir Singh Ruhal,RaNP,14788,176,0.103214909862888,19,37,1,MP,Dr. Randhir Singh Ruhal,RaNP,,,,,False,37,2019,GE
1255094,Narendra Singh,RPIR,14789,170,0.0996962197539262,20,37,1,MP,Narendra Singh,RPIR,,,,,False,37,2019,GE
1255095,Rajesh Singh Bhadoria Bhure,ARK,14790,170,0.0996962197539262,20,37,1,MP,Rajesh Singh Bhadoria Bhure,ARK,,,,,False,37,2019,GE
1255096,Bhante Sangh Ratan,BHAPRAP,14791,169,0.0991097714024325,22,37,1,MP,Bhante Sangh Ratan,BHAPRAP,,,,,False,37,2019,GE
1255097,Dhara Singh,PSPL,14792,162,0.0950046329419768,23,37,1,MP,Dhara Singh,PSPL,,,,,False,37,2019,GE
1255098,Laxmi Baghel,IND,14765,129,0.0756518373426852,24,37,1,MP,Laxmi Baghel,IND,,,,,False,37,2019,GE
1255099,Sonu Agarwal,IND,14765,115,0.0674415604217736,25,37,1,MP,Sonu Agarwal,IND,,,,,False,37,2019,GE
1255100,Mehabub Khan,IND,14765,112,0.0656822153672926,26,37,1,MP,Mehabub Khan,IND,,,,,False,37,2019,GE
1255214,Narendra Singh Tomar,BJP,14761,74814,45.0923074141266,1,37,2,MP,Narendra Singh Tomar,BJP,,,,,True,37,2019,GE
1255215,Ramniwas Rawat,INC,14760,66932,40.3416248274698,2,37,2,MP,Ramniwas Rawat,INC,,,,,False,37,2019,GE
1255216,Kartar Singh Bhadana,BSP,14762,15509,9.34767016448379,3,37,2,MP,Kartar Singh Bhadana,BSP,,,,,False,37,2019,GE
1255217,Tofeek Khan,IND,14765,1083,0.65275174338358,4,37,2,MP,Tofeek Khan,IND,,,,,False,37,2019,GE
1255218,Ashok Rajoriya,VSP,14783,1026,0.618396388468655,5,37,2,MP,Ashok Rajoriya,VSP,,,,,False,37,2019,GE
1255219,Munna,IND,14765,671,0.404428827156401,6,37,2,MP,Munna,IND,,,,,False,37,2019,GE
1255220,Sanju Sharma,SHS,14784,571,0.344156274674076,7,37,2,MP,Sanju Sharma,SHS,,,,,False,37,2019,GE
1255221,Prabhu Singh,IND,14765,520,0.31341727290809,8,37,2,MP,Prabhu Singh,IND,,,,,False,37,2019,GE
1255222,Dheeraj Singh Mavai,IND,14765,453,0.273034662744932,9,37,2,MP,Dheeraj Singh Mavai,IND,,,,,False,37,2019,GE
1255223,Tejpal Singh Rawat,IND,14765,445,0.268212858546346,10,37,2,MP,Tejpal Singh Rawat,IND,,,,,False,37,2019,GE
1255224,Nota,NOTA,14771,433,0.260980152248467,11,37,2,MP,Nota,NOTA,,,,,False,37,2019,GE
1255225,Bajuddeen Baj,IND,14765,425,0.256158348049881,12,37,2,MP,Bajuddeen Baj,IND,,,,,False,37,2019,GE
1255226,Vivek,HND,14787,336,0.202515776340612,13,37,2,MP,Vivek,HND,,,,,False,37,2019,GE
1255227,Ramlakhan Meena,RKSP,14775,314,0.1892558147945,14,37,2,MP,Ramlakhan Meena,RKSP,,,,,False,37,2019,GE
1255228,Rajveer,IND,14765,250,0.150681381205812,15,37,2,MP,Rajveer,IND,,,,,False,37,2019,GE
1255229,Dhara Singh,PSPL,14792,247,0.148873204631342,16,37,2,MP,Dhara Singh,PSPL,,,,,False,37,2019,GE
1255230,Patiram Shakya,RPI(A),14785,236,0.142243223858287,17,37,2,MP,Patiram Shakya,RPI(A),,,,,False,37,2019,GE
1255231,Dr. Randhir Singh Ruhal,RaNP,14788,220,0.132599615461115,18,37,2,MP,Dr. Randhir Singh Ruhal,RaNP,,,,,False,37,2019,GE
1255232,Sumit Misra,IND,14765,216,0.130188713361822,19,37,2,MP,Sumit Misra,IND,,,,,False,37,2019,GE
1255233,Rajesh Singh Bhadoria Bhure,ARK,14790,207,0.124764183638412,20,37,2,MP,Rajesh Singh Bhadoria Bhure,ARK,,,,,False,37,2019,GE
1255234,Pawan Kumar Goyal,SWAJANPA,14786,191,0.11512057524124,21,37,2,MP,Pawan Kumar Goyal,SWAJANPA,,,,,False,37,2019,GE
1255235,Mehabub Khan,IND,14765,172,0.103668790269599,22,37,2,MP,Mehabub Khan,IND,,,,,False,37,2019,GE
1255236,Laxmi Baghel,IND,14765,170,0.102463339219952,23,37,2,MP,Laxmi Baghel,IND,,,,,False,37,2019,GE
1255237,Bhante Sangh Ratan,BHAPRAP,14791,169,0.101860613695129,24,37,2,MP,Bhante Sangh Ratan,BHAPRAP,,,,,False,37,2019,GE
1255238,Narendra Singh,RPIR,14789,163,0.0982442605461898,25,37,2,MP,Narendra Singh,RPIR,,,,,False,37,2019,GE
1255239,Sonu Agarwal,IND,14765,140,0.0843815734752551,26,37,2,MP,Sonu Agarwal,IND,,,,,False,37,2019,GE
1255347,Ramniwas Rawat,INC,14760,63719,46.1675011049363,1,37,3,MP,Ramniwas Rawat,INC,,,,,False,37,2019,GE
1255348,Narendra Singh Tomar,BJP,14761,47312,34.2798350927784,2,37,3,MP,Narendra Singh Tomar,BJP,,,,,True,37,2019,GE
1255349,Kartar Singh Bhadana,BSP,14762,23139,16.7653260105639,3,37,3,MP,Kartar Singh Bhadana,BSP,,,,,False,37,2019,GE
1255350,Tofeek Khan,IND,14765,501,0.362998761022192,4,37,3,MP,Tofeek Khan,IND,,,,,False,37,2019,GE
1255351,Ashok Rajoriya,VSP,14783,480,0.347783244093118,5,37,3,MP,Ashok Rajoriya,VSP,,,,,False,37,2019,GE
1255352,Dheeraj Singh Mavai,IND,14765,330,0.239100980314019,6,37,3,MP,Dheeraj Singh Mavai,IND,,,,,False,37,2019,GE
1255353,Sanju Sharma,SHS,14784,262,0.189831687400827,7,37,3,MP,Sanju Sharma,SHS,,,,,False,37,2019,GE
1255354,Bajuddeen Baj,IND,14765,252,0.182586203148887,8,37,3,MP,Bajuddeen Baj,IND,,,,,False,37,2019,GE
1255355,Prabhu Singh,IND,14765,226,0.163747944093843,9,37,3,MP,Prabhu Singh,IND,,,,,False,37,2019,GE
1255356,Munna,IND,14765,215,0.155777911416709,10,37,3,MP,Munna,IND,,,,,False,37,2019,GE
1255357,Tejpal Singh Rawat,IND,14765,192,0.139113297637247,11,37,3,MP,Tejpal Singh Rawat,IND,,,,,False,37,2019,GE
1255358,Nota,NOTA,14771,166,0.120275038582203,12,37,3,MP,Nota,NOTA,,,,,False,37,2019,GE
1255359,Vivek,HND,14787,150,0.108682263779099,13,37,3,MP,Vivek,HND,,,,,False,37,2019,GE
1255360,Ramlakhan Meena,RKSP,14775,138,0.0999876826767717,14,37,3,MP,Ramlakhan Meena,RKSP,,,,,False,37,2019,GE
1255362,Sumit Misra,IND,14765,104,0.0753530362201757,15,37,3,MP,Sumit Misra,IND,,,,,False,37,2019,GE
1255361,Patiram Shakya,RPI(A),14785,104,0.0753530362201757,15,37,3,MP,Patiram Shakya,RPI(A),,,,,False,37,2019,GE
1255363,Dhara Singh,PSPL,14792,98,0.0710057456690117,17,37,3,MP,Dhara Singh,PSPL,,,,,False,37,2019,GE
1255364,Pawan Kumar Goyal,SWAJANPA,14786,90,0.0652093582674598,18,37,3,MP,Pawan Kumar Goyal,SWAJANPA,,,,,False,37,2019,GE
1255365,Rajesh Singh Bhadoria Bhure,ARK,14790,90,0.0652093582674598,18,37,3,MP,Rajesh Singh Bhadoria Bhure,ARK,,,,,False,37,2019,GE
1255366,Narendra Singh,RPIR,14789,86,0.0623111645666838,20,37,3,MP,Narendra Singh,RPIR,,,,,False,37,2019,GE
1255367,Mehabub Khan,IND,14765,76,0.0550656803147438,21,37,3,MP,Mehabub Khan,IND,,,,,False,37,2019,GE
1255369,Dr. Randhir Singh Ruhal,RaNP,14788,67,0.0485447444879978,22,37,3,MP,Dr. Randhir Singh Ruhal,RaNP,,,,,False,37,2019,GE
1255368,Bhante Sangh Ratan,BHAPRAP,14791,67,0.0485447444879978,22,37,3,MP,Bhante Sangh Ratan,BHAPRAP,,,,,False,37,2019,GE
1255370,Rajveer,IND,14765,66,0.0478201960628038,24,37,3,MP,Rajveer,IND,,,,,False,37,2019,GE
