el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1716337,Lalrinmawia Ralte,INC,19839,7852,45.35,1,16,1,MZ,Lalrinmawia Ralte,INC,,,,,True,16,2013,AE
1716338,Saikapthianga,MNF,19840,5519,31.87,2,16,1,MZ,Saikapthianga,MNF,,,,,False,16,2013,AE
1716339,Lalhmingthanga,NCP,19846,2467,14.25,3,16,1,MZ,Lalhmingthanga,NCP,,,,,False,16,2013,AE
1716340,Lalzamlova Tochhawng,ZNP,19844,1139,6.58,4,16,1,MZ,Lalzamlova Tochhawng,ZNP,,,,,False,16,2013,AE
1716341,Nota,NOTA,19850,183,1.06,5,16,1,MZ,Nota,NOTA,,,,,False,16,2013,AE
1716342,Pazawna,BJP,19845,155,0.9,6,16,1,MZ,Pazawna,BJP,,,,,False,16,2013,AE
1716343,Lalrobiaka,INC,19839,6172,43.27,1,16,2,MZ,Lalrobiaka,INC,,,,,True,16,2013,AE
1716344,Liansuama,MNF,19840,5011,35.13,2,16,2,MZ,Liansuama,MNF,,,,,False,16,2013,AE
1716345,Lalrimawia,ZNP,19844,2878,20.18,3,16,2,MZ,Lalrimawia,ZNP,,,,,False,16,2013,AE
1716346,R Laltawnliana,BJP,19845,121,0.85,4,16,2,MZ,R Laltawnliana,BJP,,,,,False,16,2013,AE
1716347,Nota,NOTA,19850,81,0.57,5,16,2,MZ,Nota,NOTA,,,,,False,16,2013,AE
1716348,John Rotluangliana,INC,19839,7798,45.81,1,16,3,MZ,John Rotluangliana,INC,,,,,True,16,2013,AE
1716349,H.B. Lianmunga,MNF,19840,5308,31.19,2,16,3,MZ,H.B. Lianmunga,MNF,,,,,False,16,2013,AE
1716350,Biakthuama Molshoy,NCP,19846,2368,13.91,3,16,3,MZ,Biakthuama Molshoy,NCP,,,,,False,16,2013,AE
1716351,H Laltanpuia,ZNP,19844,1296,7.61,4,16,3,MZ,H Laltanpuia,ZNP,,,,,False,16,2013,AE
1716352,Nota,NOTA,19850,151,0.89,5,16,3,MZ,Nota,NOTA,,,,,False,16,2013,AE
1716353,C Darlianthanga,BJP,19845,100,0.59,6,16,3,MZ,C Darlianthanga,BJP,,,,,False,16,2013,AE
1716354,Hmingdailova Khiangte,INC,19839,5119,39.12,1,16,4,MZ,Hmingdailova Khiangte,INC,,,,,True,16,2013,AE
1716355,Joseph L. Ralte,ZNP,19844,4880,37.3,2,16,4,MZ,Joseph L. Ralte,ZNP,,,,,False,16,2013,AE
1716356,Dr. Kenneth Chawngliana,MPC,19841,2982,22.79,3,16,4,MZ,Dr. Kenneth Chawngliana,MPC,,,,,False,16,2013,AE
1716357,Nota,NOTA,19850,103,0.79,4,16,4,MZ,Nota,NOTA,,,,,False,16,2013,AE
1716358,P.C. Zoram Sangliana,INC,19839,6078,38.06,1,16,5,MZ,P.C. Zoram Sangliana,INC,,,,,False,16,2013,AE
1716359,Lalchamliana,MNF,19840,5483,34.33,2,16,5,MZ,Lalchamliana,MNF,,,,,False,16,2013,AE
1716360,Lalduhoma,ZNP,19844,4128,25.85,3,16,5,MZ,Lalduhoma,ZNP,,,,,False,16,2013,AE
1716361,Ramfangzauvi,BJP,19845,159,1.0,4,16,5,MZ,Ramfangzauvi,BJP,,,,,True,16,2013,AE
1716362,Nota,NOTA,19850,122,0.76,5,16,5,MZ,Nota,NOTA,,,,,False,16,2013,AE
1716363,K. Lalrinthanga,INC,19839,5664,40.52,1,16,6,MZ,K. Lalrinthanga,INC,,,,,True,16,2013,AE
1716364,Lalhmingliana,MNF,19840,4258,30.46,2,16,6,MZ,Lalhmingliana,MNF,,,,,False,16,2013,AE
1716365,R. Lalawia,ZNP,19844,3549,25.39,3,16,6,MZ,R. Lalawia,ZNP,,,,,False,16,2013,AE
1716366,H.A. Dawngliana,BJP,19845,354,2.53,4,16,6,MZ,H.A. Dawngliana,BJP,,,,,False,16,2013,AE
1716367,Nota,NOTA,19850,155,1.11,5,16,6,MZ,Nota,NOTA,,,,,False,16,2013,AE
1716368,R. L. Pianmawia,INC,19839,5668,45.41,1,16,7,MZ,R. L. Pianmawia,INC,,,,,False,16,2013,AE
