el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1716177,C.L.Ruala,INC,19839,4948,70.65,1,6,1,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716178,Dr. H. Lallungmuana,IND,19847,1855,26.48,2,6,1,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716179,Rualpawla,IND,19847,113,1.61,3,6,1,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716180,Lalawmpuia Chhangte,NCP,19846,88,1.26,4,6,1,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716181,C.L.Ruala,INC,19839,4707,60.38,1,6,2,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716182,Dr. H. Lallungmuana,IND,19847,2798,35.89,2,6,2,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716183,Rualpawla,IND,19847,155,1.99,3,6,2,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716184,Lalawmpuia Chhangte,NCP,19846,136,1.74,4,6,2,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716185,C.L.Ruala,INC,19839,6500,74.68,1,6,3,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716186,Dr. H. Lallungmuana,IND,19847,1971,22.64,2,6,3,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716187,Rualpawla,IND,19847,131,1.51,3,6,3,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716188,Lalawmpuia Chhangte,NCP,19846,102,1.17,4,6,3,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716189,C.L.Ruala,INC,19839,4035,61.16,1,6,4,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716190,Dr. H. Lallungmuana,IND,19847,2391,36.24,2,6,4,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716191,Rualpawla,IND,19847,109,1.65,3,6,4,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716192,Lalawmpuia Chhangte,NCP,19846,62,0.94,4,6,4,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716193,C.L.Ruala,INC,19839,5073,64.13,1,6,5,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716194,Dr. H. Lallungmuana,IND,19847,2691,34.02,2,6,5,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716195,Rualpawla,IND,19847,87,1.1,3,6,5,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716196,Lalawmpuia Chhangte,NCP,19846,59,0.75,4,6,5,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716197,C.L.Ruala,INC,19839,4343,62.75,1,6,6,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716198,Dr. H. Lallungmuana,IND,19847,2453,35.44,2,6,6,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716199,Rualpawla,IND,19847,73,1.05,3,6,6,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716200,Lalawmpuia Chhangte,NCP,19846,52,0.75,4,6,6,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716201,C.L.Ruala,INC,19839,4834,63.78,1,6,7,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716202,Dr. H. Lallungmuana,IND,19847,2591,34.19,2,6,7,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716203,Rualpawla,IND,19847,95,1.25,3,6,7,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716204,Lalawmpuia Chhangte,NCP,19846,59,0.78,4,6,7,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716205,C.L.Ruala,INC,19839,4868,61.71,1,6,8,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716206,Dr. H. Lallungmuana,IND,19847,2886,36.58,2,6,8,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716207,Rualpawla,IND,19847,74,0.94,3,6,8,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716208,Lalawmpuia Chhangte,NCP,19846,61,0.77,4,6,8,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716209,C.L.Ruala,INC,19839,4169,62.81,1,6,9,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716210,Dr. H. Lallungmuana,IND,19847,2344,35.32,2,6,9,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716211,Rualpawla,IND,19847,76,1.15,3,6,9,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716212,Lalawmpuia Chhangte,NCP,19846,48,0.72,4,6,9,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716213,C.L.Ruala,INC,19839,4119,56.56,1,6,10,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716214,Dr. H. Lallungmuana,IND,19847,3053,41.92,2,6,10,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716215,Rualpawla,IND,19847,69,0.95,3,6,10,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716216,Lalawmpuia Chhangte,NCP,19846,42,0.58,4,6,10,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716217,C.L.Ruala,INC,19839,4761,54.0,1,6,11,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716218,Dr. H. Lallungmuana,IND,19847,3946,44.76,2,6,11,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716219,Rualpawla,IND,19847,71,0.81,3,6,11,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716220,Lalawmpuia Chhangte,NCP,19846,38,0.43,4,6,11,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716221,C.L.Ruala,INC,19839,4019,59.02,1,6,12,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716222,Dr. H. Lallungmuana,IND,19847,2726,40.04,2,6,12,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716223,Rualpawla,IND,19847,38,0.56,3,6,12,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716224,Lalawmpuia Chhangte,NCP,19846,26,0.38,4,6,12,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716225,C.L.Ruala,INC,19839,4455,59.5,1,6,13,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716226,Dr. H. Lallungmuana,IND,19847,2728,36.44,2,6,13,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716227,Rualpawla,IND,19847,233,3.11,3,6,13,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716228,Lalawmpuia Chhangte,NCP,19846,71,0.95,4,6,13,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716229,C.L.Ruala,INC,19839,3993,58.83,1,6,14,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
1716230,Dr. H. Lallungmuana,IND,19847,2695,39.71,2,6,14,MZ,Dr. H. Lallungmuana,IND,,,,,False,6,2009,GE
1716231,Rualpawla,IND,19847,56,0.83,3,6,14,MZ,Rualpawla,IND,,,,,False,6,2009,GE
1716232,Lalawmpuia Chhangte,NCP,19846,43,0.63,4,6,14,MZ,Lalawmpuia Chhangte,NCP,,,,,False,6,2009,GE
1716233,C.L.Ruala,INC,19839,4938,56.12,1,6,15,MZ,C.L.Ruala,INC,,,,,False,6,2009,GE
