el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1950056,H. Tovihoto Ayemi,BJP,26930,13325,67.01,1,48,1,NL,,,,,,,True,48,2023,AE
1950057,Kewekhape Therie,INC,26925,6366,32.01,2,48,1,NL,,,,,,,False,48,2023,AE
1950058,Nota,NOTA,26928,195,0.98,3,48,1,NL,,,,,,,True,48,2023,AE
1950059,Moatoshi Longkumer,NDPP,26926,23856,53.19,1,48,2,NL,,,,,,,False,48,2023,AE
1950060,Y. Vikheho Awomi,LJP,26934,18709,41.71,2,48,2,NL,,,,,,,False,48,2023,AE
1950061,S. Amento Chishi,INC,26925,1784,3.98,3,48,2,NL,,,,,,,False,48,2023,AE
1950062,Nota,NOTA,26928,505,1.13,4,48,2,NL,,,,,,,True,48,2023,AE
1950063,Hekani Jakhalu,NDPP,26926,14395,45.16,1,48,3,NL,,,,,,,False,48,2023,AE
1950065,Lun Tungnung,IND,26927,2445,7.67,2,48,3,NL,,,,,,,False,48,2023,AE
2001089,AZHETO ZHIMOMI,LJPRV,52519,12859,40.34,2,48,3,NL,AZHETO ZHIMOMI,LJPRV,,,,,,48,2023,AE
1950066,Kahuto Chishi Sumi,IND,26927,1671,5.24,3,48,3,NL,,,,,,,False,48,2023,AE
1950067,Vetetso Lasuh,INC,26925,370,1.16,4,48,3,NL,,,,,,,False,48,2023,AE
1950068,Nota,NOTA,26928,134,0.42,5,48,3,NL,,,,,,,True,48,2023,AE
1950069,N. Jacob Zhimomi,BJP,26930,32037,55.95,1,48,4,NL,,,,,,,True,48,2023,AE
1950070,V. Phushika Aomi,IND,26927,11941,20.85,2,48,4,NL,,,,,,,False,48,2023,AE
1950071,Imsumongba Pongen,JD(U),26933,8228,14.36954244,3,48,4,NL,,,,,,,False,48,2023,AE
1950072,Akavi N. Zhimomi,INC,26925,4513,7.88,4,48,4,NL,,,,,,,False,48,2023,AE
1950073,Vikato Aye,NPF,26931,277,0.48,5,48,4,NL,,,,,,,False,48,2023,AE
1950074,Nota,NOTA,26928,264,0.46,6,48,4,NL,,,,,,,True,48,2023,AE
1950075,Zhaleo Rio,NDPP,26926,11405,46.48,1,48,5,NL,,,,,,,True,48,2023,AE
1950076,Z. Kasheto Yeptho,RPI(A),26940,7230,29.46,2,48,5,NL,,,,,,,False,48,2023,AE
