el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1948673,S Supongmeren Jamir,INC,26925,9627,51.5253692999357,1,53,1,NL,,,,,,,False,53,2024,GE
1948674,Dr Chumben Murry,NDPP,26926,8522,45.6112181545707,2,53,1,NL,,,,,,,True,53,2024,GE
1948675,Hayithung Tungoe Lotha,IND,26927,402,2.15157353885677,3,53,1,NL,,,,,,,False,53,2024,GE
1948676,Nota,NOTA,26928,133,0.711839006636694,4,53,1,NL,,,,,,,False,53,2024,GE
1948677,S Supongmeren Jamir,INC,26925,29352,66.1647355845092,1,53,2,NL,,,,,,,False,53,2024,GE
1948678,Dr Chumben Murry,NDPP,26926,14066,31.7073170731707,2,53,2,NL,,,,,,,True,53,2024,GE
1948679,Hayithung Tungoe Lotha,IND,26927,724,1.63202741084712,3,53,2,NL,,,,,,,False,53,2024,GE
1948680,Nota,NOTA,26928,220,0.495919931472882,4,53,2,NL,,,,,,,False,53,2024,GE
1948681,S Supongmeren Jamir,INC,26925,16908,56.4503205128205,1,53,3,NL,,,,,,,False,53,2024,GE
1948682,Dr Chumben Murry,NDPP,26926,12584,42.0138888888888,2,53,3,NL,,,,,,,True,53,2024,GE
1948683,Hayithung Tungoe Lotha,IND,26927,331,1.10510149572649,3,53,3,NL,,,,,,,False,53,2024,GE
1948684,Nota,NOTA,26928,129,0.430689102564102,4,53,3,NL,,,,,,,False,53,2024,GE
1948685,S Supongmeren Jamir,INC,26925,38322,66.9403297931805,1,53,4,NL,,,,,,,False,53,2024,GE
1948686,Dr Chumben Murry,NDPP,26926,18252,31.8823365008384,2,53,4,NL,,,,,,,True,53,2024,GE
1948687,Hayithung Tungoe Lotha,IND,26927,544,0.950251537171604,3,53,4,NL,,,,,,,False,53,2024,GE
1948688,Nota,NOTA,26928,130,0.22708216880939,4,53,4,NL,,,,,,,False,53,2024,GE
1948689,S Supongmeren Jamir,INC,26925,14655,59.5417056027302,1,53,5,NL,,,,,,,False,53,2024,GE
1948690,Dr Chumben Murry,NDPP,26926,9736,39.5563320196644,2,53,5,NL,,,,,,,True,53,2024,GE
1948691,Hayithung Tungoe Lotha,IND,26927,165,0.670377442814772,3,53,5,NL,,,,,,,False,53,2024,GE
1948692,Nota,NOTA,26928,57,0.231584934790557,4,53,5,NL,,,,,,,False,53,2024,GE
1948693,S Supongmeren Jamir,INC,26925,13873,66.9934324898589,1,53,6,NL,,,,,,,False,53,2024,GE
1948694,Dr Chumben Murry,NDPP,26926,6590,31.8234498744446,2,53,6,NL,,,,,,,True,53,2024,GE
1948695,Hayithung Tungoe Lotha,IND,26927,203,0.980297469576975,3,53,6,NL,,,,,,,False,53,2024,GE
1948696,Nota,NOTA,26928,42,0.202820166119374,4,53,6,NL,,,,,,,False,53,2024,GE
1948697,S Supongmeren Jamir,INC,26925,16268,73.0555056583438,1,53,7,NL,,,,,,,False,53,2024,GE
1948698,Dr Chumben Murry,NDPP,26926,5707,25.6287048679719,2,53,7,NL,,,,,,,True,53,2024,GE
1948699,Hayithung Tungoe Lotha,IND,26927,209,0.938566552901024,3,53,7,NL,,,,,,,False,53,2024,GE
1948700,Nota,NOTA,26928,84,0.377222920783186,4,53,7,NL,,,,,,,False,53,2024,GE
1948701,S Supongmeren Jamir,INC,26925,7095,67.1684180630502,1,53,8,NL,,,,,,,False,53,2024,GE
1948702,Dr Chumben Murry,NDPP,26926,3333,31.5535359272933,2,53,8,NL,,,,,,,True,53,2024,GE
1948703,Hayithung Tungoe Lotha,IND,26927,98,0.927766732935719,3,53,8,NL,,,,,,,False,53,2024,GE
1948704,Nota,NOTA,26928,37,0.350279276720628,4,53,8,NL,,,,,,,False,53,2024,GE
1948705,S Supongmeren Jamir,INC,26925,13216,77.4178431257688,1,53,9,NL,,,,,,,False,53,2024,GE
1948706,Dr Chumben Murry,NDPP,26926,3718,21.7796262667682,2,53,9,NL,,,,,,,True,53,2024,GE
1948707,Hayithung Tungoe Lotha,IND,26927,109,0.63850975338293,3,53,9,NL,,,,,,,False,53,2024,GE
1948708,Nota,NOTA,26928,28,0.164020854080018,4,53,9,NL,,,,,,,False,53,2024,GE
1948709,S Supongmeren Jamir,INC,26925,7597,77.244534824606,1,53,10,NL,,,,,,,False,53,2024,GE
1948710,Dr Chumben Murry,NDPP,26926,2133,21.687849517031,2,53,10,NL,,,,,,,True,53,2024,GE
1948711,Hayithung Tungoe Lotha,IND,26927,74,0.752414844941535,3,53,10,NL,,,,,,,False,53,2024,GE
1948712,Nota,NOTA,26928,31,0.315200813421454,4,53,10,NL,,,,,,,False,53,2024,GE
1948713,Dr Chumben Murry,NDPP,26926,11245,63.2558924452944,1,53,11,NL,,,,,,,True,53,2024,GE
1948714,S Supongmeren Jamir,INC,26925,6387,35.9284468695505,2,53,11,NL,,,,,,,False,53,2024,GE
1948715,Hayithung Tungoe Lotha,IND,26927,98,0.551274118242673,3,53,11,NL,,,,,,,False,53,2024,GE
1948716,Nota,NOTA,26928,47,0.264386566912302,4,53,11,NL,,,,,,,False,53,2024,GE
1948717,S Supongmeren Jamir,INC,26925,12246,55.6712278947129,1,53,12,NL,,,,,,,False,53,2024,GE
1948718,Dr Chumben Murry,NDPP,26926,9607,43.6741373823703,2,53,12,NL,,,,,,,True,53,2024,GE
1948719,Hayithung Tungoe Lotha,IND,26927,123,0.559167159158067,3,53,12,NL,,,,,,,False,53,2024,GE
1948720,Nota,NOTA,26928,21,0.0954675637586943,4,53,12,NL,,,,,,,False,53,2024,GE
1948721,Dr Chumben Murry,NDPP,26926,9353,65.7088660952648,1,53,13,NL,,,,,,,True,53,2024,GE
1948722,S Supongmeren Jamir,INC,26925,4764,33.4691583532387,2,53,13,NL,,,,,,,False,53,2024,GE
1948723,Hayithung Tungoe Lotha,IND,26927,99,0.695517774343122,3,53,13,NL,,,,,,,False,53,2024,GE
