el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1288688,Rudra Pratap Maharathy,BJD,15062,96972,53.5964185043939,1,43,110,OR,Rudra Pratap Maharathy,BJD,,,,,,43,2021,AE-BP
1288689,Ashrit Pattanayak,BJP,15061,76056,42.0361465760238,2,43,110,OR,Ashrit Pattanayak,BJP,,,,,,43,2021,AE-BP
1288690,Bishwokeshan Harichandan Mohapatra,INC,15063,4261,2.35505444094401,3,43,110,OR,Bishwokeshan Harichandan Mohapatra,INC,,,,,,43,2021,AE-BP
1288691,Ashok Pradhan,CPI(ML)(L),15091,898,0.4963245454043,4,43,110,OR,Ashok Pradhan,CPI(ML)(L),,,,,,43,2021,AE-BP
1288692,NONE OF THE ABOVE,NOTA,15065,831,0.459293649477698,5,43,110,OR,NONE OF THE ABOVE,NOTA,,,,,,43,2021,AE-BP
1288693,Jayaprakash Sethi,ABHM,15073,455,0.251478472337368,6,43,110,OR,Jayaprakash Sethi,ABHM,,,,,,43,2021,AE-BP
1288694,Nagendra Nath Misra,IND,15070,414,0.228817774830044,7,43,110,OR,Nagendra Nath Misra,IND,,,,,,43,2021,AE-BP
1288695,Swopneswar Nayak,IND,15070,377,0.208367877079533,8,43,110,OR,Swopneswar Nayak,IND,,,,,,43,2021,AE-BP
1288696,Sulochana Sahoo,IND,15070,266,0.147018183827999,9,43,110,OR,Sulochana Sahoo,IND,,,,,,43,2021,AE-BP
1288697,Mohammed Immamuddin,RPI(A),15084,244,0.134858785165533,10,43,110,OR,Mohammed Immamuddin,RPI(A),,,,,,43,2021,AE-BP
1288698,Pinklin Mohanty,KS,15092,156,0.086221190515669,11,43,110,OR,Pinklin Mohanty,KS,,,,,,43,2021,AE-BP
