el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1280392,Barsha Singh Bariha,BJD,15062,91995,43.5335036910846,1,51,1,OR,Barsha Singh Bariha,BJD,,,,,False,51,2024,AE
1280393,Gobardhan Bhoy,BJP,15061,81002,38.3314404694302,2,51,1,OR,Gobardhan Bhoy,BJP,,,,,False,51,2024,AE
1280394,Tankadhar Sahu,INC,15063,30453,14.4108461101646,3,51,1,OR,Tankadhar Sahu,INC,,,,,False,51,2024,AE
1280395,Balmiki Naik,AAAP,15067,2749,1.30087071739541,4,51,1,OR,Balmiki Naik,AAAP,,,,,False,51,2024,AE
1280396,Nota,NOTA,15065,1617,0.76519023282226,5,51,1,OR,Nota,NOTA,,,,,False,51,2024,AE
1280397,Rupadhar Kumbhar,BSP,15068,1306,0.618020064357372,6,51,1,OR,Rupadhar Kumbhar,BSP,,,,,False,51,2024,AE
1280398,Rebati Giri,IND,15070,1206,0.570698466780238,7,51,1,OR,Rebati Giri,IND,,,,,False,51,2024,AE
1280399,Gangadhar Saha,IND,15070,992,0.469430247965171,8,51,1,OR,Gangadhar Saha,IND,,,,,False,51,2024,AE
1280462,Sanat Kumar Gartia,BJP,15061,93161,47.524333258514,1,51,2,OR,Sanat Kumar Gartia,BJP,,,,,True,51,2024,AE
1280463,Rita Sahu,BJD,15062,83095,42.3893525414736,2,51,2,OR,Rita Sahu,BJD,,,,,False,51,2024,AE
1280464,Kishor Dafadar,INC,15063,15707,8.01263084865427,3,51,2,OR,Kishor Dafadar,INC,,,,,False,51,2024,AE
1280465,Nota,NOTA,15065,2055,1.04831962780827,4,51,2,OR,Nota,NOTA,,,,,False,51,2024,AE
1280466,Dhabaleswar Mahananda,BSP,15068,2010,1.02536372354969,5,51,2,OR,Dhabaleswar Mahananda,BSP,,,,,False,51,2024,AE
1280517,Ashwini Kumar Sarangi,BJP,15061,77766,46.3389345727565,1,51,3,OR,Ashwini Kumar Sarangi,BJP,,,,,True,51,2024,AE
1280518,Debesh Acharya,BJD,15062,72994,43.4954117506852,2,51,3,OR,Debesh Acharya,BJD,,,,,True,51,2024,AE
1280519,Nipon Kumar Dash,INC,15063,10272,6.12084376117268,3,51,3,OR,Nipon Kumar Dash,INC,,,,,True,51,2024,AE
1280520,Nanda Nandan Mahananda,IND,15070,2080,1.23942319151471,4,51,3,OR,Nanda Nandan Mahananda,IND,,,,,False,51,2024,AE
1280521,Jayashankar Sinha,BSP,15068,1202,0.716243594327255,5,51,3,OR,Jayashankar Sinha,BSP,,,,,False,51,2024,AE
1280522,Nota,NOTA,15065,1187,0.707305446311524,6,51,3,OR,Nota,NOTA,,,,,False,51,2024,AE
1280523,Bhakta Binod Baba,IND,15070,757,0.451078536527231,7,51,3,OR,Bhakta Binod Baba,IND,,,,,False,51,2024,AE
1280524,Ashish Satpathy,AAAP,15067,702,0.418305327136217,8,51,3,OR,Ashish Satpathy,AAAP,,,,,False,51,2024,AE
1280525,Pandaba Karna,IND,15070,476,0.283637230365868,9,51,3,OR,Pandaba Karna,IND,,,,,False,51,2024,AE
1280526,Muktanag,RSHTMNVP,15083,384,0.228816589202717,10,51,3,OR,Muktanag,RSHTMNVP,,,,,False,51,2024,AE
1280582,Nihar Ranjan Mahanand,BJP,15061,99487,55.1727771338572,1,51,4,OR,Nihar Ranjan Mahanand,BJP,,,,,False,51,2024,AE
1280583,Snehangini Chhuria,BJD,15062,70577,39.1400795257294,2,51,4,OR,Snehangini Chhuria,BJD,,,,,True,51,2024,AE
1280584,Abhishek Seth,INC,15063,6065,3.36348360405725,3,51,4,OR,Abhishek Seth,INC,,,,,False,51,2024,AE
1280585,Nota,NOTA,15065,1808,1.0026674948286,4,51,4,OR,Nota,NOTA,,,,,False,51,2024,AE
