el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1962191,Gurdeep Singh Randhawa,AAAP,22302,59104,47.67528152,1,52,10,PB,,,,,,,,52,2024,AE-BP
1962192,Jatinder Kaur Randhawa,INC,22301,53405,43.07827574,2,52,10,PB,,,,,,,,52,2024,AE-BP
1962193,Ravi Karan Singh Kahlon,BJP,22300,6505,5.247152583,3,52,10,PB,,,,,,,,52,2024,AE-BP
1962194,Lovepreet Singh Toofan,SAD(M),22322,2358,1.902042397,4,52,10,PB,,,,,,,,52,2024,AE-BP
1962195,None Of The Above,NOTA,22305,875,0.7058045365,5,52,10,PB,,,,,,,,52,2024,AE-BP
1962196,Ranjit Singh,IND,22306,462,0.3726647953,6,52,10,PB,,,,,,,,52,2024,AE-BP
1962197,Navpreet Singh,IND,22306,284,0.2290839867,7,52,10,PB,,,,,,,,52,2024,AE-BP
1962198,Sant Sewak,IND,22306,283,0.228277353,8,52,10,PB,,,,,,,,52,2024,AE-BP
1962199,Ayub Masih,RSP,22350,214,0.1726196238,9,52,10,PB,,,,,,,,52,2024,AE-BP
1962200,Satnam Singh,IND,22306,197,0.1589068499,10,52,10,PB,,,,,,,,52,2024,AE-BP
1962201,Jatinder Kaur Randhawa,IND,22306,161,0.1298680347,11,52,10,PB,,,,,,,,52,2024,AE-BP
1962202,Pala Singh,IND,22306,124,0.1000225857,12,52,10,PB,,,,,,,,52,2024,AE-BP
1962203,Mohinder Bhagat,AAAP,22302,55246,58.39402171,1,52,34,PB,,,,,,,,52,2024,AE-BP
1962204,Sheetal Angural,BJP,22300,17921,18.94217252,2,52,34,PB,,,,,,,,52,2024,AE-BP
1962205,Surinder Kaur,INC,22301,16757,17.7118456,3,52,34,PB,,,,,,,,52,2024,AE-BP
1962206,Surjit Kaur,SAD,22320,1242,1.312771512,4,52,34,PB,,,,,,,,52,2024,AE-BP
1962207,Binder Kumar Lakha,BSP,22303,734,0.7758247101,5,52,34,PB,,,,,,,,52,2024,AE-BP
1962208,None Of The Above,NOTA,22305,687,0.7261465611,6,52,34,PB,,,,,,,,52,2024,AE-BP
1962209,Sarabjit Singh Khalsa,SAD(M),22322,662,0.6997220138,7,52,34,PB,,,,,,,,52,2024,AE-BP
1962210,Ajay Kumar Bhagat,IND,22306,346,0.3657157353,8,52,34,PB,,,,,,,,52,2024,AE-BP
1962211,Neetu Shatran Wala,IND,22306,236,0.249447727,9,52,34,PB,,,,,,,,52,2024,AE-BP
1962212,Varun Klair Vari,IND,22306,192,0.2029405236,10,52,34,PB,,,,,,,,52,2024,AE-BP
1962213,Inderjit Singh,IND,22306,139,0.1469204833,11,52,34,PB,,,,,,,,52,2024,AE-BP
1962214,Vishal,IND,22306,135,0.1426925557,12,52,34,PB,,,,,,,,52,2024,AE-BP
1962215,Raj Kumar Saqi,IND,22306,113,0.119438954,13,52,34,PB,,,,,,,,52,2024,AE-BP
1962216,Deepak Bhagat,IND,22306,94,0.09935629803,14,52,34,PB,,,,,,,,52,2024,AE-BP
1962217,Ajay Pal Valmiki,IND,22306,62,0.06553287742,15,52,34,PB,,,,,,,,52,2024,AE-BP
