el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1730929,Naresh Puri,INC,22301,46916,36.2703032833143,1,45,1,PB,Naresh Puri,INC,,,,,False,45,2022,AE
1730930,Dinesh Singh (Babbu),BJP,22300,42280,32.6862567742035,2,45,1,PB,Dinesh Singh (Babbu),BJP,,,,,False,45,2022,AE
1730931,Amit Singh (Manto),AAAP,22302,29310,22.6592759236496,3,45,1,PB,Amit Singh (Manto),AAAP,,,,,False,45,2022,AE
1730932,Raj Kumar Gupta (Bittu),SAD,22320,7999,6.18394909973637,4,45,1,PB,Raj Kumar Gupta (Bittu),SAD,,,,,False,45,2022,AE
1730933,None Of The Above,NOTA,22305,813,0.63,5,45,1,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1730934,Mandeep Kaur,SAD(A),22321,704,0.54,6,45,1,PB,Mandeep Kaur,SAD(A),,,,,False,45,2022,AE
1730935,Baba Pawan Kumar,IND,22306,424,0.327790276070536,7,45,1,PB,Baba Pawan Kumar,IND,,,,,False,45,2022,AE
1730936,Manga,IND,22306,354,0.273673956907948,8,45,1,PB,Manga,IND,,,,,False,45,2022,AE
1730937,Des Raj,IND,22306,280,0.216465276650354,9,45,1,PB,Des Raj,IND,,,,,False,45,2022,AE
1730938,Kanwar Vishwadeep Singh Salaria,IND,22306,271,0.209507464186593,10,45,1,PB,Kanwar Vishwadeep Singh Salaria,IND,,,,,False,45,2022,AE
1731033,Lal Chand,AAAP,22302,50339,36.5910214287791,1,45,2,PB,Lal Chand,AAAP,,,,,False,45,2022,AE
1731034,Joginder Pal,INC,22301,49135,35.7158433402145,2,45,2,PB,Joginder Pal,INC,,,,,True,45,2022,AE
1731035,Seema Kumari,BJP,22300,29132,21.175820661181,3,45,2,PB,Seema Kumari,BJP,,,,,True,45,2022,AE
1731036,Rakesh Kumar,BSP,22303,5046,3.66789753728956,4,45,2,PB,Rakesh Kumar,BSP,,,,,False,45,2022,AE
1731037,Munish Kumar,SAD(A),22321,1118,0.81,5,45,2,PB,Munish Kumar,SAD(A),,,,,False,45,2022,AE
1731038,None Of The Above,NOTA,22305,749,0.544442183002355,6,45,2,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731039,Yudhvir Singh,IND,22306,717,0.521181635797982,7,45,2,PB,Yudhvir Singh,IND,,,,,False,45,2022,AE
1731040,Karam Singh,IND,22306,652,0.473933649289099,8,45,2,PB,Karam Singh,IND,,,,,False,45,2022,AE
1731041,Vijay Kumar,IND,22306,379,0.275492105951792,9,45,2,PB,Vijay Kumar,IND,,,,,False,45,2022,AE
1731042,Dharminder,IND,22306,305,0.221702090541679,10,45,2,PB,Dharminder,IND,,,,,False,45,2022,AE
1731134,Ashwani Kumar Sharma,BJP,22300,43132,38.0084596404652,1,45,3,PB,Ashwani Kumar Sharma,BJP,,,,,True,45,2022,AE
1731135,Amit Vij,INC,22301,35373,31.1711314769122,2,45,3,PB,Amit Vij,INC,,,,,False,45,2022,AE
1731136,Vibhuti Sharma,AAAP,22302,31451,27.7150158618258,3,45,3,PB,Vibhuti Sharma,AAAP,,,,,False,45,2022,AE
1731137,Advocate Jyoti Pal Bhim,BSP,22303,1079,0.950828339795558,4,45,3,PB,Advocate Jyoti Pal Bhim,BSP,,,,,False,45,2022,AE
1731138,Kartar Singh,SAD(A),22321,955,0.84,5,45,3,PB,Kartar Singh,SAD(A),,,,,False,45,2022,AE
1731139,Satya Dev Saini,CPI,22304,824,0.726119139936552,6,45,3,PB,Satya Dev Saini,CPI,,,,,False,45,2022,AE
1731140,None Of The Above,NOTA,22305,666,0.586887557278815,7,45,3,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731229,Barindermeet Singh Pahra,INC,22301,43743,35.2334235453315,1,45,4,PB,Barindermeet Singh Pahra,INC,,,,,True,45,2022,AE
1731230,Gurbachan Singh Babbehali,SAD,22320,36408,29.3253431277788,2,45,4,PB,Gurbachan Singh Babbehali,SAD,,,,,True,45,2022,AE
1731231,Raman Bahl,AAAP,22302,29500,23.7611959533475,3,45,4,PB,Raman Bahl,AAAP,,,,,False,45,2022,AE
1731232,Parminder Singh Gill,BJP,22300,9819,7.90885366325149,4,45,4,PB,Parminder Singh Gill,BJP,,,,,False,45,2022,AE
1731233,Inderpal Singh,SNYKSNGRHP,22334,2391,1.93,5,45,4,PB,Inderpal Singh,SNYKSNGRHP,,,,,False,45,2022,AE
1731234,None Of The Above,NOTA,22305,699,0.563019524453895,6,45,4,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731235,Simranjit Singh Maan,PKD,22335,305,0.25,7,45,4,PB,Simranjit Singh Maan,PKD,,,,,False,45,2022,AE
1731236,Deepak Sharma,IND,22306,294,0.23680649526387,8,45,4,PB,Deepak Sharma,IND,,,,,False,45,2022,AE
1731237,Sunny Gill,IND,22306,250,0.20136606740125,9,45,4,PB,Sunny Gill,IND,,,,,False,45,2022,AE
1731238,Jagdish Masih,IND,22306,172,0.13853985437206,10,45,4,PB,Jagdish Masih,IND,,,,,False,45,2022,AE
1731239,Karandeep Singh,IND,22306,168,0.13531799729364,11,45,4,PB,Karandeep Singh,IND,,,,,False,45,2022,AE
1731240,Parmjeet Singh,IND,22306,159,0.128068818867195,12,45,4,PB,Parmjeet Singh,IND,,,,,False,45,2022,AE
1731241,Gurpreet Singh,IND,22306,134,0.10793221212707,13,45,4,PB,Gurpreet Singh,IND,,,,,False,45,2022,AE
1731242,Sunny,IND,22306,110,0.08860106965655,14,45,4,PB,Sunny,IND,,,,,False,45,2022,AE
1731328,Aruna Chaudhary,INC,22301,51133,36.5999083803361,1,45,5,PB,Aruna Chaudhary,INC,,,,,True,45,2022,AE
1731329,Shamsher Singh,AAAP,22302,50002,35.7903627566066,2,45,5,PB,Shamsher Singh,AAAP,,,,,False,45,2022,AE
1731330,Renu Kashyap,BJP,22300,20560,14.7164085091762,3,45,5,PB,Renu Kashyap,BJP,,,,,False,45,2022,AE
1731331,Kamaljeet Chawla,BSP,22303,15534,11.1189051450167,4,45,5,PB,Kamaljeet Chawla,BSP,,,,,False,45,2022,AE
1731332,Kulwant Singh,IND,22306,1548,1.10802530993214,5,45,5,PB,Kulwant Singh,IND,,,,,False,45,2022,AE
1731333,None Of The Above,NOTA,22305,931,0.666389898932058,6,45,5,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731422,Partap Singh Bajwa,INC,22301,48679,36.5504606443765,1,45,6,PB,Partap Singh Bajwa,INC,,,,,False,45,2022,AE
1731423,Guriqbal Singh Mahal,SAD,22320,41505,31.1638872829114,2,45,6,PB,Guriqbal Singh Mahal,SAD,,,,,False,45,2022,AE
1731424,Jagroop Singh Sekhwan,AAAP,22302,34916,26.2165591704646,3,45,6,PB,Jagroop Singh Sekhwan,AAAP,,,,,False,45,2022,AE
1731425,Jatinderbir Singh Pannu,SAD(A),22321,4306,3.23,4,45,6,PB,Jatinderbir Singh Pannu,SAD(A),,,,,False,45,2022,AE
1731426,None Of The Above,NOTA,22305,777,0.583407792285802,5,45,6,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731427,Master Johar Singh,SADS,22336,747,0.56,6,45,6,PB,Master Johar Singh,SADS,,,,,False,45,2022,AE
1731428,Jaspal Singh,IND,22306,588,0.441497788756823,7,45,6,PB,Jaspal Singh,IND,,,,,False,45,2022,AE
1731429,Hardip Singh,NATJUP,22327,420,0.32,8,45,6,PB,Hardip Singh,NATJUP,,,,,False,45,2022,AE
1731430,Mohnit Singh,IND,22306,401,0.301089478386881,9,45,6,PB,Mohnit Singh,IND,,,,,False,45,2022,AE
1731431,Rajwinder Singh,IND,22306,319,0.239520058866371,10,45,6,PB,Rajwinder Singh,IND,,,,,False,45,2022,AE
1731432,Amarpartap Singh,IND,22306,202,0.151671009062718,11,45,6,PB,Amarpartap Singh,IND,,,,,False,45,2022,AE
1731433,Prem Singh,IND,22306,182,0.13665407747235,12,45,6,PB,Prem Singh,IND,,,,,False,45,2022,AE
1731434,Dr. Farooq Masih,PPID,22337,141,0.11,13,45,6,PB,Dr. Farooq Masih,PPID,,,,,False,45,2022,AE
1731527,Amansher Singh (Shery Kalsi),AAAP,22302,55570,43.5689364538006,1,45,7,PB,Amansher Singh (Shery Kalsi),AAAP,,,,,False,45,2022,AE
1731528,Ashwani Sekhri,INC,22301,27098,21.2458348034027,2,45,7,PB,Ashwani Sekhri,INC,,,,,True,45,2022,AE
1731529,Sucha Singh Chhotepur,SAD,22320,23251,18.2296444392175,3,45,7,PB,Sucha Singh Chhotepur,SAD,,,,,False,45,2022,AE
1731530,Fatehjang Singh Bajwa,BJP,22300,13879,10.8816496138617,4,45,7,PB,Fatehjang Singh Bajwa,BJP,,,,,False,45,2022,AE
1731531,Gurbachan Singh,SAD(A),22321,3653,2.86,5,45,7,PB,Gurbachan Singh,SAD(A),,,,,False,45,2022,AE
1731532,Balwinder Singh,IND,22306,1562,1.22466580422595,6,45,7,PB,Balwinder Singh,IND,,,,,False,45,2022,AE
1731533,None Of The Above,NOTA,22305,658,0.515896350307734,7,45,7,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731534,Sukhchain Singh,PKD,22335,523,0.41,8,45,7,PB,Sukhchain Singh,PKD,,,,,False,45,2022,AE
1731535,Hansa Singh,CPI(M),22339,332,0.26,9,45,7,PB,Hansa Singh,CPI(M),,,,,False,45,2022,AE
1731536,Sucha Singh,IND,22306,290,0.227370731898545,10,45,7,PB,Sucha Singh,IND,,,,,False,45,2022,AE
1731537,Vijay Kumar Trehan,LIP,22340,286,0.224234583872358,11,45,7,PB,Vijay Kumar Trehan,LIP,,,,,False,45,2022,AE
1731538,Sanjeev Kumar,IND,22306,178,0.139558587165314,12,45,7,PB,Sanjeev Kumar,IND,,,,,False,45,2022,AE
1731539,Manjit Singh,NATJUP,22327,156,0.12,13,45,7,PB,Manjit Singh,NATJUP,,,,,False,45,2022,AE
1731540,Ashwani Kumar,IND,22306,109,0.0854600337135912,14,45,7,PB,Ashwani Kumar,IND,,,,,True,45,2022,AE
1731623,Amarpal Singh,AAAP,22302,53205,42.7442095876214,1,45,8,PB,Amarpal Singh,AAAP,,,,,True,45,2022,AE
1731624,Rajanbir Singh,SAD,22320,36242,29.1163545507861,2,45,8,PB,Rajanbir Singh,SAD,,,,,False,45,2022,AE
1731625,Mandeep Singh,INC,22301,24563,19.7335968442955,3,45,8,PB,Mandeep Singh,INC,,,,,False,45,2022,AE
1731626,Dr. Kamaljit Singh,IND,22306,4757,3.82171233922216,4,45,8,PB,Dr. Kamaljit Singh,IND,,,,,False,45,2022,AE
1731627,Jasbir Singh Chahal,BSP(A),22315,1731,1.39,5,45,8,PB,Jasbir Singh Chahal,BSP(A),,,,,False,45,2022,AE
1731628,None Of The Above,NOTA,22305,1401,1.1255452989805,6,45,8,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731629,Baljinder Singh,BJP,22300,1318,1.05886417134639,7,45,8,PB,Baljinder Singh,BJP,,,,,False,45,2022,AE
1731630,Hansa Singh,IND,22306,478,0.384019024206052,8,45,8,PB,Hansa Singh,IND,,,,,False,45,2022,AE
1731631,Mukhtar Singh,PPID,22337,425,0.34,9,45,8,PB,Mukhtar Singh,PPID,,,,,False,45,2022,AE
1731632,Resham Singh,SJVP,22344,353,0.28,10,45,8,PB,Resham Singh,SJVP,,,,,False,45,2022,AE
1731707,Tripat Rajinder Singh Bajwa,INC,22301,46311,35.9496048811538,1,45,9,PB,Tripat Rajinder Singh Bajwa,INC,,,,,True,45,2022,AE
1731708,Lakhbir Singh Lodhi Nangal,SAD,22320,40766,31.6452158792752,2,45,9,PB,Lakhbir Singh Lodhi Nangal,SAD,,,,,False,45,2022,AE
1731709,Balbir Singh,AAAP,22302,35819,27.8050333017652,3,45,9,PB,Balbir Singh,AAAP,,,,,False,45,2022,AE
1731710,Kulwant Singh Majhail,SAD(A),22321,3390,2.63,4,45,9,PB,Kulwant Singh Majhail,SAD(A),,,,,False,45,2022,AE
1731711,None Of The Above,NOTA,22305,812,0.630327118038844,5,45,9,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731712,Baljinder Singh,IND,22306,723,0.561239539830153,6,45,9,PB,Baljinder Singh,IND,,,,,False,45,2022,AE
1731713,Tajinder Singh,PLCP,22347,406,0.32,7,45,9,PB,Tajinder Singh,PLCP,,,,,False,45,2022,AE
1731714,Sahib Singh,IND,22306,399,0.30972970455357,8,45,9,PB,Sahib Singh,IND,,,,,False,45,2022,AE
1731715,Amarbeer Singh,IND,22306,196,0.152147925043858,9,45,9,PB,Amarbeer Singh,IND,,,,,False,45,2022,AE
1731802,Sukhjinder Singh,INC,22301,52555,36.4057661801481,1,45,10,PB,Sukhjinder Singh,INC,,,,,True,45,2022,AE
1731803,Ravikaran Singh Kahlon,SAD,22320,52089,36.0829598431687,2,45,10,PB,Ravikaran Singh Kahlon,SAD,,,,,False,45,2022,AE
1731804,Gurdeep Singh,AAAP,22302,31742,21.9882376575066,3,45,10,PB,Gurdeep Singh,AAAP,,,,,False,45,2022,AE
1731805,Jagjit Singh,IND,22306,2684,1.85925366620716,4,45,10,PB,Jagjit Singh,IND,,,,,False,45,2022,AE
1731806,Kuldeep Singh,BJP,22300,1913,1.32516850352246,5,45,10,PB,Kuldeep Singh,BJP,,,,,False,45,2022,AE
1731807,None Of The Above,NOTA,22305,1099,0.761296490000623,6,45,10,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731808,Sukhjinder Singh,IND,22306,887,0.614440388198865,7,45,10,PB,Sukhjinder Singh,IND,,,,,False,45,2022,AE
1731809,Satnam Singh,IND,22306,535,0.37060384181104,8,45,10,PB,Satnam Singh,IND,,,,,False,45,2022,AE
1731810,Dominic Mattu,IND,22306,388,0.26877437499567,9,45,10,PB,Dominic Mattu,IND,,,,,True,45,2022,AE
1731811,Gurdeep Singh,IND,22306,264,0.182877409790868,10,45,10,PB,Gurdeep Singh,IND,,,,,False,45,2022,AE
1731812,Manpreet Singh,IND,22306,203,0.140621644649796,11,45,10,PB,Manpreet Singh,IND,,,,,False,45,2022,AE
1731935,Kuldeep Singh Dhaliwal,AAAP,22302,43555,35.6897032071977,1,45,11,PB,Kuldeep Singh Dhaliwal,AAAP,,,,,False,45,2022,AE
1731936,Bonny Amarpal Singh Ajnala,SAD,22320,35712,29.263016437503,2,45,11,PB,Bonny Amarpal Singh Ajnala,SAD,,,,,True,45,2022,AE
1731937,Harpartap Singh Ajnala,INC,22301,33853,27.7397204149527,3,45,11,PB,Harpartap Singh Ajnala,INC,,,,,True,45,2022,AE
1731938,Sona Masih Jafar,IND,22306,3110,2.54838656811812,4,45,11,PB,Sona Masih Jafar,IND,,,,,False,45,2022,AE
1731939,Amrik Singh,SAD(A),22321,2185,1.79,5,45,11,PB,Amrik Singh,SAD(A),,,,,True,45,2022,AE
1731940,Harpartap Singh,IND,22306,1030,0.843999410019829,6,45,11,PB,Harpartap Singh,IND,,,,,False,45,2022,AE
1731941,None Of The Above,NOTA,22305,824,0.675199528015863,7,45,11,PB,None Of The Above,NOTA,,,,,True,45,2022,AE
1731942,Charnjeet Singh,SNYKSNGRHP,22334,583,0.48,8,45,11,PB,Charnjeet Singh,SNYKSNGRHP,,,,,False,45,2022,AE
