el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1730939,Dinesh Singh Babbu,BJP,22300,62785,51.0438854652769,1,53,1,PB,Dinesh Singh Babbu,BJP,,,,,True,53,2024,GE
1730940,Sukhjinder Singh Randhawa,INC,22301,36004,29.2710687631095,2,53,1,PB,Sukhjinder Singh Randhawa,INC,,,,,False,53,2024,GE
1730941,Amansher Singh (Shery Kalsi),AAAP,22302,17258,14.0306661680297,3,53,1,PB,Amansher Singh (Shery Kalsi),AAAP,,,,,False,53,2024,GE
1730942,Dr. Daljit Singh Cheema,SAD,22320,1938,1.5755841368433,4,53,1,PB,Dr. Daljit Singh Cheema,SAD,,,,,False,53,2024,GE
1730943,Raj Kumar,BSP,22303,974,0.79185704297491,5,53,1,PB,Raj Kumar,BSP,,,,,False,53,2024,GE
1730944,Sant Sewak,IND,22306,493,0.400806490951366,6,53,1,PB,Sant Sewak,IND,,,,,False,53,2024,GE
1730945,Santosh Kaur,IND,22306,403,0.327636948992699,7,53,1,PB,Santosh Kaur,IND,,,,,False,53,2024,GE
1730946,Samuel Soni,IND,22306,370,0.300808116941187,8,53,1,PB,Samuel Soni,IND,,,,,False,53,2024,GE
1730947,Gurinder Singh Bajwa,SAD(M),22322,365,0.296743142387928,9,53,1,PB,Gurinder Singh Bajwa,SAD(M),,,,,False,53,2024,GE
1730948,Nota,NOTA,22305,346,0.281296239085543,10,53,1,PB,Nota,NOTA,,,,,False,53,2024,GE
1730949,Surjit Singh,IND,22306,283,0.230077559714476,11,53,1,PB,Surjit Singh,IND,,,,,False,53,2024,GE
1730950,Amit Aggarwal,IND,22306,195,0.158534007577112,12,53,1,PB,Amit Aggarwal,IND,,,,,False,53,2024,GE
1730951,Sanjeev Singh,IND,22306,193,0.156908017755808,13,53,1,PB,Sanjeev Singh,IND,,,,,False,53,2024,GE
1730952,Sanjeev Manhas,IND,22306,183,0.14877806864929,14,53,1,PB,Sanjeev Manhas,IND,,,,,False,53,2024,GE
1730953,Surinder Singh,IND,22306,176,0.143087104274727,15,53,1,PB,Surinder Singh,IND,,,,,False,53,2024,GE
1730954,Gurpreet Kaur Bajwa,IND,22306,135,0.109754312938001,16,53,1,PB,Gurpreet Kaur Bajwa,IND,,,,,False,53,2024,GE
1730955,Robi Masih,IND,22306,132,0.107315328206045,17,53,1,PB,Robi Masih,IND,,,,,False,53,2024,GE
1730956,Ramesh Kumar Tolla,BHRJWNKP,22323,126,0.102437358742134,18,53,1,PB,Ramesh Kumar Tolla,BHRJWNKP,,,,,False,53,2024,GE
1730957,Tilak Raj,IND,22306,124,0.10081136892083,19,53,1,PB,Tilak Raj,IND,,,,,False,53,2024,GE
1730958,Santosh Kumari,MEDP,22307,98,0.0796735012438822,20,53,1,PB,Santosh Kumari,MEDP,,,,,False,53,2024,GE
1730959,Tarsem Masih Sahota,IND,22306,87,0.0707305572267117,21,53,1,PB,Tarsem Masih Sahota,IND,,,,,False,53,2024,GE
1730960,Ramesh Lal,NRPI,22324,76,0.0617876132095413,22,53,1,PB,Ramesh Lal,NRPI,,,,,False,53,2024,GE
1730961,I.S.Gulati,IND,22306,74,0.0601616233882375,23,53,1,PB,I.S.Gulati,IND,,,,,False,53,2024,GE
1730962,Ranjodh Singh,JSDP,22325,67,0.0544706590136745,24,53,1,PB,Ranjodh Singh,JSDP,,,,,False,53,2024,GE
1730963,Jagdish Masih,IND,22306,51,0.0414627404432448,25,53,1,PB,Jagdish Masih,IND,,,,,False,53,2024,GE
1730964,Jatinder Kumar Sharma,BRRTD,22326,36,0.0292678167834669,26,53,1,PB,Jatinder Kumar Sharma,BRRTD,,,,,False,53,2024,GE
1730965,Darbara Singh,NATJUP,22327,30,0.0243898473195557,27,53,1,PB,Darbara Singh,NATJUP,,,,,False,53,2024,GE
1731043,Dinesh Singh Babbu,BJP,22300,56393,43.4654930554485,1,53,2,PB,Dinesh Singh Babbu,BJP,,,,,True,53,2024,GE
1731044,Sukhjinder Singh Randhawa,INC,22301,43577,33.5874273558292,2,53,2,PB,Sukhjinder Singh Randhawa,INC,,,,,False,53,2024,GE
1731045,Amansher Singh (Shery Kalsi),AAAP,22302,21372,16.4726919578856,3,53,2,PB,Amansher Singh (Shery Kalsi),AAAP,,,,,False,53,2024,GE
1731046,Dr. Daljit Singh Cheema,SAD,22320,2825,2.17739822108492,4,53,2,PB,Dr. Daljit Singh Cheema,SAD,,,,,False,53,2024,GE
1731047,Raj Kumar,BSP,22303,1024,0.789258682616269,5,53,2,PB,Raj Kumar,BSP,,,,,False,53,2024,GE
1731048,Gurinder Singh Bajwa,SAD(M),22322,697,0.537220021272987,6,53,2,PB,Gurinder Singh Bajwa,SAD(M),,,,,False,53,2024,GE
1731049,Sant Sewak,IND,22306,612,0.471705384532379,7,53,2,PB,Sant Sewak,IND,,,,,False,53,2024,GE
1731050,Santosh Kaur,IND,22306,384,0.2959720059811,8,53,2,PB,Santosh Kaur,IND,,,,,False,53,2024,GE
1731051,Nota,NOTA,22305,331,0.255121703072251,9,53,2,PB,Nota,NOTA,,,,,False,53,2024,GE
1731052,Surjit Singh,IND,22306,312,0.240477254859644,10,53,2,PB,Surjit Singh,IND,,,,,False,53,2024,GE
1731053,Samuel Soni,IND,22306,265,0.204251514544249,11,53,2,PB,Samuel Soni,IND,,,,,False,53,2024,GE
1731054,Sanjeev Singh,IND,22306,242,0.186524024602672,12,53,2,PB,Sanjeev Singh,IND,,,,,False,53,2024,GE
1731055,Sanjeev Manhas,IND,22306,197,0.151839805151762,13,53,2,PB,Sanjeev Manhas,IND,,,,,False,53,2024,GE
1731056,Ramesh Kumar Tolla,BHRJWNKP,22323,192,0.14798600299055,14,53,2,PB,Ramesh Kumar Tolla,BHRJWNKP,,,,,False,53,2024,GE
1731057,Surinder Singh,IND,22306,172,0.132570794345701,15,53,2,PB,Surinder Singh,IND,,,,,False,53,2024,GE
1731058,Robi Masih,IND,22306,159,0.122550908726549,16,53,2,PB,Robi Masih,IND,,,,,False,53,2024,GE
1731059,Amit Aggarwal,IND,22306,138,0.106364939649458,17,53,2,PB,Amit Aggarwal,IND,,,,,False,53,2024,GE
1731060,Santosh Kumari,MEDP,22307,136,0.104823418784973,18,53,2,PB,Santosh Kumari,MEDP,,,,,False,53,2024,GE
1731061,Gurpreet Kaur Bajwa,IND,22306,133,0.102511137488245,19,53,2,PB,Gurpreet Kaur Bajwa,IND,,,,,False,53,2024,GE
1731062,Ramesh Lal,NRPI,22324,106,0.0817006058176997,20,53,2,PB,Ramesh Lal,NRPI,,,,,False,53,2024,GE
1731063,Tilak Raj,IND,22306,100,0.077076043224245,21,53,2,PB,Tilak Raj,IND,,,,,False,53,2024,GE
1731064,Ranjodh Singh,JSDP,22325,82,0.0632023554438809,22,53,2,PB,Ranjodh Singh,JSDP,,,,,False,53,2024,GE
1731066,I.S.Gulati,IND,22306,78,0.06,23,53,2,PB,I.S.Gulati,IND,,,,,False,53,2024,GE
1731065,Tarsem Masih Sahota,IND,22306,78,0.0601193137149111,23,53,2,PB,Tarsem Masih Sahota,IND,,,,,False,53,2024,GE
1731067,Jagdish Masih,IND,22306,52,0.0400795424766074,25,53,2,PB,Jagdish Masih,IND,,,,,False,53,2024,GE
1731068,Jatinder Kumar Sharma,BRRTD,22326,51,0.0393087820443649,26,53,2,PB,Jatinder Kumar Sharma,BRRTD,,,,,False,53,2024,GE
