el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1726892,A. Namassivayam,BJP,22263,14939,51.817551161984,1,42,1,PY,A. Namassivayam,BJP,,,,,False,42,2021,AE
1726893,A. Krishnan A.K. Kumar,DMK,22272,12189,42.2788761706555,2,42,1,PY,A. Krishnan A.K. Kumar,DMK,,,,,False,42,2021,AE
1726894,Chitra,NTK,22264,485,1.68227540756156,3,42,1,PY,Chitra,NTK,,,,,False,42,2021,AE
1726895,None Of The Above,NOTA,22266,433,1.50190773499826,4,42,1,PY,None Of The Above,NOTA,,,,,True,42,2021,AE
1726896,P. Gopalakrishnan,MNM,22282,238,0.825528962885882,5,42,1,PY,P. Gopalakrishnan,MNM,,,,,False,42,2021,AE
1726897,Veerappan,IND,22267,182,0.631286853971557,6,42,1,PY,Veerappan,IND,,,,,False,42,2021,AE
1726898,K.K. Mathivadhanan M.B.A. M.Phil.,BSP,22269,100,0.34686090877558,7,42,1,PY,K.K. Mathivadhanan M.B.A. M.Phil.,BSP,,,,,False,42,2021,AE
1726899,S. Manikandan,DMDK,22279,64,0.221990981616371,8,42,1,PY,S. Manikandan,DMDK,,,,,False,42,2021,AE
1726900,C. Dhanavelu,AMMKMNKZ,22286,57,0.197710718002081,9,42,1,PY,C. Dhanavelu,AMMKMNKZ,,,,,False,42,2021,AE
1726901,S. Jayaball Alias Sengeni,IND,22267,55,0.190773499826569,10,42,1,PY,S. Jayaball Alias Sengeni,IND,,,,,False,42,2021,AE
1726902,Brightmoon V. Muruganandham,IND,22267,43,0.149150190773499,11,42,1,PY,Brightmoon V. Muruganandham,IND,,,,,False,42,2021,AE
1726903,Subburumani,IND,22267,25,0.0867152271938952,12,42,1,PY,Subburumani,IND,,,,,False,42,2021,AE
1726904,Chamsoudine,IND,22267,12,0.0416233090530697,13,42,1,PY,Chamsoudine,IND,,,,,False,42,2021,AE
1726905,Sivakumar. R.M,IND,22267,8,0.0277488727020464,14,42,1,PY,Sivakumar. R.M,IND,,,,,False,42,2021,AE
1727031,P. Angalane,IND,22267,10597,36.7849208553179,1,42,2,PY,P. Angalane,IND,,,,,False,42,2021,AE
1727032,B. Kobiga,AINRC,22271,8238,28.5962232713135,2,42,2,PY,B. Kobiga,AINRC,,,,,True,42,2021,AE
1727033,A. Muhilan,DMK,22272,7644,26.5342960288808,3,42,2,PY,A. Muhilan,DMK,,,,,False,42,2021,AE
1727034,K. Ranjit,NTK,22264,588,2.04109969452929,4,42,2,PY,K. Ranjit,NTK,,,,,False,42,2021,AE
1727035,Durai Ramesh,MNM,22282,482,1.6731463482366,5,42,2,PY,Durai Ramesh,MNM,,,,,False,42,2021,AE
1727036,None Of The Above,NOTA,22266,284,0.985837267425715,6,42,2,PY,None Of The Above,NOTA,,,,,True,42,2021,AE
1727037,Dr.K. Silambarasan,AMMKMNKZ,22286,229,0.79491807831158,7,42,2,PY,Dr.K. Silambarasan,AMMKMNKZ,,,,,False,42,2021,AE
1727038,S.T. Paramasivam Cale,IND,22267,182,0.631768953068592,8,42,2,PY,S.T. Paramasivam Cale,IND,,,,,False,42,2021,AE
1727039,T. Vinayagamoorthy,DMDK,22279,119,0.41307970008331,9,42,2,PY,T. Vinayagamoorthy,DMDK,,,,,False,42,2021,AE
1727040,V. Sivaraman,IJK,22280,117,0.406137184115523,10,42,2,PY,V. Sivaraman,IJK,,,,,False,42,2021,AE
1727041,M. Shanthi,IND,22267,85,0.295056928630935,11,42,2,PY,M. Shanthi,IND,,,,,False,42,2021,AE
1727042,S. Nadarajan,IND,22267,84,0.291585670647042,12,42,2,PY,S. Nadarajan,IND,,,,,False,42,2021,AE
1727043,T. Udayakumar Mlis,BSP,22269,80,0.277700638711469,13,42,2,PY,T. Udayakumar Mlis,BSP,,,,,False,42,2021,AE
1727044,M. Manivannan,IND,22267,79,0.274229380727575,14,42,2,PY,M. Manivannan,IND,,,,,False,42,2021,AE
1727167,Ak Sai J Saravanan Kumar,BJP,22263,14121,48.7822572287283,1,42,3,PY,Ak Sai J Saravanan Kumar,BJP,,,,,False,42,2021,AE
1727168,P. Karthikeyan,INC,22262,12241,42.2876291152796,2,42,3,PY,P. Karthikeyan,INC,,,,,False,42,2021,AE
1727169,Geetha Priya,NTK,22264,740,2.55639617231492,3,42,3,PY,Geetha Priya,NTK,,,,,False,42,2021,AE
1727170,Muthalu Vengadesan,AMMKMNKZ,22286,496,1.7134763533354,4,42,3,PY,Muthalu Vengadesan,AMMKMNKZ,,,,,False,42,2021,AE
1727171,None Of The Above,NOTA,22266,409,1.4129270736173,5,42,3,PY,None Of The Above,NOTA,,,,,True,42,2021,AE
1727172,N. Ambigapathy,IND,22267,320,1.1054686150551,6,42,3,PY,N. Ambigapathy,IND,,,,,False,42,2021,AE
1727173,K. Sankar,MNM,22282,293,1.01219470065982,7,42,3,PY,K. Sankar,MNM,,,,,False,42,2021,AE
1727174,A. Murali,IND,22267,165,0.570007254637786,8,42,3,PY,A. Murali,IND,,,,,False,42,2021,AE
1727175,R. Babou,DMDK,22279,77,0.266003385497633,9,42,3,PY,R. Babou,DMDK,,,,,False,42,2021,AE
1727176,S. Sanjiv Ganthi,IND,22267,47,0.162365702836217,10,42,3,PY,S. Sanjiv Ganthi,IND,,,,,False,42,2021,AE
1727177,Abimannan,IND,22267,24,0.0829101461291325,11,42,3,PY,Abimannan,IND,,,,,False,42,2021,AE
1727178,M. Ramesh,IJK,22280,14,0.0483642519086606,12,42,3,PY,M. Ramesh,IJK,,,,,False,42,2021,AE
1727306,Djeacoumar .C,AINRC,22271,16972,50.8859772734086,1,42,4,PY,Djeacoumar .C,AINRC,,,,,False,42,2021,AE
1727307,Sun. Kumaravel,DMK,22272,14221,42.6378436722333,2,42,4,PY,Sun. Kumaravel,DMK,,,,,False,42,2021,AE
1727308,B. Bharathkalai,NTK,22264,838,2.51251761460738,3,42,4,PY,B. Bharathkalai,NTK,,,,,False,42,2021,AE
1727309,None Of The Above,NOTA,22266,367,1.10035079303211,4,42,4,PY,None Of The Above,NOTA,,,,,True,42,2021,AE
1727310,M. Subramani,MNM,22282,279,0.836506461187899,5,42,4,PY,M. Subramani,MNM,,,,,False,42,2021,AE
1727311,P. Cannane,IND,22267,206,0.61763559499895,6,42,4,PY,P. Cannane,IND,,,,,False,42,2021,AE
