el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1726802,Ve. Vaithilingam,INC,22262,13251,46.7902542372881,1,53,1,PY,Ve. Vaithilingam,INC,,,,,True,53,2024,GE
1726803,A. Namassivayam,BJP,22263,12656,44.6892655367231,2,53,1,PY,A. Namassivayam,BJP,,,,,False,53,2024,GE
1726804,Dr. R. Menaga,NTK,22264,834,2.94491525423728,3,53,1,PY,Dr. R. Menaga,NTK,,,,,False,53,2024,GE
1726805,G. Thamizhvendan,AIADMK,22265,674,2.38,4,53,1,PY,G. Thamizhvendan,AIADMK,,,,,False,53,2024,GE
1726806,None Of The Above,NOTA,22266,235,0.829802259887005,5,53,1,PY,None Of The Above,NOTA,,,,,False,53,2024,GE
1726807,K. Kishorkumar,IND,22267,92,0.324858757062146,6,53,1,PY,K. Kishorkumar,IND,,,,,False,53,2024,GE
1726808,P. Sankaran,SUCI,22268,85,0.300141242937853,7,53,1,PY,P. Sankaran,SUCI,,,,,False,53,2024,GE
1726809,M. Krishnamurthy,IND,22267,66,0.233050847457627,8,53,1,PY,M. Krishnamurthy,IND,,,,,False,53,2024,GE
1726810,Couttane Dhivaneedhe,IND,22267,56,0.19774011299435,9,53,1,PY,Couttane Dhivaneedhe,IND,,,,,False,53,2024,GE
1726811,S. Bakthavatchalam,IND,22267,50,0.176553672316384,10,53,1,PY,S. Bakthavatchalam,IND,,,,,False,53,2024,GE
1726812,M. Manikandan,IND,22267,49,0.173022598870056,11,53,1,PY,M. Manikandan,IND,,,,,False,53,2024,GE
1726813,Alangaravelu,BSP,22269,36,0.127118644067796,12,53,1,PY,Alangaravelu,BSP,,,,,False,53,2024,GE
1726814,Aradadi Posiyya,IND,22267,33,0.116525423728813,13,53,1,PY,Aradadi Posiyya,IND,,,,,False,53,2024,GE
1726815,Kollanjiappan,IND,22267,31,0.109463276836158,14,53,1,PY,Kollanjiappan,IND,,,,,False,53,2024,GE
1726817,E. Ananthavel,IND,22267,25,0.09,15,53,1,PY,E. Ananthavel,IND,,,,,False,53,2024,GE
1726816,K. Prabhudevan,URPI,22270,25,0.088276836158192,15,53,1,PY,K. Prabhudevan,URPI,,,,,False,53,2024,GE
1726818,S. Kala,IND,22267,21,0.0741525423728813,17,53,1,PY,S. Kala,IND,,,,,False,53,2024,GE
1726819,S. Sathish Kumar,IND,22267,17,0.0600282485875706,18,53,1,PY,S. Sathish Kumar,IND,,,,,False,53,2024,GE
1726820,Ravindiran,IND,22267,15,0.0529661016949152,19,53,1,PY,Ravindiran,IND,,,,,False,53,2024,GE
1726821,Ramadass,IND,22267,15,0.05,19,53,1,PY,Ramadass,IND,,,,,False,53,2024,GE
1726822,R. Raja,IND,22267,14,0.0494350282485875,21,53,1,PY,R. Raja,IND,,,,,False,53,2024,GE
1726823,Arunachalam,IND,22267,11,0.0388418079096045,22,53,1,PY,Arunachalam,IND,,,,,False,53,2024,GE
1726824,V.P.Manickam,IND,22267,8,0.0282485875706214,23,53,1,PY,V.P.Manickam,IND,,,,,False,53,2024,GE
1726825,P. Rajan,IND,22267,8,0.03,23,53,1,PY,P. Rajan,IND,,,,,False,53,2024,GE
1726826,Nirmala Gopi,IND,22267,7,0.0247175141242937,25,53,1,PY,Nirmala Gopi,IND,,,,,False,53,2024,GE
1726827,S.Masco,IND,22267,4,0.0141242937853107,26,53,1,PY,S.Masco,IND,,,,,False,53,2024,GE
1726828,Murugan,IND,22267,2,0.00706214689265536,27,53,1,PY,Murugan,IND,,,,,False,53,2024,GE
1726942,Ve. Vaithilingam,INC,22262,14363,51.4526240372559,1,53,2,PY,Ve. Vaithilingam,INC,,,,,True,53,2024,GE
1726943,A. Namassivayam,BJP,22263,10932,39.1617409994626,2,53,2,PY,A. Namassivayam,BJP,,,,,False,53,2024,GE
1726944,Dr. R. Menaga,NTK,22264,945,3.38527673293927,3,53,2,PY,Dr. R. Menaga,NTK,,,,,False,53,2024,GE
1726945,G. Thamizhvendan,AIADMK,22265,590,2.11,4,53,2,PY,G. Thamizhvendan,AIADMK,,,,,False,53,2024,GE
1726946,None Of The Above,NOTA,22266,263,0.942145799749238,5,53,2,PY,None Of The Above,NOTA,,,,,False,53,2024,GE
1726947,E. Ananthavel,IND,22267,114,0.408382590005373,6,53,2,PY,E. Ananthavel,IND,,,,,False,53,2024,GE
1726948,P. Sankaran,SUCI,22268,100,0.358230342109976,7,53,2,PY,P. Sankaran,SUCI,,,,,False,53,2024,GE
1726949,Aradadi Posiyya,IND,22267,60,0.214938205265986,8,53,2,PY,Aradadi Posiyya,IND,,,,,False,53,2024,GE
1726950,K. Prabhudevan,URPI,22270,59,0.211355901844886,9,53,2,PY,K. Prabhudevan,URPI,,,,,False,53,2024,GE
1726951,M. Krishnamurthy,IND,22267,59,0.21,9,53,2,PY,M. Krishnamurthy,IND,,,,,False,53,2024,GE
1726952,K. Kishorkumar,IND,22267,57,0.204191295002686,11,53,2,PY,K. Kishorkumar,IND,,,,,False,53,2024,GE
1726953,Alangaravelu,BSP,22269,53,0.189862081318287,12,53,2,PY,Alangaravelu,BSP,,,,,False,53,2024,GE
1726954,Kollanjiappan,IND,22267,47,0.168368260791689,13,53,2,PY,Kollanjiappan,IND,,,,,False,53,2024,GE
1726955,M. Manikandan,IND,22267,41,0.14687444026509,14,53,2,PY,M. Manikandan,IND,,,,,False,53,2024,GE
1726957,S. Bakthavatchalam,IND,22267,39,0.14,15,53,2,PY,S. Bakthavatchalam,IND,,,,,False,53,2024,GE
1726956,Couttane Dhivaneedhe,IND,22267,39,0.13970983342289,15,53,2,PY,Couttane Dhivaneedhe,IND,,,,,False,53,2024,GE
1726958,S. Kala,IND,22267,28,0.100304495790793,17,53,2,PY,S. Kala,IND,,,,,False,53,2024,GE
1726959,P. Rajan,IND,22267,22,0.0788106752641948,18,53,2,PY,P. Rajan,IND,,,,,False,53,2024,GE
1726960,Ramadass,IND,22267,21,0.0752283718430951,19,53,2,PY,Ramadass,IND,,,,,False,53,2024,GE
1726961,S. Sathish Kumar,IND,22267,15,0.0537345513164965,20,53,2,PY,S. Sathish Kumar,IND,,,,,False,53,2024,GE
1726962,Arunachalam,IND,22267,14,0.0501522478953967,21,53,2,PY,Arunachalam,IND,,,,,False,53,2024,GE
1726963,Ravindiran,IND,22267,13,0.0465699444742969,22,53,2,PY,Ravindiran,IND,,,,,False,53,2024,GE
1726964,R. Raja,IND,22267,10,0.0358230342109976,23,53,2,PY,R. Raja,IND,,,,,False,53,2024,GE
1726966,S.Masco,IND,22267,9,0.03,24,53,2,PY,S.Masco,IND,,,,,False,53,2024,GE
1726965,V.P.Manickam,IND,22267,9,0.0322407307898979,24,53,2,PY,V.P.Manickam,IND,,,,,False,53,2024,GE
1726967,Nirmala Gopi,IND,22267,8,0.0286584273687981,26,53,2,PY,Nirmala Gopi,IND,,,,,False,53,2024,GE
1726968,Murugan,IND,22267,5,0.0179115171054988,27,53,2,PY,Murugan,IND,,,,,False,53,2024,GE
1727078,Ve. Vaithilingam,INC,22262,16285,57.1423558721358,1,53,3,PY,Ve. Vaithilingam,INC,,,,,True,53,2024,GE
1727079,A. Namassivayam,BJP,22263,9733,34.1520755114214,2,53,3,PY,A. Namassivayam,BJP,,,,,False,53,2024,GE
1727080,Dr. R. Menaga,NTK,22264,1070,3.75451770237552,3,53,3,PY,Dr. R. Menaga,NTK,,,,,False,53,2024,GE
1727081,G. Thamizhvendan,AIADMK,22265,517,1.81,4,53,3,PY,G. Thamizhvendan,AIADMK,,,,,False,53,2024,GE
