el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1744733,Jagdish Chander,INC,22472,73165,39.59,1,32,1,RJ,Jagdish Chander,INC,,,,,False,32,2018,AE
1744734,Gurveer Singh Brar,BJP,22471,63498,34.36,2,32,1,RJ,Gurveer Singh Brar,BJP,,,,,False,32,2018,AE
1744735,Om Bishnoi,IND,22476,36772,19.9,3,32,1,RJ,Om Bishnoi,IND,,,,,False,32,2018,AE
1744736,Pala Ram,CPM,22475,2602,1.40803151566313,4,32,1,RJ,Pala Ram,CPM,,,,,False,32,2018,AE
1744737,Avtar Singh,CPI,22487,1764,0.954560950664783,5,32,1,RJ,Avtar Singh,CPI,,,,,False,32,2018,AE
1744738,Balwant Nimiwal,ARJP,22490,1744,0.94,6,32,1,RJ,Balwant Nimiwal,ARJP,,,,,False,32,2018,AE
1744739,None Of The Above,NOTA,22479,1641,0.88800142859462,7,32,1,RJ,None Of The Above,NOTA,,,,,False,32,2018,AE
1744740,Vinod Khichar,BSP,22485,1097,0.593624355373734,8,32,1,RJ,Vinod Khichar,BSP,,,,,False,32,2018,AE
1744741,Ankit Bhambhu,AAAP,22474,1073,0.58,9,32,1,RJ,Ankit Bhambhu,AAAP,,,,,False,32,2018,AE
1744742,Major Singh,IND,22476,785,0.42,10,32,1,RJ,Major Singh,IND,,,,,False,32,2018,AE
1744743,Niranjan Singh,SAD(M),22491,347,0.19,11,32,1,RJ,Niranjan Singh,SAD(M),,,,,False,32,2018,AE
1744744,Krishan Goswami,RPI(A),22492,309,0.167210506664069,12,32,1,RJ,Krishan Goswami,RPI(A),,,,,False,32,2018,AE
1744838,Raj Kumar Gaur,IND,22476,44998,26.5235510129499,1,32,2,RJ,Raj Kumar Gaur,IND,,,,,False,32,2018,AE
1744839,Ashok Chandak,INC,22472,35818,21.1125061154238,2,32,2,RJ,Ashok Chandak,INC,,,,,False,32,2018,AE
1744840,Vinita Ahuja,BJP,22471,29686,17.4980695891024,3,32,2,RJ,Vinita Ahuja,BJP,,,,,False,32,2018,AE
1744841,Jaideep Bihani,IND,22476,29206,17.2151391369442,4,32,2,RJ,Jaideep Bihani,IND,,,,,False,32,2018,AE
1744842,Prahalad Rai Tak,BSP,22485,14834,8.74372984857326,5,32,2,RJ,Prahalad Rai Tak,BSP,,,,,False,32,2018,AE
1744843,Kamini Jindal,nuzp,22473,4887,2.88058566603596,6,32,2,RJ,Kamini Jindal,nuzp,,,,,False,32,2018,AE
1744844,Radhey Shyam Ganganagar,IND,22476,2318,1.36631830854744,7,32,2,RJ,Radhey Shyam Ganganagar,IND,,,,,False,32,2018,AE
1744845,None Of The Above,NOTA,22479,1170,0.689642977135682,8,32,2,RJ,None Of The Above,NOTA,,,,,False,32,2018,AE
1744846,Dhir Singh,IND,22476,994,0.585901811344332,9,32,2,RJ,Dhir Singh,IND,,,,,False,32,2018,AE
1744847,Nand Kishore Bihani,IND,22476,981,0.57823911159838,10,32,2,RJ,Nand Kishore Bihani,IND,,,,,False,32,2018,AE
1744848,Krishan Kumar,IND,22476,848,0.49984379881287,11,32,2,RJ,Krishan Kumar,IND,,,,,False,32,2018,AE
1744849,Amit Kargwal,AAAP,22474,836,0.49,12,32,2,RJ,Amit Kargwal,AAAP,,,,,False,32,2018,AE
1744850,Preet Kalra,IND,22476,457,0.269373367992313,13,32,2,RJ,Preet Kalra,IND,,,,,False,32,2018,AE
1744851,Rahul Mahashaya,LJP,22488,419,0.246974707196453,14,32,2,RJ,Rahul Mahashaya,LJP,,,,,False,32,2018,AE
1744852,Rajesh Bharat,IND,22476,387,0.228112677052572,15,32,2,RJ,Rajesh Bharat,IND,,,,,False,32,2018,AE
1744853,Amit Khariwal,IND,22476,293,0.172705463504918,16,32,2,RJ,Amit Khariwal,IND,,,,,False,32,2018,AE
1744854,Jaswant Singh,MaKraP,22498,281,0.17,17,32,2,RJ,Jaswant Singh,MaKraP,,,,,False,32,2018,AE
1744855,Ashok Kumar,IND,22476,275,0.162095571548985,18,32,2,RJ,Ashok Kumar,IND,,,,,False,32,2018,AE
1744856,Karishma,DKD,22499,233,0.13733915698514,19,32,2,RJ,Karishma,DKD,,,,,False,32,2018,AE
1744857,Daya Ram,BLokSP,22500,219,0.13,20,32,2,RJ,Daya Ram,BLokSP,,,,,False,32,2018,AE
1744858,Shyam Sunder,IND,22476,177,0.104330604233346,21,32,2,RJ,Shyam Sunder,IND,,,,,False,32,2018,AE
1744859,Jakir Husain,JCPty,22501,174,0.1,22,32,2,RJ,Jakir Husain,JCPty,,,,,False,32,2018,AE
1744860,Manjeet Singh,ARJP,22490,162,0.1,23,32,2,RJ,Manjeet Singh,ARJP,,,,,False,32,2018,AE
1744958,Gurmeet Singh Kooner,INC,22472,73896,38.9753002420924,1,32,3,RJ,Gurmeet Singh Kooner,INC,,,,,False,32,2018,AE
1744959,Prithipal Singh,IND,22476,45520,24.0088187049373,2,32,3,RJ,Prithipal Singh,IND,,,,,False,32,2018,AE
1744960,Surender Pal Singh,BJP,22471,44099,23.2593342721667,3,32,3,RJ,Surender Pal Singh,BJP,,,,,False,32,2018,AE
1744961,Mahender Kumar Rassewat,IND,22476,15782,8.32397137085502,4,32,3,RJ,Mahender Kumar Rassewat,IND,,,,,False,32,2018,AE
1744962,Ranjeet,BSP,22485,1474,0.777438461579033,5,32,3,RJ,Ranjeet,BSP,,,,,False,32,2018,AE
1744963,Mamta,IND,22476,1370,0.722585272973728,6,32,3,RJ,Mamta,IND,,,,,False,32,2018,AE
1744964,None Of The Above,NOTA,22479,1300,0.685664857566311,7,32,3,RJ,None Of The Above,NOTA,,,,,False,32,2018,AE
1744965,Sukhram,IND,22476,1260,0.664567477333502,8,32,3,RJ,Sukhram,IND,,,,,False,32,2018,AE
1744966,Hariram Ramgaria,IND,22476,1233,0.650326745676355,9,32,3,RJ,Hariram Ramgaria,IND,,,,,False,32,2018,AE
1744967,Prahlad Rai,AAAP,22474,900,0.47,10,32,3,RJ,Prahlad Rai,AAAP,,,,,False,32,2018,AE
1744968,Titar Singh,IND,22476,653,0.344414732300616,11,32,3,RJ,Titar Singh,IND,,,,,False,32,2018,AE
1744969,Shiv Lal,IND,22476,523,0.275848246543985,12,32,3,RJ,Shiv Lal,IND,,,,,False,32,2018,AE
1744970,Jaiparkash,IND,22476,487,0.256860604334456,13,32,3,RJ,Jaiparkash,IND,,,,,False,32,2018,AE
1744971,Prithvi Raj,IND,22476,422,0.222577361456141,14,32,3,RJ,Prithvi Raj,IND,,,,,False,32,2018,AE
1744972,Chuki Devi,IND,22476,298,0.157175482734431,15,32,3,RJ,Chuki Devi,IND,,,,,False,32,2018,AE
1744973,Raisahab,RPI(A),22492,249,0.131331191949239,16,32,3,RJ,Raisahab,RPI(A),,,,,False,32,2018,AE
1744974,Sunil Kumar Meghwal,BRPP,22507,131,0.0690939202624514,17,32,3,RJ,Sunil Kumar Meghwal,BRPP,,,,,False,32,2018,AE
1745073,Ram Pratap Kasnia,BJP,22471,69032,36.1051690141581,1,32,4,RJ,Ram Pratap Kasnia,BJP,,,,,False,32,2018,AE
1745074,Hanuman Meel,INC,22472,58797,30.7520515489259,2,32,4,RJ,Hanuman Meel,INC,,,,,False,32,2018,AE
