el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1744690,Bharat Ram Meghwal,INC,22472,56343,52.2076333614403,1,6,1,RJ,Bharat Ram Meghwal,INC,,,,,False,6,2009,GE
1744691,Nihal Chand,BJP,22471,39227,36.3478841004067,2,6,1,RJ,Nihal Chand,BJP,,,,,False,6,2009,GE
1744692,Shyopat Ram,CPM,22475,4545,4.21141390461541,3,6,1,RJ,Shyopat Ram,CPM,,,,,False,6,2009,GE
1744693,Sita Ram,BSP,22485,2231,2.06725289795313,4,6,1,RJ,Sita Ram,BSP,,,,,False,6,2009,GE
1744694,Hanuman Ram,IND,22476,1311,1.21477747611678,5,6,1,RJ,Hanuman Ram,IND,,,,,False,6,2009,GE
1744695,Jaswinder Singh,IND,22476,911,0.844135988361857,6,6,1,RJ,Jaswinder Singh,IND,,,,,False,6,2009,GE
1744696,Bhura Ram,IND,22476,862,0.798732406111878,7,6,1,RJ,Bhura Ram,IND,,,,,False,6,2009,GE
1744697,Sita Ram Morya,IND,22476,672,0.622677699428285,8,6,1,RJ,Sita Ram Morya,IND,,,,,False,6,2009,GE
1744698,Sindu,IND,22476,363,0.3363571501376,9,6,1,RJ,Sindu,IND,,,,,False,6,2009,GE
1744699,Shila Devi,IND,22476,296,0.274274700938649,10,6,1,RJ,Shila Devi,IND,,,,,False,6,2009,GE
1744700,Mukesh Kumar,SP,22486,246,0.227944514969283,11,6,1,RJ,Mukesh Kumar,SP,,,,,False,6,2009,GE
1744701,Raji Ram,IND,22476,245,0.227017911249895,12,6,1,RJ,Raji Ram,IND,,,,,False,6,2009,GE
1744702,Het Ram,RJVP,22484,242,0.224238100091733,13,6,1,RJ,Het Ram,RJVP,,,,,False,6,2009,GE
1744703,Titar Singh,IND,22476,226,0.209412440581536,14,6,1,RJ,Titar Singh,IND,,,,,False,6,2009,GE
1744704,Om Parkash,IND,22476,201,0.186247347596853,15,6,1,RJ,Om Parkash,IND,,,,,False,6,2009,GE
1744784,Bharat Ram Meghwal,INC,22472,49505,50.084984116064,1,6,2,RJ,Bharat Ram Meghwal,INC,,,,,False,6,2009,GE
1744785,Nihal Chand,BJP,22471,40644,41.1201715869771,2,6,2,RJ,Nihal Chand,BJP,,,,,False,6,2009,GE
1744786,Shyopat Ram,CPM,22475,1911,1.93338864045648,3,6,2,RJ,Shyopat Ram,CPM,,,,,False,6,2009,GE
1744787,Sita Ram,BSP,22485,1887,1.90910746443819,4,6,2,RJ,Sita Ram,BSP,,,,,False,6,2009,GE
1744788,Sita Ram Morya,IND,22476,1852,1.87369741607818,5,6,2,RJ,Sita Ram Morya,IND,,,,,False,6,2009,GE
1744789,Hanuman Ram,IND,22476,950,0.961129884057384,6,6,2,RJ,Hanuman Ram,IND,,,,,False,6,2009,GE
1744790,Mukesh Kumar,SP,22486,591,0.597923959450436,7,6,2,RJ,Mukesh Kumar,SP,,,,,False,6,2009,GE
1744791,Bhura Ram,IND,22476,300,0.303514700228647,8,6,2,RJ,Bhura Ram,IND,,,,,False,6,2009,GE
1744792,Sindu,IND,22476,275,0.278221808542927,9,6,2,RJ,Sindu,IND,,,,,False,6,2009,GE
1744793,Shila Devi,IND,22476,195,0.197284555148621,10,6,2,RJ,Shila Devi,IND,,,,,False,6,2009,GE
1744794,Jaswinder Singh,IND,22476,182,0.184132251472046,11,6,2,RJ,Jaswinder Singh,IND,,,,,False,6,2009,GE
1744795,Raji Ram,IND,22476,173,0.175026810465186,12,6,2,RJ,Raji Ram,IND,,,,,False,6,2009,GE
1744796,Titar Singh,IND,22476,137,0.138605046437749,13,6,2,RJ,Titar Singh,IND,,,,,False,6,2009,GE
1744797,Om Parkash,IND,22476,121,0.122417595758887,14,6,2,RJ,Om Parkash,IND,,,,,False,6,2009,GE
1744798,Het Ram,RJVP,22484,119,0.12039416442403,15,6,2,RJ,Het Ram,RJVP,,,,,False,6,2009,GE
1744906,Bharat Ram Meghwal,INC,22472,57803,53.0706868532919,1,6,3,RJ,Bharat Ram Meghwal,INC,,,,,False,6,2009,GE
1744907,Nihal Chand,BJP,22471,40226,36.9327102288898,2,6,3,RJ,Nihal Chand,BJP,,,,,False,6,2009,GE
1744908,Shyopat Ram,CPM,22475,4429,4.06639918470027,3,6,3,RJ,Shyopat Ram,CPM,,,,,False,6,2009,GE
1744909,Sita Ram,BSP,22485,1589,1.45890907755446,4,6,3,RJ,Sita Ram,BSP,,,,,False,6,2009,GE
1744910,Hanuman Ram,IND,22476,1165,1.06962182212143,5,6,3,RJ,Hanuman Ram,IND,,,,,False,6,2009,GE
1744911,Sita Ram Morya,IND,22476,1012,0.929147883250548,6,6,3,RJ,Sita Ram Morya,IND,,,,,False,6,2009,GE
1744912,Jaswinder Singh,IND,22476,523,0.480182157055372,7,6,3,RJ,Jaswinder Singh,IND,,,,,False,6,2009,GE
1744914,Shila Devi,IND,22476,337,0.30940991764371,8,6,3,RJ,Shila Devi,IND,,,,,False,6,2009,GE
1744913,Bhura Ram,IND,22476,337,0.30940991764371,8,6,3,RJ,Bhura Ram,IND,,,,,False,6,2009,GE
1744915,Sindu,IND,22476,328,0.301146744768952,10,6,3,RJ,Sindu,IND,,,,,False,6,2009,GE
1744916,Titar Singh,IND,22476,319,0.292883571894194,11,6,3,RJ,Titar Singh,IND,,,,,False,6,2009,GE
1744917,Raji Ram,IND,22476,258,0.236877622409724,12,6,3,RJ,Raji Ram,IND,,,,,False,6,2009,GE
1744918,Mukesh Kumar,SP,22486,223,0.204743061230111,13,6,3,RJ,Mukesh Kumar,SP,,,,,False,6,2009,GE
1744919,Om Parkash,IND,22476,200,0.183626063883507,14,6,3,RJ,Om Parkash,IND,,,,,False,6,2009,GE
1744920,Het Ram,RJVP,22484,168,0.154245893662146,15,6,3,RJ,Het Ram,RJVP,,,,,False,6,2009,GE
1745016,Bharat Ram Meghwal,INC,22472,47969,45.2789760338301,1,6,4,RJ,Bharat Ram Meghwal,INC,,,,,False,6,2009,GE
1745017,Nihal Chand,BJP,22471,44554,42.0554837126325,2,6,4,RJ,Nihal Chand,BJP,,,,,False,6,2009,GE
1745018,Sita Ram,BSP,22485,6363,6.00617324737353,3,6,4,RJ,Sita Ram,BSP,,,,,False,6,2009,GE
1745019,Shyopat Ram,CPM,22475,2068,1.95202990343681,4,6,4,RJ,Shyopat Ram,CPM,,,,,False,6,2009,GE
1745020,Hanuman Ram,IND,22476,1485,1.40172360087218,5,6,4,RJ,Hanuman Ram,IND,,,,,False,6,2009,GE
1745021,Sita Ram Morya,IND,22476,643,0.606941599569571,6,6,4,RJ,Sita Ram Morya,IND,,,,,False,6,2009,GE
