el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1765411,Sangay Lepcha,SKM,22694,5686,48.52,1,35,1,SK,Sangay Lepcha,SKM,,,,,False,35,2019,AE
1765412,Dichen Wangchuk Bhutia,SDF,22687,5607,47.84,2,35,1,SK,Dichen Wangchuk Bhutia,SDF,,,,,False,35,2019,AE
1765413,Phurkit Lepcha,HMSKP,22699,158,1.35,3,35,1,SK,Phurkit Lepcha,HMSKP,,,,,False,35,2019,AE
1765414,Pema Rinzing Bhutia,INC,22688,137,1.17,4,35,1,SK,Pema Rinzing Bhutia,INC,,,,,True,35,2019,AE
1765415,Nota,NOTA,22695,132,1.13,5,35,1,SK,Nota,NOTA,,,,,True,35,2019,AE
1765416,Bhim Hang Limboo,SKM,22694,5184,48.47,1,35,2,SK,Bhim Hang Limboo,SKM,,,,,False,35,2019,AE
1765417,Dal Bdr. Subba,SDF,22687,5137,48.03,2,35,2,SK,Dal Bdr. Subba,SDF,,,,,False,35,2019,AE
1765418,Dhan Singh Limboo,HMSKP,22699,115,1.08,3,35,2,SK,Dhan Singh Limboo,HMSKP,,,,,False,35,2019,AE
1765419,Binay Limboo (Tsong),SKPP,22698,93,0.87,4,35,2,SK,Binay Limboo (Tsong),SKPP,,,,,False,35,2019,AE
1765420,Mangal Subba (Limboo),INC,22688,93,0.87,4,35,2,SK,Mangal Subba (Limboo),INC,,,,,False,35,2019,AE
1765421,Nota,NOTA,22695,74,0.69,6,35,2,SK,Nota,NOTA,,,,,True,35,2019,AE
1765422,Narendra Kumar Subba,SDF,22687,7134,55.15,1,35,3,SK,Narendra Kumar Subba,SDF,,,,,True,35,2019,AE
1765423,Purna Hang Subba,SKM,22694,5630,43.52,2,35,3,SK,Purna Hang Subba,SKM,,,,,False,35,2019,AE
1765424,Nota,NOTA,22695,172,1.33,3,35,3,SK,Nota,NOTA,,,,,True,35,2019,AE
1765425,Lok Nath Sharma,SKM,22694,5862,57.06,1,35,4,SK,Lok Nath Sharma,SKM,,,,,True,35,2019,AE
1765426,Laxuman Sharma,SDF,22687,4048,39.4,2,35,4,SK,Laxuman Sharma,SDF,,,,,False,35,2019,AE
1765427,Bhanu Bhakta Dahal,BJP,22690,217,2.11,3,35,4,SK,Bhanu Bhakta Dahal,BJP,,,,,False,35,2019,AE
1765429,Sukuhang Subba,HMSKP,22699,73,0.71,4,35,4,SK,Sukuhang Subba,HMSKP,,,,,False,35,2019,AE
1765428,Nota,NOTA,22695,73,0.71,4,35,4,SK,Nota,NOTA,,,,,True,35,2019,AE
1765430,Karma Sonam Lepcha,SDF,22687,6582,52.24,1,35,5,SK,Karma Sonam Lepcha,SDF,,,,,True,35,2019,AE
1765431,Phurba Tsh. Bhutia,SKM,22694,5513,43.76,2,35,5,SK,Phurba Tsh. Bhutia,SKM,,,,,False,35,2019,AE
1765432,Sancho Lepcha,BJP,22690,303,2.4,3,35,5,SK,Sancho Lepcha,BJP,,,,,False,35,2019,AE
1765433,Nota,NOTA,22695,109,0.87,4,35,5,SK,Nota,NOTA,,,,,True,35,2019,AE
1765434,Phurchung Lepcha,INC,22688,92,0.73,5,35,5,SK,Phurchung Lepcha,INC,,,,,False,35,2019,AE
1765435,Mingma Norbu Sherpa,SKM,22694,6219,49.08,1,35,6,SK,Mingma Norbu Sherpa,SKM,,,,,True,35,2019,AE
1765436,Pem Norbu Sherpa,SDF,22687,5883,46.43,2,35,6,SK,Pem Norbu Sherpa,SDF,,,,,False,35,2019,AE
